date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,DIVISLAB,EQ,1845.00,1849.60,1815.90,1818.85,1845.80,157063,2871.57,5547,
2020-01-02,DIVISLAB,EQ,1820.50,1833.80,1820.50,1825.90,1818.85,102841,1878.17,6957,
2020-01-03,DIVISLAB,EQ,1817.00,1847.85,1817.00,1834.80,1825.90,281177,5163.60,16587,
2020-01-06,DIVISLAB,EQ,1828.30,1845.00,1800.00,1838.35,1834.80,500000,9141.73,19639,
2020-01-07,DIVISLAB,EQ,1838.00,1851.75,1832.60,1843.90,1838.35,302472,5578.45,14478,
2020-01-08,DIVISLAB,EQ,1822.00,1846.00,1822.00,1833.95,1843.90,147762,2712.46,14100,
2020-01-09,DIVISLAB,EQ,1845.00,1855.00,1826.65,1843.40,1833.95,221553,4086.79,12432,
2020-01-10,DIVISLAB,EQ,1843.95,1884.50,1841.00,1866.30,1843.40,499335,9343.82,24317,
2020-01-13,DIVISLAB,EQ,1870.20,1881.80,1860.00,1878.85,1866.30,208532,3905.91,15661,
2020-01-14,DIVISLAB,EQ,1878.50,1887.00,1857.00,1873.65,1878.85,328250,6149.77,23517,
2020-01-15,DIVISLAB,EQ,1878.60,1878.60,1852.05,1866.25,1873.65,277859,5170.07,24347,
2020-01-16,DIVISLAB,EQ,1870.00,1902.10,1869.10,1899.00,1866.25,381703,7221.65,24124,
2020-01-17,DIVISLAB,EQ,1899.45,1913.85,1892.05,1903.35,1899.00,362279,6904.23,29293,
2020-01-20,DIVISLAB,EQ,1905.00,1926.40,1887.10,1892.00,1903.35,420979,8035.18,23923,
2020-01-21,DIVISLAB,EQ,1892.00,1900.90,1868.00,1870.80,1892.00,393410,7397.28,22592,
2020-01-22,DIVISLAB,EQ,1872.10,1890.65,1843.95,1855.15,1870.80,460611,8579.69,17818,
2020-01-23,DIVISLAB,EQ,1855.00,1902.40,1853.00,1897.45,1855.15,294035,5540.72,17381,
2020-01-24,DIVISLAB,EQ,1896.50,1914.70,1885.10,1910.50,1897.45,200949,3831.99,12999,
2020-01-27,DIVISLAB,EQ,1910.00,1935.00,1893.70,1918.35,1910.50,434503,8348.01,17637,
2020-01-28,DIVISLAB,EQ,1918.35,1951.80,1903.15,1946.75,1918.35,527383,10190.28,25979,
2020-01-29,DIVISLAB,EQ,1956.00,1994.40,1936.05,1961.30,1946.75,829522,16348.90,33765,
2020-01-30,DIVISLAB,EQ,1961.50,1975.00,1935.75,1959.15,1961.30,350522,6842.17,25166,
2020-01-31,DIVISLAB,EQ,1969.00,1984.00,1948.00,1952.30,1959.15,322232,6331.21,16529,
2020-02-03,DIVISLAB,EQ,1994.90,2022.00,1962.40,1972.75,1986.90,910769,18188.16,41016,
2020-02-04,DIVISLAB,EQ,1979.00,1996.95,1954.20,1961.30,1972.75,565885,11184.13,26295,
2020-02-05,DIVISLAB,EQ,1962.05,1990.00,1946.20,1962.65,1961.30,519051,10228.54,24497,
2020-02-06,DIVISLAB,EQ,1950.00,2079.40,1930.00,2023.00,1962.65,1730330,35108.24,75407,
2020-02-07,DIVISLAB,EQ,2023.00,2095.00,2011.00,2085.95,2023.00,890175,18315.46,32967,
2020-02-10,DIVISLAB,EQ,2085.00,2112.45,2076.15,2088.95,2085.95,628865,13174.23,30246,
2020-02-11,DIVISLAB,EQ,2085.00,2160.00,2085.00,2146.90,2088.95,1068378,22791.55,47766,
2020-02-12,DIVISLAB,EQ,2159.00,2179.95,2112.00,2121.80,2146.90,984894,21123.81,39712,
2020-02-13,DIVISLAB,EQ,2135.05,2173.80,2121.80,2155.80,2121.80,591980,12726.70,27305,
2020-02-14,DIVISLAB,EQ,2169.25,2190.00,2135.70,2146.45,2155.80,660382,14278.83,26159,
2020-02-17,DIVISLAB,EQ,2158.00,2170.00,2133.60,2154.85,2146.45,243414,5239.23,14594,
2020-02-18,DIVISLAB,EQ,2154.85,2180.20,2142.50,2175.25,2154.85,532206,11493.01,30144,
2020-02-19,DIVISLAB,EQ,2170.00,2195.00,2155.75,2185.85,2175.25,365113,7946.52,24985,
2020-02-20,DIVISLAB,EQ,2199.50,2236.40,2156.85,2169.35,2185.85,578488,12701.29,21980,
2020-02-24,DIVISLAB,EQ,2171.90,2184.80,2147.30,2160.45,2169.35,419664,9087.81,24394,
2020-02-25,DIVISLAB,EQ,2152.00,2165.00,2093.00,2116.00,2160.45,572634,12119.66,40088,
