date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,DLF,EQ,231.40,232.15,227.10,227.55,230.90,3761160,8605.82,22409,
2020-01-02,DLF,EQ,227.50,234.40,226.50,233.75,227.55,4513308,10429.20,26456,
2020-01-03,DLF,EQ,232.65,233.70,227.05,228.60,233.75,4289982,9865.59,32321,
2020-01-06,DLF,EQ,227.00,227.55,220.15,220.95,228.60,7552620,16818.16,51288,
2020-01-07,DLF,EQ,223.00,227.45,222.50,225.50,220.95,4646862,10456.83,34875,
2020-01-08,DLF,EQ,217.30,228.30,217.30,227.65,225.50,6320990,14140.51,36825,
2020-01-09,DLF,EQ,230.00,240.50,229.35,238.25,227.65,9195030,21649.25,53440,
2020-01-10,DLF,EQ,238.85,245.00,236.00,244.20,238.25,14793061,35680.49,59986,
2020-01-13,DLF,EQ,244.35,253.75,244.35,252.80,244.20,14466469,36093.77,74297,
2020-01-14,DLF,EQ,252.10,257.60,250.55,254.55,252.80,6843491,17334.47,41679,
2020-01-15,DLF,EQ,252.50,258.00,252.50,255.90,254.55,7020963,17935.72,40304,
2020-01-16,DLF,EQ,255.70,259.65,254.65,258.15,255.90,5235129,13449.61,27704,
2020-01-17,DLF,EQ,257.00,262.00,256.90,261.25,258.15,5766591,14995.38,30688,
2020-01-20,DLF,EQ,261.95,264.00,257.35,258.95,261.25,6096170,15874.69,34896,
2020-01-21,DLF,EQ,258.00,258.85,255.00,257.10,258.95,5387621,13833.23,90857,
2020-01-22,DLF,EQ,258.40,261.25,255.00,258.10,257.10,5476635,14124.96,39791,
2020-01-23,DLF,EQ,258.10,262.00,257.10,260.70,258.10,5101631,13269.28,30954,
2020-01-24,DLF,EQ,262.00,265.90,261.10,262.85,260.70,7257409,19153.93,40109,
2020-01-27,DLF,EQ,261.50,264.00,255.80,257.10,262.85,5577299,14542.08,27415,
2020-01-28,DLF,EQ,256.00,261.25,255.30,257.65,257.10,4763857,12310.57,29787,
2020-01-29,DLF,EQ,259.00,261.80,256.65,258.60,257.65,4977662,12896.73,29042,
2020-01-30,DLF,EQ,258.60,258.85,252.05,254.65,258.60,5549648,14170.29,43434,
2020-01-31,DLF,EQ,257.80,262.80,254.30,260.45,254.65,10810838,27928.40,94404,
2020-02-03,DLF,EQ,230.00,233.70,217.85,230.85,228.90,20842165,47240.30,141119,
2020-02-04,DLF,EQ,231.40,247.75,230.80,245.25,230.85,15797056,38021.61,81185,
2020-02-05,DLF,EQ,250.15,255.80,245.65,253.45,245.25,12352880,31093.83,99057,
2020-02-06,DLF,EQ,247.00,254.70,243.40,246.30,253.45,17929026,44584.96,153594,
2020-02-07,DLF,EQ,246.00,246.90,234.75,235.80,246.30,14050194,33623.17,81212,
2020-02-10,DLF,EQ,235.30,236.60,231.15,233.80,235.80,8120421,18988.93,57683,
2020-02-11,DLF,EQ,236.00,237.80,232.60,233.85,233.80,5475597,12865.57,43148,
2020-02-12,DLF,EQ,233.90,235.75,226.80,230.85,233.85,6806019,15663.49,53867,
2020-02-13,DLF,EQ,230.55,232.60,227.45,231.35,230.85,6913597,15897.19,41751,
2020-02-14,DLF,EQ,232.40,234.45,224.45,226.20,231.35,6757171,15534.00,51765,
2020-02-17,DLF,EQ,228.40,229.80,217.85,219.40,226.20,10788768,24039.89,59075,
2020-02-18,DLF,EQ,217.20,219.35,216.55,217.95,219.40,6678150,14556.48,44822,
2020-02-19,DLF,EQ,220.70,228.65,218.30,226.90,217.95,7405952,16497.03,55270,
2020-02-20,DLF,EQ,226.90,228.35,219.00,220.10,226.90,7654026,17115.32,46585,
2020-02-24,DLF,EQ,215.00,219.00,211.25,212.50,220.10,7761069,16666.77,44058,
2020-02-25,DLF,EQ,213.00,219.50,213.00,216.75,212.50,8778643,19039.47,81077,
2020-02-26,DLF,EQ,214.85,217.70,210.60,212.45,216.75,6037598,12956.20,39204,
2020-02-27,DLF,EQ,212.00,212.80,204.30,208.70,212.45,8839033,18390.40,54641,
2020-02-28,DLF,EQ,203.50,204.90,193.15,201.70,208.70,15083273,30148.28,70246,
2020-03-02,DLF,EQ,206.00,213.40,199.80,203.85,201.70,10400591,21652.59,82929,
2020-03-03,DLF,EQ,205.00,212.05,203.40,206.80,203.85,11084288,23009.39,93385,
2020-03-04,DLF,EQ,208.05,210.10,198.50,203.95,206.80,9357919,19070.96,74575,
2020-03-05,DLF,EQ,205.80,207.35,200.40,202.60,203.95,8576035,17476.87,99588,
2020-03-06,DLF,EQ,195.00,196.10,187.85,194.45,202.60,10991688,21097.24,79967,
2020-03-09,DLF,EQ,188.00,189.00,178.65,182.35,194.45,12053473,22097.17,68471,
2020-03-11,DLF,EQ,182.35,184.80,177.00,178.45,182.35,9238369,16748.40,50473,
2020-03-12,DLF,EQ,168.00,169.00,154.50,156.90,178.45,14049953,22453.30,75102,
2020-03-13,DLF,EQ,145.05,171.95,142.00,166.75,156.90,11231755,18047.20,63953,
2020-03-16,DLF,EQ,155.25,157.00,147.60,149.00,166.75,7065375,10753.42,47680,
2020-03-17,DLF,EQ,150.00,155.00,143.90,144.60,149.00,8919578,13263.75,68631,
2020-03-18,DLF,EQ,149.90,149.90,138.00,140.15,144.60,9347932,13301.29,97498,
2020-03-19,DLF,EQ,132.65,140.35,125.50,128.45,140.15,10873570,14510.46,62603,
2020-03-20,DLF,EQ,129.00,141.75,121.35,139.80,128.45,18143402,23947.57,131357,
2020-03-23,DLF,EQ,125.85,134.20,123.80,126.15,139.80,6918861,8866.61,41945,
2020-03-24,DLF,EQ,126.00,133.05,117.70,120.80,126.15,13129144,16183.65,113146,
2020-03-25,DLF,EQ,120.00,127.40,114.55,123.80,120.80,14618656,17600.94,102166,
2020-03-26,DLF,EQ,126.10,147.00,121.65,138.15,123.80,16809428,23063.51,144666,
2020-03-27,DLF,EQ,142.00,158.85,136.80,138.75,138.15,14470204,20855.66,138177,
2020-03-30,DLF,EQ,134.00,135.50,128.80,130.75,138.75,7737955,10263.95,57257,
2020-03-31,DLF,EQ,137.00,138.90,130.35,137.45,130.75,8327716,11233.72,73222,
2020-04-01,DLF,EQ,135.95,136.95,130.30,132.55,137.45,5567170,7418.15,45675,
2020-04-03,DLF,EQ,133.55,136.00,130.35,132.10,132.55,6553107,8708.93,42209,
2020-04-07,DLF,EQ,137.70,142.90,135.10,141.55,132.10,6419110,8955.03,48716,
2020-04-08,DLF,EQ,137.00,146.80,136.85,138.00,141.55,7944486,11258.89,60975,
2020-04-09,DLF,EQ,142.10,151.80,140.70,149.10,138.00,7216451,10516.90,47583,
2020-04-13,DLF,EQ,148.40,148.90,134.60,139.75,149.10,12595353,17521.78,92891,
2020-04-15,DLF,EQ,138.95,144.65,137.80,140.30,139.75,9821552,13891.55,62827,
2020-04-16,DLF,EQ,138.00,143.35,132.70,134.00,140.30,13414652,18445.19,73388,
2020-04-17,DLF,EQ,139.90,145.30,135.80,136.90,134.00,30164652,41798.57,134355,
2020-04-20,DLF,EQ,138.20,139.45,131.30,134.40,136.90,18161265,24469.68,94559,
2020-04-21,DLF,EQ,131.40,133.70,129.15,132.65,134.40,12612460,16586.38,62120,
2020-04-22,DLF,EQ,132.95,135.20,129.80,133.55,132.65,11250707,14922.05,60899,
2020-04-23,DLF,EQ,134.40,138.50,133.00,137.00,133.55,10333997,14122.13,75120,
2020-04-24,DLF,EQ,135.00,135.00,127.60,128.20,137.00,12295346,15999.04,71241,
2020-04-27,DLF,EQ,131.00,133.70,129.70,133.00,128.20,6956597,9181.72,42998,
2020-04-28,DLF,EQ,135.00,138.65,133.90,138.00,133.00,10118659,13870.79,61507,
2020-04-29,DLF,EQ,138.50,142.50,137.50,141.65,138.00,7030077,9893.73,48051,
2020-04-30,DLF,EQ,143.65,152.25,142.25,146.85,141.65,12818946,19008.24,62286,
2020-05-04,DLF,EQ,141.25,141.25,131.10,133.05,146.85,7768173,10503.13,49078,
2020-05-05,DLF,EQ,135.65,136.25,126.10,126.80,133.05,9178838,12009.64,52952,
2020-05-06,DLF,EQ,127.90,131.20,125.00,129.90,126.80,8703337,11227.63,54276,
2020-05-07,DLF,EQ,131.00,133.35,128.60,129.15,129.90,5890404,7705.65,34160,
2020-05-08,DLF,EQ,132.90,132.90,129.35,130.15,129.15,5882098,7703.39,36796,
2020-05-11,DLF,EQ,133.00,135.40,131.10,133.35,130.15,6546304,8731.73,34269,
2020-05-12,DLF,EQ,131.75,137.85,130.15,136.95,133.35,7708941,10296.76,47058,
2020-05-13,DLF,EQ,143.50,146.50,139.60,141.10,136.95,11157101,15931.36,80456,
2020-05-14,DLF,EQ,139.85,140.00,135.00,137.05,141.10,8704139,11911.44,55169,
2020-05-15,DLF,EQ,139.00,140.50,136.65,138.80,137.05,8090978,11208.09,50310,
2020-05-18,DLF,EQ,138.50,138.80,129.70,132.45,138.80,7009940,9307.88,36961,
2020-05-19,DLF,EQ,134.50,135.45,130.40,131.45,132.45,6068689,8056.23,32083,
2020-05-20,DLF,EQ,132.05,141.80,130.75,139.25,131.45,11788743,16090.63,61094,
2020-05-21,DLF,EQ,139.00,141.00,136.60,138.60,139.25,5864536,8150.53,40036,
2020-05-22,DLF,EQ,137.50,140.00,133.85,135.15,138.60,6331378,8644.58,29525,
2020-05-26,DLF,EQ,135.75,137.85,134.55,136.75,135.15,4595672,6259.05,25508,
2020-05-27,DLF,EQ,137.50,138.20,134.80,137.65,136.75,4864921,6638.92,30495,
2020-05-28,DLF,EQ,136.85,145.95,136.70,144.05,137.65,8686378,12327.43,45235,
2020-05-29,DLF,EQ,140.00,152.85,140.00,150.65,144.05,15478799,22791.98,97074,
