date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,DMART,EQ,1849.70,1867.00,1820.00,1828.50,1838.35,429407,7909.88,18482,
2020-01-02,DMART,EQ,1831.00,1854.85,1815.00,1824.20,1828.50,459356,8427.26,26025,
2020-01-03,DMART,EQ,1827.00,1853.00,1827.00,1843.55,1824.20,394268,7261.46,26515,
2020-01-06,DMART,EQ,1827.00,1829.00,1780.00,1789.90,1843.55,398623,7177.97,25358,
2020-01-07,DMART,EQ,1805.00,1837.50,1805.00,1815.75,1789.90,459172,8363.57,39558,
2020-01-08,DMART,EQ,1793.00,1837.05,1785.10,1829.05,1815.75,352087,6397.77,28612,
2020-01-09,DMART,EQ,1850.00,1904.00,1826.60,1880.55,1829.05,1572364,29386.30,61358,
2020-01-10,DMART,EQ,1886.00,1897.90,1865.10,1876.95,1880.55,697206,13138.93,46291,
2020-01-13,DMART,EQ,1925.00,1940.15,1880.00,1914.65,1876.95,2138099,40817.89,90914,
2020-01-14,DMART,EQ,1902.00,1940.00,1892.15,1930.75,1914.65,1407288,27090.99,67768,
2020-01-15,DMART,EQ,1938.00,1946.00,1920.05,1933.55,1930.75,551142,10644.74,32613,
2020-01-16,DMART,EQ,1938.70,1951.45,1922.00,1946.05,1933.55,521815,10127.87,22111,
2020-01-17,DMART,EQ,1948.00,2000.00,1932.40,1990.55,1946.05,887334,17531.48,36370,
2020-01-20,DMART,EQ,2000.00,2004.45,1927.00,1936.65,1990.55,467366,9192.06,21887,
2020-01-21,DMART,EQ,1930.00,1959.55,1901.90,1912.35,1936.65,321554,6215.09,18327,
2020-01-22,DMART,EQ,1930.00,1932.00,1907.60,1914.70,1912.35,283551,5435.13,31359,
2020-01-23,DMART,EQ,1920.00,1929.05,1910.10,1924.70,1914.70,203734,3912.65,13214,
2020-01-24,DMART,EQ,1927.05,1961.10,1918.15,1948.60,1924.70,404536,7873.19,22581,
2020-01-27,DMART,EQ,1945.50,1961.50,1928.10,1951.50,1948.60,306182,5959.60,14705,
2020-01-28,DMART,EQ,1944.70,1958.00,1922.20,1930.45,1951.50,198741,3854.87,20208,
2020-01-29,DMART,EQ,1932.00,1984.25,1928.00,1974.65,1930.45,481606,9463.82,32525,
2020-01-30,DMART,EQ,1977.80,2064.00,1977.80,2051.30,1974.65,1640477,33255.79,71002,
2020-01-31,DMART,EQ,2064.05,2145.05,2061.00,2133.95,2051.30,1572997,33236.98,76545,
2020-02-03,DMART,EQ,2084.00,2157.70,2081.00,2131.65,2072.05,730661,15602.19,58450,
2020-02-04,DMART,EQ,2145.00,2172.90,2112.00,2155.30,2131.65,601931,12886.64,34077,
2020-02-05,DMART,EQ,2160.00,2274.00,2160.00,2248.90,2155.30,1100397,24528.55,54884,
2020-02-06,DMART,EQ,2255.00,2360.00,2255.00,2294.35,2248.90,1760624,40898.90,83237,
2020-02-07,DMART,EQ,2295.00,2330.00,2270.00,2287.20,2294.35,917281,21037.98,81688,
2020-02-10,DMART,EQ,2287.20,2537.45,2287.20,2483.65,2287.20,2504235,60758.88,95386,
2020-02-11,DMART,EQ,2480.00,2480.00,2381.00,2394.50,2483.65,1890047,45635.00,90400,
2020-02-12,DMART,EQ,2390.00,2526.00,2380.00,2482.15,2394.50,2099102,52216.98,104563,
2020-02-13,DMART,EQ,2478.00,2560.00,2442.80,2544.15,2482.15,2369901,59741.50,121230,
2020-02-14,DMART,EQ,2440.00,2499.00,2373.00,2408.35,2544.15,4717819,114834.92,180133,
2020-02-17,DMART,EQ,2354.50,2379.30,2330.05,2339.45,2408.35,3097697,72934.31,120935,
2020-02-18,DMART,EQ,2334.95,2384.60,2305.05,2364.90,2339.45,2017080,47334.26,99027,
2020-02-19,DMART,EQ,2385.00,2437.00,2372.10,2424.50,2364.90,1759543,42393.69,82230,
2020-02-20,DMART,EQ,2433.00,2485.00,2430.00,2462.65,2424.50,1359803,33516.70,51278,
2020-02-24,DMART,EQ,2448.80,2448.80,2370.00,2389.70,2462.65,651480,15714.14,46383,
2020-02-25,DMART,EQ,2399.00,2429.00,2308.00,2331.75,2389.70,1007451,23764.59,68202,
2020-02-26,DMART,EQ,2326.85,2419.00,2305.05,2358.40,2331.75,1302206,30846.02,81536,
2020-02-27,DMART,EQ,2347.30,2370.00,2310.00,2319.70,2358.40,727447,17012.40,63589,
2020-02-28,DMART,EQ,2279.90,2377.35,2180.00,2323.95,2319.70,1813565,41293.71,121692,
2020-03-02,DMART,EQ,2335.00,2340.00,2220.00,2228.95,2323.95,2050214,46179.92,140583,
2020-03-03,DMART,EQ,2228.00,2274.00,2172.95,2233.05,2228.95,1252459,27904.34,103367,
2020-05-27,DMART,EQ,2222.20,2275.00,2176.00,2200.20,2283.25,751860,16617.35,93807,
2020-05-28,DMART,EQ,2210.00,2310.20,2205.00,2308.45,2200.20,927241,21125.25,80543,
2020-05-29,DMART,EQ,2330.00,2358.00,2229.00,2269.35,2308.45,3799435,86582.41,176493,
2020-06-01,DMART,EQ,2320.10,2328.55,2282.65,2305.50,2269.35,448583,10342.03,62602,
2020-06-02,DMART,EQ,2309.10,2389.00,2290.05,2381.70,2305.50,503206,11834.32,73803,
2020-06-03,DMART,EQ,2390.00,2450.00,2330.00,2349.30,2381.70,425477,10189.31,71794,
2020-06-04,DMART,EQ,2362.00,2434.00,2311.30,2414.20,2349.30,363347,8665.25,54176,
2020-06-05,DMART,EQ,2438.00,2524.00,2434.15,2499.00,2414.20,668802,16674.54,55908,
2020-06-08,DMART,EQ,2520.00,2527.00,2414.20,2459.50,2499.00,322706,7964.94,42302,
2020-06-09,DMART,EQ,2461.00,2468.80,2370.00,2390.10,2459.50,376333,9049.08,43820,
2020-06-10,DMART,EQ,2400.00,2429.95,2360.00,2388.35,2390.10,215499,5149.44,25593,
2020-06-11,DMART,EQ,2390.00,2422.80,2365.00,2406.50,2388.35,325839,7808.26,36871,
2020-06-12,DMART,EQ,2312.00,2438.00,2312.00,2397.80,2406.50,415417,9900.11,29018,
2020-06-15,DMART,EQ,2373.00,2422.00,2337.05,2365.30,2397.80,354822,8408.15,38790,
2020-06-16,DMART,EQ,2399.00,2434.00,2356.60,2403.55,2365.30,321260,7710.99,28199,
2020-06-17,DMART,EQ,2390.00,2404.00,2325.00,2340.40,2403.55,563668,13353.67,30283,
2020-06-18,DMART,EQ,2331.00,2365.00,2320.30,2350.85,2340.40,199698,4693.00,25975,
2020-06-19,DMART,EQ,2372.70,2399.00,2310.00,2363.15,2350.85,1479487,35021.96,64262,
2020-06-22,DMART,EQ,2366.00,2399.40,2340.00,2350.40,2363.15,366255,8649.06,34469,
2020-06-23,DMART,EQ,2350.30,2375.00,2340.00,2359.90,2350.40,175282,4127.93,18700,
2020-06-24,DMART,EQ,2397.80,2424.00,2342.00,2358.35,2359.90,415043,9859.33,33488,
2020-06-25,DMART,EQ,2348.00,2348.70,2298.10,2305.55,2358.35,483356,11176.62,53484,
2020-06-26,DMART,EQ,2329.70,2337.85,2290.00,2294.40,2305.55,203494,4690.95,23436,
2020-06-29,DMART,EQ,2294.40,2334.70,2274.00,2290.95,2294.40,234443,5396.11,24512,
2020-06-30,DMART,EQ,2314.70,2332.50,2288.00,2317.15,2290.95,381989,8813.23,23992,
2020-07-01,DMART,EQ,2325.00,2327.00,2285.00,2289.35,2317.15,230105,5288.08,29820,
2020-07-02,DMART,EQ,2302.00,2325.00,2285.00,2295.50,2289.35,412115,9499.84,26293,
2020-07-03,DMART,EQ,2305.00,2309.95,2276.05,2290.15,2295.50,369961,8459.12,30491,
2020-07-06,DMART,EQ,2296.00,2355.00,2296.00,2323.00,2290.15,408632,9517.14,53140,
2020-07-07,DMART,EQ,2313.10,2381.00,2305.00,2361.70,2323.00,412871,9645.67,43992,
2020-07-08,DMART,EQ,2385.00,2385.30,2300.45,2319.55,2361.70,491069,11468.30,40518,
