date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,DRREDDY,EQ,2880.00,2888.50,2860.20,2879.40,2874.55,154779,4450.88,7138,
2020-01-02,DRREDDY,EQ,2883.80,2892.40,2860.20,2864.90,2879.40,298831,8577.69,19727,
2020-01-03,DRREDDY,EQ,2864.90,2897.00,2852.05,2883.90,2864.90,344678,9930.29,23970,
2020-01-06,DRREDDY,EQ,2871.00,2897.80,2854.20,2878.85,2883.90,357737,10280.30,22787,
2020-01-07,DRREDDY,EQ,2890.00,2910.00,2871.05,2884.20,2878.85,357635,10356.60,21604,
2020-01-08,DRREDDY,EQ,2875.00,2905.00,2866.00,2897.25,2884.20,279023,8074.85,21788,
2020-01-09,DRREDDY,EQ,2911.60,2936.60,2901.00,2920.50,2897.25,375496,10969.36,29664,
2020-01-10,DRREDDY,EQ,2930.00,3008.00,2925.15,2933.00,2920.50,1127147,33382.58,57640,
2020-01-13,DRREDDY,EQ,2932.90,2966.50,2915.70,2954.70,2933.00,441864,13046.89,24760,
2020-01-14,DRREDDY,EQ,2954.80,2968.80,2932.00,2947.80,2954.70,357170,10522.85,33063,
2020-01-15,DRREDDY,EQ,2946.15,2946.50,2900.00,2918.65,2947.80,384867,11219.38,33128,
2020-01-16,DRREDDY,EQ,2928.00,2951.50,2921.65,2937.45,2918.65,383462,11269.80,29472,
2020-01-17,DRREDDY,EQ,2944.40,3049.00,2940.00,3034.35,2937.45,1117117,33554.53,61079,
2020-01-20,DRREDDY,EQ,3043.00,3080.00,3032.05,3059.60,3034.35,874713,26756.75,52713,
2020-01-21,DRREDDY,EQ,3055.55,3079.80,3035.85,3060.45,3059.60,570786,17474.85,26841,
2020-01-22,DRREDDY,EQ,3060.55,3105.05,3047.40,3062.05,3060.45,559798,17254.74,37334,
2020-01-23,DRREDDY,EQ,3055.30,3078.70,3024.00,3038.15,3062.05,426168,12991.04,34732,
2020-01-24,DRREDDY,EQ,3044.00,3047.05,3025.20,3031.40,3038.15,272729,8280.19,19235,
2020-01-27,DRREDDY,EQ,3029.00,3209.00,2997.50,3188.75,3031.40,4139808,130013.46,193880,
2020-01-28,DRREDDY,EQ,3190.00,3249.95,3157.75,3189.15,3188.75,2302269,73972.34,114855,
2020-01-29,DRREDDY,EQ,3189.15,3201.85,3099.20,3148.25,3189.15,1389203,43881.32,75148,
2020-01-30,DRREDDY,EQ,3152.30,3170.00,3118.55,3154.85,3148.25,673260,21177.38,47764,
2020-01-31,DRREDDY,EQ,3155.25,3191.85,3102.10,3114.50,3154.85,668235,21019.70,44460,
2020-02-03,DRREDDY,EQ,3124.00,3173.00,3117.15,3144.15,3123.05,515242,16220.88,38130,
2020-02-04,DRREDDY,EQ,3154.00,3277.60,3152.05,3241.85,3144.15,1029957,33211.47,69865,
2020-02-05,DRREDDY,EQ,3235.00,3250.00,3121.70,3133.35,3241.85,956229,30261.71,71527,
2020-02-06,DRREDDY,EQ,3167.60,3176.80,3136.60,3158.95,3133.35,492532,15550.98,32435,
2020-02-07,DRREDDY,EQ,3159.85,3185.00,3137.00,3166.70,3158.95,535233,16958.36,36690,
2020-02-10,DRREDDY,EQ,3166.45,3173.25,3113.00,3149.10,3166.70,295595,9290.20,19929,
2020-02-11,DRREDDY,EQ,3159.90,3205.95,3135.00,3191.20,3149.10,612104,19481.23,31726,
2020-02-12,DRREDDY,EQ,3172.15,3213.60,3164.05,3195.70,3191.20,568633,18128.99,53036,
2020-02-13,DRREDDY,EQ,3222.75,3336.90,3197.10,3324.60,3195.70,1716864,56326.87,73213,
2020-02-14,DRREDDY,EQ,3305.20,3333.00,3277.00,3304.30,3324.60,706686,23343.68,40510,
2020-02-17,DRREDDY,EQ,3325.80,3342.05,3287.20,3295.55,3304.30,640661,21244.05,45499,
2020-02-18,DRREDDY,EQ,3288.00,3288.00,3233.25,3251.35,3295.55,697366,22673.30,24980,
2020-02-19,DRREDDY,EQ,3258.00,3298.80,3258.00,3278.15,3251.35,301821,9905.20,20211,
2020-02-20,DRREDDY,EQ,3289.30,3364.95,3240.05,3255.30,3278.15,924466,30611.98,78087,
2020-02-24,DRREDDY,EQ,3257.00,3257.00,3166.35,3176.30,3255.30,628617,20164.22,40963,
2020-02-25,DRREDDY,EQ,3182.00,3182.30,3056.35,3086.90,3176.30,1001027,31078.53,57389,
2020-02-26,DRREDDY,EQ,3097.00,3115.50,3060.30,3075.35,3086.90,762169,23532.19,49957,
2020-02-27,DRREDDY,EQ,3094.00,3094.00,3029.10,3067.05,3075.35,935416,28632.79,60580,
2020-02-28,DRREDDY,EQ,3030.00,3088.50,2905.25,2927.10,3067.05,1659956,49970.06,86934,
2020-03-02,DRREDDY,EQ,2961.00,2997.25,2876.00,2905.55,2927.10,888866,26216.70,53996,
2020-03-03,DRREDDY,EQ,2940.00,3078.00,2931.25,3043.70,2905.55,1056080,31774.09,69684,
2020-03-04,DRREDDY,EQ,3065.00,3186.75,3036.00,3171.35,3043.70,1832722,57327.71,92804,
2020-03-05,DRREDDY,EQ,3171.00,3231.95,3166.20,3184.45,3171.35,1045742,33500.69,61143,
2020-03-06,DRREDDY,EQ,3085.20,3206.45,3085.20,3170.95,3184.45,1125892,35651.22,81919,
2020-03-09,DRREDDY,EQ,3158.75,3189.00,3026.05,3061.25,3170.95,998533,30844.19,81225,
2020-03-11,DRREDDY,EQ,3070.00,3083.90,2983.00,3000.60,3061.25,1169141,35426.53,69892,
2020-03-12,DRREDDY,EQ,2948.00,2982.50,2803.55,2850.40,3000.60,778179,22465.39,59263,
2020-03-13,DRREDDY,EQ,2729.95,3135.40,2610.00,2885.10,2850.40,986034,28452.07,83997,
2020-03-16,DRREDDY,EQ,2790.00,2980.95,2760.00,2826.95,2885.10,943080,27054.77,69102,
2020-03-17,DRREDDY,EQ,2830.00,2904.00,2757.75,2781.20,2826.95,936854,26685.76,57661,
2020-03-18,DRREDDY,EQ,2801.80,2801.80,2621.05,2668.45,2781.20,873524,23465.20,75729,
2020-03-19,DRREDDY,EQ,2608.00,2679.90,2495.05,2623.95,2668.45,967602,25129.60,102422,
2020-03-20,DRREDDY,EQ,2641.00,2949.00,2641.00,2897.25,2623.95,1554571,43940.72,117736,
2020-03-23,DRREDDY,EQ,2680.25,3047.00,2680.25,2768.40,2897.25,963236,26940.51,59218,
2020-03-24,DRREDDY,EQ,2850.00,2960.00,2801.10,2857.95,2768.40,1068118,30663.09,92301,
2020-03-25,DRREDDY,EQ,2827.25,2948.90,2795.70,2922.00,2857.95,819410,23502.31,77692,
2020-03-26,DRREDDY,EQ,2975.20,3066.55,2879.25,2948.55,2922.00,638995,18973.13,64439,
2020-03-27,DRREDDY,EQ,2952.80,3046.95,2846.10,2916.50,2948.55,801588,23499.24,75582,
2020-03-30,DRREDDY,EQ,2879.60,3050.00,2811.00,2994.25,2916.50,1150459,34376.85,74922,
2020-03-31,DRREDDY,EQ,3050.00,3152.00,3032.05,3120.75,2994.25,1002756,31138.64,84109,
2020-04-01,DRREDDY,EQ,3119.95,3144.00,3066.00,3095.00,3120.75,711048,22022.80,67620,
2020-04-03,DRREDDY,EQ,3085.00,3218.85,3025.10,3146.80,3095.00,1173674,36899.05,95189,
2020-04-07,DRREDDY,EQ,3250.00,3615.60,3210.00,3583.20,3146.80,2367583,82314.77,141819,
2020-04-08,DRREDDY,EQ,3525.00,3765.00,3471.00,3683.00,3583.20,2522297,92684.83,178903,
2020-04-09,DRREDDY,EQ,3740.00,3810.00,3593.20,3621.55,3683.00,1960953,72785.50,124240,
2020-04-13,DRREDDY,EQ,3694.00,3856.00,3607.20,3746.60,3621.55,2322394,87739.78,151314,
2020-04-15,DRREDDY,EQ,3825.00,3893.60,3776.00,3807.60,3746.60,1725113,66306.97,123319,
2020-04-16,DRREDDY,EQ,3806.40,3890.00,3780.00,3860.65,3807.60,1465944,56390.47,104152,
