date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,EICHERMOT,EQ,22515.25,22594.75,22001.00,22075.80,22515.25,108648,24135.80,24089,
2020-01-02,EICHERMOT,EQ,22090.00,22341.85,21471.10,21600.85,22075.80,228582,49789.65,49509,
2020-01-03,EICHERMOT,EQ,21650.00,21665.95,21110.00,21189.25,21600.85,157297,33411.85,39542,
2020-01-06,EICHERMOT,EQ,21100.00,21100.00,20739.50,20860.45,21189.25,125871,26319.51,32455,
2020-01-07,EICHERMOT,EQ,20950.00,21349.80,20713.80,20803.80,20860.45,137152,28665.87,33833,
2020-01-08,EICHERMOT,EQ,20700.00,20700.00,19800.10,19892.20,20803.80,289286,58282.90,63714,
2020-01-09,EICHERMOT,EQ,20238.00,20500.00,19860.00,20328.90,19892.20,259287,52298.00,67037,
2020-01-10,EICHERMOT,EQ,20330.00,20740.00,20250.20,20432.75,20328.90,216926,44482.15,46942,
2020-01-13,EICHERMOT,EQ,20600.00,20600.10,20063.20,20280.00,20432.75,132092,26747.35,34819,
2020-01-14,EICHERMOT,EQ,20270.00,20579.30,20255.00,20489.70,20280.00,116226,23779.84,29367,
2020-01-15,EICHERMOT,EQ,20440.00,20650.00,20300.00,20624.80,20489.70,107956,22134.50,28993,
2020-01-16,EICHERMOT,EQ,20699.00,21600.00,20650.00,21536.25,20624.80,292195,62266.44,67657,
2020-01-17,EICHERMOT,EQ,21509.05,21770.00,21103.55,21292.20,21536.25,183485,39344.96,40136,
2020-01-20,EICHERMOT,EQ,21380.00,21549.90,21005.00,21365.10,21292.20,100593,21414.53,28635,
2020-01-21,EICHERMOT,EQ,21358.00,21475.00,20970.30,21056.55,21365.10,103236,21858.30,24458,
2020-01-22,EICHERMOT,EQ,21160.00,21280.00,20944.00,21100.00,21056.55,78681,16612.09,22313,
2020-01-23,EICHERMOT,EQ,21070.00,21196.00,20780.50,20915.75,21100.00,105958,22173.00,23020,
2020-01-24,EICHERMOT,EQ,20980.00,21175.00,20800.00,20930.80,20915.75,77075,16206.17,18834,
2020-01-27,EICHERMOT,EQ,20850.00,21160.80,20775.00,21095.20,20930.80,97108,20438.65,20882,
2020-01-28,EICHERMOT,EQ,21227.00,21227.00,20875.00,21086.65,21095.20,97277,20504.22,31697,
2020-01-29,EICHERMOT,EQ,21236.00,21236.00,20100.00,20192.25,21086.65,286925,58692.46,63311,
2020-01-30,EICHERMOT,EQ,20200.00,20580.00,20200.00,20340.30,20192.25,138559,28264.80,33188,
2020-01-31,EICHERMOT,EQ,20450.00,20641.70,20211.00,20289.30,20340.30,102123,20808.28,23667,
2020-02-03,EICHERMOT,EQ,19547.30,20375.60,19511.65,19883.45,20059.25,148637,29594.34,41404,
2020-02-04,EICHERMOT,EQ,20000.00,20139.95,19450.00,19512.65,19883.45,150092,29546.38,38791,
2020-02-05,EICHERMOT,EQ,19712.00,19800.00,19356.10,19487.05,19512.65,128333,25117.57,29504,
2020-02-06,EICHERMOT,EQ,19625.00,20641.60,19261.00,20391.20,19487.05,394575,79125.29,88628,
2020-02-07,EICHERMOT,EQ,20500.00,20516.95,19666.70,19736.30,20391.20,222415,44167.25,60419,
2020-02-10,EICHERMOT,EQ,19855.00,19855.00,18790.00,19057.25,19736.30,243747,46598.14,58239,
2020-02-11,EICHERMOT,EQ,19250.00,19368.95,18945.00,19009.25,19057.25,129553,24837.23,29666,
2020-02-12,EICHERMOT,EQ,19000.00,19360.00,18925.80,19277.85,19009.25,152837,29268.38,29763,
2020-02-13,EICHERMOT,EQ,19271.00,19490.00,19170.80,19355.30,19277.85,91963,17797.94,21197,
2020-02-14,EICHERMOT,EQ,19270.00,19350.00,18505.00,18703.55,19355.30,231872,43680.59,51406,
2020-02-17,EICHERMOT,EQ,18900.00,18948.75,18450.10,18535.90,18703.55,129268,24137.59,30268,
2020-02-18,EICHERMOT,EQ,18500.00,18791.95,18339.60,18760.35,18535.90,180650,33590.53,35820,
2020-02-19,EICHERMOT,EQ,18905.00,19038.95,18710.60,18875.20,18760.35,132267,24937.70,23882,
2020-02-20,EICHERMOT,EQ,18869.90,19030.00,18544.50,18848.65,18875.20,124982,23588.54,25114,
2020-02-24,EICHERMOT,EQ,18700.00,18700.00,17800.10,17949.95,18848.65,192821,35197.92,44028,
2020-02-25,EICHERMOT,EQ,18135.00,18230.00,17321.00,17532.30,17949.95,256831,45132.20,56676,
2020-02-26,EICHERMOT,EQ,17430.00,17600.00,17035.40,17156.95,17532.30,215113,37183.39,54182,
2020-02-27,EICHERMOT,EQ,17167.80,17248.00,16906.10,17053.40,17156.95,255481,43544.41,56698,
2020-02-28,EICHERMOT,EQ,16697.00,16848.00,16317.05,16602.35,17053.40,326455,53958.35,65354,
2020-03-02,EICHERMOT,EQ,16666.00,17782.90,16643.00,17013.40,16602.35,348370,60235.39,74505,
2020-03-03,EICHERMOT,EQ,17500.00,18041.00,17400.00,17888.45,17013.40,274740,48613.58,68868,
2020-03-04,EICHERMOT,EQ,17954.00,18280.00,16870.00,17254.20,17888.45,418609,72425.74,79891,
2020-03-05,EICHERMOT,EQ,17450.00,17888.00,17161.80,17775.35,17254.20,231375,40782.53,52927,
2020-03-06,EICHERMOT,EQ,17350.00,17871.50,16822.00,17743.55,17775.35,170791,29823.37,47537,
2020-03-09,EICHERMOT,EQ,17099.00,17999.00,17045.15,17885.80,17743.55,193226,33999.52,52153,
2020-03-11,EICHERMOT,EQ,17885.80,18266.95,17517.00,17753.60,17885.80,221910,39565.69,60073,
2020-03-12,EICHERMOT,EQ,16999.80,17281.50,16700.00,16877.75,17753.60,363555,61464.98,61332,
2020-03-13,EICHERMOT,EQ,15900.00,18528.65,15202.00,17672.15,16877.75,279403,47714.16,77651,
2020-03-16,EICHERMOT,EQ,16874.90,17356.75,16360.00,16493.70,17672.15,192498,32557.65,55925,
2020-03-17,EICHERMOT,EQ,16710.00,17460.00,16600.05,17061.10,16493.70,167538,28674.57,47231,
2020-03-18,EICHERMOT,EQ,17110.10,17450.00,15828.15,15954.15,17061.10,158921,26062.42,49642,
2020-03-19,EICHERMOT,EQ,15150.00,16070.00,14853.05,15046.45,15954.15,161182,24805.73,45060,
2020-03-20,EICHERMOT,EQ,15394.50,15999.00,14465.65,15678.45,15046.45,211335,31994.64,62516,
2020-03-23,EICHERMOT,EQ,14351.00,17240.00,13326.70,13705.90,15678.45,144338,20617.84,48503,
2020-03-24,EICHERMOT,EQ,14000.00,14555.00,13880.00,14208.50,13705.90,112701,16032.07,42138,
2020-03-25,EICHERMOT,EQ,13705.00,14800.00,13705.00,14516.60,14208.50,76118,10972.62,26207,
2020-03-26,EICHERMOT,EQ,14630.00,15166.00,14500.00,14757.95,14516.60,204893,30269.09,55310,
2020-03-27,EICHERMOT,EQ,15243.00,15396.00,14000.00,14319.80,14757.95,110635,16183.11,41170,
2020-03-30,EICHERMOT,EQ,14098.00,14098.00,13100.00,13333.10,14319.80,226309,30288.79,62675,
2020-03-31,EICHERMOT,EQ,13659.00,13676.15,12950.00,13095.90,13333.10,167266,22191.37,49631,
2020-04-01,EICHERMOT,EQ,13095.90,13319.00,12725.00,13001.60,13095.90,138722,18030.47,44298,
2020-04-03,EICHERMOT,EQ,13060.00,13099.90,12600.00,12680.05,13001.60,180698,23180.19,48111,
2020-04-07,EICHERMOT,EQ,13070.80,13212.00,12450.10,13096.05,12680.05,240565,30998.68,65331,
2020-04-08,EICHERMOT,EQ,13000.00,13650.00,12800.00,13158.50,13096.05,279999,37010.81,80188,
2020-04-09,EICHERMOT,EQ,13400.00,14046.15,13162.60,13742.30,13158.50,361881,49526.84,90990,
2020-04-13,EICHERMOT,EQ,13730.00,13730.00,13305.00,13400.55,13742.30,126622,17004.22,30734,
2020-04-15,EICHERMOT,EQ,13600.00,13871.95,13122.70,13314.90,13400.55,275594,37371.15,62451,
2020-04-16,EICHERMOT,EQ,13315.00,13533.85,13042.00,13371.35,13314.90,250147,33311.97,49069,
2020-04-17,EICHERMOT,EQ,13760.00,14977.95,13619.00,14770.35,13371.35,565684,80999.18,134864,
2020-04-20,EICHERMOT,EQ,14770.35,14800.35,14060.30,14214.45,14770.35,299977,43122.92,71793,
2020-04-21,EICHERMOT,EQ,13955.15,13985.00,13450.00,13495.00,14214.45,165660,22467.84,40107,
2020-04-22,EICHERMOT,EQ,13495.00,13944.95,13200.00,13703.30,13495.00,276577,37800.47,67303,
2020-04-23,EICHERMOT,EQ,13800.00,14250.00,13710.00,14068.35,13703.30,207269,28978.43,52248,
2020-04-24,EICHERMOT,EQ,14068.00,14091.00,13505.10,13589.20,14068.35,179944,24860.06,49183,
2020-04-27,EICHERMOT,EQ,13902.00,14200.00,13814.90,13999.50,13589.20,183617,25833.57,49290,
2020-04-28,EICHERMOT,EQ,14110.00,14385.00,14100.50,14326.85,13999.50,184694,26378.11,49505,
2020-04-29,EICHERMOT,EQ,14409.90,14450.00,14125.55,14315.75,14326.85,147741,21089.30,34199,
2020-04-30,EICHERMOT,EQ,14580.20,14900.00,14402.00,14707.95,14315.75,347244,50869.58,72009,
2020-05-04,EICHERMOT,EQ,14390.00,14390.00,13614.35,13748.80,14707.95,192447,26797.01,51324,
2020-05-05,EICHERMOT,EQ,14000.00,14162.90,13666.00,13810.95,13748.80,152490,21208.15,35815,
2020-05-06,EICHERMOT,EQ,13825.00,14175.40,13600.00,13859.95,13810.95,187127,25978.19,45080,
2020-05-07,EICHERMOT,EQ,13859.95,14105.00,13712.90,14010.50,13859.95,127050,17722.17,31397,
2020-05-08,EICHERMOT,EQ,14230.80,14330.80,13571.00,13858.85,14010.50,164334,23044.31,39241,
2020-05-11,EICHERMOT,EQ,14059.95,14550.00,14000.00,14288.95,13858.85,195825,28011.28,44251,
2020-05-12,EICHERMOT,EQ,14240.00,14269.45,13789.00,14167.05,14288.95,147905,20727.77,33500,
2020-05-13,EICHERMOT,EQ,14970.00,14970.00,14184.70,14271.65,14167.05,252967,36303.61,55638,
2020-05-14,EICHERMOT,EQ,14120.00,14270.15,13980.00,14031.85,14271.65,148178,20914.11,35053,
2020-05-15,EICHERMOT,EQ,14080.00,14199.00,13650.00,14099.60,14031.85,235025,32819.43,53635,
2020-05-18,EICHERMOT,EQ,14050.20,14050.20,12855.45,12988.20,14099.60,275273,36841.92,70193,
2020-05-19,EICHERMOT,EQ,13300.00,13346.30,12875.05,12966.20,12988.20,250697,32743.42,63068,
2020-05-20,EICHERMOT,EQ,12966.20,13800.00,12868.00,13675.10,12966.20,266549,35317.73,62919,
2020-05-21,EICHERMOT,EQ,13477.00,14199.00,13356.10,14087.60,13675.10,322204,45006.54,74708,
2020-05-22,EICHERMOT,EQ,13901.00,14097.95,13700.00,13922.40,14087.60,183699,25518.37,43006,
2020-05-26,EICHERMOT,EQ,14105.00,14875.00,14065.00,14805.10,13922.40,319135,46504.56,72535,
2020-05-27,EICHERMOT,EQ,14880.00,15120.00,14505.00,14966.95,14805.10,301788,44731.34,69308,
2020-05-28,EICHERMOT,EQ,15120.00,16430.00,15048.00,16236.50,14966.95,815427,130738.66,150156,
2020-05-29,EICHERMOT,EQ,15903.00,16996.95,15801.00,16548.45,16236.50,850407,140835.34,155793,
2020-06-01,EICHERMOT,EQ,16900.00,17380.00,16801.30,16985.75,16548.45,464314,79545.02,88450,
2020-06-02,EICHERMOT,EQ,17200.00,17500.00,17000.00,17396.25,16985.75,396819,68374.65,71785,
2020-06-03,EICHERMOT,EQ,17900.00,17900.00,17400.05,17542.85,17396.25,285094,50166.07,61183,
2020-06-04,EICHERMOT,EQ,17475.00,17700.00,17054.80,17272.95,17542.85,303786,52732.83,63294,
2020-06-05,EICHERMOT,EQ,17450.00,17620.00,17310.10,17495.35,17272.95,195071,34024.50,36588,
2020-06-08,EICHERMOT,EQ,17850.00,17865.45,16790.00,16894.85,17495.35,273538,47163.83,56158,
2020-06-09,EICHERMOT,EQ,16950.00,17348.10,16652.80,17026.85,16894.85,325275,55253.14,72951,
2020-06-10,EICHERMOT,EQ,17026.85,17269.60,16927.10,17090.05,17026.85,162649,27866.72,37291,
2020-06-11,EICHERMOT,EQ,17090.05,17250.00,16286.75,16442.80,17090.05,219010,36955.09,44253,
2020-06-12,EICHERMOT,EQ,15600.00,16989.75,15591.10,16857.30,16442.80,379668,62016.24,86065,
2020-06-15,EICHERMOT,EQ,16599.95,17351.00,16276.10,16481.95,16857.30,536518,89912.96,117869,
2020-06-16,EICHERMOT,EQ,17000.00,17000.00,16382.10,16709.05,16481.95,357786,59802.22,79588,
2020-06-17,EICHERMOT,EQ,16800.00,16960.00,16550.00,16796.85,16709.05,252212,42221.98,51446,
2020-06-18,EICHERMOT,EQ,16788.50,17180.00,16610.10,17116.05,16796.85,208953,35423.05,47930,
2020-06-19,EICHERMOT,EQ,17200.00,17550.00,16880.00,17349.35,17116.05,311932,53851.17,59262,
2020-06-22,EICHERMOT,EQ,17349.35,17794.75,17217.25,17588.95,17349.35,234247,41208.87,56936,
2020-06-23,EICHERMOT,EQ,17610.00,18000.00,17610.00,17891.15,17588.95,206418,36861.36,42137,
2020-06-24,EICHERMOT,EQ,18100.00,18490.00,17850.05,18436.85,17891.15,338392,61662.75,65707,
2020-06-25,EICHERMOT,EQ,18374.95,18374.95,17920.00,18090.70,18436.85,276829,50023.30,54341,
2020-06-26,EICHERMOT,EQ,18290.00,18551.10,18097.00,18473.40,18090.70,224886,41184.17,48605,
2020-06-29,EICHERMOT,EQ,18377.45,18470.00,18020.00,18113.50,18473.40,194842,35455.08,41443,
2020-06-30,EICHERMOT,EQ,18250.00,18530.00,18201.00,18334.30,18113.50,200946,36897.40,49425,
2020-07-01,EICHERMOT,EQ,18540.00,18649.55,18301.00,18401.95,18334.30,233486,43078.92,54545,
2020-07-02,EICHERMOT,EQ,18401.95,18548.95,17970.00,18353.60,18401.95,276568,50483.72,52803,
2020-07-03,EICHERMOT,EQ,18353.60,19249.00,18353.60,18983.50,18353.60,250716,46996.72,53596,
2020-07-06,EICHERMOT,EQ,19670.00,19670.00,19071.80,19250.95,18983.50,283394,54611.49,58050,
2020-07-07,EICHERMOT,EQ,19250.95,20055.50,19250.00,19930.65,19250.95,287280,56325.81,58120,
2020-07-08,EICHERMOT,EQ,19930.65,20100.00,19311.35,19391.70,19930.65,356865,70114.41,61479,
2020-07-09,EICHERMOT,EQ,19570.00,19650.00,19298.65,19483.25,19391.70,274201,53332.49,45903,
2020-07-10,EICHERMOT,EQ,19500.00,19745.00,19350.00,19447.85,19483.25,204423,39951.41,39497,
2020-07-13,EICHERMOT,EQ,19610.00,19729.00,19450.00,19655.00,19447.85,133183,26117.41,28736,
2020-07-14,EICHERMOT,EQ,19655.00,19659.60,18694.55,18850.15,19655.00,247507,47214.08,60920,
2020-07-15,EICHERMOT,EQ,19010.00,19199.00,18465.00,18562.55,18850.15,282360,52887.54,64078,
2020-07-16,EICHERMOT,EQ,18600.00,19039.00,18325.00,18639.55,18562.55,265455,49513.62,61510,
2020-07-17,EICHERMOT,EQ,18710.00,19123.00,18651.45,18810.80,18639.55,167217,31602.17,37558,
2020-07-20,EICHERMOT,EQ,18950.00,19280.00,18767.00,19187.65,18810.80,160448,30548.73,35749,
2020-07-21,EICHERMOT,EQ,19292.05,20287.00,19292.05,20116.65,19187.65,368707,73464.95,75545,
2020-07-22,EICHERMOT,EQ,20240.00,20300.00,19742.00,19890.55,20116.65,335787,67207.78,68168,
2020-07-23,EICHERMOT,EQ,19880.00,21045.35,19760.15,20882.45,19890.55,446062,91475.86,86898,
2020-07-24,EICHERMOT,EQ,20200.00,20871.00,20200.00,20800.35,20882.45,394791,81466.58,76620,
2020-07-27,EICHERMOT,EQ,20800.35,20850.00,20400.00,20537.70,20800.35,192291,39581.24,42364,
2020-07-28,EICHERMOT,EQ,20559.70,21168.20,20550.00,21053.25,20537.70,262289,54919.15,51343,
2020-07-29,EICHERMOT,EQ,20999.00,21550.00,20900.25,21400.95,21053.25,226482,48383.00,51805,
2020-07-30,EICHERMOT,EQ,21450.00,21725.00,21031.40,21201.35,21400.95,246443,52938.75,52080,
2020-07-31,EICHERMOT,EQ,21441.35,21486.60,20567.00,20638.70,21201.35,219061,45733.90,51387,
2020-08-03,EICHERMOT,EQ,20725.00,21294.00,20653.20,20782.15,20638.70,201858,42182.31,47884,
2020-08-04,EICHERMOT,EQ,21045.00,21274.95,20800.00,21015.65,20782.15,155761,32695.83,39640,
2020-08-05,EICHERMOT,EQ,21210.85,22268.30,21160.00,21958.75,21015.65,238092,51467.75,57834,
2020-08-06,EICHERMOT,EQ,21959.55,22099.95,21558.75,21681.30,21958.75,203524,44252.89,47621,
2020-08-07,EICHERMOT,EQ,21700.00,22142.85,21560.00,21807.35,21681.30,195290,42738.27,43620,
2020-08-10,EICHERMOT,EQ,21898.00,21999.00,21240.00,21353.10,21807.35,168209,36352.68,38558,
2020-08-11,EICHERMOT,EQ,21580.00,21670.00,21250.00,21442.65,21353.10,161910,34777.83,37394,
2020-08-12,EICHERMOT,EQ,21699.95,22339.95,21500.00,22116.65,21442.65,298667,65606.30,66389,
2020-08-13,EICHERMOT,EQ,22116.65,22299.95,21555.15,21672.95,22116.65,220374,48197.62,50970,
2020-08-14,EICHERMOT,EQ,21698.00,21750.15,20066.65,20144.15,21672.95,591945,122372.02,142674,
2020-08-17,EICHERMOT,EQ,20472.00,21340.10,20144.15,21134.70,20144.15,653394,136805.68,142611,
2020-08-18,EICHERMOT,EQ,21115.70,21669.60,21071.35,21404.70,21134.70,339691,73019.12,75453,
2020-08-19,EICHERMOT,EQ,21550.00,21781.00,21165.00,21261.35,21404.70,285484,61022.36,58073,
2020-08-20,EICHERMOT,EQ,21200.00,21530.00,20900.00,21371.35,21261.35,224320,47894.76,48160,
2020-08-21,EICHERMOT,EQ,21700.00,21844.00,21480.00,21702.40,21371.35,261318,56628.42,60331,
2020-08-24,EICHERMOT,EQ,2199.45,2387.25,2151.70,2176.45,21702.40,11491732,260978.95,528187,
2020-08-25,EICHERMOT,EQ,2214.00,2250.00,2182.15,2217.25,2176.45,4757114,105275.25,211635,
2020-08-26,EICHERMOT,EQ,2280.05,2288.00,2235.00,2248.85,2217.25,2439450,54922.22,113615,
2020-08-27,EICHERMOT,EQ,2249.75,2255.00,2215.00,2236.35,2248.85,1370440,30594.77,73083,
2020-08-28,EICHERMOT,EQ,2240.00,2256.00,2200.00,2213.60,2236.35,1470743,32761.23,87183,
2020-08-31,EICHERMOT,EQ,2225.00,2229.00,2072.75,2092.00,2213.60,3087539,65723.29,159817,
2020-09-01,EICHERMOT,EQ,2110.00,2174.00,2106.00,2131.10,2092.00,2255678,48274.85,100284,
2020-09-02,EICHERMOT,EQ,2131.10,2187.65,2101.40,2169.85,2131.10,1972535,42247.79,88745,
2020-09-03,EICHERMOT,EQ,2175.00,2260.00,2162.50,2231.15,2169.85,2577069,57512.20,119775,
2020-09-04,EICHERMOT,EQ,2167.00,2226.00,2165.00,2180.85,2231.15,1516060,33367.63,79442,
2020-09-07,EICHERMOT,EQ,2205.00,2215.00,2156.00,2192.90,2180.85,1354394,29535.53,61778,
2020-09-08,EICHERMOT,EQ,2203.90,2217.00,2150.00,2161.50,2192.90,1180325,25744.15,50414,
2020-09-09,EICHERMOT,EQ,2139.90,2190.80,2125.65,2176.95,2161.50,1357709,29347.95,50063,
2020-09-10,EICHERMOT,EQ,2196.95,2198.00,2152.60,2175.60,2176.95,948270,20604.62,44894,
2020-09-11,EICHERMOT,EQ,2165.00,2178.70,2140.10,2160.30,2175.60,1143870,24683.80,48592,
2020-09-14,EICHERMOT,EQ,2165.00,2198.00,2148.30,2159.40,2160.30,1180377,25677.42,67588,
2020-09-15,EICHERMOT,EQ,2159.40,2170.30,2120.00,2140.60,2159.40,1264201,27017.28,73172,
2020-09-16,EICHERMOT,EQ,2155.00,2187.85,2145.00,2163.75,2140.60,1031516,22346.79,47398,
2020-09-17,EICHERMOT,EQ,2146.00,2161.95,2125.00,2145.45,2163.75,768952,16476.07,37192,
2020-09-18,EICHERMOT,EQ,2160.00,2203.80,2135.20,2152.95,2145.45,1310103,28402.38,57101,
2020-09-21,EICHERMOT,EQ,2153.05,2160.90,2088.10,2102.95,2152.95,1944478,41362.72,62628,
