date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2025-07-03,ENRIN,EQ,2948.00,2971.70,2881.00,2922.30,2951.10,650654,19033.92,27663,
2025-07-04,ENRIN,EQ,2935.00,2978.80,2880.00,2894.00,2922.30,654426,19114.56,45918,
2025-07-07,ENRIN,EQ,2908.00,3068.70,2892.30,3000.10,2894.00,1958335,58578.94,75001,
2025-07-08,ENRIN,EQ,3030.00,3106.50,3022.10,3046.90,3000.10,1519432,46506.29,122845,
2025-07-09,ENRIN,EQ,3068.70,3160.00,3055.60,3126.50,3046.90,1519442,47286.85,72602,
2025-07-10,ENRIN,EQ,3145.00,3230.00,3099.80,3140.30,3126.50,821004,25900.86,63577,
2025-07-11,ENRIN,EQ,3144.70,3197.00,3099.00,3176.70,3140.30,1046411,33026.84,60494,
2025-07-14,ENRIN,EQ,3176.70,3183.00,3043.50,3076.10,3176.70,894477,27626.91,73874,
2025-07-15,ENRIN,EQ,3072.00,3073.10,2966.10,3053.70,3076.10,884299,26717.66,54761,
2025-07-16,ENRIN,EQ,3051.90,3130.00,3005.00,3086.30,3053.70,767166,23376.98,35857,
2025-07-17,ENRIN,EQ,3130.00,3184.00,3030.40,3054.20,3086.30,758679,23548.14,45351,
2025-07-18,ENRIN,EQ,3060.40,3082.80,2990.00,3037.50,3054.20,505495,15337.39,46909,
2025-07-21,ENRIN,EQ,3034.00,3088.00,2995.60,3057.90,3037.50,364458,11131.26,31982,
2025-07-22,ENRIN,EQ,3064.00,3131.90,3030.00,3042.40,3057.90,401792,12372.79,33217,
2025-07-23,ENRIN,EQ,3045.00,3074.10,2976.00,3010.60,3042.40,461601,13880.70,35541,
2025-07-24,ENRIN,EQ,3012.00,3030.00,2980.00,3005.30,3010.60,485288,14577.88,27964,
2025-07-25,ENRIN,EQ,3003.00,3015.50,2958.00,2977.50,3005.30,343613,10241.41,23850,
2025-07-28,ENRIN,EQ,2976.80,3050.00,2930.00,3017.20,2977.50,753781,22554.02,46968,
2025-07-29,ENRIN,EQ,2991.00,3045.00,2962.00,3034.50,3017.20,623985,18735.59,39152,
2025-07-30,ENRIN,EQ,3036.90,3275.00,3036.90,3226.90,3034.50,1303514,41663.37,105279,
2025-07-31,ENRIN,EQ,3193.00,3277.10,3180.00,3237.90,3226.90,566282,18379.06,44320,
2025-08-01,ENRIN,EQ,3232.00,3247.90,3145.00,3168.80,3237.90,439298,13993.73,34892,
2025-08-04,ENRIN,EQ,3170.00,3249.80,3116.60,3233.60,3168.80,861099,27423.01,50876,
2025-08-05,ENRIN,EQ,3370.00,3419.00,3240.10,3259.90,3233.60,1643505,54782.24,111058,
2025-08-06,ENRIN,EQ,3275.00,3289.00,3141.00,3161.80,3259.90,628232,19913.87,44018,
2025-08-07,ENRIN,EQ,3161.80,3199.00,3117.50,3175.30,3161.80,576167,18202.49,34746,
2025-08-08,ENRIN,EQ,3200.00,3209.50,3074.70,3083.90,3175.30,569835,17719.27,36637,
2025-08-11,ENRIN,EQ,3090.00,3164.90,3040.80,3112.60,3083.90,1120311,34867.42,55522,
2025-08-12,ENRIN,EQ,3124.00,3218.10,3116.00,3147.10,3112.60,676128,21414.54,40670,
2025-08-13,ENRIN,EQ,3190.00,3203.10,3145.50,3162.40,3147.10,435126,13812.77,44732,
2025-08-14,ENRIN,EQ,3173.90,3207.00,3155.80,3173.30,3162.40,291868,9287.84,31519,
2025-08-18,ENRIN,EQ,3151.00,3258.00,3142.50,3168.10,3173.30,1013198,32418.79,55398,
2025-08-19,ENRIN,EQ,3175.00,3209.10,3156.00,3195.20,3168.10,316378,10053.96,28414,
2025-08-20,ENRIN,EQ,3205.00,3330.70,3190.00,3295.00,3195.20,824347,27026.74,61132,
2025-08-21,ENRIN,EQ,3305.00,3388.00,3280.00,3297.50,3295.00,618164,20624.87,51177,
2025-08-22,ENRIN,EQ,3305.50,3394.00,3304.10,3374.00,3297.50,572409,19290.23,52757,
2025-08-25,ENRIN,EQ,3399.00,3415.50,3356.70,3382.70,3374.00,417287,14153.85,38549,
2025-08-26,ENRIN,EQ,3378.90,3409.40,3325.00,3337.00,3382.70,323462,10897.84,26263,
2025-08-28,ENRIN,EQ,3339.90,3437.90,3321.10,3379.00,3337.00,736641,24904.49,79105,
2025-08-29,ENRIN,EQ,3439.90,3439.90,3356.50,3374.90,3379.00,265904,8996.62,18067,
2025-09-01,ENRIN,EQ,3375.00,3580.00,3375.00,3492.30,3374.90,720880,25165.56,47724,
2025-09-02,ENRIN,EQ,3510.00,3595.50,3510.00,3525.50,3492.30,446967,15849.04,45730,
2025-09-03,ENRIN,EQ,3531.00,3588.00,3425.00,3437.10,3525.50,319732,11187.20,39770,
2025-09-04,ENRIN,EQ,3470.00,3470.90,3361.20,3389.30,3437.10,314128,10696.92,38475,
2025-09-05,ENRIN,EQ,3399.00,3475.90,3385.30,3425.80,3389.30,194795,6689.48,21064,
2025-09-08,ENRIN,EQ,3425.80,3529.00,3418.00,3501.90,3425.80,220861,7685.77,18002,
2025-09-09,ENRIN,EQ,3499.10,3517.00,3430.00,3458.20,3501.90,284896,9875.77,29437,
2025-09-10,ENRIN,EQ,3470.00,3482.50,3335.00,3383.10,3458.20,706150,23876.91,64406,
2025-09-11,ENRIN,EQ,3391.70,3464.50,3340.60,3358.10,3383.10,418414,14138.04,39049,
2025-09-12,ENRIN,EQ,3375.00,3429.00,3352.10,3386.40,3358.10,381267,12938.60,45632,
2025-09-15,ENRIN,EQ,3400.00,3449.00,3393.00,3402.40,3386.40,440197,15003.17,22675,
2025-09-16,ENRIN,EQ,3415.00,3483.90,3414.90,3460.90,3402.40,294625,10195.92,25173,
2025-09-17,ENRIN,EQ,3462.90,3526.00,3425.00,3499.60,3460.90,551483,19278.83,40691,
2025-09-18,ENRIN,EQ,3509.90,3540.00,3468.70,3474.80,3499.60,435534,15206.56,33651,
2025-09-19,ENRIN,EQ,3470.00,3475.10,3411.00,3435.60,3474.80,584304,20082.24,50596,
2025-09-22,ENRIN,EQ,3433.00,3566.50,3432.90,3528.60,3435.60,792460,27791.29,61249,
2025-09-23,ENRIN,EQ,3566.00,3625.00,3515.90,3606.50,3528.60,839211,30014.19,67436,
2025-09-24,ENRIN,EQ,3610.00,3610.10,3469.90,3510.20,3606.50,698304,24437.41,70296,
2025-09-25,ENRIN,EQ,3499.10,3557.00,3472.00,3527.80,3510.20,487362,17163.03,33206,
2025-09-26,ENRIN,EQ,3516.00,3608.10,3476.00,3516.20,3527.80,616010,21791.19,64397,
2025-09-29,ENRIN,EQ,3515.50,3573.70,3460.80,3510.60,3516.20,2644655,92725.67,97521,
2025-09-30,ENRIN,EQ,3485.10,3514.80,3403.00,3432.80,3510.60,432263,14900.32,39453,
2025-10-01,ENRIN,EQ,3430.00,3446.90,3384.90,3399.20,3432.80,271735,9264.66,24438,
2025-10-03,ENRIN,EQ,3398.00,3435.00,3345.10,3357.70,3399.20,363956,12328.35,31717,
2025-10-06,ENRIN,EQ,3351.70,3369.80,3227.00,3236.40,3357.70,682384,22301.45,65581,
2025-10-07,ENRIN,EQ,3251.00,3356.00,3245.70,3282.30,3236.40,425040,13982.42,38817,
2025-10-08,ENRIN,EQ,3285.00,3353.00,3260.00,3342.20,3282.30,517546,17104.30,41573,
2025-10-09,ENRIN,EQ,3350.00,3350.00,3232.00,3241.10,3342.20,469760,15276.11,47872,
2025-10-10,ENRIN,EQ,3241.10,3260.00,3211.10,3235.50,3241.10,267763,8659.88,25581,
2025-10-13,ENRIN,EQ,3227.60,3246.00,3171.20,3183.40,3235.50,193664,6188.99,22119,
2025-10-14,ENRIN,EQ,3183.30,3210.00,3135.00,3197.30,3183.40,335064,10615.13,34624,
2025-10-15,ENRIN,EQ,3204.00,3204.00,3130.00,3144.20,3197.30,347219,10934.12,31604,
2025-10-16,ENRIN,EQ,3154.00,3181.70,3110.20,3139.90,3144.20,324000,10165.04,32291,
2025-10-17,ENRIN,EQ,3145.80,3158.80,3108.30,3116.70,3139.90,208531,6518.17,25351,
2025-10-20,ENRIN,EQ,3116.90,3148.00,3095.00,3100.80,3116.70,196576,6115.76,16715,
2025-10-21,ENRIN,EQ,3124.00,3159.00,3105.00,3144.70,3100.80,34372,1079.16,3076,
2025-10-23,ENRIN,EQ,3165.00,3200.00,3125.30,3141.90,3144.70,286511,9064.18,24635,
