date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2025-04-09,ETERNAL,EQ,216.00,216.00,209.86,211.39,215.19,25359931,53671.59,162551,
2025-04-11,ETERNAL,EQ,216.00,218.31,214.10,217.20,211.39,28917549,62730.38,179516,
2025-04-15,ETERNAL,EQ,224.25,224.25,220.10,222.23,217.20,45034496,99954.56,194207,
2025-04-16,ETERNAL,EQ,220.51,222.64,218.40,222.08,222.23,26155875,57803.30,130093,
2025-04-17,ETERNAL,EQ,220.60,236.14,220.38,231.60,222.08,70125937,161422.94,302980,
2025-04-21,ETERNAL,EQ,229.00,235.30,227.10,234.24,231.60,66028533,153269.77,318929,
2025-04-22,ETERNAL,EQ,236.00,243.45,235.00,237.47,234.24,59667380,142452.60,320284,
2025-04-23,ETERNAL,EQ,237.48,240.25,233.05,239.24,237.47,42294685,100416.70,280063,
2025-04-24,ETERNAL,EQ,237.00,241.37,235.00,236.38,239.24,46103369,109622.63,186390,
2025-04-25,ETERNAL,EQ,235.90,239.00,227.31,228.81,236.38,32437650,75166.18,165167,
2025-04-28,ETERNAL,EQ,226.00,231.99,225.06,227.21,228.81,29327020,66743.31,146990,
2025-04-29,ETERNAL,EQ,228.37,234.24,226.60,231.11,227.21,32761971,75547.10,177098,
2025-04-30,ETERNAL,EQ,232.00,234.75,226.10,232.52,231.11,45831746,105900.29,213328,
2025-05-02,ETERNAL,EQ,220.05,239.50,220.05,234.29,232.52,104910316,245624.71,697809,
2025-05-05,ETERNAL,EQ,234.50,240.97,232.93,239.90,234.29,37948115,90671.75,240824,
2025-05-06,ETERNAL,EQ,240.00,241.50,231.85,232.64,239.90,25327712,59530.29,213490,
2025-05-07,ETERNAL,EQ,228.60,237.67,228.60,236.90,232.64,31614852,74060.83,137963,
2025-05-08,ETERNAL,EQ,235.25,236.45,226.60,229.81,236.90,49888442,114876.19,222882,
2025-05-09,ETERNAL,EQ,222.00,229.00,222.00,227.14,229.81,24415321,55228.55,255926,
2025-05-12,ETERNAL,EQ,232.00,240.00,232.00,239.50,227.14,31757003,75256.50,163171,
2025-05-13,ETERNAL,EQ,238.00,239.47,231.05,231.65,239.50,44837486,104803.81,309388,
2025-05-14,ETERNAL,EQ,232.00,237.44,232.00,236.86,231.65,23158211,54524.66,144650,
2025-05-15,ETERNAL,EQ,236.20,245.30,233.75,242.59,236.86,40335990,96971.92,191729,
2025-05-16,ETERNAL,EQ,242.60,246.94,242.00,245.76,242.59,30854384,75598.36,152112,
2025-05-19,ETERNAL,EQ,245.84,246.59,237.43,238.03,245.76,21817610,52539.19,146711,
2025-05-20,ETERNAL,EQ,240.00,240.00,227.88,228.28,238.03,45891392,106074.70,272306,
2025-05-21,ETERNAL,EQ,227.00,230.30,224.18,229.97,228.28,47166136,107443.72,231624,
2025-05-22,ETERNAL,EQ,228.97,230.88,227.03,229.02,229.97,28795944,65887.57,136959,
2025-05-23,ETERNAL,EQ,229.12,240.70,228.87,237.55,229.02,42180098,100011.16,211199,
2025-05-26,ETERNAL,EQ,232.80,232.80,225.65,226.80,237.55,89147299,203412.45,474027,
2025-05-27,ETERNAL,EQ,226.40,227.47,221.10,224.79,226.80,224659198,504960.53,683691,
2025-05-28,ETERNAL,EQ,225.90,225.90,223.20,224.18,224.79,43525027,97622.42,206525,
2025-05-29,ETERNAL,EQ,224.50,229.35,224.03,228.37,224.18,54574822,124145.72,217480,
2025-05-30,ETERNAL,EQ,226.56,243.00,226.56,238.31,228.37,467574032,1110272.13,524106,
2025-06-02,ETERNAL,EQ,237.31,243.00,236.11,241.20,238.31,55690205,134040.94,244435,
2025-06-03,ETERNAL,EQ,245.00,245.83,236.75,237.70,241.20,91875218,221119.46,249498,
2025-06-04,ETERNAL,EQ,237.10,248.00,237.10,245.68,237.70,70626622,171755.38,224934,
2025-06-05,ETERNAL,EQ,248.00,260.22,247.99,256.56,245.68,127795264,327886.97,456005,
2025-06-06,ETERNAL,EQ,256.56,264.00,256.01,261.86,256.56,66234457,172727.87,386010,
2025-06-09,ETERNAL,EQ,261.90,262.98,255.35,256.84,261.86,33660854,87171.88,269951,
2025-06-10,ETERNAL,EQ,256.80,256.80,252.35,255.68,256.84,36662941,93495.81,189051,
2025-06-11,ETERNAL,EQ,255.68,260.19,255.30,257.07,255.68,40554764,104498.30,175660,
2025-06-12,ETERNAL,EQ,257.07,257.10,250.35,251.56,257.07,24298795,61555.43,193599,
