date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,FEDERALBNK,EQ,88.25,89.25,88.00,88.75,87.95,5890570,5222.33,33326,
2020-01-02,FEDERALBNK,EQ,88.55,92.80,88.55,92.25,88.75,13253695,12056.65,64431,
2020-01-03,FEDERALBNK,EQ,92.00,92.50,90.50,90.95,92.25,9418595,8601.88,40792,
2020-01-06,FEDERALBNK,EQ,90.40,90.40,86.85,87.10,90.95,7308783,6428.96,25687,
2020-01-07,FEDERALBNK,EQ,87.80,88.90,86.55,87.35,87.10,9285639,8123.05,33041,
2020-01-08,FEDERALBNK,EQ,86.40,87.30,85.60,86.95,87.35,7490919,6478.26,26090,
2020-01-09,FEDERALBNK,EQ,87.95,90.80,87.55,89.65,86.95,9989902,8964.33,30242,
2020-01-10,FEDERALBNK,EQ,89.95,90.40,88.45,88.80,89.65,7931965,7089.84,22737,
2020-01-13,FEDERALBNK,EQ,89.30,90.45,89.25,90.05,88.80,5987313,5390.36,16773,
2020-01-14,FEDERALBNK,EQ,90.00,91.75,89.60,91.20,90.05,7918121,7170.43,20570,
2020-01-15,FEDERALBNK,EQ,91.20,91.70,90.20,91.05,91.20,7347554,6678.94,25341,
2020-01-16,FEDERALBNK,EQ,91.00,94.15,90.75,92.95,91.05,16683768,15550.36,45874,
2020-01-17,FEDERALBNK,EQ,92.70,93.40,91.40,91.60,92.95,7405150,6826.76,24840,
2020-01-20,FEDERALBNK,EQ,92.40,94.50,88.05,93.75,91.60,43342551,39687.43,121522,
2020-01-21,FEDERALBNK,EQ,94.00,96.40,93.50,94.60,93.75,30451633,28883.56,75966,
2020-01-22,FEDERALBNK,EQ,95.15,95.65,93.30,93.75,94.60,13553520,12789.92,38637,
2020-01-23,FEDERALBNK,EQ,93.50,95.90,93.30,94.50,93.75,11965127,11360.03,47683,
2020-01-24,FEDERALBNK,EQ,94.50,96.95,94.20,96.00,94.50,9905227,9511.66,36730,
2020-01-27,FEDERALBNK,EQ,96.00,96.85,94.65,95.65,96.00,8860848,8504.55,29294,
2020-01-28,FEDERALBNK,EQ,95.85,96.25,94.65,95.30,95.65,5291973,5051.19,16319,
2020-01-29,FEDERALBNK,EQ,95.90,96.35,94.55,94.85,95.30,6316781,6033.00,24089,
2020-01-30,FEDERALBNK,EQ,94.70,94.80,91.10,93.00,94.85,8366185,7809.93,33625,
2020-01-31,FEDERALBNK,EQ,93.70,93.80,90.80,91.35,93.00,10270614,9457.53,28114,
2020-02-03,FEDERALBNK,EQ,88.35,89.80,87.05,88.40,88.25,8298640,7350.24,22904,
2020-02-04,FEDERALBNK,EQ,89.10,90.30,87.75,89.75,88.40,10285159,9164.77,22414,
2020-02-05,FEDERALBNK,EQ,90.25,91.00,89.20,90.85,89.75,7382599,6651.51,18829,
2020-02-06,FEDERALBNK,EQ,91.40,93.70,90.50,92.50,90.85,12574922,11604.43,26845,
2020-02-07,FEDERALBNK,EQ,93.00,93.45,90.95,91.25,92.50,11509016,10567.29,46047,
2020-02-10,FEDERALBNK,EQ,91.55,91.55,90.00,90.05,91.25,5614924,5091.69,14104,
2020-02-11,FEDERALBNK,EQ,90.30,91.40,90.00,90.45,90.05,5188082,4695.49,21284,
2020-02-12,FEDERALBNK,EQ,91.30,91.30,89.50,90.40,90.45,4714961,4258.92,15770,
2020-02-13,FEDERALBNK,EQ,90.40,90.40,88.90,89.20,90.40,5533149,4943.49,19199,
2020-02-14,FEDERALBNK,EQ,89.55,89.95,86.75,87.15,89.20,7297847,6437.58,19978,
2020-02-17,FEDERALBNK,EQ,87.15,87.40,84.00,84.45,87.15,8590333,7324.52,29328,
2020-02-18,FEDERALBNK,EQ,84.40,84.40,81.00,81.85,84.45,12149745,9958.70,34409,
2020-02-19,FEDERALBNK,EQ,82.90,85.40,82.70,84.45,81.85,12570992,10603.94,44673,
2020-02-20,FEDERALBNK,EQ,85.25,88.00,85.00,87.50,84.45,12197037,10601.47,40314,
2020-02-24,FEDERALBNK,EQ,86.90,87.30,85.70,86.65,87.50,5429905,4708.63,17329,
2020-02-25,FEDERALBNK,EQ,87.00,88.00,86.00,86.40,86.65,4920055,4273.78,17831,
2020-02-26,FEDERALBNK,EQ,85.75,86.10,84.60,85.05,86.40,4161156,3555.70,15017,
2020-02-27,FEDERALBNK,EQ,85.30,89.70,84.65,88.85,85.05,20273653,17735.51,57865,
2020-02-28,FEDERALBNK,EQ,85.95,87.15,85.10,85.90,88.85,13359911,11493.74,40102,
2020-03-02,FEDERALBNK,EQ,87.95,88.20,81.65,82.80,85.90,12883824,10936.58,42792,
2020-03-03,FEDERALBNK,EQ,83.55,85.50,82.50,84.50,82.80,8678728,7298.17,26594,
2020-03-04,FEDERALBNK,EQ,84.40,84.75,82.10,83.45,84.50,7890014,6591.34,29696,
2020-03-05,FEDERALBNK,EQ,84.80,84.95,83.00,83.20,83.45,9188495,7708.46,32728,
2020-03-06,FEDERALBNK,EQ,78.70,81.25,76.30,80.05,83.20,10354678,8265.71,55702,
2020-03-09,FEDERALBNK,EQ,77.50,78.60,69.75,72.85,80.05,26933103,19731.49,71126,
2020-03-11,FEDERALBNK,EQ,72.90,75.20,71.00,71.35,72.85,21213682,15420.62,59471,
2020-03-12,FEDERALBNK,EQ,68.00,68.45,62.45,63.10,71.35,29022639,18780.70,68960,
2020-03-13,FEDERALBNK,EQ,56.80,69.25,53.65,68.50,63.10,22602120,14250.78,57223,
2020-03-16,FEDERALBNK,EQ,64.70,66.20,62.50,63.10,68.50,17226131,11033.67,57019,
2020-03-17,FEDERALBNK,EQ,63.05,64.00,57.00,58.30,63.10,15971068,9676.58,62507,
2020-03-18,FEDERALBNK,EQ,58.30,59.55,50.20,54.25,58.30,30070958,16142.84,77418,
2020-03-19,FEDERALBNK,EQ,50.00,56.90,49.65,52.40,54.25,21391348,11340.29,53013,
2020-03-20,FEDERALBNK,EQ,53.00,55.85,52.20,52.90,52.40,18061158,9712.68,45816,
2020-03-23,FEDERALBNK,EQ,47.65,47.65,39.80,40.10,52.90,14649753,6266.88,82574,
2020-03-24,FEDERALBNK,EQ,43.40,43.60,37.30,37.80,40.10,25432298,10071.96,62895,
2020-03-25,FEDERALBNK,EQ,37.00,41.50,35.70,38.30,37.80,20734813,7904.83,70449,
2020-03-26,FEDERALBNK,EQ,38.55,45.85,37.55,41.80,38.30,31120545,13053.68,80158,
2020-03-27,FEDERALBNK,EQ,44.00,47.75,42.60,44.45,41.80,42305101,18876.34,101614,
2020-03-30,FEDERALBNK,EQ,42.00,43.50,40.20,40.70,44.45,24888721,10362.28,75634,
2020-03-31,FEDERALBNK,EQ,42.10,42.40,40.75,41.05,40.70,14962190,6180.90,42411,
2020-04-01,FEDERALBNK,EQ,41.05,41.60,39.35,41.30,41.05,16801805,6854.95,42410,
2020-04-03,FEDERALBNK,EQ,41.20,41.30,39.50,39.90,41.30,13677277,5492.81,34327,
2020-04-07,FEDERALBNK,EQ,41.85,43.20,40.35,42.70,39.90,17485359,7266.18,49260,
2020-04-08,FEDERALBNK,EQ,42.50,45.35,40.50,40.85,42.70,38777869,16411.16,85322,
2020-04-09,FEDERALBNK,EQ,41.20,42.50,40.05,40.95,40.85,34422765,14133.50,67567,
2020-04-13,FEDERALBNK,EQ,40.90,41.60,39.70,40.65,40.95,20458011,8308.67,47003,
2020-04-15,FEDERALBNK,EQ,41.10,43.80,41.00,41.40,40.65,27800697,11773.44,64324,
2020-04-16,FEDERALBNK,EQ,41.30,42.60,40.55,42.20,41.40,15770006,6582.91,41917,
2020-04-17,FEDERALBNK,EQ,44.95,46.40,43.25,46.00,42.20,41150967,18478.53,104388,
2020-04-20,FEDERALBNK,EQ,47.50,47.50,45.30,46.05,46.00,31414511,14587.57,95525,
2020-04-21,FEDERALBNK,EQ,44.00,44.20,42.65,43.35,46.05,20824842,9031.12,82008,
2020-04-22,FEDERALBNK,EQ,43.95,44.35,42.00,44.05,43.35,24273868,10496.44,64960,
2020-04-23,FEDERALBNK,EQ,44.80,46.00,43.95,45.00,44.05,20802757,9387.17,58372,
2020-04-24,FEDERALBNK,EQ,44.00,44.20,42.90,43.10,45.00,14198625,6181.55,36053,
2020-04-27,FEDERALBNK,EQ,43.55,44.75,43.00,44.50,43.10,17959496,7877.46,37917,
2020-04-28,FEDERALBNK,EQ,45.20,48.00,44.40,46.75,44.50,25447452,11647.50,63647,
2020-04-29,FEDERALBNK,EQ,47.75,47.75,45.75,46.50,46.75,22205208,10339.31,57870,
2020-04-30,FEDERALBNK,EQ,47.05,50.75,46.60,48.80,46.50,60287266,29679.87,146767,
2020-05-04,FEDERALBNK,EQ,46.30,46.40,43.65,44.05,48.80,29622171,13207.47,70136,
2020-05-05,FEDERALBNK,EQ,45.05,45.35,42.70,42.95,44.05,22783288,10013.58,56911,
2020-05-06,FEDERALBNK,EQ,43.00,44.10,41.95,43.80,42.95,21471279,9288.79,41932,
2020-05-07,FEDERALBNK,EQ,43.40,44.80,42.75,43.15,43.80,20344168,8865.46,54935,
2020-05-08,FEDERALBNK,EQ,43.95,44.35,42.30,42.65,43.15,14969809,6471.45,40818,
2020-05-11,FEDERALBNK,EQ,43.00,44.65,42.75,43.10,42.65,27431771,11988.88,59325,
2020-05-12,FEDERALBNK,EQ,42.50,42.55,40.30,41.45,43.10,36707579,15131.69,81667,
2020-05-13,FEDERALBNK,EQ,45.00,45.00,42.25,43.15,41.45,40986828,17752.13,85616,
2020-05-14,FEDERALBNK,EQ,43.45,45.70,42.25,45.40,43.15,52425237,23353.42,101730,
2020-05-15,FEDERALBNK,EQ,45.40,45.40,43.55,43.75,45.40,18627066,8233.43,49750,
2020-05-18,FEDERALBNK,EQ,43.65,43.65,39.45,39.60,43.75,42177752,17076.86,100766,
2020-05-19,FEDERALBNK,EQ,40.40,40.70,37.75,38.25,39.60,34760862,13653.04,75827,
2020-05-20,FEDERALBNK,EQ,38.50,39.90,38.00,39.10,38.25,24765017,9628.69,43993,
2020-05-21,FEDERALBNK,EQ,39.25,39.90,38.90,39.30,39.10,19911623,7857.60,43629,
2020-05-22,FEDERALBNK,EQ,39.00,39.85,36.80,37.35,39.30,34962306,13276.30,78943,
2020-05-26,FEDERALBNK,EQ,37.85,38.75,37.55,38.45,37.35,24766540,9417.64,45365,
2020-05-27,FEDERALBNK,EQ,38.90,41.65,37.95,40.95,38.45,42961160,17168.89,71744,
2020-05-28,FEDERALBNK,EQ,41.60,43.30,40.65,42.80,40.95,65075577,27327.10,119899,
2020-05-29,FEDERALBNK,EQ,42.00,45.25,41.40,44.90,42.80,73906634,32565.07,135168,
2020-06-01,FEDERALBNK,EQ,45.85,47.20,45.65,46.65,44.90,39129781,18192.89,76643,
2020-06-02,FEDERALBNK,EQ,46.80,48.10,46.00,47.60,46.65,47522313,22436.09,127451,
2020-06-03,FEDERALBNK,EQ,48.60,48.85,46.60,47.10,47.60,36846844,17715.32,69267,
2020-06-04,FEDERALBNK,EQ,47.00,48.00,45.30,45.65,47.10,38527565,17898.82,73796,
2020-06-05,FEDERALBNK,EQ,45.75,47.60,45.75,47.35,45.65,32128167,15088.20,47285,
2020-06-08,FEDERALBNK,EQ,48.50,50.40,47.60,48.15,47.35,53975806,26404.79,83714,
2020-06-09,FEDERALBNK,EQ,48.20,50.00,46.80,48.45,48.15,52520554,25564.82,70215,
2020-06-10,FEDERALBNK,EQ,48.45,50.10,48.40,49.80,48.45,30571765,15063.76,46816,
2020-06-11,FEDERALBNK,EQ,49.95,50.70,47.75,48.00,49.80,52459706,25865.08,86724,
2020-06-12,FEDERALBNK,EQ,44.05,49.50,44.05,48.85,48.00,50052681,23527.05,76745,
2020-06-15,FEDERALBNK,EQ,48.85,48.85,46.30,46.55,48.85,34670017,16423.40,55296,
2020-06-16,FEDERALBNK,EQ,47.90,48.80,45.70,46.80,46.55,37886462,17942.10,57833,
2020-06-17,FEDERALBNK,EQ,46.40,47.55,45.70,46.70,46.80,30690832,14384.34,63365,
2020-06-18,FEDERALBNK,EQ,46.25,48.45,46.05,48.20,46.70,26042651,12318.55,52828,
2020-06-19,FEDERALBNK,EQ,48.15,51.20,47.90,50.95,48.20,61804616,30740.57,85432,
2020-06-22,FEDERALBNK,EQ,51.95,56.00,51.55,54.30,50.95,77507342,42194.32,160784,
2020-06-23,FEDERALBNK,EQ,55.00,57.00,54.50,56.45,54.30,53398275,29708.76,75006,
2020-06-24,FEDERALBNK,EQ,57.45,58.10,52.80,53.25,56.45,50155829,27748.81,92274,
2020-06-25,FEDERALBNK,EQ,53.00,53.75,51.10,52.20,53.25,50484809,26386.53,88954,
2020-06-26,FEDERALBNK,EQ,53.25,54.95,52.80,53.45,52.20,39174675,21052.88,72952,
2020-06-29,FEDERALBNK,EQ,52.95,52.95,51.25,51.55,53.45,24686967,12794.31,44481,
2020-06-30,FEDERALBNK,EQ,52.30,52.80,50.70,51.00,51.55,20969705,10851.73,37723,
2020-07-01,FEDERALBNK,EQ,51.05,53.35,50.90,53.20,51.00,26554225,13983.59,48941,
2020-07-02,FEDERALBNK,EQ,53.70,54.25,53.25,53.55,53.20,27301242,14701.81,56352,
2020-07-03,FEDERALBNK,EQ,53.90,53.95,52.55,53.00,53.55,16304999,8642.31,31747,
2020-07-06,FEDERALBNK,EQ,53.90,54.70,53.50,53.65,53.00,19060525,10317.98,38616,
2020-07-07,FEDERALBNK,EQ,53.80,56.25,52.25,55.95,53.65,46328747,25199.08,90975,
2020-07-08,FEDERALBNK,EQ,56.00,56.20,54.10,54.40,55.95,36908181,20471.96,71601,
2020-07-09,FEDERALBNK,EQ,54.80,55.60,54.50,55.20,54.40,21891259,12026.19,40046,
2020-07-10,FEDERALBNK,EQ,54.65,56.00,53.95,54.20,55.20,25569997,13974.44,50938,
2020-07-13,FEDERALBNK,EQ,54.80,54.90,52.75,53.05,54.20,20919444,11176.57,41209,
2020-07-14,FEDERALBNK,EQ,53.00,53.00,50.65,51.10,53.05,22211466,11435.40,49794,
2020-07-15,FEDERALBNK,EQ,51.70,53.00,49.20,49.80,51.10,45140957,23092.01,81094,
2020-07-16,FEDERALBNK,EQ,51.60,53.75,50.50,52.00,49.80,74247641,38802.26,129005,
2020-07-17,FEDERALBNK,EQ,53.30,53.60,51.20,52.05,52.00,43066955,22421.34,71012,
2020-07-20,FEDERALBNK,EQ,52.75,54.25,52.30,53.70,52.05,42463725,22662.20,71670,
2020-07-21,FEDERALBNK,EQ,54.60,54.60,53.75,54.45,53.70,26492151,14366.92,52316,
2020-07-22,FEDERALBNK,EQ,54.50,57.25,53.10,56.70,54.45,58376137,32276.50,96807,
2020-07-23,FEDERALBNK,EQ,57.00,57.70,56.30,57.10,56.70,46248378,26405.49,89696,
2020-07-24,FEDERALBNK,EQ,56.20,58.60,55.40,57.55,57.10,49023946,27886.54,84702,
2020-07-27,FEDERALBNK,EQ,57.55,57.65,55.05,55.90,57.55,37944040,21347.06,68585,
2020-07-28,FEDERALBNK,EQ,55.90,56.90,55.25,55.55,55.90,26640337,14922.38,53125,
2020-07-29,FEDERALBNK,EQ,55.90,56.90,55.20,55.80,55.55,25280006,14184.18,43988,
2020-07-30,FEDERALBNK,EQ,56.05,56.35,53.85,54.15,55.80,20356419,11217.31,45015,
2020-07-31,FEDERALBNK,EQ,54.20,54.65,53.10,53.90,54.15,23229970,12493.67,43144,
2020-08-03,FEDERALBNK,EQ,53.60,54.20,52.25,52.45,53.90,29215233,15489.21,56448,
2020-08-04,FEDERALBNK,EQ,52.50,53.10,52.05,52.30,52.45,21603529,11340.16,41764,
2020-08-05,FEDERALBNK,EQ,52.50,53.30,52.20,52.35,52.30,39703177,20911.47,92868,
2020-08-06,FEDERALBNK,EQ,52.90,53.25,51.65,52.45,52.35,68928508,36175.50,122926,
2020-08-07,FEDERALBNK,EQ,52.45,55.00,52.20,54.65,52.45,52186679,28047.53,86879,
2020-08-10,FEDERALBNK,EQ,54.95,55.25,53.65,53.85,54.65,27635791,15043.77,64777,
2020-08-11,FEDERALBNK,EQ,54.30,54.50,53.60,54.30,53.85,25479162,13802.98,34443,
2020-08-12,FEDERALBNK,EQ,54.00,54.45,53.45,54.00,54.30,21254187,11488.54,43199,
2020-08-13,FEDERALBNK,EQ,54.30,55.00,53.85,54.00,54.00,24143907,13122.42,43672,
2020-08-14,FEDERALBNK,EQ,54.35,54.45,52.00,52.60,54.00,26927934,14355.89,54347,
2020-08-17,FEDERALBNK,EQ,53.10,53.40,52.15,52.85,52.60,17076269,8987.49,30698,
2020-08-18,FEDERALBNK,EQ,53.10,53.75,52.50,53.50,52.85,21716642,11521.31,38665,
2020-08-19,FEDERALBNK,EQ,53.90,55.80,53.60,54.90,53.50,46677335,25684.51,84939,
2020-08-20,FEDERALBNK,EQ,54.45,54.80,53.90,54.60,54.90,29832820,16231.10,41958,
2020-08-21,FEDERALBNK,EQ,55.00,56.20,54.65,55.90,54.60,44841517,24929.94,80250,
2020-08-24,FEDERALBNK,EQ,56.50,57.10,56.00,56.70,55.90,44902264,25380.41,90452,
2020-08-25,FEDERALBNK,EQ,57.00,57.45,56.00,56.40,56.70,39867094,22630.47,70897,
2020-08-26,FEDERALBNK,EQ,56.80,57.05,56.30,56.70,56.40,21768815,12338.78,43773,
2020-08-27,FEDERALBNK,EQ,56.90,57.25,56.00,56.10,56.70,31911041,18052.13,57416,
2020-08-28,FEDERALBNK,EQ,56.50,61.15,56.25,60.45,56.10,131279166,78464.03,215570,
2020-08-31,FEDERALBNK,EQ,61.60,62.75,54.75,55.30,60.45,89955266,52069.00,169794,
2020-09-01,FEDERALBNK,EQ,55.30,56.80,53.35,54.65,55.30,60214650,32979.16,103346,
2020-09-02,FEDERALBNK,EQ,55.20,56.20,54.15,55.90,54.65,33946132,18731.85,53245,
2020-09-03,FEDERALBNK,EQ,56.45,56.70,55.30,55.70,55.90,22609267,12636.62,40848,
2020-09-04,FEDERALBNK,EQ,54.00,55.05,53.60,53.85,55.70,34819706,18886.99,72610,
2020-09-07,FEDERALBNK,EQ,53.85,54.20,52.15,52.85,53.85,30459398,16149.83,67175,
2020-09-08,FEDERALBNK,EQ,53.00,53.20,51.75,52.10,52.85,24123711,12688.01,40676,
2020-09-09,FEDERALBNK,EQ,51.10,51.85,49.70,51.30,52.10,37725138,19054.20,78375,
2020-09-10,FEDERALBNK,EQ,52.10,52.50,50.60,51.25,51.30,32249538,16638.38,51164,
2020-09-11,FEDERALBNK,EQ,51.40,52.15,50.85,51.80,51.25,23114723,11906.79,40305,
2020-09-14,FEDERALBNK,EQ,52.40,55.00,52.30,53.35,51.80,48277630,25978.81,83962,
2020-09-15,FEDERALBNK,EQ,53.95,54.45,52.85,54.25,53.35,25098558,13446.88,43858,
2020-09-16,FEDERALBNK,EQ,54.35,54.35,52.90,53.55,54.25,29166385,15581.03,45186,
2020-09-17,FEDERALBNK,EQ,53.00,53.95,52.40,52.65,53.55,27926203,14781.36,46534,
2020-09-18,FEDERALBNK,EQ,53.30,53.40,51.00,51.90,52.65,33321564,17390.02,54697,
2020-09-21,FEDERALBNK,EQ,52.00,52.10,49.50,49.80,51.90,33481267,16963.08,78648,
2020-09-22,FEDERALBNK,EQ,50.00,50.15,47.55,48.85,49.80,37261285,18154.34,68364,
2020-09-23,FEDERALBNK,EQ,49.50,49.80,47.50,48.45,48.85,34958428,17029.27,66517,
2020-09-24,FEDERALBNK,EQ,47.40,47.90,45.50,45.75,48.45,41509055,19197.12,82231,
2020-09-25,FEDERALBNK,EQ,46.30,47.95,45.35,47.70,45.75,32271635,15025.87,53268,
2020-09-28,FEDERALBNK,EQ,48.70,50.65,48.00,50.50,47.70,28676719,14243.71,46240,
2020-09-29,FEDERALBNK,EQ,50.50,50.90,48.95,49.20,50.50,27538534,13650.62,44718,
2020-09-30,FEDERALBNK,EQ,49.50,49.60,48.50,48.60,49.20,21059470,10288.81,32844,
2020-10-01,FEDERALBNK,EQ,49.30,50.65,49.05,50.50,48.60,30741975,15399.03,49028,
2020-10-05,FEDERALBNK,EQ,51.30,52.35,50.20,50.80,50.50,37525155,19213.62,61839,
2020-10-06,FEDERALBNK,EQ,51.40,52.00,50.70,51.75,50.80,24411044,12501.78,37831,
2020-10-07,FEDERALBNK,EQ,51.90,51.90,50.75,51.45,51.75,21173409,10871.30,35467,
2020-10-08,FEDERALBNK,EQ,51.60,53.15,51.50,52.20,51.45,36017681,18882.60,66777,
2020-10-09,FEDERALBNK,EQ,52.15,53.15,51.75,52.95,52.20,29321305,15438.05,43228,
2020-10-12,FEDERALBNK,EQ,53.35,54.25,52.30,52.50,52.95,25904311,13762.93,41152,
2020-10-13,FEDERALBNK,EQ,52.35,53.00,51.85,52.45,52.50,14672810,7693.54,21218,
2020-10-14,FEDERALBNK,EQ,52.30,53.20,51.40,52.90,52.45,26184035,13689.44,44115,
