date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,GAIL,EQ,121.40,121.80,119.75,121.20,121.05,4704499,5677.90,26255,
2020-01-02,GAIL,EQ,121.50,123.95,120.65,123.55,121.20,6747917,8273.16,34471,
2020-01-03,GAIL,EQ,123.70,128.80,123.70,125.65,123.55,21625485,27361.98,86172,
2020-01-06,GAIL,EQ,125.00,126.25,122.85,124.35,125.65,7719845,9572.76,38654,
2020-01-07,GAIL,EQ,124.90,126.05,123.85,124.45,124.35,9298669,11621.58,43688,
2020-01-08,GAIL,EQ,123.10,124.50,122.75,123.90,124.45,3457429,4274.30,20471,
2020-01-09,GAIL,EQ,124.40,125.40,123.20,123.70,123.90,4143512,5134.88,27825,
2020-01-10,GAIL,EQ,125.10,127.75,124.25,125.35,123.70,11336495,14311.57,68109,
2020-01-13,GAIL,EQ,125.90,129.40,124.90,128.90,125.35,10746361,13675.79,69790,
2020-01-14,GAIL,EQ,129.50,132.80,128.45,130.05,128.90,19261286,25143.13,86099,
2020-01-15,GAIL,EQ,130.35,132.05,128.75,131.65,130.05,13068269,17021.42,71515,
2020-01-16,GAIL,EQ,132.95,133.35,128.35,128.75,131.65,14849195,19356.25,66301,
2020-01-17,GAIL,EQ,126.90,127.40,122.75,126.35,128.75,16704967,21066.23,102742,
2020-01-20,GAIL,EQ,126.00,129.05,124.55,127.80,126.35,13405397,17056.53,71786,
2020-01-21,GAIL,EQ,128.35,129.55,126.30,126.75,127.80,10092350,12917.93,61759,
2020-01-22,GAIL,EQ,127.20,127.90,125.50,125.90,126.75,5781553,7303.73,53536,
2020-01-23,GAIL,EQ,125.70,130.70,125.20,129.65,125.90,13600475,17490.01,56848,
2020-01-24,GAIL,EQ,129.85,131.70,129.15,129.50,129.65,10451848,13633.66,54500,
2020-01-27,GAIL,EQ,129.00,129.50,126.10,126.75,129.50,5511979,7025.68,31089,
2020-01-28,GAIL,EQ,127.00,127.45,125.20,126.15,126.75,6610020,8361.89,33774,
2020-01-29,GAIL,EQ,127.70,128.85,125.60,126.25,126.15,11151054,14153.51,49865,
2020-01-30,GAIL,EQ,126.25,126.75,123.00,123.35,126.25,7496704,9340.92,39463,
2020-01-31,GAIL,EQ,124.05,124.40,119.40,120.45,123.35,15391445,18621.67,54824,
2020-02-03,GAIL,EQ,115.10,119.50,114.00,114.50,117.70,10387760,12130.24,51897,
2020-02-04,GAIL,EQ,115.20,119.25,115.20,118.90,114.50,11712985,13775.33,57219,
2020-02-05,GAIL,EQ,119.30,121.50,118.00,120.95,118.90,11811317,14209.23,67358,
2020-02-06,GAIL,EQ,121.45,124.40,121.40,123.70,120.95,8213253,10097.08,44815,
2020-02-07,GAIL,EQ,124.00,124.60,122.15,123.00,123.70,9212683,11354.11,41802,
2020-02-10,GAIL,EQ,124.10,124.35,119.25,121.80,123.00,19527401,23700.30,70207,
2020-02-11,GAIL,EQ,123.45,129.85,123.20,129.15,121.80,31055734,39705.42,139720,
2020-02-12,GAIL,EQ,129.70,131.00,127.50,130.35,129.15,14667961,18969.59,58880,
2020-02-13,GAIL,EQ,130.00,132.50,129.40,130.30,130.35,24687804,32374.63,71701,
2020-02-14,GAIL,EQ,130.00,131.50,121.95,122.55,130.30,28720617,36098.21,93353,
2020-02-17,GAIL,EQ,122.00,122.00,117.15,118.00,122.55,19407061,23058.97,75114,
2020-02-18,GAIL,EQ,118.00,119.75,116.75,119.45,118.00,14994097,17787.70,83031,
2020-02-19,GAIL,EQ,120.00,120.90,118.75,119.85,119.45,6127331,7344.69,34237,
2020-02-20,GAIL,EQ,118.90,121.00,118.50,119.30,119.85,7262737,8702.84,56231,
2020-02-24,GAIL,EQ,118.50,119.30,116.30,116.80,119.30,6213574,7308.89,47785,
2020-02-25,GAIL,EQ,118.40,118.60,113.45,114.00,116.80,11422206,13136.87,77124,
2020-02-26,GAIL,EQ,114.00,114.10,107.60,108.05,114.00,18072839,19867.48,91833,
2020-02-27,GAIL,EQ,108.00,108.45,105.15,107.35,108.05,15078256,16088.28,90768,
2020-02-28,GAIL,EQ,102.00,108.50,102.00,104.40,107.35,26486046,28103.69,108859,
