date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,GODREJCP,EQ,684.90,693.90,683.60,691.35,684.55,279887,1924.61,5933,
2020-01-02,GODREJCP,EQ,691.00,693.90,679.20,683.70,691.35,501299,3430.24,15660,
2020-01-03,GODREJCP,EQ,682.80,691.05,682.20,688.95,683.70,885454,6090.12,42342,
2020-01-06,GODREJCP,EQ,688.00,703.50,678.35,697.40,688.95,1650497,11441.52,54098,
2020-01-07,GODREJCP,EQ,700.90,716.00,700.90,708.60,697.40,1578096,11184.70,57999,
2020-01-08,GODREJCP,EQ,704.25,713.95,701.35,712.15,708.60,634934,4503.10,37605,
2020-01-09,GODREJCP,EQ,713.65,725.30,712.15,724.40,712.15,676098,4866.96,36776,
2020-01-10,GODREJCP,EQ,724.90,742.00,721.45,738.25,724.40,1243343,9131.46,40585,
2020-01-13,GODREJCP,EQ,742.25,750.00,734.30,742.80,738.25,1032614,7669.88,32219,
2020-01-14,GODREJCP,EQ,742.80,755.00,737.10,751.75,742.80,1045858,7810.90,45150,
2020-01-15,GODREJCP,EQ,751.75,764.75,749.00,762.45,751.75,980328,7406.99,31391,
2020-01-16,GODREJCP,EQ,760.95,772.00,741.20,746.75,762.45,870590,6559.12,44020,
2020-01-17,GODREJCP,EQ,746.00,751.00,740.90,743.70,746.75,534526,3981.30,26433,
2020-01-20,GODREJCP,EQ,747.40,753.55,739.05,748.55,743.70,1334231,9965.65,16844,
2020-01-21,GODREJCP,EQ,749.90,749.90,729.80,731.55,748.55,611181,4492.65,24988,
2020-01-22,GODREJCP,EQ,732.55,734.00,722.20,726.10,731.55,487900,3551.54,29126,
2020-01-23,GODREJCP,EQ,729.40,743.00,724.00,741.05,726.10,757948,5555.33,33299,
2020-01-24,GODREJCP,EQ,740.00,751.00,733.50,749.35,741.05,409201,3053.39,17439,
2020-01-27,GODREJCP,EQ,748.00,752.55,735.00,737.75,749.35,270404,2015.89,13584,
2020-01-28,GODREJCP,EQ,735.50,741.60,727.40,736.40,737.75,473685,3483.59,28431,
2020-01-29,GODREJCP,EQ,741.70,754.00,719.25,740.85,736.40,1575262,11659.95,51434,
2020-01-30,GODREJCP,EQ,724.00,730.80,677.60,683.50,740.85,2892436,20088.82,82151,
2020-01-31,GODREJCP,EQ,684.85,686.55,671.65,672.65,683.50,1859249,12586.02,43726,
2020-02-03,GODREJCP,EQ,661.50,675.35,656.00,667.30,664.55,1822043,12200.70,28127,
2020-02-04,GODREJCP,EQ,670.60,676.60,651.00,654.55,667.30,2088083,13772.26,43685,
2020-02-05,GODREJCP,EQ,658.00,663.85,649.55,661.35,654.55,1410185,9281.32,23994,
2020-02-06,GODREJCP,EQ,664.40,665.00,647.85,651.95,661.35,1348347,8817.40,25235,
2020-02-07,GODREJCP,EQ,650.45,656.95,645.50,646.80,651.95,1690674,10985.44,29692,
2020-02-10,GODREJCP,EQ,650.45,650.45,629.05,630.85,646.80,1454583,9237.34,37373,
2020-02-11,GODREJCP,EQ,633.00,636.20,614.50,615.70,630.85,2090350,13017.81,39499,
2020-02-12,GODREJCP,EQ,620.90,645.95,618.25,642.15,615.70,4910853,31195.02,66811,
2020-02-13,GODREJCP,EQ,642.95,648.90,633.10,636.35,642.15,1547406,9878.43,27213,
2020-02-14,GODREJCP,EQ,637.00,639.45,622.40,626.10,636.35,1078421,6774.25,30946,
2020-02-17,GODREJCP,EQ,626.10,630.95,618.05,625.75,626.10,1006447,6309.70,24811,
2020-02-18,GODREJCP,EQ,626.00,626.70,613.00,620.75,625.75,993432,6148.32,24474,
