date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,GRASIM,EQ,746.80,747.40,738.60,742.50,743.65,685313,5090.74,11402,
2020-01-02,GRASIM,EQ,742.00,768.50,741.00,766.35,742.50,2413731,18321.55,35565,
2020-01-03,GRASIM,EQ,769.95,769.95,751.50,756.65,766.35,1411458,10721.52,24417,
2020-01-06,GRASIM,EQ,755.40,755.80,735.00,737.00,756.65,957541,7104.66,18763,
2020-01-07,GRASIM,EQ,738.20,756.00,735.50,742.30,737.00,1104012,8210.25,19977,
2020-01-08,GRASIM,EQ,735.40,749.90,733.60,742.65,742.30,1312487,9760.18,20705,
2020-01-09,GRASIM,EQ,752.95,761.30,750.05,757.30,742.65,1471931,11133.76,27280,
2020-01-10,GRASIM,EQ,756.80,766.50,751.00,756.25,757.30,1261460,9566.53,22582,
2020-01-13,GRASIM,EQ,757.00,765.00,757.00,759.60,756.25,832679,6341.52,13743,
2020-01-14,GRASIM,EQ,762.80,767.90,753.10,759.90,759.60,1186220,9022.35,24735,
2020-01-15,GRASIM,EQ,758.00,769.00,747.50,766.40,759.90,1516061,11472.34,22328,
2020-01-16,GRASIM,EQ,767.35,771.00,753.10,756.05,766.40,1037376,7892.99,20850,
2020-01-17,GRASIM,EQ,715.00,772.00,711.00,768.25,756.05,4918914,37246.49,77808,
2020-01-20,GRASIM,EQ,767.60,777.50,762.45,772.80,768.25,1575278,12147.53,27949,
2020-01-21,GRASIM,EQ,779.00,781.10,763.45,771.65,772.80,1661273,12797.71,26036,
2020-01-22,GRASIM,EQ,770.85,799.00,767.10,792.90,771.65,3081732,24264.30,48288,
2020-01-23,GRASIM,EQ,785.00,811.95,783.00,808.90,792.90,2587185,20773.44,42901,
2020-01-24,GRASIM,EQ,808.00,824.40,795.95,822.00,808.90,1925862,15719.67,33434,
2020-01-27,GRASIM,EQ,815.00,836.90,810.00,813.10,822.00,2808890,23153.79,46281,
2020-01-28,GRASIM,EQ,817.50,823.85,797.25,808.90,813.10,1783600,14511.30,39452,
2020-01-29,GRASIM,EQ,814.00,822.85,800.00,802.30,808.90,1833108,14936.70,30512,
2020-01-30,GRASIM,EQ,809.00,809.00,787.25,791.25,802.30,1325227,10532.46,25394,
2020-01-31,GRASIM,EQ,793.10,797.95,775.55,778.90,791.25,1299292,10184.04,24847,
2020-02-03,GRASIM,EQ,759.00,783.00,750.25,780.40,759.40,1534961,11790.94,45570,
2020-02-04,GRASIM,EQ,780.05,796.35,780.05,793.70,780.40,1071567,8467.52,20505,
2020-02-05,GRASIM,EQ,793.70,802.10,788.05,799.90,793.70,1058399,8415.39,29763,
2020-02-06,GRASIM,EQ,802.40,806.65,793.30,801.00,799.90,1217580,9751.58,31723,
2020-02-07,GRASIM,EQ,801.00,803.60,785.55,787.65,801.00,1082529,8584.99,17016,
2020-02-10,GRASIM,EQ,787.00,789.70,752.00,757.55,787.65,4243828,32511.36,65425,
2020-02-11,GRASIM,EQ,760.00,769.00,754.10,759.30,757.55,3381311,25699.54,84051,
2020-02-12,GRASIM,EQ,762.10,774.45,754.50,755.35,759.30,1845607,14089.00,31588,
2020-02-13,GRASIM,EQ,755.35,764.95,745.30,752.25,755.35,1877016,14171.98,27887,
2020-02-14,GRASIM,EQ,754.50,770.85,737.10,743.05,752.25,3399473,25631.59,54660,
2020-02-17,GRASIM,EQ,743.00,750.00,733.50,737.40,743.05,1516432,11233.36,26980,
2020-02-18,GRASIM,EQ,737.35,741.20,715.55,723.90,737.40,1750918,12675.91,28809,
2020-02-19,GRASIM,EQ,730.00,759.75,726.30,757.15,723.90,2067868,15442.28,40522,
2020-02-20,GRASIM,EQ,750.00,767.80,745.90,751.30,757.15,2128575,16115.52,34299,
