date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HAL,EQ,735.00,735.15,730.00,730.20,730.40,3193,23.34,603,
2020-01-02,HAL,EQ,734.95,749.25,729.35,735.25,730.20,13059,96.26,1429,
2020-01-03,HAL,EQ,737.80,756.90,723.50,736.90,735.25,138709,1016.12,5367,
2020-01-06,HAL,EQ,731.10,739.45,721.70,729.50,736.90,11811,86.31,1419,
2020-01-07,HAL,EQ,725.20,739.45,725.00,734.90,729.50,7999,58.54,1116,
2020-01-08,HAL,EQ,723.80,747.00,722.00,735.55,734.90,7930,58.37,738,
2020-01-09,HAL,EQ,736.00,743.00,731.90,735.25,735.55,8810,64.89,1040,
2020-01-10,HAL,EQ,731.80,749.10,731.80,736.45,735.25,10266,76.26,1308,
2020-01-13,HAL,EQ,759.50,808.05,751.25,803.45,736.45,204551,1619.69,17391,
2020-01-14,HAL,EQ,805.00,867.00,804.00,858.80,803.45,288582,2459.30,17096,
2020-01-15,HAL,EQ,855.00,864.90,832.50,852.40,858.80,95442,810.80,6116,
2020-01-16,HAL,EQ,856.60,867.25,841.10,844.45,852.40,29203,249.23,2166,
2020-01-17,HAL,EQ,842.00,844.00,821.00,824.00,844.45,16603,138.01,1971,
2020-01-20,HAL,EQ,810.15,825.00,800.95,805.70,824.00,19804,159.88,1884,
2020-01-21,HAL,EQ,806.00,887.00,801.05,874.85,805.70,181095,1557.20,11524,
2020-01-22,HAL,EQ,869.10,895.90,851.40,857.35,874.85,81791,716.61,6101,
2020-01-23,HAL,EQ,861.00,877.30,847.60,853.85,857.35,30634,263.74,2862,
2020-01-24,HAL,EQ,855.00,869.00,850.00,852.85,853.85,18491,158.56,1751,
2020-01-27,HAL,EQ,854.70,859.00,826.40,835.45,852.85,17262,146.10,1752,
2020-01-28,HAL,EQ,837.25,872.70,830.00,832.15,835.45,11537,96.82,1352,
2020-01-29,HAL,EQ,839.00,845.50,811.30,826.65,832.15,13793,115.15,1660,
2020-01-30,HAL,EQ,832.00,839.90,786.25,814.90,826.65,38913,315.30,3439,
