date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HCLTECH,EQ,569.40,572.90,566.85,571.95,568.10,918373,5239.18,17539,
2020-01-02,HCLTECH,EQ,572.55,575.00,570.50,573.55,571.95,1075642,6166.04,52734,
2020-01-03,HCLTECH,EQ,574.00,588.50,572.85,585.05,573.55,3269446,19098.27,77707,
2020-01-06,HCLTECH,EQ,585.00,592.20,579.45,582.00,585.05,3589985,20973.35,60726,
2020-01-07,HCLTECH,EQ,582.00,587.75,579.05,584.25,582.00,3179728,18584.22,90166,
2020-01-08,HCLTECH,EQ,583.00,593.00,578.00,585.75,584.25,3593096,21097.69,100124,
2020-01-09,HCLTECH,EQ,586.00,588.15,579.25,580.30,585.75,2313648,13465.26,55170,
2020-01-10,HCLTECH,EQ,582.00,589.80,577.40,580.35,580.30,2049636,11953.17,77150,
2020-01-13,HCLTECH,EQ,583.95,590.00,581.00,586.50,580.35,4096054,23959.27,88858,
2020-01-14,HCLTECH,EQ,587.20,597.40,587.15,594.30,586.50,3395378,20112.60,100342,
2020-01-15,HCLTECH,EQ,597.00,598.30,591.70,595.75,594.30,2348102,13971.01,47737,
2020-01-16,HCLTECH,EQ,597.00,598.30,586.75,593.25,595.75,2107442,12500.64,58134,
2020-01-17,HCLTECH,EQ,585.00,602.00,585.00,598.80,593.25,4555694,27091.00,69220,
2020-01-20,HCLTECH,EQ,618.00,618.00,584.10,589.25,598.80,10272118,61100.78,124801,
2020-01-21,HCLTECH,EQ,589.30,593.25,582.35,584.05,589.25,2640668,15521.60,74242,
2020-01-22,HCLTECH,EQ,585.20,595.00,581.50,590.65,584.05,4402650,26033.84,111318,
2020-01-23,HCLTECH,EQ,590.10,599.95,587.00,598.95,590.65,6089397,36326.10,97913,
2020-01-24,HCLTECH,EQ,599.00,609.00,595.50,607.70,598.95,3551260,21505.53,79737,
2020-01-27,HCLTECH,EQ,607.70,608.00,601.75,604.35,607.70,2450421,14825.92,34778,
2020-01-28,HCLTECH,EQ,607.30,607.35,592.60,601.45,604.35,5330709,31899.58,122378,
2020-01-29,HCLTECH,EQ,605.00,611.50,602.20,608.85,601.45,4281329,26052.96,81339,
2020-01-30,HCLTECH,EQ,612.00,613.85,603.65,607.85,608.85,3334901,20265.95,99651,
2020-01-31,HCLTECH,EQ,607.85,608.90,589.60,591.40,607.85,3590768,21366.95,100805,
2020-02-03,HCLTECH,EQ,591.40,593.65,577.50,579.10,590.90,4024193,23499.22,105851,
2020-02-04,HCLTECH,EQ,583.00,589.25,582.50,586.50,579.10,3246094,19044.23,70121,
2020-02-05,HCLTECH,EQ,589.40,598.50,586.00,595.60,586.50,3006324,17867.64,109513,
2020-02-06,HCLTECH,EQ,598.95,613.00,598.00,599.70,595.60,4704968,28398.97,81356,
2020-02-07,HCLTECH,EQ,601.65,609.20,599.15,607.70,599.70,2865379,17338.39,57503,
