date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HDFCAMC,EQ,3198.05,3214.95,3168.50,3177.40,3199.70,217655,6939.18,18149,
2020-01-02,HDFCAMC,EQ,3171.25,3212.00,3160.65,3171.80,3177.40,322391,10254.92,26019,
2020-01-03,HDFCAMC,EQ,3170.00,3218.45,3165.20,3190.30,3171.80,342200,10932.53,25517,
2020-01-06,HDFCAMC,EQ,3162.80,3167.95,3036.05,3063.65,3190.30,603188,18582.87,59791,
2020-01-07,HDFCAMC,EQ,3082.00,3150.00,3076.00,3094.95,3063.65,382317,11899.37,30651,
2020-01-08,HDFCAMC,EQ,3025.20,3109.00,3002.25,3101.40,3094.95,372582,11444.94,31006,
2020-01-09,HDFCAMC,EQ,3148.45,3175.00,3115.00,3131.45,3101.40,283802,8922.29,35416,
2020-01-10,HDFCAMC,EQ,3126.00,3135.00,3071.00,3079.40,3131.45,364459,11268.03,43872,
2020-01-13,HDFCAMC,EQ,3090.00,3110.00,3055.00,3062.10,3079.40,321948,9892.01,25226,
2020-01-14,HDFCAMC,EQ,3075.00,3154.00,3063.65,3142.10,3062.10,466628,14571.52,39713,
2020-01-15,HDFCAMC,EQ,3154.00,3211.00,3145.05,3204.15,3142.10,366511,11675.36,26759,
2020-01-16,HDFCAMC,EQ,3222.00,3259.75,3217.60,3244.80,3204.15,371056,12028.47,31118,
2020-01-17,HDFCAMC,EQ,3257.90,3270.40,3241.05,3263.25,3244.80,243008,7928.99,18249,
2020-01-20,HDFCAMC,EQ,3279.60,3285.00,3203.40,3245.00,3263.25,260251,8467.17,21196,
2020-01-21,HDFCAMC,EQ,3228.00,3240.00,3172.00,3179.45,3245.00,362236,11617.22,33178,
2020-01-22,HDFCAMC,EQ,3210.00,3262.00,3140.00,3177.75,3179.45,660200,21104.86,65013,
2020-01-23,HDFCAMC,EQ,3171.40,3240.00,3171.40,3223.35,3177.75,435772,13960.24,29046,
2020-01-24,HDFCAMC,EQ,3225.00,3244.35,3194.00,3209.50,3223.35,505490,16223.27,18586,
2020-01-27,HDFCAMC,EQ,3198.90,3204.00,3162.80,3179.55,3209.50,172858,5502.15,16647,
2020-01-28,HDFCAMC,EQ,3190.00,3219.80,3178.00,3193.00,3179.55,262484,8386.64,32596,
2020-01-29,HDFCAMC,EQ,3199.70,3205.00,3163.00,3177.65,3193.00,133279,4248.41,12650,
2020-01-30,HDFCAMC,EQ,3181.00,3201.00,3154.85,3189.60,3177.65,224807,7144.58,24085,
2020-01-31,HDFCAMC,EQ,3180.00,3194.00,3160.00,3174.20,3189.60,196125,6226.18,21282,
