date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HDFCLIFE,EQ,623.00,626.00,616.35,621.45,626.05,1749377,10853.34,69565,
2020-01-02,HDFCLIFE,EQ,622.70,638.80,618.40,634.25,621.45,1973981,12465.91,48203,
2020-01-03,HDFCLIFE,EQ,631.00,637.45,626.40,630.70,634.25,2401828,15157.53,40553,
2020-01-06,HDFCLIFE,EQ,627.40,627.40,611.50,619.55,630.70,4175516,25930.94,63567,
2020-01-07,HDFCLIFE,EQ,623.60,643.70,623.60,629.95,619.55,2827658,17879.71,46697,
2020-01-08,HDFCLIFE,EQ,622.00,631.80,618.50,628.85,629.95,2248332,14037.14,36564,
2020-01-09,HDFCLIFE,EQ,635.00,636.50,627.80,631.50,628.85,1338705,8461.78,41299,
2020-01-10,HDFCLIFE,EQ,632.40,634.00,618.75,623.10,631.50,2181852,13641.13,49891,
2020-01-13,HDFCLIFE,EQ,627.90,633.05,623.60,625.40,623.10,1161466,7280.99,58017,
2020-01-14,HDFCLIFE,EQ,626.50,627.00,612.75,614.25,625.40,2109229,13070.54,63246,
2020-01-15,HDFCLIFE,EQ,614.00,620.50,612.75,616.55,614.25,1621297,9993.64,55931,
2020-01-16,HDFCLIFE,EQ,624.00,625.00,605.80,607.50,616.55,3196222,19572.47,77222,
2020-01-17,HDFCLIFE,EQ,607.50,611.55,601.70,607.65,607.50,2313300,14045.65,57721,
2020-01-20,HDFCLIFE,EQ,611.00,612.45,597.10,598.25,607.65,1870028,11261.91,49916,
2020-01-21,HDFCLIFE,EQ,595.70,609.70,594.15,602.00,598.25,1597879,9653.98,44659,
2020-01-22,HDFCLIFE,EQ,604.90,616.50,602.65,612.75,602.00,2066862,12644.18,52811,
2020-01-23,HDFCLIFE,EQ,614.30,621.90,611.50,616.00,612.75,1685313,10411.06,40823,
2020-01-24,HDFCLIFE,EQ,607.90,611.25,602.80,607.25,616.00,2188192,13272.76,55472,
2020-01-27,HDFCLIFE,EQ,604.80,605.70,598.10,599.70,607.25,1531808,9215.20,40945,
2020-01-28,HDFCLIFE,EQ,601.00,611.90,599.00,603.75,599.70,1651481,10023.84,44253,
2020-01-29,HDFCLIFE,EQ,605.95,611.00,602.25,605.05,603.75,1324538,8032.84,48342,
2020-01-30,HDFCLIFE,EQ,605.90,608.55,597.15,600.45,605.05,1060111,6392.28,44703,
2020-01-31,HDFCLIFE,EQ,603.10,604.45,597.30,599.20,600.45,1260667,7571.90,53041,
2020-02-03,HDFCLIFE,EQ,553.00,573.00,527.50,565.30,562.40,9688974,54075.30,173075,
2020-02-04,HDFCLIFE,EQ,568.00,578.45,555.55,573.10,565.30,3116053,17699.69,85003,
2020-02-05,HDFCLIFE,EQ,574.40,586.35,565.00,583.45,573.10,2739852,15853.63,65615,
2020-02-06,HDFCLIFE,EQ,587.00,598.70,587.00,593.65,583.45,2299958,13645.70,47448,
2020-02-07,HDFCLIFE,EQ,593.50,600.00,589.00,595.70,593.65,1185529,7065.81,62511,
2020-02-10,HDFCLIFE,EQ,596.00,598.90,584.50,588.05,595.70,1366499,8080.03,43003,
2020-02-11,HDFCLIFE,EQ,589.75,594.50,575.80,583.50,588.05,1545054,9034.41,43482,
2020-02-12,HDFCLIFE,EQ,585.60,594.70,563.60,578.35,583.50,3303107,19058.83,86165,
2020-02-13,HDFCLIFE,EQ,576.50,582.25,568.50,577.20,578.35,2107487,12110.30,68550,
2020-02-14,HDFCLIFE,EQ,578.90,581.50,572.00,573.95,577.20,2332181,13478.89,46702,
2020-02-17,HDFCLIFE,EQ,574.90,575.00,564.05,565.90,573.95,918309,5236.11,28081,
2020-02-18,HDFCLIFE,EQ,564.80,565.35,556.00,562.60,565.90,1231246,6908.79,74693,
2020-02-19,HDFCLIFE,EQ,565.90,581.85,563.00,579.10,562.60,1752251,10047.77,50522,
2020-02-20,HDFCLIFE,EQ,582.10,583.70,572.10,573.50,579.10,3708209,21403.35,70643,
2020-02-24,HDFCLIFE,EQ,572.25,578.40,556.00,560.80,573.50,1576359,8935.18,64998,
2020-02-25,HDFCLIFE,EQ,570.00,582.50,566.00,569.50,560.80,3582636,20632.05,112244,
2020-02-26,HDFCLIFE,EQ,565.30,571.45,555.00,557.05,569.50,2313470,13028.79,53757,
2020-02-27,HDFCLIFE,EQ,559.00,569.30,544.25,566.70,557.05,2985262,16632.30,68346,
2020-02-28,HDFCLIFE,EQ,554.00,565.00,541.25,544.10,566.70,4380818,24089.91,83737,
2020-03-02,HDFCLIFE,EQ,555.00,564.25,550.95,554.50,544.10,2299648,12833.05,56911,
2020-03-03,HDFCLIFE,EQ,560.00,573.00,559.65,563.50,554.50,2844292,16110.83,58873,
2020-03-04,HDFCLIFE,EQ,567.40,570.00,560.15,568.60,563.50,1735962,9826.26,78900,
2020-03-05,HDFCLIFE,EQ,572.00,572.80,556.40,564.95,568.60,3821330,21493.98,49260,
2020-03-06,HDFCLIFE,EQ,541.00,556.50,535.00,548.15,564.95,3494853,19166.52,64502,
2020-03-09,HDFCLIFE,EQ,538.00,540.30,506.20,517.65,548.15,4577812,23722.68,101728,
2020-03-11,HDFCLIFE,EQ,515.00,526.00,508.05,513.55,517.65,2971154,15346.88,66112,
2020-03-12,HDFCLIFE,EQ,495.00,498.00,453.30,472.90,513.55,4798516,22908.27,99309,
2020-03-13,HDFCLIFE,EQ,435.00,525.00,429.10,507.15,472.90,7973723,39787.79,132353,
2020-03-16,HDFCLIFE,EQ,494.00,500.40,471.00,474.20,507.15,4059856,19731.46,99737,
2020-03-17,HDFCLIFE,EQ,475.00,486.00,460.00,464.95,474.20,3292007,15630.57,67562,
2020-03-18,HDFCLIFE,EQ,465.00,470.00,410.85,419.45,464.95,4747409,20691.48,113680,
2020-03-19,HDFCLIFE,EQ,385.35,432.55,385.35,416.95,419.45,8358755,33684.05,143282,
2020-03-20,HDFCLIFE,EQ,425.10,442.00,411.30,418.10,416.95,4857481,20609.01,100815,
2020-03-23,HDFCLIFE,EQ,377.50,394.40,340.00,342.30,418.10,4439246,16039.88,146648,
2020-03-24,HDFCLIFE,EQ,362.00,409.00,345.85,391.30,342.30,5265165,20182.88,156464,
2020-03-25,HDFCLIFE,EQ,390.00,440.00,385.60,434.30,391.30,6175029,26123.79,135841,
2020-03-26,HDFCLIFE,EQ,448.00,487.00,434.00,477.45,434.30,6462243,30573.93,168111,
2020-03-27,HDFCLIFE,EQ,450.20,483.80,440.00,441.00,477.45,14440644,65841.73,272545,
2020-03-30,HDFCLIFE,EQ,432.00,443.90,407.00,412.50,441.00,7106593,30036.32,98929,
2020-03-31,HDFCLIFE,EQ,429.00,448.20,414.40,441.35,412.50,5414966,23306.42,87416,
2020-04-01,HDFCLIFE,EQ,438.10,447.40,424.05,429.90,441.35,7415298,32302.15,196972,
2020-04-03,HDFCLIFE,EQ,428.50,442.00,416.20,422.30,429.90,6997591,29864.76,164793,
2020-04-07,HDFCLIFE,EQ,436.90,476.00,433.25,470.50,422.30,6387620,29296.70,119275,
2020-04-08,HDFCLIFE,EQ,464.95,500.55,457.40,476.60,470.50,7175340,34299.44,279754,
2020-04-09,HDFCLIFE,EQ,488.90,494.40,464.15,472.25,476.60,3633341,17408.43,130668,
2020-04-13,HDFCLIFE,EQ,473.00,482.75,453.30,477.80,472.25,4143792,19294.88,183307,
2020-04-15,HDFCLIFE,EQ,481.70,488.70,468.50,471.70,477.80,3951830,18938.57,128054,
2020-04-16,HDFCLIFE,EQ,470.00,494.40,462.00,489.70,471.70,5065365,24521.13,90897,
2020-04-17,HDFCLIFE,EQ,505.00,518.95,491.50,495.50,489.70,6525356,33028.48,133120,
2020-04-20,HDFCLIFE,EQ,503.70,515.30,496.00,508.30,495.50,4164523,21188.85,116170,
2020-04-21,HDFCLIFE,EQ,496.00,502.85,488.90,496.35,508.30,2902454,14428.76,58023,
2020-04-22,HDFCLIFE,EQ,499.50,509.00,490.35,503.65,496.35,2103584,10442.94,54411,
2020-04-23,HDFCLIFE,EQ,505.00,511.90,486.30,488.50,503.65,2996670,14884.47,64162,
2020-04-24,HDFCLIFE,EQ,478.25,478.75,451.15,453.35,488.50,4402298,20407.54,108631,
2020-04-27,HDFCLIFE,EQ,459.00,491.40,459.00,484.75,453.35,5612312,27011.99,138387,
2020-04-28,HDFCLIFE,EQ,495.00,496.60,471.15,486.15,484.75,5790882,27928.60,154993,
2020-04-29,HDFCLIFE,EQ,488.00,505.20,484.75,492.85,486.15,4230744,20965.17,82075,
2020-04-30,HDFCLIFE,EQ,500.00,510.70,493.15,501.05,492.85,3751413,18806.01,78012,
2020-05-04,HDFCLIFE,EQ,489.00,489.00,472.10,478.95,501.05,2476319,11871.53,69450,
2020-05-05,HDFCLIFE,EQ,483.00,489.90,475.15,477.55,478.95,2499854,12090.61,50333,
2020-05-06,HDFCLIFE,EQ,478.00,499.00,469.45,491.00,477.55,5449872,26585.80,131567,
2020-05-07,HDFCLIFE,EQ,489.70,502.00,488.90,494.55,491.00,2443553,12136.34,52694,
2020-05-08,HDFCLIFE,EQ,499.70,527.35,499.00,520.05,494.55,9180047,47352.48,191573,
2020-05-11,HDFCLIFE,EQ,529.75,539.00,522.50,525.20,520.05,5446596,28889.61,163802,
2020-05-12,HDFCLIFE,EQ,521.45,536.60,517.30,526.80,525.20,3693398,19478.87,83716,
2020-05-13,HDFCLIFE,EQ,533.00,538.00,515.00,516.75,526.80,3652083,19096.84,119099,
2020-05-14,HDFCLIFE,EQ,515.00,523.00,491.40,495.00,516.75,4151393,20889.58,113301,
2020-05-15,HDFCLIFE,EQ,499.10,501.00,485.00,487.30,495.00,3513979,17204.25,94837,
2020-05-18,HDFCLIFE,EQ,487.30,490.90,464.00,469.35,487.30,4108281,19534.17,110107,
2020-05-19,HDFCLIFE,EQ,475.00,485.95,465.25,471.75,469.35,5129797,24427.37,103921,
2020-05-20,HDFCLIFE,EQ,474.15,482.75,472.50,479.25,471.75,3112805,14894.69,50335,
2020-05-21,HDFCLIFE,EQ,480.00,496.55,480.00,493.80,479.25,4216424,20636.24,82313,
2020-05-22,HDFCLIFE,EQ,493.00,504.70,490.30,494.75,493.80,4602359,22888.70,72081,
2020-05-26,HDFCLIFE,EQ,502.00,514.90,497.00,507.45,494.75,4215640,21356.83,131002,
2020-05-27,HDFCLIFE,EQ,506.80,510.00,495.25,503.30,507.45,1859761,9368.33,39723,
2020-05-28,HDFCLIFE,EQ,506.00,523.30,501.45,516.80,503.30,3346532,17261.13,81687,
2020-05-29,HDFCLIFE,EQ,516.40,540.80,511.75,523.20,516.80,27247264,142857.69,338402,
