date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HINDALCO,EQ,216.15,217.45,213.20,214.30,216.15,5085208,10929.35,32236,
2020-01-02,HINDALCO,EQ,216.00,221.20,216.00,220.15,214.30,15238841,33254.10,143217,
2020-01-03,HINDALCO,EQ,219.30,219.95,216.05,216.45,220.15,8658243,18829.84,66849,
2020-01-06,HINDALCO,EQ,215.00,215.65,208.05,209.30,216.45,7798846,16444.74,60487,
2020-01-07,HINDALCO,EQ,210.55,213.20,207.70,208.85,209.30,12767569,26866.92,67553,
2020-01-08,HINDALCO,EQ,206.00,208.65,204.50,207.40,208.85,12470053,25758.78,65064,
2020-01-09,HINDALCO,EQ,211.50,211.95,208.90,210.75,207.40,8676205,18263.82,66672,
2020-01-10,HINDALCO,EQ,212.30,214.20,210.20,211.50,210.75,7800086,16549.64,50669,
2020-01-13,HINDALCO,EQ,212.80,213.00,209.50,211.20,211.50,6614653,13975.74,37968,
2020-01-14,HINDALCO,EQ,212.50,214.75,210.80,211.95,211.20,7981507,16960.01,38799,
2020-01-15,HINDALCO,EQ,211.10,215.00,210.00,213.65,211.95,9564560,20394.14,54188,
2020-01-16,HINDALCO,EQ,214.00,214.75,209.00,209.65,213.65,6986058,14705.61,33488,
2020-01-17,HINDALCO,EQ,209.50,212.00,208.15,210.05,209.65,8678002,18251.31,65564,
2020-01-20,HINDALCO,EQ,210.10,210.80,206.75,207.30,210.05,3977566,8277.90,42456,
2020-01-21,HINDALCO,EQ,206.00,208.50,204.65,205.15,207.30,4479791,9239.80,38494,
2020-01-22,HINDALCO,EQ,205.60,207.80,203.00,203.60,205.15,6268889,12873.72,46260,
2020-01-23,HINDALCO,EQ,203.60,205.35,202.75,204.60,203.60,5560681,11346.82,37066,
2020-01-24,HINDALCO,EQ,204.50,207.70,202.25,205.40,204.60,5749852,11819.29,35101,
2020-01-27,HINDALCO,EQ,203.55,203.55,197.40,198.25,205.40,7942736,15867.84,65835,
2020-01-28,HINDALCO,EQ,199.40,199.40,194.20,196.00,198.25,6308211,12388.38,53007,
2020-01-29,HINDALCO,EQ,197.65,200.40,197.10,197.75,196.00,8978837,17853.90,75257,
2020-01-30,HINDALCO,EQ,197.30,197.75,192.70,193.45,197.75,8588693,16777.45,81727,
2020-01-31,HINDALCO,EQ,194.80,195.15,188.25,189.35,193.45,6008376,11497.99,41427,
2020-02-03,HINDALCO,EQ,183.90,185.60,180.30,181.80,184.40,7678833,14005.19,39146,
2020-02-04,HINDALCO,EQ,183.00,190.35,183.00,189.25,181.80,9235507,17323.06,50911,
2020-02-05,HINDALCO,EQ,190.10,197.55,188.30,196.30,189.25,7411014,14303.27,40302,
2020-02-06,HINDALCO,EQ,196.40,197.35,192.65,194.00,196.30,7348886,14304.30,38862,
2020-02-07,HINDALCO,EQ,194.00,198.40,192.85,197.40,194.00,6977770,13747.21,33718,
2020-02-10,HINDALCO,EQ,195.90,196.95,189.60,190.85,197.40,5385023,10327.87,45111,
2020-02-11,HINDALCO,EQ,192.40,196.95,192.00,193.65,190.85,7530810,14665.76,60044,
2020-02-12,HINDALCO,EQ,194.25,196.40,191.20,193.65,193.65,10581151,20538.71,68567,
2020-02-13,HINDALCO,EQ,194.70,197.00,192.40,195.25,193.65,6711481,13085.72,43249,
2020-02-14,HINDALCO,EQ,195.50,197.00,193.45,194.00,195.25,3798528,7421.77,27239,
2020-02-17,HINDALCO,EQ,194.00,194.70,189.75,190.25,194.00,3484321,6682.18,18760,
2020-02-18,HINDALCO,EQ,189.15,189.45,181.75,184.35,190.25,8152961,15093.01,51983,
2020-02-19,HINDALCO,EQ,186.00,188.60,184.40,188.10,184.35,4317249,8058.85,32558,
2020-02-20,HINDALCO,EQ,187.80,191.00,185.40,189.95,188.10,6207445,11720.72,29616,
2020-02-24,HINDALCO,EQ,186.90,186.90,177.90,179.05,189.95,14690243,26544.37,85565,
2020-02-25,HINDALCO,EQ,181.00,181.45,174.05,174.45,179.05,10694830,18973.54,59947,
