date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HINDZINC,EQ,210.80,211.50,209.60,210.10,209.65,88791,186.77,1917,
2020-01-02,HINDZINC,EQ,211.40,214.95,210.55,214.15,210.10,549833,1175.35,11848,
2020-01-03,HINDZINC,EQ,214.00,216.90,213.10,215.25,214.15,816967,1760.96,15442,
2020-01-06,HINDZINC,EQ,216.40,216.40,210.00,211.85,215.25,322036,682.22,5142,
2020-01-07,HINDZINC,EQ,212.60,215.60,210.20,213.05,211.85,259266,553.20,4442,
2020-01-08,HINDZINC,EQ,211.00,212.20,209.50,211.00,213.05,362093,763.80,8117,
2020-01-09,HINDZINC,EQ,215.30,215.30,211.35,213.25,211.00,380062,808.71,8456,
2020-01-10,HINDZINC,EQ,215.00,224.45,213.00,219.10,213.25,2207069,4848.98,19259,
2020-01-13,HINDZINC,EQ,219.65,222.00,214.20,215.80,219.10,547822,1191.87,8145,
2020-01-14,HINDZINC,EQ,216.00,218.70,213.25,214.05,215.80,2079225,4511.93,13134,
2020-01-15,HINDZINC,EQ,214.00,218.90,213.50,215.35,214.05,679989,1469.19,13879,
2020-01-16,HINDZINC,EQ,217.00,218.50,215.15,215.75,215.35,417479,903.35,14839,
2020-01-17,HINDZINC,EQ,217.00,219.60,216.35,216.95,215.75,1274504,2769.91,23236,
2020-01-20,HINDZINC,EQ,218.75,224.00,214.55,216.35,216.95,1694116,3706.08,20441,
2020-01-21,HINDZINC,EQ,214.00,216.80,211.65,212.40,216.35,549280,1170.82,10203,
2020-01-22,HINDZINC,EQ,213.00,214.70,207.70,209.20,212.40,576149,1208.54,13481,
2020-01-23,HINDZINC,EQ,210.25,210.70,207.50,208.65,209.20,472035,986.39,13440,
2020-01-24,HINDZINC,EQ,209.90,209.90,207.50,207.85,208.65,558023,1161.93,12680,
2020-01-27,HINDZINC,EQ,207.95,208.10,200.00,201.00,207.85,922817,1885.19,20025,
2020-01-28,HINDZINC,EQ,201.15,203.40,197.25,198.75,201.00,612033,1220.71,14996,
2020-01-29,HINDZINC,EQ,200.00,202.75,198.00,198.55,198.75,591901,1184.59,7664,
2020-01-30,HINDZINC,EQ,199.75,199.75,193.50,194.70,198.55,689175,1356.65,14173,
2020-01-31,HINDZINC,EQ,195.15,196.70,193.65,194.10,194.70,724986,1414.57,9852,
2020-02-03,HINDZINC,EQ,191.60,192.75,188.15,189.40,191.80,327572,623.14,11303,
2020-02-04,HINDZINC,EQ,191.70,194.90,190.00,192.95,189.40,475656,917.04,9177,
2020-02-05,HINDZINC,EQ,193.20,194.95,189.50,190.75,192.95,682799,1313.22,21747,
2020-02-06,HINDZINC,EQ,193.70,198.70,191.90,192.75,190.75,867168,1687.88,19860,
2020-02-07,HINDZINC,EQ,193.75,195.60,192.70,195.05,192.75,337789,656.50,4170,
2020-02-10,HINDZINC,EQ,196.20,196.75,191.65,193.75,195.05,296480,574.04,4882,
2020-02-11,HINDZINC,EQ,194.40,195.90,192.50,194.80,193.75,207883,404.03,3731,
2020-02-12,HINDZINC,EQ,195.00,195.15,191.60,192.25,194.80,155810,300.97,2927,
2020-02-13,HINDZINC,EQ,192.50,193.70,190.25,190.75,192.25,149432,285.45,3830,
2020-02-14,HINDZINC,EQ,191.00,192.00,190.20,190.65,190.75,138592,264.67,3027,
2020-02-17,HINDZINC,EQ,190.65,190.65,188.30,189.15,190.65,135016,255.52,3093,
2020-02-18,HINDZINC,EQ,190.00,190.00,184.10,185.55,189.15,324413,604.76,9483,
2020-02-19,HINDZINC,EQ,185.70,189.60,184.50,184.80,185.55,279253,520.08,4091,
2020-02-20,HINDZINC,EQ,185.00,187.70,181.50,182.35,184.80,390434,722.65,13930,
2020-02-24,HINDZINC,EQ,181.50,183.20,179.50,180.15,182.35,705058,1278.54,7402,
2020-02-25,HINDZINC,EQ,180.00,181.50,175.00,177.60,180.15,366180,656.34,6351,
2020-02-26,HINDZINC,EQ,175.10,177.95,170.85,172.80,177.60,542335,944.17,13429,
2020-02-27,HINDZINC,EQ,170.10,187.65,170.00,182.40,172.80,1352291,2436.54,20220,
2020-02-28,HINDZINC,EQ,170.30,177.75,170.30,172.25,182.40,640027,1115.40,11831,
2020-03-02,HINDZINC,EQ,173.30,177.15,164.00,167.70,172.25,290865,500.84,6367,
2020-03-03,HINDZINC,EQ,170.00,174.00,167.80,172.90,167.70,321602,549.39,7707,
2020-03-04,HINDZINC,EQ,172.35,172.90,167.20,169.45,172.90,302832,513.40,9946,
2020-03-05,HINDZINC,EQ,172.00,174.35,169.00,169.35,169.45,228864,390.70,5784,
2020-03-06,HINDZINC,EQ,167.00,170.50,161.90,163.80,169.35,558994,926.51,10348,
2020-03-09,HINDZINC,EQ,161.45,161.45,154.40,159.30,163.80,882419,1395.44,19474,
2020-03-11,HINDZINC,EQ,168.55,168.55,158.20,160.00,159.30,642043,1043.49,17809,
2020-03-12,HINDZINC,EQ,153.00,155.00,140.15,145.05,160.00,1359057,2027.66,27290,
2020-03-13,HINDZINC,EQ,129.85,150.20,116.05,141.15,145.05,1802421,2517.60,44625,
2020-03-16,HINDZINC,EQ,136.00,148.00,133.20,138.25,141.15,1040430,1440.47,30968,
2020-03-17,HINDZINC,EQ,138.00,142.00,130.00,134.10,138.25,804404,1107.11,16703,
2020-03-18,HINDZINC,EQ,137.00,145.40,126.50,135.75,134.10,829517,1111.43,19429,
2020-03-19,HINDZINC,EQ,132.90,135.00,125.25,127.25,135.75,834272,1084.67,13110,
2020-03-20,HINDZINC,EQ,130.00,142.50,127.30,136.25,127.25,772708,1019.72,24687,
2020-03-23,HINDZINC,EQ,125.00,135.00,123.00,125.55,136.25,683556,873.98,12753,
2020-03-24,HINDZINC,EQ,126.00,130.00,125.00,126.20,125.55,778018,984.72,14045,
2020-03-25,HINDZINC,EQ,125.00,139.15,123.45,137.95,126.20,823353,1110.51,24244,
2020-03-26,HINDZINC,EQ,142.00,145.00,138.10,139.25,137.95,494113,698.01,12629,
2020-03-27,HINDZINC,EQ,141.95,154.00,141.95,143.95,139.25,701050,1034.67,12892,
2020-03-30,HINDZINC,EQ,140.00,146.55,137.50,145.35,143.95,352686,509.21,8706,
2020-03-31,HINDZINC,EQ,146.55,159.65,146.05,155.40,145.35,510402,781.95,14885,
2020-04-01,HINDZINC,EQ,155.00,167.00,152.25,160.45,155.40,901577,1456.65,14407,
2020-04-03,HINDZINC,EQ,167.00,167.00,151.45,161.55,160.45,710426,1133.42,11443,
2020-04-07,HINDZINC,EQ,169.45,169.45,159.65,164.50,161.55,1136863,1872.85,12241,
2020-04-08,HINDZINC,EQ,167.00,169.95,164.00,165.95,164.50,382642,638.96,6920,
2020-04-09,HINDZINC,EQ,168.80,171.60,163.00,165.50,165.95,368829,616.05,6771,
2020-04-13,HINDZINC,EQ,166.00,168.75,162.55,165.20,165.50,295051,486.88,4349,
2020-04-15,HINDZINC,EQ,167.00,173.55,166.00,170.40,165.20,602904,1027.01,8933,
2020-04-16,HINDZINC,EQ,170.40,177.45,168.65,174.10,170.40,413836,722.53,8998,
2020-04-17,HINDZINC,EQ,178.00,180.90,173.00,174.50,174.10,438775,771.42,9375,
2020-04-20,HINDZINC,EQ,174.85,177.80,173.45,174.20,174.50,679839,1194.15,6453,
2020-04-21,HINDZINC,EQ,172.00,172.95,165.00,167.95,174.20,553443,936.50,9487,
2020-04-22,HINDZINC,EQ,168.00,169.90,165.05,166.70,167.95,234022,391.20,4617,
2020-04-23,HINDZINC,EQ,168.05,172.00,167.30,171.45,166.70,201007,342.88,4785,
2020-04-24,HINDZINC,EQ,174.90,181.60,170.45,171.20,171.45,611078,1072.55,11293,
2020-04-27,HINDZINC,EQ,173.00,173.90,164.50,165.35,171.20,470433,789.02,9733,
2020-04-28,HINDZINC,EQ,167.00,168.55,164.00,165.05,165.35,168768,280.22,4162,
2020-04-29,HINDZINC,EQ,167.00,172.00,164.70,171.35,165.05,539567,908.65,9861,
2020-04-30,HINDZINC,EQ,174.40,176.00,172.00,174.60,171.35,715866,1246.86,12129,
2020-05-04,HINDZINC,EQ,167.00,169.35,165.05,165.75,174.60,461891,768.54,12071,
2020-05-05,HINDZINC,EQ,168.00,172.75,166.50,167.40,165.75,554760,938.14,7602,
2020-05-06,HINDZINC,EQ,172.95,172.95,167.75,169.45,167.40,374474,633.66,7591,
2020-05-07,HINDZINC,EQ,169.40,178.00,167.00,176.35,169.45,873636,1522.70,18644,
2020-05-08,HINDZINC,EQ,178.50,179.50,174.00,175.30,176.35,440702,778.63,7283,
2020-05-11,HINDZINC,EQ,178.35,185.50,178.35,181.85,175.30,1591023,2903.70,22873,
2020-05-12,HINDZINC,EQ,182.20,184.60,177.05,179.95,181.85,902232,1631.93,24576,
2020-05-13,HINDZINC,EQ,192.00,195.00,183.10,184.15,179.95,2373532,4439.38,37553,
2020-05-14,HINDZINC,EQ,184.15,189.00,181.85,186.80,184.15,1136048,2112.68,21106,
2020-05-15,HINDZINC,EQ,190.25,195.00,189.20,192.65,186.80,2642622,5084.97,36163,
2020-05-18,HINDZINC,EQ,195.50,200.40,185.60,188.25,192.65,4041183,7725.98,71324,
2020-05-19,HINDZINC,EQ,176.00,176.40,172.20,174.10,188.25,1292303,2253.80,21179,
2020-05-20,HINDZINC,EQ,172.00,173.00,168.30,170.65,174.10,516110,880.44,9361,
2020-05-21,HINDZINC,EQ,170.00,174.50,167.10,169.30,170.65,1547592,2633.23,22064,
2020-05-22,HINDZINC,EQ,167.00,168.80,164.05,165.25,169.30,826090,1374.12,15096,
2020-05-26,HINDZINC,EQ,166.50,169.00,165.30,166.65,165.25,525611,879.14,9572,
2020-05-27,HINDZINC,EQ,167.30,167.95,164.20,164.75,166.65,479723,794.11,10218,
2020-05-28,HINDZINC,EQ,165.95,169.00,164.50,168.65,164.75,796295,1330.96,12330,
2020-05-29,HINDZINC,EQ,168.65,172.30,166.65,171.55,168.65,643006,1094.45,8427,
2020-06-01,HINDZINC,EQ,173.50,177.80,171.00,173.05,171.55,2605929,4570.81,27522,
2020-06-02,HINDZINC,EQ,176.00,176.00,171.00,172.85,173.05,667832,1157.35,7201,
2020-06-03,HINDZINC,EQ,173.80,174.90,171.25,172.80,172.85,844549,1467.52,9353,
2020-06-04,HINDZINC,EQ,172.00,172.95,170.00,171.40,172.80,313234,537.32,6012,
2020-06-05,HINDZINC,EQ,172.50,174.35,171.60,173.00,171.40,1082754,1877.22,12704,
2020-06-08,HINDZINC,EQ,175.00,176.25,172.00,172.90,173.00,944983,1649.65,11969,
2020-06-09,HINDZINC,EQ,173.30,174.95,171.80,173.70,172.90,856763,1488.83,10635,
2020-06-10,HINDZINC,EQ,174.05,174.40,171.55,172.05,173.70,604881,1050.40,5364,
2020-06-11,HINDZINC,EQ,172.00,174.60,170.25,172.65,172.05,581301,1008.06,9801,
2020-06-12,HINDZINC,EQ,168.00,176.00,166.85,174.65,172.65,1200463,2066.64,10591,
2020-06-15,HINDZINC,EQ,174.65,175.60,171.45,174.65,174.65,969548,1686.94,15193,
2020-06-16,HINDZINC,EQ,177.20,177.30,172.85,176.10,174.65,1377138,2419.22,27037,
2020-06-17,HINDZINC,EQ,175.25,176.85,172.65,174.20,176.10,454777,791.65,16727,
2020-06-18,HINDZINC,EQ,173.20,184.60,173.00,178.45,174.20,1361183,2438.89,26029,
2020-06-19,HINDZINC,EQ,182.00,182.00,176.60,178.05,178.45,940992,1687.28,14604,
2020-06-22,HINDZINC,EQ,179.20,190.90,179.20,187.85,178.05,1671227,3097.56,24732,
2020-06-23,HINDZINC,EQ,190.00,195.05,186.20,187.95,187.85,1496547,2848.69,20450,
2020-06-24,HINDZINC,EQ,189.20,194.70,185.40,186.95,187.95,2192514,4201.11,25046,
2020-06-25,HINDZINC,EQ,186.80,193.90,184.05,189.65,186.95,3984328,7609.91,37969,
2020-06-26,HINDZINC,EQ,191.00,204.75,191.00,198.95,189.65,4242947,8445.78,44356,
2020-06-29,HINDZINC,EQ,198.50,199.00,192.80,193.65,198.95,1007097,1963.17,16465,
2020-06-30,HINDZINC,EQ,194.90,201.35,192.60,195.95,193.65,1165072,2298.83,24305,
2020-07-01,HINDZINC,EQ,196.40,199.35,193.60,198.25,195.95,654893,1294.10,8367,
2020-07-02,HINDZINC,EQ,198.60,200.75,195.45,196.45,198.25,723566,1433.71,11165,
2020-07-03,HINDZINC,EQ,196.80,197.50,195.00,195.15,196.45,366876,717.16,7357,
2020-07-06,HINDZINC,EQ,196.05,197.50,193.80,194.30,195.15,608397,1188.10,10011,
2020-07-07,HINDZINC,EQ,194.00,197.80,194.00,196.40,194.30,695508,1364.14,11080,
2020-07-08,HINDZINC,EQ,198.00,198.00,190.00,190.85,196.40,1795852,3458.05,14627,
2020-07-09,HINDZINC,EQ,193.00,195.50,192.00,192.70,190.85,1237464,2394.42,11578,
2020-07-10,HINDZINC,EQ,192.50,193.50,188.85,189.20,192.70,703080,1337.66,10223,
2020-07-13,HINDZINC,EQ,190.80,196.40,190.10,195.05,189.20,2187263,4253.88,22550,
2020-07-14,HINDZINC,EQ,196.05,196.30,190.25,191.60,195.05,713941,1374.61,5753,
2020-07-15,HINDZINC,EQ,190.50,194.35,186.10,187.20,191.60,706841,1344.57,15513,
2020-07-16,HINDZINC,EQ,188.50,189.25,183.15,188.30,187.20,559613,1045.98,10053,
2020-07-17,HINDZINC,EQ,189.25,191.70,187.50,187.95,188.30,322433,610.12,6453,
2020-07-20,HINDZINC,EQ,188.80,190.95,186.95,187.80,187.95,385726,728.57,4488,
2020-07-21,HINDZINC,EQ,189.00,189.30,182.25,182.80,187.80,1324742,2444.28,18761,
2020-07-22,HINDZINC,EQ,187.40,205.70,187.35,197.25,182.80,9176036,18120.04,76204,
2020-07-23,HINDZINC,EQ,198.90,210.65,198.30,207.40,197.25,5959543,12289.90,59729,
2020-07-24,HINDZINC,EQ,208.95,209.75,197.00,200.20,207.40,3084150,6237.25,33594,
2020-07-27,HINDZINC,EQ,205.00,211.90,201.20,206.80,200.20,3052922,6323.98,37982,
2020-07-28,HINDZINC,EQ,209.50,215.90,208.70,210.80,206.80,3969330,8442.01,59068,
2020-07-29,HINDZINC,EQ,212.95,212.95,205.00,208.35,210.80,1364626,2843.06,15446,
2020-07-30,HINDZINC,EQ,208.85,212.40,205.75,210.00,208.35,1162139,2434.64,23864,
2020-07-31,HINDZINC,EQ,210.00,211.50,207.25,210.05,210.00,885358,1851.74,15974,
2020-08-03,HINDZINC,EQ,211.00,211.25,204.50,205.35,210.05,950787,1963.77,18938,
2020-08-04,HINDZINC,EQ,206.00,207.60,203.10,206.10,205.35,1659607,3423.79,16017,
2020-08-05,HINDZINC,EQ,210.10,221.40,210.05,218.75,206.10,4380117,9498.93,55913,
2020-08-06,HINDZINC,EQ,222.30,237.00,222.30,235.00,218.75,5906361,13677.95,79926,
2020-08-07,HINDZINC,EQ,240.00,257.50,236.50,252.95,235.00,7411184,18182.22,76672,
2020-08-10,HINDZINC,EQ,254.90,257.70,237.50,243.15,252.95,3876124,9538.26,44141,
2020-08-11,HINDZINC,EQ,246.00,258.95,243.30,246.80,243.15,4932756,12406.87,68319,
2020-08-12,HINDZINC,EQ,230.05,237.95,223.35,231.55,246.80,4312095,10005.66,60529,
2020-08-13,HINDZINC,EQ,233.80,241.45,228.55,239.40,231.55,4850402,11432.57,49484,
2020-08-14,HINDZINC,EQ,242.95,245.00,227.40,230.85,239.40,2216476,5245.26,27749,
2020-08-17,HINDZINC,EQ,233.00,235.95,227.80,229.90,230.85,1255125,2897.35,15986,
2020-08-18,HINDZINC,EQ,232.95,235.85,232.00,233.95,229.90,1252781,2927.91,19299,
2020-08-19,HINDZINC,EQ,234.95,235.60,231.00,231.65,233.95,870322,2021.23,15753,
2020-08-20,HINDZINC,EQ,232.20,232.20,222.85,223.30,231.65,1625430,3667.84,25983,
2020-08-21,HINDZINC,EQ,226.50,229.00,224.30,226.55,223.30,1311906,2971.13,36942,
2020-08-24,HINDZINC,EQ,229.05,230.75,226.10,228.05,226.55,726981,1661.15,13585,
2020-08-25,HINDZINC,EQ,229.00,229.00,225.00,225.85,228.05,556980,1259.24,7990,
2020-08-26,HINDZINC,EQ,225.85,229.45,222.40,226.00,225.85,766556,1720.59,13803,
2020-08-27,HINDZINC,EQ,227.60,239.35,227.20,237.15,226.00,2265073,5315.42,33416,
2020-08-28,HINDZINC,EQ,237.25,239.45,227.55,228.70,237.15,1959766,4552.29,28543,
