date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2024-10-22,HYUNDAI,EQ,1934.00,1970.00,1807.00,1819.60,1960.00,28619978,540429.98,996355,
2024-10-23,HYUNDAI,EQ,1815.20,1928.90,1810.00,1896.85,1819.60,7729113,145770.81,260804,
2024-10-24,HYUNDAI,EQ,1927.95,1933.85,1853.45,1871.20,1896.85,3271622,61948.57,139203,
2024-10-25,HYUNDAI,EQ,1871.00,1884.25,1783.00,1843.75,1871.20,3219776,58630.78,165666,
2024-10-28,HYUNDAI,EQ,1843.75,1848.65,1795.00,1803.35,1843.75,1341337,24313.99,106334,
2024-10-29,HYUNDAI,EQ,1807.95,1807.95,1752.00,1758.50,1803.35,2446675,43182.21,134360,
2024-10-30,HYUNDAI,EQ,1769.95,1843.10,1760.65,1832.05,1758.50,1516619,27543.44,69125,
2024-10-31,HYUNDAI,EQ,1823.00,1842.95,1815.15,1822.55,1832.05,522279,9527.09,50594,
2024-11-01,HYUNDAI,EQ,1825.00,1848.00,1825.00,1832.30,1822.55,158166,2903.21,18027,
2024-11-04,HYUNDAI,EQ,1832.25,1841.00,1796.10,1814.45,1832.30,926694,16815.91,80527,
2024-11-05,HYUNDAI,EQ,1802.35,1840.00,1800.00,1828.25,1814.45,889751,16261.03,60337,
2024-11-06,HYUNDAI,EQ,1826.00,1868.40,1823.10,1853.50,1828.25,903413,16702.62,46740,
2024-11-07,HYUNDAI,EQ,1841.65,1849.90,1826.00,1833.65,1853.50,650585,11959.54,69698,
2024-11-08,HYUNDAI,EQ,1830.20,1847.60,1809.60,1840.15,1833.65,577813,10591.22,62978,
2024-11-11,HYUNDAI,EQ,1830.00,1865.00,1820.00,1822.05,1840.15,445794,8193.81,40937,
2024-11-12,HYUNDAI,EQ,1826.20,1842.25,1772.20,1803.95,1822.05,1069276,19269.85,55510,
2024-11-13,HYUNDAI,EQ,1787.00,1795.00,1714.00,1739.95,1803.95,1500153,26004.21,119685,
2024-11-14,HYUNDAI,EQ,1749.95,1779.00,1716.10,1765.75,1739.95,580587,10177.70,45397,
2024-11-18,HYUNDAI,EQ,1751.90,1759.00,1688.50,1729.80,1765.75,1599438,27447.75,130689,
2024-11-19,HYUNDAI,EQ,1733.00,1849.00,1729.00,1829.80,1729.80,1824631,33168.36,99461,
2024-11-21,HYUNDAI,EQ,1819.95,1859.00,1786.05,1825.55,1829.80,1171989,21460.38,85356,
2024-11-22,HYUNDAI,EQ,1825.55,1838.00,1811.25,1830.20,1825.55,436515,7983.06,34969,
2024-11-25,HYUNDAI,EQ,1835.05,1860.00,1832.05,1853.35,1830.20,791187,14624.44,58865,
2024-11-26,HYUNDAI,EQ,1854.90,1911.00,1853.35,1880.00,1853.35,825461,15590.55,70023,
2024-11-27,HYUNDAI,EQ,1905.30,1926.60,1895.00,1907.45,1880.00,894423,17062.51,54428,
2024-11-28,HYUNDAI,EQ,1890.00,1917.80,1874.15,1902.65,1907.45,692877,13131.87,65247,
2024-11-29,HYUNDAI,EQ,1905.20,1939.00,1897.05,1916.55,1902.65,1301843,24981.61,73881,
2024-12-02,HYUNDAI,EQ,1875.00,1915.45,1870.25,1880.90,1916.55,476433,9005.88,32315,
2024-12-03,HYUNDAI,EQ,1885.00,1889.85,1825.50,1849.20,1880.90,961607,17805.19,51459,
2024-12-04,HYUNDAI,EQ,1840.25,1877.00,1840.25,1872.20,1849.20,640379,11920.87,34997,
2024-12-05,HYUNDAI,EQ,1875.90,1898.90,1866.30,1878.05,1872.20,506260,9516.47,32392,
2024-12-06,HYUNDAI,EQ,1876.00,1880.00,1853.60,1858.50,1878.05,612872,11391.16,27778,
2024-12-09,HYUNDAI,EQ,1858.50,1871.00,1824.00,1826.65,1858.50,403251,7403.27,34465,
2024-12-10,HYUNDAI,EQ,1829.95,1842.95,1820.00,1833.45,1826.65,367019,6726.03,34531,
2024-12-11,HYUNDAI,EQ,1840.00,1840.00,1819.00,1823.40,1833.45,337783,6160.33,28572,
2024-12-12,HYUNDAI,EQ,1769.05,1861.00,1768.65,1798.60,1823.40,1048206,18759.78,57732,
2024-12-13,HYUNDAI,EQ,1800.00,1808.70,1760.00,1772.00,1798.60,569711,10110.84,50600,
2024-12-16,HYUNDAI,EQ,1772.00,1824.10,1766.25,1817.40,1772.00,545726,9808.26,39662,
2024-12-17,HYUNDAI,EQ,1817.40,1831.00,1802.05,1824.25,1817.40,312411,5684.71,25919,
2024-12-18,HYUNDAI,EQ,1820.50,1822.95,1790.00,1795.85,1824.25,324766,5844.13,23637,
2024-12-19,HYUNDAI,EQ,1785.15,1792.00,1766.00,1787.45,1795.85,430008,7652.47,34097,
2024-12-20,HYUNDAI,EQ,1793.25,1807.95,1758.00,1766.20,1787.45,531540,9423.91,48135,
2024-12-23,HYUNDAI,EQ,1779.55,1786.00,1738.00,1752.60,1766.20,335306,5878.92,28431,
2024-12-24,HYUNDAI,EQ,1762.10,1770.00,1749.35,1765.20,1752.60,192311,3384.39,19927,
2024-12-26,HYUNDAI,EQ,1765.20,1786.95,1750.00,1777.80,1765.20,257169,4554.23,27651,
2024-12-27,HYUNDAI,EQ,1777.80,1805.30,1776.00,1792.10,1777.80,223552,4002.39,20844,
2024-12-30,HYUNDAI,EQ,1781.40,1804.85,1776.00,1796.60,1792.10,211968,3809.46,19351,
2024-12-31,HYUNDAI,EQ,1794.95,1820.00,1786.55,1806.10,1796.60,231141,4165.35,24184,
2025-01-01,HYUNDAI,EQ,1800.00,1805.00,1791.00,1799.40,1806.10,130344,2345.59,21329,
2025-01-02,HYUNDAI,EQ,1791.30,1854.00,1791.30,1818.65,1799.40,624221,11394.73,37118,
2025-01-03,HYUNDAI,EQ,1821.95,1834.40,1812.05,1828.65,1818.65,246250,4495.98,24806,
2025-01-06,HYUNDAI,EQ,1811.00,1849.00,1797.60,1801.15,1828.65,395362,7167.25,39968,
2025-01-07,HYUNDAI,EQ,1803.05,1848.90,1803.05,1833.00,1801.15,925887,16932.18,64540,
2025-01-08,HYUNDAI,EQ,1820.00,1826.55,1800.05,1811.40,1833.00,289586,5245.17,24711,
2025-01-09,HYUNDAI,EQ,1802.00,1807.15,1766.00,1785.55,1811.40,445286,7927.43,36764,
2025-01-10,HYUNDAI,EQ,1781.00,1799.00,1774.40,1787.60,1785.55,543447,9714.75,39619,
2025-01-13,HYUNDAI,EQ,1768.40,1782.60,1747.15,1766.95,1787.60,433775,7670.05,47413,
2025-01-14,HYUNDAI,EQ,1766.95,1807.00,1764.10,1782.05,1766.95,330495,5924.19,38547,
2025-01-15,HYUNDAI,EQ,1790.00,1818.00,1776.00,1795.50,1782.05,569286,10208.13,35921,
2025-01-16,HYUNDAI,EQ,1791.95,1824.90,1791.00,1817.10,1795.50,542776,9848.70,32822,
2025-01-17,HYUNDAI,EQ,1765.00,1815.00,1738.00,1789.10,1817.10,2441970,43666.80,185056,
2025-01-20,HYUNDAI,EQ,1789.20,1795.30,1761.05,1782.45,1789.10,993234,17732.72,80096,
2025-01-21,HYUNDAI,EQ,1784.60,1801.15,1738.10,1745.55,1782.45,1036378,18251.53,121267,
2025-01-22,HYUNDAI,EQ,1759.00,1759.00,1684.85,1702.50,1745.55,1321964,22567.02,108492,
2025-01-23,HYUNDAI,EQ,1707.00,1715.00,1688.15,1705.10,1702.50,937567,15960.47,106216,
2025-01-24,HYUNDAI,EQ,1706.10,1710.35,1685.20,1705.30,1705.10,548666,9336.49,67859,
2025-01-27,HYUNDAI,EQ,1695.00,1695.00,1636.00,1643.75,1705.30,1538942,25421.20,118525,
2025-01-28,HYUNDAI,EQ,1651.50,1667.95,1615.05,1624.40,1643.75,1291382,21234.57,68566,
2025-01-29,HYUNDAI,EQ,1619.95,1661.35,1610.65,1649.50,1624.40,676152,11071.44,58867,
2025-01-30,HYUNDAI,EQ,1655.00,1655.00,1615.00,1622.00,1649.50,341982,5583.33,38871,
2025-01-31,HYUNDAI,EQ,1638.00,1686.30,1630.35,1677.55,1622.00,638701,10674.61,41301,
2025-02-03,HYUNDAI,EQ,1750.85,1811.90,1741.30,1799.90,1750.45,3536130,63490.26,128756,
2025-02-04,HYUNDAI,EQ,1801.05,1850.00,1801.05,1844.85,1799.90,1154361,21179.40,76149,
2025-02-05,HYUNDAI,EQ,1840.00,1847.00,1801.55,1841.35,1844.85,673537,12312.19,66222,
2025-02-06,HYUNDAI,EQ,1830.00,1834.60,1791.05,1825.95,1841.35,867707,15770.44,70299,
2025-02-07,HYUNDAI,EQ,1828.95,1929.00,1821.05,1898.20,1825.95,2903619,55025.49,158270,
2025-02-10,HYUNDAI,EQ,1887.50,1887.50,1845.15,1854.85,1898.20,804255,14957.73,60656,
2025-02-11,HYUNDAI,EQ,1855.00,1877.40,1797.80,1835.70,1854.85,1750256,32224.91,100930,
2025-02-12,HYUNDAI,EQ,1876.00,1898.05,1789.00,1804.10,1835.70,2325740,42399.43,109789,
2025-02-13,HYUNDAI,EQ,1823.00,1861.90,1788.80,1799.20,1804.10,1173472,21373.55,73148,
2025-02-14,HYUNDAI,EQ,1808.85,1850.00,1792.00,1806.30,1799.20,1333382,24171.41,70033,
2025-02-17,HYUNDAI,EQ,1805.00,1855.00,1758.10,1843.90,1806.30,1994718,36099.42,74472,
2025-02-18,HYUNDAI,EQ,1843.90,1869.60,1796.00,1811.05,1843.90,1284671,23443.91,81370,
2025-02-19,HYUNDAI,EQ,1820.00,1890.30,1795.65,1875.95,1811.05,1179676,21765.58,55542,
2025-02-20,HYUNDAI,EQ,1867.30,1875.00,1835.60,1853.25,1875.95,1021304,18918.10,61712,
2025-02-21,HYUNDAI,EQ,1846.00,1875.00,1778.00,1797.90,1853.25,1310998,23852.14,94418,
2025-02-24,HYUNDAI,EQ,1793.00,1819.20,1772.45,1794.50,1797.90,978604,17582.45,71398,
2025-02-25,HYUNDAI,EQ,1794.50,1839.70,1791.20,1826.35,1794.50,1269628,23112.34,81765,
2025-02-27,HYUNDAI,EQ,1809.00,1810.40,1700.00,1723.00,1826.35,1554491,26753.99,116303,
2025-02-28,HYUNDAI,EQ,1760.00,1813.45,1656.00,1729.90,1723.00,29179375,504603.77,279572,
2025-03-03,HYUNDAI,EQ,1681.00,1729.20,1661.10,1695.25,1729.90,936736,15869.66,63308,
