date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ICICIBANK,EQ,539.90,542.50,535.70,536.75,538.90,7642793,41118.22,63603,
2020-01-02,ICICIBANK,EQ,536.00,541.90,535.85,540.60,536.75,10264223,55369.66,98335,
2020-01-03,ICICIBANK,EQ,538.00,540.80,536.25,538.85,540.60,9594690,51663.26,93857,
2020-01-06,ICICIBANK,EQ,537.25,537.25,523.80,525.70,538.85,12534334,66120.06,125249,
2020-01-07,ICICIBANK,EQ,531.30,535.60,521.65,522.90,525.70,16101835,84809.27,131048,
2020-01-08,ICICIBANK,EQ,516.00,527.35,515.00,525.95,522.90,16094310,83959.81,139653,
2020-01-09,ICICIBANK,EQ,530.70,547.40,530.30,546.30,525.95,18934019,102573.79,206294,
2020-01-10,ICICIBANK,EQ,544.90,546.50,538.50,540.25,546.30,12335407,66928.60,156533,
2020-01-13,ICICIBANK,EQ,539.40,546.05,538.00,538.60,540.25,7901800,42758.00,87689,
2020-01-14,ICICIBANK,EQ,536.20,538.95,534.15,537.60,538.60,13939440,74774.22,138643,
2020-01-15,ICICIBANK,EQ,535.10,536.95,530.65,535.60,537.60,12353176,65868.48,146646,
2020-01-16,ICICIBANK,EQ,533.90,540.00,533.20,537.15,535.60,11249232,60352.99,127585,
2020-01-17,ICICIBANK,EQ,534.50,538.00,530.60,532.05,537.15,18312609,97894.45,163715,
2020-01-20,ICICIBANK,EQ,533.00,544.00,531.00,534.85,532.05,19159996,103072.98,185612,
2020-01-21,ICICIBANK,EQ,532.95,540.25,530.20,531.05,534.85,13477994,72127.83,158365,
2020-01-22,ICICIBANK,EQ,531.50,534.95,520.75,522.85,531.05,17527408,92149.04,181749,
2020-01-23,ICICIBANK,EQ,521.40,530.25,517.05,527.70,522.85,17061293,89586.57,168104,
2020-01-24,ICICIBANK,EQ,529.25,537.40,527.00,533.85,527.70,17851868,95020.67,164870,
2020-01-27,ICICIBANK,EQ,538.50,545.00,531.50,537.25,533.85,38149166,206177.52,345778,
2020-01-28,ICICIBANK,EQ,538.10,540.60,524.45,528.20,537.25,24009224,128166.26,180957,
2020-01-29,ICICIBANK,EQ,531.55,534.80,525.30,526.60,528.20,16400827,86958.57,137153,
2020-01-30,ICICIBANK,EQ,527.65,533.95,524.15,532.20,526.60,14319317,75691.88,184707,
2020-01-31,ICICIBANK,EQ,530.00,532.75,522.40,525.65,532.20,16292578,85935.21,151745,
