date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,IDFCFIRSTB,EQ,45.35,45.95,44.95,45.80,45.15,12581227,5726.91,21737,
2020-01-02,IDFCFIRSTB,EQ,46.00,46.55,45.50,46.15,45.80,16903047,7773.49,32986,
2020-01-03,IDFCFIRSTB,EQ,46.10,46.50,45.15,45.45,46.15,14646549,6703.47,27108,
2020-01-06,IDFCFIRSTB,EQ,45.05,45.30,43.50,43.65,45.45,17221990,7599.52,32133,
2020-01-07,IDFCFIRSTB,EQ,44.00,44.65,43.00,43.50,43.65,17336782,7597.56,29140,
2020-01-08,IDFCFIRSTB,EQ,43.00,43.55,42.60,43.10,43.50,15122383,6510.87,26427,
2020-01-09,IDFCFIRSTB,EQ,43.75,44.75,43.50,44.35,43.10,19277585,8524.22,26141,
2020-01-10,IDFCFIRSTB,EQ,44.60,44.75,43.80,43.95,44.35,10735748,4754.54,19385,
2020-01-13,IDFCFIRSTB,EQ,44.20,44.50,43.90,44.30,43.95,9007779,3982.34,15771,
2020-01-14,IDFCFIRSTB,EQ,44.30,44.80,44.00,44.60,44.30,10977076,4879.01,22419,
2020-01-15,IDFCFIRSTB,EQ,44.70,45.45,44.10,45.00,44.60,23476674,10553.87,25855,
2020-01-16,IDFCFIRSTB,EQ,45.25,45.45,44.85,45.00,45.00,14976576,6766.16,18475,
2020-01-17,IDFCFIRSTB,EQ,43.50,44.30,41.35,43.50,45.00,28332556,12266.80,42236,
2020-01-20,IDFCFIRSTB,EQ,45.45,45.45,42.70,43.05,43.50,15760822,6842.52,30174,
2020-01-21,IDFCFIRSTB,EQ,43.00,43.85,42.95,43.20,43.05,13924250,6035.22,23423,
2020-01-22,IDFCFIRSTB,EQ,43.50,43.60,43.05,43.35,43.20,8871732,3844.27,17354,
2020-01-23,IDFCFIRSTB,EQ,43.30,44.05,43.05,43.60,43.35,13603990,5932.82,18040,
2020-01-24,IDFCFIRSTB,EQ,43.50,44.25,43.50,44.00,43.60,14965229,6578.59,20504,
2020-01-27,IDFCFIRSTB,EQ,43.90,44.30,43.35,43.75,44.00,14328490,6288.97,23778,
2020-01-28,IDFCFIRSTB,EQ,43.80,43.95,43.05,43.30,43.75,11659396,5080.31,18584,
2020-01-29,IDFCFIRSTB,EQ,43.40,44.65,43.40,44.05,43.30,28530084,12614.33,40136,
2020-01-30,IDFCFIRSTB,EQ,42.55,43.05,40.25,40.75,44.05,60562619,25189.12,99316,
2020-01-31,IDFCFIRSTB,EQ,41.00,41.40,40.20,40.70,40.75,20967183,8547.42,34574,
2020-02-03,IDFCFIRSTB,EQ,39.20,39.80,38.80,39.20,39.15,18296730,7183.96,29168,
2020-02-04,IDFCFIRSTB,EQ,39.55,40.80,39.30,40.55,39.20,15944397,6388.74,24008,
2020-02-05,IDFCFIRSTB,EQ,40.80,41.60,40.45,41.05,40.55,12425347,5112.68,22110,
2020-02-06,IDFCFIRSTB,EQ,41.15,42.70,40.90,42.05,41.05,18913697,7913.67,25884,
2020-02-07,IDFCFIRSTB,EQ,42.20,42.35,41.65,42.00,42.05,10135694,4258.16,16902,
2020-02-10,IDFCFIRSTB,EQ,42.15,42.25,41.10,41.25,42.00,9818382,4074.32,15754,
2020-02-11,IDFCFIRSTB,EQ,41.40,41.95,41.30,41.50,41.25,6833482,2844.70,12577,
2020-02-12,IDFCFIRSTB,EQ,41.70,41.85,40.70,40.95,41.50,7732846,3182.35,15415,
2020-02-13,IDFCFIRSTB,EQ,40.95,41.10,40.65,40.90,40.95,5677699,2319.59,10609,
2020-02-14,IDFCFIRSTB,EQ,40.85,41.60,39.45,39.60,40.90,18544193,7473.02,32018,
2020-02-17,IDFCFIRSTB,EQ,39.70,39.90,38.75,38.90,39.60,12010682,4711.86,22659,
2020-02-18,IDFCFIRSTB,EQ,38.75,38.80,37.75,38.45,38.90,17612378,6719.17,27879,
2020-02-19,IDFCFIRSTB,EQ,39.15,40.50,38.90,39.90,38.45,15547341,6151.52,22613,
2020-02-20,IDFCFIRSTB,EQ,39.95,40.85,39.45,40.30,39.90,13127946,5299.02,20535,
2020-02-24,IDFCFIRSTB,EQ,39.95,40.15,39.20,39.30,40.30,11688001,4637.23,20838,
2020-02-25,IDFCFIRSTB,EQ,39.40,39.85,38.85,39.35,39.30,12208845,4797.98,15418,
2020-02-26,IDFCFIRSTB,EQ,39.00,39.40,38.80,38.95,39.35,10700264,4184.33,13770,
