date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,INDHOTEL,EQ,145.00,145.85,143.60,144.20,145.00,160775,232.34,1834,
2020-01-02,INDHOTEL,EQ,144.60,151.00,143.55,147.60,144.20,1657880,2457.61,14333,
2020-01-03,INDHOTEL,EQ,145.50,147.30,144.10,145.90,147.60,410983,599.15,4992,
2020-01-06,INDHOTEL,EQ,145.00,145.80,140.35,141.05,145.90,416160,592.52,7342,
2020-01-07,INDHOTEL,EQ,142.90,143.85,140.55,140.90,141.05,1202154,1704.96,14374,
2020-01-08,INDHOTEL,EQ,140.00,140.25,137.40,139.20,140.90,1191802,1655.05,13325,
2020-01-09,INDHOTEL,EQ,140.40,142.25,138.80,139.70,139.20,989555,1385.55,9197,
2020-01-10,INDHOTEL,EQ,140.20,141.35,136.50,138.10,139.70,946528,1321.27,14053,
2020-01-13,INDHOTEL,EQ,139.85,139.85,137.50,138.00,138.10,608348,842.26,10843,
2020-01-14,INDHOTEL,EQ,138.45,140.65,136.70,140.00,138.00,2068215,2856.80,7916,
2020-01-15,INDHOTEL,EQ,140.00,141.50,136.85,137.85,140.00,891068,1235.23,9517,
2020-01-16,INDHOTEL,EQ,138.45,141.85,137.30,141.25,137.85,908345,1268.55,8668,
2020-01-17,INDHOTEL,EQ,141.00,146.00,139.30,145.50,141.25,1142899,1643.77,26469,
2020-01-20,INDHOTEL,EQ,145.00,145.90,142.50,143.40,145.50,1750451,2509.76,18322,
2020-01-21,INDHOTEL,EQ,141.55,144.50,141.55,144.10,143.40,1250565,1790.67,7641,
2020-01-22,INDHOTEL,EQ,143.65,145.75,143.50,144.20,144.10,251517,363.09,3037,
2020-01-23,INDHOTEL,EQ,144.45,146.10,141.80,144.20,144.20,865884,1245.05,10395,
2020-01-24,INDHOTEL,EQ,144.00,145.50,143.80,145.10,144.20,358719,520.32,4402,
2020-01-27,INDHOTEL,EQ,145.00,147.75,142.80,143.25,145.10,535829,779.02,7897,
2020-01-28,INDHOTEL,EQ,145.30,145.30,139.25,140.05,143.25,1640073,2303.37,30235,
2020-01-29,INDHOTEL,EQ,139.50,142.35,139.50,140.25,140.05,613973,861.47,12845,
2020-01-30,INDHOTEL,EQ,141.00,142.35,139.55,140.70,140.25,1779356,2508.48,7428,
2020-01-31,INDHOTEL,EQ,142.95,143.00,138.25,142.30,140.70,718940,1014.10,9694,
2020-02-03,INDHOTEL,EQ,138.75,141.65,137.55,140.85,138.70,602454,847.16,6361,
2020-02-04,INDHOTEL,EQ,141.50,142.50,139.35,140.40,140.85,1989998,2805.25,7070,
2020-02-05,INDHOTEL,EQ,141.25,141.50,139.20,140.15,140.40,585389,820.38,5037,
2020-02-06,INDHOTEL,EQ,140.20,142.00,140.20,141.55,140.15,963024,1358.84,4751,
2020-02-07,INDHOTEL,EQ,142.00,142.80,139.40,140.15,141.55,821782,1153.11,21585,
2020-02-10,INDHOTEL,EQ,139.50,140.50,137.00,137.90,140.15,899029,1241.84,13201,
2020-02-11,INDHOTEL,EQ,140.00,140.00,138.30,139.00,137.90,627531,872.47,5943,
2020-02-12,INDHOTEL,EQ,139.85,139.85,137.60,137.95,139.00,284494,393.51,4798,
2020-02-13,INDHOTEL,EQ,138.00,139.10,132.90,134.20,137.95,1503932,2062.07,15243,
2020-02-14,INDHOTEL,EQ,133.90,135.00,132.90,134.05,134.20,789618,1058.71,13329,
2020-02-17,INDHOTEL,EQ,134.45,135.00,130.90,131.55,134.05,1703903,2248.05,6097,
2020-02-18,INDHOTEL,EQ,131.00,132.80,126.70,130.90,131.55,788349,1022.96,14055,
2020-02-19,INDHOTEL,EQ,132.40,137.85,130.60,137.15,130.90,791951,1052.30,6299,
2020-02-20,INDHOTEL,EQ,137.15,141.80,134.20,140.05,137.15,1547185,2135.69,15032,
2020-02-24,INDHOTEL,EQ,139.90,139.90,137.00,138.00,140.05,1243878,1717.03,27494,
2020-02-25,INDHOTEL,EQ,140.00,141.00,138.30,139.90,138.00,1332396,1855.63,9950,
2020-02-26,INDHOTEL,EQ,138.75,141.20,138.00,140.30,139.90,2288172,3201.99,11471,
2020-02-27,INDHOTEL,EQ,140.30,141.35,136.55,140.95,140.30,850169,1186.60,12128,
2020-02-28,INDHOTEL,EQ,135.25,137.50,127.15,135.00,140.95,3877212,5125.09,60240,
2020-03-02,INDHOTEL,EQ,134.15,138.65,130.05,133.85,135.00,7551033,10130.01,25926,
2020-03-03,INDHOTEL,EQ,134.00,135.75,128.05,133.00,133.85,1732229,2283.78,20606,
2020-03-04,INDHOTEL,EQ,131.40,132.95,121.30,123.85,133.00,3318780,4234.40,36439,
2020-03-05,INDHOTEL,EQ,124.50,125.85,115.00,118.95,123.85,5905737,6923.49,52818,
2020-03-06,INDHOTEL,EQ,115.00,122.90,113.20,120.90,118.95,3251563,3829.78,19099,
2020-03-09,INDHOTEL,EQ,118.70,118.95,112.00,115.35,120.90,1363256,1572.83,49590,
2020-03-11,INDHOTEL,EQ,115.00,115.90,111.75,114.10,115.35,1807420,2056.52,33515,
2020-03-12,INDHOTEL,EQ,109.35,117.40,96.40,110.10,114.10,21657388,23129.78,69961,
2020-03-13,INDHOTEL,EQ,100.05,116.65,100.05,115.15,110.10,5726676,6323.76,43022,
2020-03-16,INDHOTEL,EQ,106.20,110.45,99.85,109.15,115.15,4693097,5013.58,97531,
2020-03-17,INDHOTEL,EQ,106.00,109.15,99.00,99.75,109.15,3319778,3342.85,28322,
2020-03-18,INDHOTEL,EQ,100.35,102.95,86.65,90.05,99.75,2058750,1868.94,28893,
2020-03-19,INDHOTEL,EQ,86.50,87.80,81.00,83.55,90.05,1877988,1554.01,19448,
2020-03-20,INDHOTEL,EQ,84.00,92.00,82.20,90.60,83.55,1149543,991.44,13819,
2020-03-23,INDHOTEL,EQ,80.00,85.70,73.20,74.65,90.60,1638469,1321.73,16330,
2020-03-24,INDHOTEL,EQ,75.50,80.70,73.25,77.15,74.65,1045057,804.15,12503,
2020-03-25,INDHOTEL,EQ,74.00,81.00,72.10,75.55,77.15,4363598,3330.87,32839,
2020-03-26,INDHOTEL,EQ,74.60,82.95,73.30,78.25,75.55,2721401,2156.21,42073,
2020-03-27,INDHOTEL,EQ,79.00,81.25,74.10,75.90,78.25,1146598,877.17,26470,
2020-03-30,INDHOTEL,EQ,75.90,77.60,73.25,75.20,75.90,1474945,1107.00,25788,
2020-03-31,INDHOTEL,EQ,77.00,77.00,73.30,75.00,75.20,1441863,1078.99,42296,
2020-04-01,INDHOTEL,EQ,74.50,76.50,70.30,72.00,75.00,2806461,2042.97,19936,
2020-04-03,INDHOTEL,EQ,73.80,73.80,69.00,69.35,72.00,1324966,931.53,18561,
2020-04-07,INDHOTEL,EQ,75.00,75.00,69.75,73.90,69.35,2760515,1968.22,25904,
2020-04-08,INDHOTEL,EQ,74.90,80.40,72.60,75.05,73.90,4302515,3257.01,22002,
2020-04-09,INDHOTEL,EQ,76.00,77.45,74.40,75.35,75.05,2069115,1564.36,20644,
2020-04-13,INDHOTEL,EQ,75.00,75.20,72.20,72.45,75.35,2620169,1910.20,13938,
2020-04-15,INDHOTEL,EQ,72.20,84.80,72.20,82.25,72.45,8202964,6210.22,36168,
2020-04-16,INDHOTEL,EQ,79.00,83.50,78.15,80.70,82.25,3277041,2608.88,21912,
2020-04-17,INDHOTEL,EQ,84.00,85.00,80.10,80.50,80.70,1368527,1126.87,20321,
2020-04-20,INDHOTEL,EQ,83.80,84.95,81.10,81.40,80.50,1316184,1087.49,22155,
2020-04-21,INDHOTEL,EQ,79.95,80.00,76.35,79.60,81.40,6219676,4819.45,13857,
2020-04-22,INDHOTEL,EQ,81.85,83.95,76.75,77.70,79.60,7901392,6170.97,21501,
2020-04-23,INDHOTEL,EQ,77.25,82.00,77.25,78.70,77.70,4236730,3338.99,19645,
2020-04-24,INDHOTEL,EQ,77.60,80.70,75.35,76.00,78.70,2580911,2009.95,18909,
2020-04-27,INDHOTEL,EQ,76.35,79.80,73.80,74.20,76.00,1648921,1248.67,18027,
2020-04-28,INDHOTEL,EQ,74.85,76.00,73.40,75.10,74.20,2926315,2188.06,7805,
2020-04-29,INDHOTEL,EQ,75.25,76.40,75.00,75.35,75.10,560417,423.58,4978,
2020-04-30,INDHOTEL,EQ,75.65,81.00,75.65,79.90,75.35,4184284,3319.39,28438,
2020-05-04,INDHOTEL,EQ,77.00,77.00,72.45,72.65,79.90,2044536,1505.04,27498,
2020-05-05,INDHOTEL,EQ,74.45,74.45,72.20,73.10,72.65,6707245,4898.14,7263,
2020-05-06,INDHOTEL,EQ,73.85,73.85,71.10,71.45,73.10,592120,426.82,7351,
2020-05-07,INDHOTEL,EQ,71.15,71.80,69.65,69.95,71.45,1157428,812.86,28999,
2020-05-08,INDHOTEL,EQ,71.00,71.70,65.70,67.25,69.95,1196854,824.56,12077,
2020-05-11,INDHOTEL,EQ,66.40,68.35,65.05,66.05,67.25,1708999,1131.72,18462,
2020-05-12,INDHOTEL,EQ,66.10,66.45,64.50,64.90,66.05,1186697,772.27,13871,
2020-05-13,INDHOTEL,EQ,70.00,70.00,66.15,67.20,64.90,2293592,1550.88,19712,
2020-05-14,INDHOTEL,EQ,65.50,66.80,65.20,65.70,67.20,941741,620.53,11924,
2020-05-15,INDHOTEL,EQ,65.20,68.40,64.55,67.85,65.70,3502700,2337.09,35550,
2020-05-18,INDHOTEL,EQ,65.00,65.00,62.10,62.30,67.85,1878994,1183.19,13840,
2020-05-19,INDHOTEL,EQ,64.00,64.85,62.25,64.30,62.30,956970,608.73,7030,
2020-05-20,INDHOTEL,EQ,64.50,64.90,63.55,64.10,64.30,472541,303.80,4905,
2020-05-21,INDHOTEL,EQ,65.00,70.65,64.65,69.45,64.10,3107336,2120.94,27485,
2020-05-22,INDHOTEL,EQ,68.50,71.20,67.70,69.10,69.45,1516893,1051.56,14308,
2020-05-26,INDHOTEL,EQ,69.70,70.90,67.35,67.75,69.10,928952,636.80,6576,
2020-05-27,INDHOTEL,EQ,68.90,69.70,66.70,67.70,67.75,1159962,788.53,6404,
2020-05-28,INDHOTEL,EQ,69.10,74.25,69.05,73.65,67.70,4408515,3209.58,23696,
2020-05-29,INDHOTEL,EQ,74.60,76.00,72.65,75.60,73.65,2185790,1631.52,10978,
2020-06-01,INDHOTEL,EQ,79.90,85.00,79.05,84.15,75.60,7609877,6280.08,46743,
2020-06-02,INDHOTEL,EQ,85.80,85.80,83.80,84.20,84.15,3452448,2921.21,42425,
2020-06-03,INDHOTEL,EQ,86.00,86.10,82.15,82.80,84.20,3122939,2645.31,44135,
2020-06-04,INDHOTEL,EQ,82.55,84.25,81.30,83.65,82.80,1962964,1630.34,38571,
2020-06-05,INDHOTEL,EQ,85.50,93.45,84.20,91.25,83.65,6635342,5895.85,49179,
2020-06-08,INDHOTEL,EQ,94.80,96.50,88.30,89.20,91.25,3998298,3716.43,35475,
2020-06-09,INDHOTEL,EQ,90.15,92.70,85.70,89.10,89.20,7386140,6549.91,33579,
2020-06-10,INDHOTEL,EQ,89.10,95.00,89.10,92.65,89.10,5223047,4815.40,36264,
2020-06-11,INDHOTEL,EQ,89.30,93.50,85.40,90.90,92.65,8851976,8148.33,21010,
2020-06-12,INDHOTEL,EQ,85.00,89.50,85.00,88.80,90.90,1796769,1579.88,10761,
2020-06-15,INDHOTEL,EQ,88.70,90.75,86.00,87.00,88.80,1880185,1661.13,12872,
2020-06-16,INDHOTEL,EQ,88.55,89.20,81.30,84.35,87.00,3133347,2696.71,17825,
2020-06-17,INDHOTEL,EQ,84.65,85.60,81.00,81.40,84.35,3785558,3163.14,28037,
2020-06-18,INDHOTEL,EQ,81.40,83.40,80.00,80.55,81.40,2242856,1831.75,27140,
2020-06-19,INDHOTEL,EQ,82.45,85.80,80.60,83.35,80.55,3056317,2545.23,19537,
2020-06-22,INDHOTEL,EQ,84.35,85.90,83.25,84.20,83.35,1680440,1417.76,10910,
2020-06-23,INDHOTEL,EQ,85.30,85.30,83.00,83.80,84.20,1621960,1360.09,10413,
2020-06-24,INDHOTEL,EQ,84.75,86.40,81.00,81.35,83.80,4230965,3561.97,22296,
2020-06-25,INDHOTEL,EQ,81.80,82.60,81.00,82.10,81.35,1190207,971.70,9896,
2020-06-26,INDHOTEL,EQ,82.70,83.60,81.10,81.50,82.10,879902,722.89,6003,
2020-06-29,INDHOTEL,EQ,82.00,82.90,79.00,79.35,81.50,2003495,1613.94,9985,
2020-06-30,INDHOTEL,EQ,80.00,81.00,79.40,79.90,79.35,1777461,1424.06,4537,
2020-07-01,INDHOTEL,EQ,79.55,80.50,79.00,79.20,79.90,722386,573.82,5545,
2020-07-02,INDHOTEL,EQ,79.50,81.15,79.00,79.35,79.20,1611191,1288.11,6976,
2020-07-03,INDHOTEL,EQ,79.95,80.80,79.00,80.30,79.35,1109300,889.08,7322,
2020-07-06,INDHOTEL,EQ,81.35,82.40,80.15,81.40,80.30,1824382,1482.34,10366,
2020-07-07,INDHOTEL,EQ,83.70,87.80,83.00,85.05,81.40,9616459,8208.36,65784,
2020-07-08,INDHOTEL,EQ,86.35,86.80,83.25,83.65,85.05,3730505,3195.18,20122,
2020-07-09,INDHOTEL,EQ,84.55,84.55,81.50,81.80,83.65,1403368,1158.78,12479,
2020-07-10,INDHOTEL,EQ,81.70,82.20,80.40,81.25,81.80,1249573,1014.64,8826,
2020-07-13,INDHOTEL,EQ,81.50,81.95,79.60,80.05,81.25,1051905,843.84,7372,
2020-07-14,INDHOTEL,EQ,79.95,81.90,78.00,79.70,80.05,1431749,1130.57,8713,
2020-07-15,INDHOTEL,EQ,80.35,80.40,78.70,79.30,79.70,1387312,1100.97,22271,
2020-07-16,INDHOTEL,EQ,79.80,79.80,77.10,78.65,79.30,923618,720.15,10765,
2020-07-17,INDHOTEL,EQ,78.45,79.90,77.70,79.40,78.65,3550352,2789.13,14612,
2020-07-20,INDHOTEL,EQ,79.75,83.50,78.55,81.70,79.40,3295502,2654.84,19635,
2020-07-21,INDHOTEL,EQ,83.80,84.50,80.00,80.35,81.70,4409458,3603.98,27004,
2020-07-22,INDHOTEL,EQ,81.15,81.70,79.70,79.90,80.35,2352394,1895.59,15772,
2020-07-23,INDHOTEL,EQ,80.45,82.50,79.95,81.35,79.90,3791825,3076.41,8995,
2020-07-24,INDHOTEL,EQ,81.65,81.90,79.00,79.15,81.35,1953576,1556.30,14778,
2020-07-27,INDHOTEL,EQ,79.45,80.05,78.30,78.40,79.15,1078984,853.34,6957,
2020-07-28,INDHOTEL,EQ,78.40,79.35,78.00,78.85,78.40,998628,784.38,7589,
2020-07-29,INDHOTEL,EQ,79.00,80.80,78.80,79.15,78.85,1690831,1348.12,10793,
2020-07-30,INDHOTEL,EQ,79.65,79.65,76.70,76.90,79.15,2779518,2166.90,19777,
2020-07-31,INDHOTEL,EQ,77.60,78.20,76.10,76.35,76.90,2093421,1609.30,10173,
2020-08-03,INDHOTEL,EQ,76.40,78.50,76.35,77.25,76.35,1714485,1326.63,10718,
2020-08-04,INDHOTEL,EQ,77.95,78.00,76.80,76.90,77.25,1280326,988.45,7964,
2020-08-05,INDHOTEL,EQ,77.10,78.20,76.80,77.80,76.90,1743178,1346.68,8297,
2020-08-06,INDHOTEL,EQ,79.25,79.60,77.60,77.85,77.80,1681247,1319.82,13061,
2020-08-07,INDHOTEL,EQ,77.70,78.30,77.00,77.85,77.85,1606503,1249.32,9103,
2020-08-10,INDHOTEL,EQ,79.30,81.40,78.10,80.95,77.85,3326350,2686.01,26504,
2020-08-11,INDHOTEL,EQ,82.00,84.80,80.50,83.55,80.95,17937792,14697.50,45494,
2020-08-12,INDHOTEL,EQ,83.25,87.85,83.00,87.40,83.55,9224081,7956.30,35514,
2020-08-13,INDHOTEL,EQ,88.00,98.90,87.75,97.65,87.40,24582532,23369.99,117521,
2020-08-14,INDHOTEL,EQ,99.60,102.50,91.00,93.75,97.65,10165610,9782.69,52490,
2020-08-17,INDHOTEL,EQ,95.40,96.00,92.00,92.85,93.75,2647879,2472.92,19817,
2020-08-18,INDHOTEL,EQ,93.30,98.00,93.25,97.25,92.85,5978902,5731.21,38050,
2020-08-19,INDHOTEL,EQ,97.95,98.30,96.00,96.75,97.25,2078132,2012.51,15281,
2020-08-20,INDHOTEL,EQ,96.70,104.50,96.15,102.50,96.75,11943094,12120.78,57886,
2020-08-21,INDHOTEL,EQ,104.45,106.45,100.00,100.85,102.50,5513988,5731.60,38600,
2020-08-24,INDHOTEL,EQ,102.35,106.00,101.20,104.50,100.85,12277119,12801.29,40590,
2020-08-25,INDHOTEL,EQ,105.65,106.85,103.40,104.65,104.50,4698446,4924.26,19359,
2020-08-26,INDHOTEL,EQ,104.00,105.50,103.55,104.95,104.65,2131877,2229.71,14538,
2020-08-27,INDHOTEL,EQ,105.00,111.15,103.50,106.75,104.95,5167127,5545.96,29463,
2020-08-28,INDHOTEL,EQ,107.60,112.50,105.00,108.65,106.75,5759670,6296.55,51996,
2020-08-31,INDHOTEL,EQ,109.85,111.30,100.00,103.70,108.65,4880429,5135.79,36130,
2020-09-01,INDHOTEL,EQ,104.95,108.30,102.25,103.10,103.70,2809864,2940.76,19649,
2020-09-02,INDHOTEL,EQ,103.10,105.35,102.90,103.60,103.10,1090407,1134.14,9633,
2020-09-03,INDHOTEL,EQ,104.40,106.30,104.15,105.05,103.60,6573735,6907.97,19335,
2020-09-04,INDHOTEL,EQ,103.00,106.70,101.00,101.85,105.05,5854951,6100.19,20342,
2020-09-07,INDHOTEL,EQ,101.85,104.25,100.10,103.25,101.85,1868318,1906.85,14158,
2020-09-08,INDHOTEL,EQ,104.00,104.00,96.30,97.70,103.25,3093969,3103.98,26630,
2020-09-09,INDHOTEL,EQ,96.35,99.35,93.00,98.85,97.70,2779333,2661.98,24042,
2020-09-10,INDHOTEL,EQ,99.65,101.00,98.15,99.35,98.85,1376688,1373.15,9463,
2020-09-11,INDHOTEL,EQ,98.00,100.00,97.25,99.15,99.35,1152771,1141.20,10976,
2020-09-14,INDHOTEL,EQ,100.00,103.00,99.95,102.70,99.15,1709372,1733.84,14220,
2020-09-15,INDHOTEL,EQ,103.15,103.95,99.70,103.30,102.70,8039874,8150.04,16790,
2020-09-16,INDHOTEL,EQ,103.60,103.85,101.45,101.85,103.30,5992215,6130.18,11699,
2020-09-17,INDHOTEL,EQ,102.70,102.70,99.25,99.65,101.85,1535314,1548.72,14695,
2020-09-18,INDHOTEL,EQ,99.80,102.35,99.00,100.15,99.65,1955516,1960.84,18047,
2020-09-21,INDHOTEL,EQ,100.60,101.50,95.00,95.95,100.15,1694524,1662.03,17758,
2020-09-22,INDHOTEL,EQ,95.00,95.60,90.00,92.65,95.95,2973137,2746.51,54485,
2020-09-23,INDHOTEL,EQ,94.05,95.10,90.00,92.00,92.65,1781836,1652.61,12613,
2020-09-24,INDHOTEL,EQ,91.00,91.95,88.65,90.90,92.00,1505959,1362.20,15602,
2020-09-25,INDHOTEL,EQ,90.90,94.65,89.30,91.65,90.90,2495682,2259.56,15964,
2020-09-28,INDHOTEL,EQ,93.70,97.05,92.90,96.30,91.65,2023538,1935.95,16613,
2020-09-29,INDHOTEL,EQ,97.70,98.00,95.00,95.50,96.30,1323578,1269.23,11482,
2020-09-30,INDHOTEL,EQ,95.70,96.45,94.05,95.00,95.50,1469831,1397.06,11719,
2020-10-01,INDHOTEL,EQ,99.20,101.70,93.50,97.00,95.00,13320448,13023.93,34985,
2020-10-05,INDHOTEL,EQ,97.85,101.90,96.45,101.20,97.00,5944777,5869.23,20953,
2020-10-06,INDHOTEL,EQ,101.70,102.80,99.65,101.00,101.20,12723037,12902.04,20891,
2020-10-07,INDHOTEL,EQ,101.00,101.35,98.55,99.80,101.00,4048611,4040.84,9479,
2020-10-08,INDHOTEL,EQ,100.10,100.55,95.90,97.70,99.80,1207438,1193.73,9055,
2020-10-09,INDHOTEL,EQ,97.45,98.70,96.05,96.25,97.70,1061272,1029.49,9077,
2020-10-12,INDHOTEL,EQ,96.80,97.90,94.00,95.05,96.25,1396604,1338.97,7961,
2020-10-13,INDHOTEL,EQ,94.65,95.75,94.00,94.40,95.05,807258,765.84,7866,
2020-10-14,INDHOTEL,EQ,94.00,96.95,93.50,96.00,94.40,2390013,2273.01,10771,
2020-10-15,INDHOTEL,EQ,96.15,96.70,93.00,93.40,96.00,768753,729.29,7053,
2020-10-16,INDHOTEL,EQ,93.40,98.50,93.40,97.15,93.40,1390411,1341.14,14229,
2020-10-19,INDHOTEL,EQ,97.85,97.85,96.20,97.10,97.15,3905940,3788.01,6807,
2020-10-20,INDHOTEL,EQ,96.20,99.65,95.75,98.15,97.10,1072998,1048.77,9092,
2020-10-21,INDHOTEL,EQ,98.65,101.00,98.15,100.40,98.15,1662757,1661.42,9679,
2020-10-22,INDHOTEL,EQ,99.70,100.85,98.60,100.40,100.40,1950845,1956.39,8547,
2020-10-23,INDHOTEL,EQ,101.45,102.90,99.65,100.55,100.40,2473809,2496.68,11492,
2020-10-26,INDHOTEL,EQ,101.00,101.70,97.00,97.60,100.55,5998328,5974.30,11210,
2020-10-27,INDHOTEL,EQ,97.75,97.85,95.70,97.40,97.60,7995208,7731.65,44739,
2020-10-28,INDHOTEL,EQ,97.80,99.40,96.40,97.55,97.40,743702,730.54,7940,
2020-10-29,INDHOTEL,EQ,96.05,97.45,96.00,96.90,97.55,540430,522.97,5976,
2020-10-30,INDHOTEL,EQ,97.20,97.50,95.00,95.40,96.90,614790,590.96,7987,
2020-11-02,INDHOTEL,EQ,95.40,95.95,91.50,92.20,95.40,4644104,4297.29,13585,
2020-11-03,INDHOTEL,EQ,93.00,96.70,93.00,96.30,92.20,1481057,1405.81,9007,
2020-11-04,INDHOTEL,EQ,95.55,97.60,95.10,96.60,96.30,686035,661.24,7706,
2020-11-05,INDHOTEL,EQ,96.35,99.45,95.00,98.90,96.60,1783211,1742.58,10008,
2020-11-06,INDHOTEL,EQ,99.95,100.40,98.00,98.55,98.90,1212531,1205.03,7692,
2020-11-09,INDHOTEL,EQ,99.80,100.00,96.70,99.45,98.55,1149443,1140.23,8316,
2020-11-10,INDHOTEL,EQ,108.50,116.40,105.00,113.70,99.45,18666049,20710.11,108995,
2020-11-11,INDHOTEL,EQ,113.50,113.50,107.00,108.50,113.70,3366186,3668.23,22194,
2020-11-12,INDHOTEL,EQ,110.15,113.90,109.05,111.95,108.50,3104999,3485.28,22150,
2020-11-13,INDHOTEL,EQ,112.40,112.90,110.00,111.20,111.95,735733,818.48,7047,
2020-11-17,INDHOTEL,EQ,115.90,122.75,114.00,120.15,111.80,12079563,14445.70,73264,
2020-11-18,INDHOTEL,EQ,118.80,119.75,117.20,118.45,120.15,1767316,2092.80,16109,
2020-11-19,INDHOTEL,EQ,118.40,118.90,114.00,114.70,118.45,3351177,3919.32,19634,
2020-11-20,INDHOTEL,EQ,116.35,117.50,113.05,113.60,114.70,1387623,1599.07,15121,
2020-11-23,INDHOTEL,EQ,113.00,115.50,111.05,113.20,113.60,2857862,3240.54,27045,
2020-11-24,INDHOTEL,EQ,113.40,115.80,113.20,114.80,113.20,1195612,1374.29,12664,
2020-11-25,INDHOTEL,EQ,115.30,116.10,109.60,110.70,114.80,3237331,3642.34,24776,
2020-11-26,INDHOTEL,EQ,112.90,114.50,110.50,112.75,110.70,1870872,2102.81,15949,
