date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,INDIGO,EQ,1333.55,1347.65,1330.00,1333.00,1333.55,377625,5050.41,12274,
2020-01-02,INDIGO,EQ,1340.00,1346.95,1330.00,1332.40,1333.00,396177,5300.05,10461,
2020-01-03,INDIGO,EQ,1318.50,1382.50,1301.40,1360.95,1332.40,3665728,49589.35,95801,
2020-01-06,INDIGO,EQ,1341.00,1347.90,1318.00,1327.10,1360.95,1398650,18620.95,35969,
2020-01-07,INDIGO,EQ,1327.15,1384.00,1327.15,1364.05,1327.10,1430196,19395.18,41276,
2020-01-08,INDIGO,EQ,1326.05,1368.00,1320.00,1353.10,1364.05,1793942,24234.86,46081,
2020-01-09,INDIGO,EQ,1385.00,1410.00,1369.20,1402.20,1353.10,1937904,27062.96,53879,
2020-01-10,INDIGO,EQ,1418.00,1430.90,1406.35,1416.30,1402.20,1336205,18957.69,42162,
2020-01-13,INDIGO,EQ,1421.30,1436.00,1407.65,1424.15,1416.30,1243383,17716.72,39334,
2020-01-14,INDIGO,EQ,1430.00,1436.40,1418.00,1423.25,1424.15,810440,11568.49,26284,
2020-01-15,INDIGO,EQ,1425.95,1453.70,1416.10,1445.60,1423.25,808672,11589.43,30593,
2020-01-16,INDIGO,EQ,1492.05,1509.70,1443.00,1457.45,1445.60,2437625,35780.99,85749,
2020-01-17,INDIGO,EQ,1458.00,1480.00,1448.55,1472.95,1457.45,631678,9288.01,19592,
2020-01-20,INDIGO,EQ,1475.00,1485.00,1458.05,1472.35,1472.95,528466,7788.46,15180,
2020-01-21,INDIGO,EQ,1460.00,1462.80,1426.10,1438.80,1472.35,1294690,18683.45,43882,
2020-01-22,INDIGO,EQ,1440.00,1474.95,1428.75,1468.10,1438.80,804058,11656.45,27476,
2020-01-23,INDIGO,EQ,1485.00,1485.00,1451.30,1465.90,1468.10,976622,14316.84,38358,
2020-01-24,INDIGO,EQ,1465.00,1513.35,1460.20,1501.50,1465.90,1782660,26736.34,71903,
2020-01-27,INDIGO,EQ,1499.00,1513.40,1480.25,1495.75,1501.50,1412469,21180.29,42617,
2020-01-28,INDIGO,EQ,1515.00,1541.00,1443.70,1453.75,1495.75,6189322,92371.82,170629,
2020-01-29,INDIGO,EQ,1475.00,1480.35,1436.55,1462.10,1453.75,1904809,27806.01,52311,
2020-01-30,INDIGO,EQ,1451.00,1456.95,1405.00,1419.20,1462.10,1822998,26202.92,46384,
2020-01-31,INDIGO,EQ,1417.00,1426.95,1371.00,1378.25,1419.20,1809304,25167.65,65450,
2020-02-03,INDIGO,EQ,1366.55,1401.70,1349.30,1391.80,1358.15,1155885,15931.71,32800,
2020-02-04,INDIGO,EQ,1400.00,1419.95,1395.00,1413.00,1391.80,597879,8415.68,23657,
2020-02-05,INDIGO,EQ,1421.50,1455.00,1407.05,1450.35,1413.00,885473,12685.05,36696,
2020-02-06,INDIGO,EQ,1450.00,1458.35,1387.00,1404.60,1450.35,1789881,25222.35,43983,
2020-02-07,INDIGO,EQ,1408.00,1413.00,1391.45,1400.15,1404.60,935774,13104.91,23000,
2020-02-10,INDIGO,EQ,1400.00,1411.80,1387.45,1400.85,1400.15,758700,10634.92,41271,
2020-02-11,INDIGO,EQ,1411.00,1416.00,1384.05,1391.00,1400.85,908662,12712.47,31586,
2020-02-12,INDIGO,EQ,1392.00,1450.00,1381.10,1442.20,1391.00,1501808,21436.82,40027,
2020-02-13,INDIGO,EQ,1442.00,1457.85,1431.25,1444.40,1442.20,948700,13681.64,26504,
2020-02-14,INDIGO,EQ,1434.80,1464.80,1429.70,1439.10,1444.40,822170,11892.99,31312,
2020-02-17,INDIGO,EQ,1441.30,1465.00,1436.05,1455.80,1439.10,507315,7377.37,17305,
2020-02-18,INDIGO,EQ,1447.40,1478.80,1426.75,1471.05,1455.80,744044,10838.91,30015,
2020-02-19,INDIGO,EQ,1475.00,1493.40,1463.15,1481.75,1471.05,634197,9390.26,21063,
2020-02-20,INDIGO,EQ,1479.75,1479.75,1454.15,1464.85,1481.75,631873,9246.69,28144,
2020-02-24,INDIGO,EQ,1458.00,1478.00,1418.00,1444.50,1464.85,998276,14495.10,33166,
2020-02-25,INDIGO,EQ,1444.00,1444.45,1335.00,1376.90,1444.50,4775799,65997.93,140381,
2020-02-26,INDIGO,EQ,1365.10,1410.50,1351.10,1391.45,1376.90,1545234,21388.08,46429,
2020-02-27,INDIGO,EQ,1380.00,1382.90,1358.55,1366.50,1391.45,1307544,17918.10,50438,
2020-02-28,INDIGO,EQ,1320.00,1341.95,1220.50,1300.05,1366.50,4156991,53509.77,119032,
2020-03-02,INDIGO,EQ,1313.00,1347.95,1213.50,1239.05,1300.05,3163264,40528.98,95645,
2020-03-03,INDIGO,EQ,1243.00,1284.50,1216.40,1228.45,1239.05,4247523,52849.03,116961,
2020-03-04,INDIGO,EQ,1225.15,1233.40,1154.05,1201.05,1228.45,5734352,68094.59,151379,
2020-03-05,INDIGO,EQ,1200.00,1227.65,1184.20,1211.10,1201.05,2209405,26647.63,62514,
2020-03-06,INDIGO,EQ,1090.00,1184.30,1090.00,1176.90,1211.10,2435604,28179.66,75098,
2020-03-09,INDIGO,EQ,1175.05,1233.50,1163.10,1213.20,1176.90,3127030,37759.81,119469,
2020-03-11,INDIGO,EQ,1205.00,1215.25,1149.70,1160.25,1213.20,1752142,20587.88,54682,
2020-03-12,INDIGO,EQ,1044.25,1044.25,945.00,1018.40,1160.25,2385687,23725.14,95144,
2020-03-13,INDIGO,EQ,916.60,1032.75,865.65,998.80,1018.40,2267248,22020.06,79955,
2020-03-16,INDIGO,EQ,941.00,1004.00,912.00,978.40,998.80,2773924,27033.71,98144,
2020-03-17,INDIGO,EQ,952.00,1010.00,937.30,976.70,978.40,2200893,21476.18,89099,
2020-03-18,INDIGO,EQ,975.20,979.95,921.00,949.90,976.70,1516094,14331.59,58475,
2020-03-19,INDIGO,EQ,891.00,987.00,882.00,909.20,949.90,1835738,17068.17,63880,
2020-03-20,INDIGO,EQ,850.10,949.20,835.10,871.70,909.20,4520092,39906.07,119001,
2020-03-23,INDIGO,EQ,784.55,958.00,784.55,856.95,871.70,1901262,15948.54,64885,
2020-03-24,INDIGO,EQ,800.05,973.45,771.30,916.35,856.95,3154705,27541.35,124156,
2020-03-25,INDIGO,EQ,825.00,1053.80,825.00,1011.10,916.35,2511518,24145.03,95848,
2020-03-26,INDIGO,EQ,1000.00,1147.40,949.45,1008.90,1011.10,3408772,35418.48,161662,
2020-03-27,INDIGO,EQ,1012.00,1068.10,1005.20,1027.30,1008.90,1883975,19537.04,73741,
2020-03-30,INDIGO,EQ,990.00,1129.00,953.50,1016.70,1027.30,1245800,12388.09,49699,
2020-03-31,INDIGO,EQ,1035.00,1078.40,1017.00,1066.15,1016.70,945112,9976.05,40549,
2020-04-01,INDIGO,EQ,1051.00,1052.40,982.00,999.00,1066.15,1206502,12156.34,49565,
2020-04-03,INDIGO,EQ,999.00,1004.90,915.05,953.25,999.00,2314764,22041.38,87788,
2020-04-07,INDIGO,EQ,987.00,994.30,928.05,980.25,953.25,1751202,16763.89,69990,
2020-04-08,INDIGO,EQ,960.00,1078.25,944.90,990.15,980.25,2715325,27314.21,100090,
2020-04-09,INDIGO,EQ,995.00,1070.00,981.00,1041.95,990.15,1723325,17491.77,62236,
2020-04-13,INDIGO,EQ,1052.00,1090.85,989.10,1068.40,1041.95,2404619,24826.91,87486,
2020-04-15,INDIGO,EQ,1001.00,1039.00,997.00,1007.55,1068.40,2851947,28888.49,89090,
2020-04-16,INDIGO,EQ,998.00,1024.30,983.00,1010.00,1007.55,1960417,19762.74,56466,
2020-04-17,INDIGO,EQ,1030.00,1088.70,1016.05,1068.30,1010.00,2810726,29633.23,71452,
2020-04-20,INDIGO,EQ,1043.95,1043.95,1000.00,1004.15,1068.30,2520926,25602.02,68401,
2020-04-21,INDIGO,EQ,980.00,1020.00,966.60,1010.65,1004.15,2044264,20272.08,52319,
2020-04-22,INDIGO,EQ,1010.00,1010.00,953.35,959.70,1010.65,2425067,23640.72,87423,
2020-04-23,INDIGO,EQ,967.45,968.60,926.50,932.20,959.70,2637093,24835.73,87114,
2020-04-24,INDIGO,EQ,930.00,938.55,878.75,891.75,932.20,2603983,23630.95,80958,
2020-04-27,INDIGO,EQ,910.00,917.60,865.00,871.10,891.75,3189148,28109.87,108413,
2020-04-28,INDIGO,EQ,872.00,915.00,871.60,908.30,871.10,2908425,26106.55,101062,
2020-04-29,INDIGO,EQ,914.35,929.95,905.05,921.30,908.30,1634406,15052.18,57519,
2020-04-30,INDIGO,EQ,949.00,1037.85,930.05,995.25,921.30,5402344,53952.66,157073,
2020-05-04,INDIGO,EQ,938.00,954.75,915.00,928.00,995.25,1878521,17518.52,66227,
2020-05-05,INDIGO,EQ,925.00,974.70,908.20,950.30,928.00,4813357,45673.24,138522,
2020-05-06,INDIGO,EQ,931.00,954.80,911.60,937.05,950.30,2229245,20721.16,68601,
2020-05-07,INDIGO,EQ,937.00,937.00,909.00,914.55,937.05,1299992,11961.55,31965,
2020-05-08,INDIGO,EQ,922.00,949.10,917.00,928.05,914.55,1787974,16664.98,55476,
2020-05-11,INDIGO,EQ,953.00,994.00,951.20,960.20,928.05,2836228,27562.30,90517,
2020-05-12,INDIGO,EQ,943.40,1020.00,943.40,1008.60,960.20,5475423,54466.10,171448,
2020-05-13,INDIGO,EQ,1060.00,1060.00,1001.00,1004.40,1008.60,2639514,26901.37,78197,
2020-05-14,INDIGO,EQ,995.00,995.00,962.80,971.75,1004.40,1369265,13341.27,44739,
