date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,INDUSINDBK,EQ,1512.00,1523.95,1480.80,1484.30,1510.00,2135253,31907.33,55819,
2020-01-02,INDUSINDBK,EQ,1491.75,1534.30,1486.10,1529.00,1484.30,2365906,35689.37,76221,
2020-01-03,INDUSINDBK,EQ,1524.00,1538.00,1512.10,1528.85,1529.00,2622870,39923.92,65975,
2020-01-06,INDUSINDBK,EQ,1515.05,1517.75,1465.45,1469.40,1528.85,3151046,46963.34,92915,
2020-01-07,INDUSINDBK,EQ,1488.45,1508.00,1442.20,1461.65,1469.40,3572603,52594.82,82614,
2020-01-08,INDUSINDBK,EQ,1441.00,1481.60,1439.05,1458.60,1461.65,3363919,49050.12,103838,
2020-01-09,INDUSINDBK,EQ,1490.00,1515.95,1483.20,1507.65,1458.60,3496433,52538.71,84803,
2020-01-10,INDUSINDBK,EQ,1510.85,1521.65,1484.20,1491.25,1507.65,3189536,47903.63,66900,
2020-01-13,INDUSINDBK,EQ,1499.80,1547.00,1487.35,1539.65,1491.25,3732412,56435.24,74634,
2020-01-14,INDUSINDBK,EQ,1546.00,1585.00,1470.25,1481.65,1539.65,15123110,231045.55,308946,
2020-01-15,INDUSINDBK,EQ,1463.40,1463.40,1391.35,1400.50,1481.65,13995235,198266.10,315523,
2020-01-16,INDUSINDBK,EQ,1405.00,1415.00,1377.10,1386.45,1400.50,10544088,146694.30,259541,
2020-01-17,INDUSINDBK,EQ,1350.00,1377.00,1317.05,1352.25,1386.45,10020063,135462.79,223096,
2020-01-20,INDUSINDBK,EQ,1367.90,1367.90,1323.00,1331.95,1352.25,6047237,81072.20,167157,
2020-01-21,INDUSINDBK,EQ,1332.00,1350.00,1320.00,1336.35,1331.95,4501887,60235.86,111945,
2020-01-22,INDUSINDBK,EQ,1346.35,1348.00,1323.00,1327.40,1336.35,3038713,40527.15,69447,
2020-01-23,INDUSINDBK,EQ,1330.00,1339.80,1320.10,1331.80,1327.40,4358219,57960.98,93278,
2020-01-24,INDUSINDBK,EQ,1334.00,1345.00,1307.65,1316.10,1331.80,4563516,60735.36,103366,
2020-01-27,INDUSINDBK,EQ,1311.50,1312.00,1265.00,1271.20,1316.10,6019701,77556.42,152721,
2020-01-28,INDUSINDBK,EQ,1281.00,1284.90,1240.25,1254.75,1271.20,6103759,77230.29,148305,
2020-01-29,INDUSINDBK,EQ,1268.90,1276.70,1251.00,1258.25,1254.75,3977924,50272.49,108515,
2020-01-30,INDUSINDBK,EQ,1252.00,1254.00,1221.55,1231.50,1258.25,5301706,65647.58,133437,
2020-01-31,INDUSINDBK,EQ,1245.00,1271.60,1242.10,1258.85,1231.50,8391172,105696.72,173224,
2020-02-03,INDUSINDBK,EQ,1222.00,1268.45,1216.05,1263.10,1211.10,7697534,95836.53,154366,
2020-02-04,INDUSINDBK,EQ,1273.00,1284.00,1256.25,1272.65,1263.10,4632688,58907.05,133227,
2020-02-05,INDUSINDBK,EQ,1280.00,1288.65,1265.20,1272.80,1272.65,4360609,55720.98,110877,
2020-02-06,INDUSINDBK,EQ,1280.00,1339.40,1262.40,1334.25,1272.80,7628363,99623.14,194303,
2020-02-07,INDUSINDBK,EQ,1345.00,1346.05,1294.75,1298.80,1334.25,3850541,50521.31,101467,
2020-02-10,INDUSINDBK,EQ,1304.00,1304.00,1268.50,1274.95,1298.80,3955195,50513.14,80869,
2020-02-11,INDUSINDBK,EQ,1290.00,1309.90,1285.05,1292.65,1274.95,3456066,44801.11,105413,
2020-02-12,INDUSINDBK,EQ,1260.00,1302.90,1251.70,1277.40,1292.65,8957173,114426.68,195885,
2020-02-13,INDUSINDBK,EQ,1281.75,1281.75,1225.25,1230.75,1277.40,6508945,81096.41,146987,
2020-02-14,INDUSINDBK,EQ,1233.90,1241.10,1171.20,1176.00,1230.75,11532869,138505.22,287816,
2020-02-17,INDUSINDBK,EQ,1176.00,1209.00,1164.50,1172.95,1176.00,9900428,117219.96,210511,
2020-02-18,INDUSINDBK,EQ,1172.70,1172.70,1108.45,1140.70,1172.95,11207411,126617.31,225585,
2020-02-19,INDUSINDBK,EQ,1155.00,1168.00,1116.00,1142.15,1140.70,14324736,163070.50,217441,
