date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,INFY,EQ,735.00,740.00,732.55,736.85,731.15,2112415,15533.69,36769,
2020-01-02,INFY,EQ,738.90,740.80,730.90,734.70,736.85,5658200,41600.25,102483,
2020-01-03,INFY,EQ,733.90,748.00,733.90,746.00,734.70,7882938,58701.73,105632,
2020-01-06,INFY,EQ,746.10,753.80,736.50,738.85,746.00,6519403,48472.37,129992,
2020-01-07,INFY,EQ,738.00,742.60,725.10,727.90,738.85,7899363,58031.20,189680,
2020-01-08,INFY,EQ,724.95,729.00,708.30,718.20,727.90,8639443,62017.08,232857,
2020-01-09,INFY,EQ,721.70,731.50,714.30,727.55,718.20,13521186,97974.55,161064,
2020-01-10,INFY,EQ,740.45,742.90,730.50,738.15,727.55,9341405,68910.78,145267,
2020-01-13,INFY,EQ,760.00,777.50,755.00,773.55,738.15,36952038,284211.29,753340,
2020-01-14,INFY,EQ,769.95,776.95,767.20,775.65,773.55,11414418,88132.65,289583,
2020-01-15,INFY,EQ,773.85,773.85,762.15,767.55,775.65,6047430,46382.98,96319,
2020-01-16,INFY,EQ,770.70,772.50,760.25,767.00,767.55,5740586,43993.09,93520,
2020-01-17,INFY,EQ,770.70,772.90,762.25,767.85,767.00,3762957,28837.44,98313,
2020-01-20,INFY,EQ,771.60,774.40,762.95,768.45,767.85,3887680,29820.75,81096,
2020-01-21,INFY,EQ,768.45,770.50,760.75,762.50,768.45,4448374,33989.78,83703,
2020-01-22,INFY,EQ,768.45,778.00,766.00,770.20,762.50,9733935,75104.99,148501,
2020-01-23,INFY,EQ,777.10,785.50,776.70,784.35,770.20,12528017,97845.66,197205,
2020-01-24,INFY,EQ,775.75,786.50,773.60,782.75,784.35,7540490,58755.59,131263,
2020-01-27,INFY,EQ,779.05,784.80,774.40,778.10,782.75,3741610,29111.60,102550,
2020-01-28,INFY,EQ,781.00,781.80,772.00,778.00,778.10,5121009,39738.34,108248,
2020-01-29,INFY,EQ,786.60,792.80,784.25,789.70,778.00,6832757,53833.35,83287,
2020-01-30,INFY,EQ,789.70,789.70,778.00,780.70,789.70,3859680,30157.76,98962,
2020-01-31,INFY,EQ,780.55,784.95,771.60,775.95,780.70,6092028,47325.48,72176,
2020-02-03,INFY,EQ,782.00,790.95,764.50,767.40,779.50,6416745,49497.38,132708,
2020-02-04,INFY,EQ,770.10,789.90,770.10,787.85,767.40,5771311,45080.20,126688,
2020-02-05,INFY,EQ,781.00,786.00,774.40,784.55,787.85,6310409,49178.73,142904,
2020-02-06,INFY,EQ,784.35,786.80,770.00,771.35,784.55,7341622,56955.13,133662,
2020-02-07,INFY,EQ,775.95,778.85,771.00,777.30,771.35,2853344,22136.21,53815,
2020-02-10,INFY,EQ,774.00,778.00,769.75,773.20,777.30,3827682,29582.64,50917,
2020-02-11,INFY,EQ,779.00,779.10,769.20,773.55,773.20,4312817,33358.59,83764,
2020-02-12,INFY,EQ,775.80,783.25,775.10,781.05,773.55,2948825,23022.29,80507,
2020-02-13,INFY,EQ,785.00,794.00,782.20,792.25,781.05,4387430,34551.30,80876,
2020-02-14,INFY,EQ,794.50,799.20,784.60,786.45,792.25,5321680,42135.74,103460,
2020-02-17,INFY,EQ,790.30,793.45,783.30,789.45,786.45,2929629,23120.86,69780,
2020-02-18,INFY,EQ,785.00,799.05,783.65,797.65,789.45,5083346,40324.62,103674,
2020-02-19,INFY,EQ,800.00,804.85,796.15,800.45,797.65,3985192,31866.38,79345,
2020-02-20,INFY,EQ,803.25,806.10,793.85,797.00,800.45,4564569,36550.40,94252,
2020-02-24,INFY,EQ,800.10,811.60,792.15,795.85,797.00,6627536,53288.79,130286,
2020-02-25,INFY,EQ,799.00,806.00,795.40,798.40,795.85,6996695,55969.00,114637,
2020-02-26,INFY,EQ,793.95,801.45,780.50,782.75,798.40,8760569,69353.14,168481,
2020-02-27,INFY,EQ,778.00,780.75,772.20,777.85,782.75,5223386,40594.25,100716,
2020-02-28,INFY,EQ,750.00,756.80,722.05,731.70,777.85,14123957,104331.02,277778,
2020-03-02,INFY,EQ,737.00,765.90,733.75,741.05,731.70,9821523,73758.62,155968,
2020-03-03,INFY,EQ,755.00,759.00,741.25,747.00,741.05,7826587,58628.36,136066,
2020-03-04,INFY,EQ,753.90,761.50,745.55,758.75,747.00,11013444,82956.23,155822,
2020-03-05,INFY,EQ,763.75,773.55,751.75,754.60,758.75,7755293,59227.38,124093,
2020-03-06,INFY,EQ,741.00,744.00,729.10,738.95,754.60,9216022,68063.11,147517,
2020-03-09,INFY,EQ,724.50,725.85,697.00,704.45,738.95,10308697,72741.62,180848,
2020-03-11,INFY,EQ,690.65,695.95,669.05,686.00,704.45,16165054,110871.31,233010,
2020-03-12,INFY,EQ,668.00,670.00,627.50,631.20,686.00,13965689,90004.18,265786,
2020-03-13,INFY,EQ,592.00,667.00,570.00,642.35,631.20,16903140,106320.78,286353,
2020-03-16,INFY,EQ,622.00,622.15,580.00,583.15,642.35,19140854,114341.80,462293,
2020-03-17,INFY,EQ,588.10,592.00,550.00,554.95,583.15,16060126,91862.86,359329,
2020-03-18,INFY,EQ,568.00,578.00,528.00,534.30,554.95,15391568,85103.44,235885,
2020-03-19,INFY,EQ,509.25,558.00,509.25,545.55,534.30,16584106,89692.45,313532,
2020-03-20,INFY,EQ,549.50,617.45,548.00,585.20,545.55,21356183,124955.10,407561,
2020-03-23,INFY,EQ,540.00,560.95,515.90,526.45,585.20,17146303,91103.94,258952,
2020-03-24,INFY,EQ,522.00,601.15,522.00,589.80,526.45,20029537,114714.57,434375,
2020-03-25,INFY,EQ,597.00,635.00,565.70,606.20,589.80,18339650,109441.93,429544,
2020-03-26,INFY,EQ,615.00,650.85,612.10,643.00,606.20,14868843,94973.48,291975,
2020-03-27,INFY,EQ,665.05,674.90,642.25,652.70,643.00,13495469,88232.42,262091,
2020-03-30,INFY,EQ,625.10,663.50,621.10,626.70,652.70,14625720,93432.28,230047,
2020-03-31,INFY,EQ,650.00,662.00,633.70,641.50,626.70,15175528,98307.68,279311,
2020-04-01,INFY,EQ,634.35,637.50,594.00,602.80,641.50,13083865,80058.88,379235,
2020-04-03,INFY,EQ,603.50,606.00,582.15,585.70,602.80,10221890,60567.26,261228,
2020-04-07,INFY,EQ,615.00,644.25,612.90,639.00,585.70,15146526,95067.15,260480,
2020-04-08,INFY,EQ,630.00,655.65,626.35,631.60,639.00,11806901,75261.62,235881,
2020-04-09,INFY,EQ,646.80,652.80,632.10,636.25,631.60,11931287,76393.39,232901,
2020-04-13,INFY,EQ,629.00,651.70,626.05,637.40,636.25,8330291,53414.26,232090,
2020-04-15,INFY,EQ,651.40,653.30,635.60,639.05,637.40,11963493,77266.57,278339,
2020-04-16,INFY,EQ,619.95,634.90,603.50,623.85,639.05,17783310,110345.09,254606,
2020-04-17,INFY,EQ,644.00,646.00,626.00,628.75,623.85,8878372,56244.23,220448,
2020-04-20,INFY,EQ,640.00,661.00,639.00,653.30,628.75,13322995,87093.45,220363,
2020-04-21,INFY,EQ,627.80,646.50,627.80,633.20,653.30,11660678,74435.25,195803,
2020-04-22,INFY,EQ,633.20,645.00,628.05,641.85,633.20,8267159,52897.59,148917,
2020-04-23,INFY,EQ,647.05,683.65,638.10,679.30,641.85,14451294,96114.41,225884,
2020-04-24,INFY,EQ,668.55,675.00,654.80,658.00,679.30,7319950,48494.71,162251,
2020-04-27,INFY,EQ,661.05,681.00,661.05,664.60,658.00,7183316,48173.70,143869,
2020-04-28,INFY,EQ,673.00,677.00,653.05,660.70,664.60,7296594,48148.74,128788,
2020-04-29,INFY,EQ,666.00,682.00,658.00,676.55,660.70,8639246,58050.85,175742,
2020-04-30,INFY,EQ,700.00,720.00,698.10,715.50,676.55,16254036,115642.27,277142,
2020-05-04,INFY,EQ,689.80,701.20,670.35,673.70,715.50,9122803,62595.91,177978,
2020-05-05,INFY,EQ,681.75,685.60,670.00,673.70,673.70,6393108,43427.31,132076,
