date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,IOC,EQ,125.95,126.75,125.75,125.95,125.55,2127492,2683.16,13955,
2020-01-02,IOC,EQ,126.20,127.20,126.00,127.00,125.95,2559180,3242.62,16315,
2020-01-03,IOC,EQ,126.50,127.50,126.15,126.85,127.00,8852105,11217.36,45004,
2020-01-06,IOC,EQ,126.50,126.50,124.50,124.90,126.85,12631499,15808.53,50588,
2020-01-07,IOC,EQ,125.30,127.45,124.10,124.55,124.90,8451693,10617.00,45411,
2020-01-08,IOC,EQ,123.05,123.90,121.50,121.85,124.55,8885759,10873.29,51233,
2020-01-09,IOC,EQ,124.90,125.50,122.85,124.50,121.85,9218835,11451.31,78201,
2020-01-10,IOC,EQ,125.00,125.75,124.05,125.45,124.50,8377343,10453.02,35492,
2020-01-13,IOC,EQ,125.90,127.60,125.30,126.95,125.45,5747384,7287.54,30970,
2020-01-14,IOC,EQ,127.60,128.20,126.65,126.90,126.95,4488135,5712.34,25334,
2020-01-15,IOC,EQ,126.95,127.00,125.00,125.70,126.90,4768492,5994.66,30381,
2020-01-16,IOC,EQ,126.05,126.50,124.00,124.15,125.70,7051795,8789.47,52692,
2020-01-17,IOC,EQ,124.15,124.25,122.30,122.65,124.15,7715842,9489.04,44652,
2020-01-20,IOC,EQ,117.95,119.70,113.70,117.50,122.65,45262474,53217.41,145893,
2020-01-21,IOC,EQ,118.00,118.45,114.25,114.80,117.50,46511802,53747.85,151583,
2020-01-22,IOC,EQ,116.65,116.90,111.95,113.65,114.80,71728557,81901.73,158038,
2020-01-23,IOC,EQ,115.10,120.90,115.05,118.35,113.65,209929135,248599.87,235485,
2020-01-24,IOC,EQ,121.50,121.65,119.10,119.65,118.35,26158995,31456.73,83739,
2020-01-27,IOC,EQ,119.25,120.20,117.00,117.45,119.65,13598855,16099.18,54180,
2020-01-28,IOC,EQ,118.15,119.60,116.35,117.90,117.45,21276548,25139.18,75584,
2020-01-29,IOC,EQ,118.80,119.95,117.80,118.30,117.90,21334647,25400.54,50737,
2020-01-30,IOC,EQ,119.90,119.95,116.20,117.15,118.30,28004675,33042.73,90420,
2020-01-31,IOC,EQ,118.55,118.55,112.60,113.45,117.15,36742641,41839.31,155640,
2020-02-03,IOC,EQ,110.05,112.40,107.55,108.05,108.90,25072213,27540.69,104534,
2020-02-04,IOC,EQ,110.00,114.20,109.50,113.80,108.05,21018948,23595.47,91857,
2020-02-05,IOC,EQ,114.85,115.85,113.90,114.70,113.80,15743983,18089.14,61028,
2020-02-06,IOC,EQ,115.50,117.50,115.40,117.05,114.70,13080297,15253.40,59248,
2020-02-07,IOC,EQ,116.70,117.75,115.00,117.50,117.05,10836941,12621.60,44964,
2020-02-10,IOC,EQ,117.40,118.35,115.25,115.80,117.50,13771283,16065.38,46266,
2020-02-11,IOC,EQ,116.00,117.40,115.70,116.05,115.80,10333935,12026.25,57370,
2020-02-12,IOC,EQ,116.05,116.95,114.65,115.10,116.05,11943767,13774.63,43677,
2020-02-13,IOC,EQ,114.95,115.75,114.25,114.75,115.10,9028140,10369.02,35665,
2020-02-14,IOC,EQ,114.70,115.70,113.70,115.10,114.75,11808749,13578.79,60383,
2020-02-17,IOC,EQ,115.00,115.30,111.25,111.80,115.10,9671741,10849.22,36612,
2020-02-18,IOC,EQ,111.90,115.10,110.45,112.65,111.80,14517328,16298.67,62594,
2020-02-19,IOC,EQ,113.80,114.50,112.65,114.20,112.65,8021126,9119.65,29421,
2020-02-20,IOC,EQ,113.55,114.45,112.00,112.30,114.20,10958877,12381.78,48914,
2020-02-24,IOC,EQ,112.80,113.10,110.15,110.55,112.30,7926996,8857.90,51606,
2020-02-25,IOC,EQ,111.90,112.95,110.10,110.45,110.55,11212323,12519.41,71439,
2020-02-26,IOC,EQ,110.20,111.30,108.00,108.35,110.45,11476899,12544.14,68117,
2020-02-27,IOC,EQ,108.35,108.35,105.00,105.65,108.35,17657965,18771.24,114720,
2020-02-28,IOC,EQ,103.80,107.40,100.90,105.75,105.65,24217885,25202.61,111732,
2020-03-02,IOC,EQ,108.45,112.90,103.10,103.95,105.75,14580876,15620.15,90858,
2020-03-03,IOC,EQ,105.50,107.80,104.30,106.65,103.95,13272595,14091.84,86695,
2020-03-04,IOC,EQ,106.80,108.75,105.75,106.60,106.65,13611167,14582.37,110919,
2020-03-05,IOC,EQ,107.55,108.40,104.45,104.80,106.60,10165175,10805.01,75253,
2020-03-06,IOC,EQ,101.80,101.80,99.30,100.80,104.80,24683806,24759.82,193641,
2020-03-09,IOC,EQ,102.30,105.25,98.00,99.40,100.80,33011189,33784.03,154576,
2020-03-11,IOC,EQ,100.05,100.10,95.05,96.90,99.40,20255316,19641.37,107240,
2020-03-12,IOC,EQ,93.00,93.65,87.25,87.90,96.90,28174778,25467.13,202985,
2020-03-13,IOC,EQ,80.30,93.25,76.00,92.25,87.90,41589406,37313.15,141577,
2020-03-16,IOC,EQ,90.40,92.60,87.65,89.70,92.25,29823600,26866.59,104308,
2020-03-17,IOC,EQ,90.00,93.50,88.95,89.40,89.70,17242692,15768.63,87256,
2020-03-18,IOC,EQ,90.25,91.35,86.45,87.60,89.40,18144753,15988.11,72994,
2020-03-19,IOC,EQ,84.45,90.80,82.40,87.95,87.60,21202946,18547.09,139154,
2020-03-20,IOC,EQ,89.00,92.95,88.10,90.60,87.95,20032128,18138.28,74272,
2020-03-23,IOC,EQ,82.00,87.25,80.00,80.75,90.60,14024553,11572.77,76425,
2020-03-24,IOC,EQ,82.90,84.00,77.65,79.70,80.75,15678126,12490.57,69769,
2020-03-25,IOC,EQ,77.80,80.95,77.00,77.85,79.70,18088609,14231.61,81986,
2020-03-26,IOC,EQ,78.00,78.50,74.65,78.00,77.85,18316505,14120.81,86875,
2020-03-27,IOC,EQ,78.50,80.15,76.05,76.90,78.00,13442836,10408.88,66222,
2020-03-30,IOC,EQ,75.00,78.30,74.45,76.80,76.90,11491396,8816.47,62528,
2020-03-31,IOC,EQ,78.00,82.50,77.05,81.65,76.80,24278037,19653.39,98539,
2020-04-01,IOC,EQ,81.65,82.20,78.00,78.95,81.65,10479535,8338.55,61479,
2020-04-03,IOC,EQ,81.00,82.10,76.60,79.50,78.95,17006294,13456.80,78460,
2020-04-07,IOC,EQ,82.00,83.70,80.00,83.00,79.50,16078424,13243.07,82065,
2020-04-08,IOC,EQ,82.85,86.00,81.10,81.75,83.00,20433621,17099.07,79547,
2020-04-09,IOC,EQ,82.70,84.20,81.85,83.40,81.75,13585658,11282.69,54475,
2020-04-13,IOC,EQ,84.50,84.50,81.80,83.15,83.40,9679851,8035.73,42732,
2020-04-15,IOC,EQ,84.00,86.30,82.80,83.20,83.15,13661968,11567.96,64754,
2020-04-16,IOC,EQ,83.25,85.80,82.55,84.70,83.20,11993071,10161.25,56611,
2020-04-17,IOC,EQ,86.05,86.80,85.00,86.00,84.70,9160107,7872.96,51198,
2020-04-20,IOC,EQ,87.75,89.50,85.75,87.55,86.00,17688009,15570.02,78655,
2020-04-21,IOC,EQ,86.80,86.80,82.50,83.00,87.55,13638140,11512.23,63729,
2020-04-22,IOC,EQ,82.95,83.75,79.15,83.00,83.00,15316400,12481.41,77681,
2020-04-23,IOC,EQ,83.40,85.00,82.80,83.10,83.00,9180558,7702.81,47337,
2020-04-24,IOC,EQ,82.25,84.40,81.10,81.50,83.10,10417195,8640.99,57556,
2020-04-27,IOC,EQ,82.40,83.05,81.30,81.50,81.50,6320557,5203.84,33698,
2020-04-28,IOC,EQ,82.10,82.50,79.30,79.65,81.50,18484160,14892.98,69529,
2020-04-29,IOC,EQ,80.00,81.15,79.80,80.50,79.65,12216675,9844.83,57307,
2020-04-30,IOC,EQ,81.55,84.50,81.30,84.20,80.50,21193860,17566.14,77748,
2020-05-04,IOC,EQ,82.65,82.70,79.50,79.75,84.20,12277492,9870.09,80094,
2020-05-05,IOC,EQ,81.00,82.00,78.40,78.70,79.75,13552151,10884.98,61616,
2020-05-06,IOC,EQ,76.80,77.30,72.80,76.55,78.70,26298393,19880.29,123378,
2020-05-07,IOC,EQ,76.85,77.00,75.60,75.75,76.55,13425918,10213.13,59405,
2020-05-08,IOC,EQ,76.10,77.00,74.05,74.35,75.75,14534653,10921.40,87417,
2020-05-11,IOC,EQ,75.55,76.30,74.80,75.35,74.35,12903300,9726.83,85975,
2020-05-12,IOC,EQ,75.85,76.70,74.60,74.90,75.35,16302858,12287.59,77409,
2020-05-13,IOC,EQ,77.90,77.90,75.75,76.00,74.90,18240702,13901.37,93813,
2020-05-14,IOC,EQ,76.00,76.45,75.00,75.15,76.00,9059402,6839.04,43679,
2020-05-15,IOC,EQ,75.75,76.40,75.20,75.50,75.15,15818086,12006.22,62382,
2020-05-18,IOC,EQ,75.55,75.80,71.15,71.55,75.50,17698491,12848.52,93276,
2020-05-19,IOC,EQ,72.85,73.40,71.80,72.05,71.55,12402582,8999.43,52859,
2020-05-20,IOC,EQ,72.35,74.50,71.90,74.10,72.05,12925558,9517.30,48348,
