date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2021-01-29,IRFC,EQ,24.90,25.80,24.35,24.80,26.00,381938573,95788.17,496815,
2021-02-01,IRFC,EQ,25.25,25.40,24.90,25.10,24.80,72044464,18103.82,153055,
2021-02-02,IRFC,EQ,25.45,25.45,24.70,24.75,25.10,36735442,9176.40,102457,
2021-02-03,IRFC,EQ,24.80,24.90,24.05,24.25,24.75,45816269,11261.59,105660,
2021-02-04,IRFC,EQ,24.25,25.80,23.85,25.35,24.25,88486029,22194.41,135657,
2021-02-05,IRFC,EQ,25.60,26.20,25.55,25.70,25.35,56318695,14531.81,95724,
2021-02-08,IRFC,EQ,25.90,25.95,25.60,25.75,25.70,28324374,7300.15,55647,
2021-02-09,IRFC,EQ,25.75,25.80,25.20,25.30,25.75,25243532,6414.83,59918,
2021-02-10,IRFC,EQ,25.40,25.80,25.00,25.40,25.30,33132159,8415.50,49630,
2021-02-11,IRFC,EQ,25.40,25.65,25.25,25.40,25.40,13586295,3458.80,34239,
2021-02-12,IRFC,EQ,25.50,25.55,25.30,25.40,25.40,15658220,3978.49,32840,
2021-02-15,IRFC,EQ,26.20,26.20,25.65,25.75,25.40,45629832,11791.70,91067,
2021-02-16,IRFC,EQ,25.90,26.00,25.80,25.90,25.75,34557518,8940.72,63357,
2021-02-17,IRFC,EQ,25.30,25.60,24.90,25.30,25.90,28638408,7255.44,53894,
2021-02-18,IRFC,EQ,25.45,25.80,25.40,25.65,25.30,21022422,5370.85,26752,
2021-02-19,IRFC,EQ,25.65,25.70,25.20,25.35,25.65,14542153,3697.57,36081,
2021-02-22,IRFC,EQ,25.30,25.40,24.95,25.00,25.35,16652770,4178.02,55606,
2021-02-23,IRFC,EQ,25.00,25.15,24.90,24.95,25.00,13021961,3250.13,38417,
2021-02-24,IRFC,EQ,24.90,25.20,24.85,24.90,24.95,10958830,2738.51,20179,
2021-02-25,IRFC,EQ,24.95,25.20,24.90,24.95,24.90,22761296,5690.94,33968,
2021-02-26,IRFC,EQ,24.85,24.95,24.50,24.65,24.95,36424500,8987.08,83875,
2021-03-01,IRFC,EQ,24.65,26.70,24.65,25.90,24.65,93579588,24026.07,110462,
2021-03-02,IRFC,EQ,26.10,26.30,25.45,25.65,25.90,48494934,12562.02,63877,
2021-03-03,IRFC,EQ,25.80,25.95,25.45,25.50,25.65,18806435,4821.65,30413,
