date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,JINDALSTEL,EQ,167.80,171.30,164.40,166.40,167.70,24648797,41206.82,89961,
2020-01-02,JINDALSTEL,EQ,169.90,174.25,169.00,173.25,166.40,23256674,40026.51,97432,
2020-01-03,JINDALSTEL,EQ,173.35,174.60,170.00,171.60,173.25,19536532,33698.15,74883,
2020-01-06,JINDALSTEL,EQ,169.25,170.85,165.50,166.90,171.60,15670706,26302.33,68910,
2020-01-07,JINDALSTEL,EQ,169.00,171.90,165.75,167.35,166.90,19605976,33057.86,95049,
2020-01-08,JINDALSTEL,EQ,166.45,176.40,164.05,174.70,167.35,33040895,56154.08,147836,
2020-01-09,JINDALSTEL,EQ,177.25,179.50,174.35,176.40,174.70,18381117,32440.28,97292,
2020-01-10,JINDALSTEL,EQ,177.00,179.40,174.70,176.65,176.40,18329483,32451.83,104714,
2020-01-13,JINDALSTEL,EQ,177.80,179.75,174.10,178.05,176.65,15771923,27875.46,60210,
2020-01-14,JINDALSTEL,EQ,178.50,180.65,171.65,174.00,178.05,22197682,39097.75,78974,
2020-01-15,JINDALSTEL,EQ,172.90,180.75,171.15,180.15,174.00,28161176,49895.05,109214,
2020-01-16,JINDALSTEL,EQ,180.45,181.80,176.10,179.00,180.15,20938516,37440.91,99970,
2020-01-17,JINDALSTEL,EQ,179.50,180.90,175.80,176.95,179.00,14452871,25849.33,61624,
2020-01-20,JINDALSTEL,EQ,175.00,180.20,173.25,179.30,176.95,19944796,35472.75,81537,
2020-01-21,JINDALSTEL,EQ,177.00,186.95,176.40,185.80,179.30,30489750,55501.69,117332,
2020-01-22,JINDALSTEL,EQ,185.90,186.20,177.50,179.15,185.80,19443219,35275.89,77052,
2020-01-23,JINDALSTEL,EQ,179.40,181.20,177.50,180.00,179.15,11413774,20501.77,50926,
2020-01-24,JINDALSTEL,EQ,179.40,189.80,178.95,188.95,180.00,19856058,36918.34,92267,
2020-01-27,JINDALSTEL,EQ,181.00,186.00,177.65,178.70,188.95,24954268,45070.23,108358,
2020-01-28,JINDALSTEL,EQ,179.80,180.85,173.20,175.50,178.70,19420336,34207.29,94087,
2020-01-29,JINDALSTEL,EQ,178.95,181.00,170.60,174.95,175.50,23683887,41751.85,105029,
2020-01-30,JINDALSTEL,EQ,176.00,181.90,172.35,175.65,174.95,33407995,58957.13,157225,
2020-01-31,JINDALSTEL,EQ,178.00,178.30,172.60,175.90,175.65,15207085,26671.13,80516,
2020-02-03,JINDALSTEL,EQ,166.00,175.95,161.70,174.85,167.15,23272332,39631.83,110069,
2020-02-04,JINDALSTEL,EQ,176.00,184.80,173.75,183.40,174.85,21437184,38622.90,110539,
2020-02-05,JINDALSTEL,EQ,183.40,192.95,181.90,190.10,183.40,20048729,37265.28,99298,
2020-02-06,JINDALSTEL,EQ,192.15,198.75,191.20,197.75,190.10,28812959,56435.05,139313,
2020-02-07,JINDALSTEL,EQ,195.50,202.25,194.80,197.80,197.75,22908839,45454.74,107868,
2020-02-10,JINDALSTEL,EQ,196.50,196.70,190.40,193.20,197.80,14810988,28717.89,62649,
2020-02-11,JINDALSTEL,EQ,197.70,202.40,195.05,196.30,193.20,18730237,37329.76,81318,
2020-02-12,JINDALSTEL,EQ,198.70,199.25,194.00,197.00,196.30,12307478,24193.53,53573,
2020-02-13,JINDALSTEL,EQ,196.50,197.25,192.65,193.90,197.00,8746026,17034.08,39290,
2020-02-14,JINDALSTEL,EQ,192.90,197.65,189.40,190.50,193.90,14340696,27743.24,63735,
2020-02-17,JINDALSTEL,EQ,192.50,193.40,188.85,190.40,190.50,12487268,23871.27,61428,
2020-02-18,JINDALSTEL,EQ,188.70,189.30,181.70,185.25,190.40,14228234,26269.48,72427,
2020-02-19,JINDALSTEL,EQ,188.00,189.50,184.00,188.05,185.25,9801115,18340.61,51789,
2020-02-20,JINDALSTEL,EQ,187.50,195.90,185.80,193.40,188.05,16689454,32026.78,78569,
2020-02-24,JINDALSTEL,EQ,190.40,190.40,172.85,174.90,193.40,19898510,35909.96,92199,
2020-02-25,JINDALSTEL,EQ,179.95,182.70,175.35,179.00,174.90,19983174,35750.78,108507,
2020-02-26,JINDALSTEL,EQ,172.05,175.80,169.15,170.15,179.00,25605939,44003.52,129619,
2020-02-27,JINDALSTEL,EQ,170.00,170.00,164.55,168.35,170.15,21185744,35315.13,87772,
2020-02-28,JINDALSTEL,EQ,158.00,162.20,146.30,153.90,168.35,22939235,36171.02,97769,
2020-03-02,JINDALSTEL,EQ,161.10,163.95,149.45,153.35,153.90,24188438,38670.26,122691,
2020-03-03,JINDALSTEL,EQ,158.00,162.20,155.35,160.65,153.35,25472220,40473.95,139182,
2020-03-04,JINDALSTEL,EQ,161.00,162.50,148.10,154.25,160.65,24252742,37278.89,108930,
2020-03-05,JINDALSTEL,EQ,156.80,159.80,152.80,154.40,154.25,18929214,29459.32,103670,
2020-03-06,JINDALSTEL,EQ,140.00,149.25,140.00,146.30,154.40,17133704,25119.46,110337,
2020-03-09,JINDALSTEL,EQ,141.25,142.00,126.55,131.20,146.30,21051651,28411.03,77433,
2020-03-11,JINDALSTEL,EQ,130.60,133.15,125.00,126.90,131.20,27035595,34661.09,94634,
2020-03-12,JINDALSTEL,EQ,119.75,121.35,107.90,113.90,126.90,22695629,26258.33,82035,
2020-03-13,JINDALSTEL,EQ,103.00,130.50,99.20,121.40,113.90,25213969,28950.03,107793,
2020-03-16,JINDALSTEL,EQ,112.30,115.85,106.80,108.95,121.40,15440675,17156.70,80873,
2020-03-17,JINDALSTEL,EQ,111.00,116.80,105.45,107.20,108.95,18388456,20666.84,102139,
2020-03-18,JINDALSTEL,EQ,112.00,112.10,100.00,101.25,107.20,17132960,17920.71,84858,
2020-03-19,JINDALSTEL,EQ,95.15,100.45,91.45,93.00,101.25,18965959,18339.14,94543,
2020-03-20,JINDALSTEL,EQ,96.10,108.50,92.90,104.55,93.00,26516602,26359.03,106966,
2020-03-23,JINDALSTEL,EQ,94.10,99.50,86.00,89.00,104.55,5355785,5010.45,32995,
2020-03-24,JINDALSTEL,EQ,94.00,94.45,86.50,90.40,89.00,9732048,8751.52,120859,
2020-03-25,JINDALSTEL,EQ,88.00,94.90,87.25,92.20,90.40,12549140,11488.37,105622,
2020-03-26,JINDALSTEL,EQ,92.35,96.00,87.50,88.85,92.20,13486297,12371.39,77946,
2020-03-27,JINDALSTEL,EQ,92.00,94.50,87.80,88.85,88.85,14012061,12707.19,83310,
2020-03-30,JINDALSTEL,EQ,84.25,87.30,79.35,80.00,88.85,12837752,10631.67,65194,
2020-03-31,JINDALSTEL,EQ,82.50,85.65,81.75,82.20,80.00,15816135,13216.50,67175,
2020-04-01,JINDALSTEL,EQ,81.55,82.85,62.10,70.25,82.20,49775611,35329.15,182543,
2020-04-03,JINDALSTEL,EQ,74.25,74.80,62.00,63.15,70.25,46620044,31508.11,167301,
2020-04-07,JINDALSTEL,EQ,67.00,82.05,66.50,81.40,63.15,58702036,43793.99,244179,
2020-04-08,JINDALSTEL,EQ,77.30,97.50,77.10,84.90,81.40,62924356,54415.51,251829,
2020-04-09,JINDALSTEL,EQ,88.00,93.35,85.60,91.60,84.90,38987033,34948.67,213813,
2020-04-13,JINDALSTEL,EQ,92.00,93.25,84.50,91.65,91.60,32561993,28937.81,185238,
2020-04-15,JINDALSTEL,EQ,93.60,95.85,87.00,88.00,91.65,33151508,30515.53,163115,
2020-04-16,JINDALSTEL,EQ,86.95,91.40,86.15,88.30,88.00,21890027,19594.36,95579,
2020-04-17,JINDALSTEL,EQ,92.30,93.15,88.80,92.25,88.30,18261618,16622.94,79727,
2020-04-20,JINDALSTEL,EQ,93.25,93.60,89.30,90.60,92.25,13853528,12680.06,69301,
2020-04-21,JINDALSTEL,EQ,87.00,87.00,78.85,82.90,90.60,32750979,26929.79,182266,
2020-04-22,JINDALSTEL,EQ,82.10,86.35,80.45,85.10,82.90,20090402,16682.61,73731,
2020-04-23,JINDALSTEL,EQ,85.55,90.35,84.80,86.45,85.10,22241512,19571.35,89738,
2020-04-24,JINDALSTEL,EQ,85.00,87.00,78.25,79.15,86.45,24339173,20248.79,99100,
2020-04-27,JINDALSTEL,EQ,81.10,83.00,79.60,82.25,79.15,18036513,14736.89,79140,
2020-04-28,JINDALSTEL,EQ,83.00,84.45,81.50,83.90,82.25,14289354,11866.49,55667,
2020-04-29,JINDALSTEL,EQ,83.90,89.85,83.00,88.75,83.90,25785510,22748.82,89713,
2020-04-30,JINDALSTEL,EQ,91.00,96.15,89.70,95.00,88.75,31628041,29369.57,126567,
2020-05-04,JINDALSTEL,EQ,88.90,88.90,83.35,85.40,95.00,20169754,17236.28,96768,
2020-05-05,JINDALSTEL,EQ,88.65,90.30,85.40,85.95,85.40,22260539,19488.25,84868,
2020-05-06,JINDALSTEL,EQ,87.00,90.25,85.25,89.50,85.95,22020978,19380.78,78478,
2020-05-07,JINDALSTEL,EQ,88.50,92.60,87.70,90.75,89.50,18495594,16767.82,81073,
2020-05-08,JINDALSTEL,EQ,93.50,94.00,88.25,89.10,90.75,16445831,14939.34,102599,
2020-05-11,JINDALSTEL,EQ,90.30,92.30,88.30,89.60,89.10,11132385,10112.66,52201,
2020-05-12,JINDALSTEL,EQ,89.00,90.60,84.25,89.75,89.60,16957849,14841.30,74219,
2020-05-13,JINDALSTEL,EQ,94.05,100.90,91.35,97.35,89.75,38176069,37039.39,129134,
2020-05-14,JINDALSTEL,EQ,95.00,97.60,92.70,93.50,97.35,15152491,14409.23,60817,
2020-05-15,JINDALSTEL,EQ,94.45,96.60,91.90,94.55,93.50,22661797,21477.83,86208,
2020-05-18,JINDALSTEL,EQ,94.95,95.60,86.75,88.05,94.55,23716579,21300.98,77905,
2020-05-19,JINDALSTEL,EQ,90.00,94.20,89.10,91.65,88.05,25065212,23093.59,81448,
2020-05-20,JINDALSTEL,EQ,91.00,95.70,90.65,94.95,91.65,15272019,14296.60,58235,
2020-05-21,JINDALSTEL,EQ,94.95,99.10,94.15,98.00,94.95,23227274,22544.26,77454,
2020-05-22,JINDALSTEL,EQ,96.80,99.00,92.90,96.60,98.00,19186991,18235.73,67917,
2020-05-26,JINDALSTEL,EQ,100.20,110.85,99.10,109.15,96.60,57513757,60719.29,229120,
2020-05-27,JINDALSTEL,EQ,109.15,116.35,106.50,115.05,109.15,37506243,41333.31,143226,
2020-05-28,JINDALSTEL,EQ,115.05,120.75,113.80,119.10,115.05,28096868,33303.85,111579,
2020-05-29,JINDALSTEL,EQ,116.10,122.40,115.25,121.55,119.10,22712017,27157.21,91833,
2020-06-01,JINDALSTEL,EQ,123.20,131.85,123.15,129.60,121.55,25817509,33247.63,99006,
2020-06-02,JINDALSTEL,EQ,129.60,131.30,127.00,129.30,129.60,20594390,26623.19,84534,
2020-06-03,JINDALSTEL,EQ,131.00,132.90,126.00,127.40,129.30,14628700,19034.18,58557,
2020-06-04,JINDALSTEL,EQ,129.50,138.60,129.00,137.05,127.40,37112550,49955.73,167670,
2020-06-05,JINDALSTEL,EQ,138.95,147.20,138.35,145.45,137.05,34572646,49612.09,151767,
2020-06-08,JINDALSTEL,EQ,149.45,150.85,142.05,143.70,145.45,21469702,31322.64,94337,
2020-06-09,JINDALSTEL,EQ,144.70,149.00,142.20,144.20,143.70,17744119,25915.62,83567,
2020-06-10,JINDALSTEL,EQ,142.50,145.15,140.50,142.25,144.20,11736385,16749.69,75644,
2020-06-11,JINDALSTEL,EQ,142.00,147.95,139.40,141.00,142.25,13322128,19303.83,77887,
2020-06-12,JINDALSTEL,EQ,131.25,143.00,131.20,141.65,141.00,9828008,13553.06,60316,
