date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2023-09-04,JIOFIN,EQ,255.30,266.95,249.00,253.45,245.15,99246736,255015.31,774466,
2023-09-05,JIOFIN,EQ,257.00,260.00,253.00,255.05,253.45,47127078,121073.43,361296,
2023-09-06,JIOFIN,EQ,247.00,259.80,246.05,252.85,255.05,225413157,568488.29,634106,
2023-09-07,JIOFIN,EQ,252.00,257.30,251.25,251.80,252.85,43856832,111377.21,337076,
2023-09-08,JIOFIN,EQ,254.00,255.00,249.50,253.20,251.80,36090005,91157.23,264191,
2023-09-11,JIOFIN,EQ,256.95,257.70,250.00,250.15,253.20,24982858,63012.23,226553,
2023-09-12,JIOFIN,EQ,251.75,252.00,240.90,244.25,250.15,39500716,97255.23,257463,
2023-09-13,JIOFIN,EQ,244.80,247.80,236.60,240.20,244.25,27810990,67133.37,219521,
2023-09-14,JIOFIN,EQ,242.00,244.55,241.25,242.55,240.20,14055236,34109.33,169150,
2023-09-15,JIOFIN,EQ,243.80,244.65,237.65,239.40,242.55,27416106,65963.71,172549,
2023-09-18,JIOFIN,EQ,240.00,240.85,232.10,233.20,239.40,24694419,58259.71,243174,
2023-09-20,JIOFIN,EQ,230.40,232.00,229.00,229.65,233.20,18317607,42141.93,252513,
2023-09-21,JIOFIN,EQ,230.00,235.60,226.80,227.65,229.65,33101551,76358.96,178122,
2023-09-22,JIOFIN,EQ,227.95,232.25,226.35,227.80,227.65,38327554,87473.08,160047,
2023-09-25,JIOFIN,EQ,230.00,230.85,227.50,229.75,227.80,13392150,30702.86,121802,
2023-09-26,JIOFIN,EQ,231.10,231.70,230.00,230.40,229.75,8058261,18592.09,89985,
2023-09-27,JIOFIN,EQ,231.20,231.20,227.00,227.35,230.40,10984321,25035.92,113266,
2023-09-28,JIOFIN,EQ,228.00,228.85,224.75,225.05,227.35,9143582,20653.94,133113,
2023-09-29,JIOFIN,EQ,225.90,232.90,225.00,231.20,225.05,12411231,28481.33,106913,
2023-10-03,JIOFIN,EQ,231.50,233.90,230.55,231.40,231.20,13185432,30600.43,130173,
2023-10-04,JIOFIN,EQ,230.00,230.00,223.50,224.65,231.40,23296548,52586.53,214101,
2023-10-05,JIOFIN,EQ,225.90,227.90,224.20,225.40,224.65,13894930,31383.25,117800,
2023-10-06,JIOFIN,EQ,226.50,227.65,223.70,225.10,225.40,7531900,16956.96,87525,
2023-10-09,JIOFIN,EQ,223.00,223.00,218.85,219.65,225.10,9696908,21379.95,134087,
2023-10-10,JIOFIN,EQ,221.00,223.90,219.75,220.15,219.65,10451289,23156.33,122564,
2023-10-11,JIOFIN,EQ,222.00,227.70,220.60,225.10,220.15,11765082,26275.11,122758,
2023-10-12,JIOFIN,EQ,227.00,227.40,224.75,225.15,225.10,7780605,17568.10,68271,
2023-10-13,JIOFIN,EQ,224.00,225.90,222.00,224.55,225.15,10137218,22673.89,94521,
