date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,JSWSTEEL,EQ,270.70,273.50,265.85,268.10,270.05,6952048,18735.12,44999,
2020-01-02,JSWSTEEL,EQ,272.00,277.00,271.55,276.45,268.10,10780926,29640.45,73900,
2020-01-03,JSWSTEEL,EQ,276.45,276.45,270.75,272.45,276.45,5943349,16235.33,38332,
2020-01-06,JSWSTEEL,EQ,270.50,270.75,262.30,264.25,272.45,4529599,12034.41,30673,
2020-01-07,JSWSTEEL,EQ,266.15,270.15,263.10,265.25,264.25,4465297,11904.58,31857,
2020-01-08,JSWSTEEL,EQ,261.40,264.50,257.00,262.50,265.25,8088132,21101.82,44788,
2020-01-09,JSWSTEEL,EQ,267.70,279.20,267.70,278.10,262.50,13317832,36538.51,82455,
2020-01-10,JSWSTEEL,EQ,278.00,280.00,275.00,277.90,278.10,7625227,21180.87,51942,
2020-01-13,JSWSTEEL,EQ,278.05,279.90,275.40,278.60,277.90,4540953,12610.20,33966,
2020-01-14,JSWSTEEL,EQ,278.00,284.00,278.00,280.90,278.60,7428691,20920.22,53528,
2020-01-15,JSWSTEEL,EQ,279.85,283.40,276.25,282.50,280.90,5538475,15530.59,39954,
2020-01-16,JSWSTEEL,EQ,282.50,282.85,276.15,277.45,282.50,4791447,13315.86,40151,
2020-01-17,JSWSTEEL,EQ,276.80,279.55,272.85,273.35,277.45,4733742,13060.39,29633,
2020-01-20,JSWSTEEL,EQ,273.50,275.00,268.65,271.35,273.35,3823115,10370.14,25024,
2020-01-21,JSWSTEEL,EQ,270.00,270.90,264.35,267.25,271.35,4799667,12840.51,36482,
2020-01-22,JSWSTEEL,EQ,268.30,269.30,264.75,265.85,267.25,3334351,8901.48,25919,
2020-01-23,JSWSTEEL,EQ,266.00,268.95,264.10,266.65,265.85,3529142,9414.52,24104,
2020-01-24,JSWSTEEL,EQ,266.70,273.90,265.30,271.90,266.65,5991335,16228.53,46243,
2020-01-27,JSWSTEEL,EQ,265.45,265.90,258.30,262.80,271.90,17151836,44931.83,91461,
2020-01-28,JSWSTEEL,EQ,260.80,261.75,251.60,255.25,262.80,11168567,28668.23,69713,
2020-01-29,JSWSTEEL,EQ,259.00,264.60,258.30,261.25,255.25,7832991,20527.38,50428,
2020-01-30,JSWSTEEL,EQ,261.30,262.10,255.25,256.95,261.25,5511254,14253.70,43330,
2020-01-31,JSWSTEEL,EQ,258.15,259.00,249.10,250.70,256.95,6329214,16078.96,48505,
2020-02-03,JSWSTEEL,EQ,245.50,253.00,243.75,251.50,244.75,7021154,17454.25,45678,
2020-02-04,JSWSTEEL,EQ,253.25,259.70,248.70,258.35,251.50,5839343,14952.80,41556,
2020-02-05,JSWSTEEL,EQ,259.50,271.65,256.35,269.25,258.35,7218905,18963.12,45905,
2020-02-06,JSWSTEEL,EQ,271.10,277.50,267.75,276.45,269.25,8567243,23492.61,54010,
2020-02-07,JSWSTEEL,EQ,275.40,280.00,272.75,279.30,276.45,5258442,14605.95,31277,
2020-02-10,JSWSTEEL,EQ,276.00,279.80,273.20,277.90,279.30,4972983,13759.55,32384,
2020-02-11,JSWSTEEL,EQ,280.05,293.50,278.60,288.75,277.90,10958494,31595.07,72217,
2020-02-12,JSWSTEEL,EQ,288.65,295.40,288.50,293.70,288.75,9119052,26706.58,55371,
2020-02-13,JSWSTEEL,EQ,292.20,294.60,288.40,293.35,293.70,6220243,18168.91,40577,
2020-02-14,JSWSTEEL,EQ,291.60,296.75,288.30,289.15,293.35,6086218,17820.11,39261,
2020-02-17,JSWSTEEL,EQ,289.15,290.90,285.30,288.15,289.15,6084235,17540.50,36285,
2020-02-18,JSWSTEEL,EQ,289.00,289.15,281.10,284.80,288.15,5463097,15538.91,35213,
2020-02-19,JSWSTEEL,EQ,287.20,290.00,279.90,280.85,284.80,4952306,14132.49,28936,
2020-02-20,JSWSTEEL,EQ,280.70,285.85,277.00,281.80,280.85,6960354,19601.52,43280,
2020-02-24,JSWSTEEL,EQ,277.95,277.95,256.00,258.95,281.80,10565578,28163.10,64178,
2020-02-25,JSWSTEEL,EQ,264.00,266.80,258.40,262.60,258.95,9928181,26083.88,66720,
2020-02-26,JSWSTEEL,EQ,256.00,263.70,255.55,260.80,262.60,8111249,21066.83,57706,
2020-02-27,JSWSTEEL,EQ,259.00,259.00,248.30,252.10,260.80,10258174,26001.66,87528,
2020-02-28,JSWSTEEL,EQ,245.50,245.50,232.65,235.70,252.10,10723581,25545.74,82183,
2020-03-02,JSWSTEEL,EQ,242.20,246.50,230.85,235.00,235.70,10865535,26254.74,79748,
2020-03-03,JSWSTEEL,EQ,239.25,249.10,238.65,246.45,235.00,11580274,28226.66,69735,
2020-03-04,JSWSTEEL,EQ,246.55,248.80,236.85,245.60,246.45,10790561,26134.00,60596,
2020-03-05,JSWSTEEL,EQ,248.70,252.75,244.35,247.15,245.60,7130730,17678.71,51930,
2020-03-06,JSWSTEEL,EQ,235.00,240.00,228.20,238.80,247.15,6850161,16176.36,46392,
2020-03-09,JSWSTEEL,EQ,229.05,231.65,225.10,229.05,238.80,7888019,18024.15,53967,
2020-03-11,JSWSTEEL,EQ,227.00,228.50,220.10,223.50,229.05,10073347,22530.08,76565,
2020-03-12,JSWSTEEL,EQ,210.00,214.30,199.05,203.20,223.50,14115039,28970.30,77264,
2020-03-13,JSWSTEEL,EQ,188.00,217.95,175.20,214.90,203.20,12883941,26390.57,109317,
2020-03-16,JSWSTEEL,EQ,202.00,207.15,181.55,186.00,214.90,15167108,29374.89,95745,
2020-03-17,JSWSTEEL,EQ,188.90,193.50,175.15,176.45,186.00,14096871,26249.25,80719,
2020-03-18,JSWSTEEL,EQ,180.05,181.15,156.45,164.35,176.45,18951014,31567.34,95464,
2020-03-19,JSWSTEEL,EQ,157.80,168.70,151.70,163.30,164.35,12583063,20126.90,72568,
2020-03-20,JSWSTEEL,EQ,167.00,179.10,164.65,175.75,163.30,7449415,12811.21,58942,
2020-03-23,JSWSTEEL,EQ,158.20,164.25,136.10,144.40,175.75,7422941,10819.78,63976,
2020-03-24,JSWSTEEL,EQ,149.25,155.00,140.35,147.10,144.40,6487043,9515.78,60942,
2020-03-25,JSWSTEEL,EQ,145.00,156.00,142.55,151.80,147.10,4384700,6627.87,47879,
2020-03-26,JSWSTEEL,EQ,151.00,157.45,144.50,149.80,151.80,8021131,12130.47,60005,
2020-03-27,JSWSTEEL,EQ,152.10,156.45,146.20,151.45,149.80,6108830,9232.88,46663,
2020-03-30,JSWSTEEL,EQ,148.45,148.45,136.50,142.40,151.45,11851157,16701.74,84472,
2020-03-31,JSWSTEEL,EQ,145.95,152.40,144.50,146.25,142.40,9965197,14704.82,76992,
2020-04-01,JSWSTEEL,EQ,145.95,145.95,139.05,143.00,146.25,5967565,8455.01,55798,
2020-04-03,JSWSTEEL,EQ,143.25,148.15,132.50,140.70,143.00,18559602,25595.20,150511,
2020-04-07,JSWSTEEL,EQ,148.05,159.85,145.45,158.10,140.70,16440328,25290.39,109248,
2020-04-08,JSWSTEEL,EQ,155.00,170.75,152.15,154.60,158.10,15245833,24510.26,99848,
2020-04-09,JSWSTEEL,EQ,159.00,170.00,158.00,166.30,154.60,15243084,25225.85,103537,
2020-04-13,JSWSTEEL,EQ,167.50,172.40,161.15,167.65,166.30,11554655,19253.46,91293,
2020-04-15,JSWSTEEL,EQ,170.00,174.95,165.85,171.40,167.65,17616485,30150.96,110097,
2020-04-16,JSWSTEEL,EQ,169.30,174.60,167.40,170.65,171.40,10428942,17951.52,60409,
2020-04-17,JSWSTEEL,EQ,175.00,179.85,170.35,177.30,170.65,10104852,17593.50,59940,
2020-04-20,JSWSTEEL,EQ,183.00,183.00,166.10,167.50,177.30,12629035,21660.68,90158,
2020-04-21,JSWSTEEL,EQ,164.00,164.40,156.80,159.60,167.50,10887919,17342.88,90196,
2020-04-22,JSWSTEEL,EQ,158.00,163.00,155.50,161.20,159.60,7765209,12353.63,58144,
2020-04-23,JSWSTEEL,EQ,162.40,166.30,158.70,159.95,161.20,7114946,11603.20,56063,
2020-04-24,JSWSTEEL,EQ,157.50,159.50,152.60,153.25,159.95,8447036,13199.24,64490,
2020-04-27,JSWSTEEL,EQ,156.00,160.65,155.00,157.30,153.25,9745004,15440.03,63946,
2020-04-28,JSWSTEEL,EQ,159.40,160.30,157.00,159.40,157.30,8025743,12760.84,49203,
2020-04-29,JSWSTEEL,EQ,160.80,166.40,159.00,164.10,159.40,11842945,19446.75,77048,
2020-04-30,JSWSTEEL,EQ,168.60,188.70,167.50,180.65,164.10,16023589,27936.17,102951,
2020-05-04,JSWSTEEL,EQ,170.95,170.95,162.35,163.55,180.65,10646028,17540.59,78993,
2020-05-05,JSWSTEEL,EQ,167.50,171.65,162.80,163.90,163.55,12995347,21804.11,97350,
2020-05-06,JSWSTEEL,EQ,165.50,169.30,163.15,165.80,163.90,8720744,14517.55,59014,
2020-05-07,JSWSTEEL,EQ,164.20,174.00,162.50,172.20,165.80,11944061,20215.20,85848,
2020-05-08,JSWSTEEL,EQ,175.55,176.60,167.50,168.65,172.20,9045606,15626.61,68697,
2020-05-11,JSWSTEEL,EQ,170.00,176.40,168.75,174.55,168.65,9199262,16023.37,62697,
2020-05-12,JSWSTEEL,EQ,172.00,179.60,167.05,178.20,174.55,11889850,20547.60,75361,
2020-05-13,JSWSTEEL,EQ,189.00,189.00,180.60,182.35,178.20,10377139,19037.82,69566,
2020-05-14,JSWSTEEL,EQ,179.00,180.40,174.20,175.20,182.35,5808584,10294.00,35548,
2020-05-15,JSWSTEEL,EQ,176.90,179.40,173.25,174.30,175.20,11548870,20397.91,64161,
2020-05-18,JSWSTEEL,EQ,175.80,176.20,162.10,163.25,174.30,8130435,13593.01,57320,
2020-05-19,JSWSTEEL,EQ,167.00,172.95,165.90,169.30,163.25,11001274,18725.18,68717,
2020-05-20,JSWSTEEL,EQ,169.30,173.00,168.30,171.05,169.30,10091863,17234.31,50806,
2020-05-21,JSWSTEEL,EQ,172.00,174.85,168.95,169.90,171.05,11065823,19009.88,59783,
2020-05-22,JSWSTEEL,EQ,168.40,169.50,163.50,166.15,169.90,10228048,16993.21,66107,
2020-05-26,JSWSTEEL,EQ,168.00,178.25,168.00,176.25,166.15,30383793,53441.44,145114,
