date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,KOTAKBANK,EQ,1689.00,1696.75,1672.00,1674.05,1684.35,1475056,24766.25,43248,
2020-01-02,KOTAKBANK,EQ,1680.00,1683.50,1664.65,1671.55,1674.05,1852089,30929.52,56954,
2020-01-03,KOTAKBANK,EQ,1670.95,1673.00,1645.55,1657.10,1671.55,1594089,26425.96,83688,
2020-01-06,KOTAKBANK,EQ,1657.10,1657.45,1638.60,1652.55,1657.10,1480087,24378.11,64555,
2020-01-07,KOTAKBANK,EQ,1661.05,1674.75,1650.40,1670.85,1652.55,2497931,41539.01,62054,
2020-01-08,KOTAKBANK,EQ,1654.70,1661.45,1638.00,1654.85,1670.85,3125931,51592.41,108277,
2020-01-09,KOTAKBANK,EQ,1673.50,1673.75,1658.70,1665.05,1654.85,2668424,44415.66,64081,
2020-01-10,KOTAKBANK,EQ,1674.10,1692.00,1671.20,1684.70,1665.05,2536083,42683.18,97398,
2020-01-13,KOTAKBANK,EQ,1692.00,1704.50,1685.55,1691.10,1684.70,1807958,30595.95,48374,
2020-01-14,KOTAKBANK,EQ,1696.00,1696.10,1671.00,1676.80,1691.10,2136892,35831.44,79735,
2020-01-15,KOTAKBANK,EQ,1675.95,1686.60,1665.90,1675.60,1676.80,2490245,41732.34,53526,
2020-01-16,KOTAKBANK,EQ,1678.90,1705.60,1678.90,1701.55,1675.60,3321282,56244.05,94314,
2020-01-17,KOTAKBANK,EQ,1703.90,1705.85,1690.10,1698.10,1701.55,2295875,39014.53,93648,
2020-01-20,KOTAKBANK,EQ,1709.00,1709.00,1611.00,1617.90,1698.10,8004034,131667.41,228321,
2020-01-21,KOTAKBANK,EQ,1605.00,1630.60,1585.20,1625.10,1617.90,5745469,92388.54,185564,
2020-01-22,KOTAKBANK,EQ,1633.20,1637.90,1576.00,1585.50,1625.10,5479162,87307.46,154814,
2020-01-23,KOTAKBANK,EQ,1588.00,1608.40,1581.30,1605.85,1585.50,3495683,55830.49,96078,
2020-01-24,KOTAKBANK,EQ,1605.45,1649.00,1587.00,1642.95,1605.85,4252937,69026.28,157612,
2020-01-27,KOTAKBANK,EQ,1628.70,1629.00,1608.40,1618.35,1642.95,1874429,30324.56,58316,
2020-01-28,KOTAKBANK,EQ,1620.00,1638.00,1610.25,1626.05,1618.35,1981104,32241.53,86400,
2020-01-29,KOTAKBANK,EQ,1633.00,1646.20,1623.05,1640.45,1626.05,2227493,36479.20,62207,
2020-01-30,KOTAKBANK,EQ,1637.80,1640.30,1617.50,1628.25,1640.45,1590156,25893.41,63063,
2020-01-31,KOTAKBANK,EQ,1709.65,1729.00,1683.15,1691.75,1628.25,9495046,161278.35,253091,
2020-02-03,KOTAKBANK,EQ,1645.60,1680.80,1634.00,1676.25,1647.95,2510294,41718.54,112048,
2020-02-04,KOTAKBANK,EQ,1684.05,1702.80,1670.15,1698.30,1676.25,2070417,35008.91,93785,
2020-02-05,KOTAKBANK,EQ,1702.00,1707.45,1677.10,1689.75,1698.30,2096512,35416.48,97390,
2020-02-06,KOTAKBANK,EQ,1693.90,1697.90,1668.00,1674.00,1689.75,2532618,42533.17,125534,
2020-02-07,KOTAKBANK,EQ,1675.75,1677.95,1644.00,1653.05,1674.00,2290151,37874.95,99398,
2020-02-10,KOTAKBANK,EQ,1660.00,1674.60,1645.70,1669.30,1653.05,1355124,22462.54,62012,
2020-02-11,KOTAKBANK,EQ,1682.45,1685.80,1666.55,1677.45,1669.30,1914766,32124.94,109723,
2020-02-12,KOTAKBANK,EQ,1680.10,1720.00,1675.00,1714.90,1677.45,3010537,51473.07,74600,
2020-02-13,KOTAKBANK,EQ,1714.70,1714.70,1682.30,1689.80,1714.90,2246920,37995.28,77476,
2020-02-14,KOTAKBANK,EQ,1696.00,1703.00,1663.60,1680.95,1689.80,1892157,31800.68,80400,
2020-02-17,KOTAKBANK,EQ,1685.00,1699.20,1672.25,1691.10,1680.95,1812765,30655.21,64474,
2020-02-18,KOTAKBANK,EQ,1682.50,1699.80,1678.30,1691.00,1691.10,2219039,37481.48,106786,
2020-02-19,KOTAKBANK,EQ,1740.00,1740.00,1695.40,1701.10,1691.00,3168534,54173.76,99948,
2020-02-20,KOTAKBANK,EQ,1697.30,1699.25,1676.20,1685.95,1701.10,2099903,35445.68,86420,
