date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2021-04-19,LODHA,EQ,436.00,478.00,422.60,465.25,486.00,11051365,51296.54,189323,
2021-04-20,LODHA,EQ,468.00,513.85,457.35,503.10,465.25,5852536,28641.56,108274,
2021-04-22,LODHA,EQ,498.00,542.75,491.60,523.75,503.10,2364148,12318.54,67555,
2021-04-23,LODHA,EQ,522.80,536.90,517.70,530.70,523.75,1150419,6076.99,39106,
2021-04-26,LODHA,EQ,532.00,586.00,532.00,580.10,530.70,2069788,11697.29,59175,
2021-04-27,LODHA,EQ,576.00,612.75,571.05,604.40,580.10,2186988,13027.87,45239,
2021-04-28,LODHA,EQ,604.80,620.00,596.20,615.65,604.40,985170,6016.14,27476,
2021-04-29,LODHA,EQ,618.75,619.00,581.15,601.65,615.65,1874805,11250.22,18880,
2021-04-30,LODHA,EQ,592.00,621.90,588.10,593.70,601.65,344790,2084.22,9923,
2021-05-03,LODHA,EQ,590.00,605.00,570.20,599.30,593.70,424237,2495.36,9572,
2021-05-04,LODHA,EQ,601.25,608.00,582.70,597.70,599.30,293950,1756.28,6695,
2021-05-05,LODHA,EQ,591.00,612.00,587.50,606.00,597.70,291004,1746.39,7329,
2021-05-06,LODHA,EQ,606.00,612.25,595.55,601.95,606.00,140792,850.27,4732,
2021-05-07,LODHA,EQ,603.00,638.00,603.00,631.75,601.95,1348921,8361.68,19689,
2021-05-10,LODHA,EQ,630.00,758.10,629.85,691.75,631.75,1601276,11060.58,39174,
2021-05-11,LODHA,EQ,684.80,702.70,675.15,691.70,691.75,469298,3249.65,13440,
2021-05-12,LODHA,EQ,700.00,710.25,634.95,646.65,691.70,704740,4699.75,18356,
2021-05-14,LODHA,EQ,664.90,671.45,614.50,647.90,646.65,645657,4157.99,17725,
2021-05-17,LODHA,EQ,648.00,657.00,627.60,647.40,647.90,1086582,7007.27,12730,
2021-05-18,LODHA,EQ,647.85,647.85,614.50,632.85,647.40,665681,4174.48,12191,
2021-05-19,LODHA,EQ,623.50,642.00,623.50,634.30,632.85,338421,2143.11,7284,
2021-05-20,LODHA,EQ,634.30,645.15,616.05,628.55,634.30,207878,1318.92,5670,
2021-05-21,LODHA,EQ,636.90,656.90,628.50,644.35,628.55,657707,4231.18,13264,
2021-05-24,LODHA,EQ,648.95,652.00,638.00,644.20,644.35,300867,1943.29,4355,
2021-05-25,LODHA,EQ,643.00,650.00,628.00,632.65,644.20,436108,2782.68,10629,
2021-05-26,LODHA,EQ,620.00,629.70,618.00,625.10,632.65,240696,1504.52,5156,
2021-05-27,LODHA,EQ,620.15,625.00,610.00,614.95,625.10,103843,641.41,3800,
2021-05-28,LODHA,EQ,616.00,643.00,615.00,635.15,614.95,416283,2640.87,17790,
2021-05-31,LODHA,EQ,634.85,641.50,621.95,631.15,635.15,235554,1483.92,4521,
2021-06-01,LODHA,EQ,636.00,636.80,618.05,626.30,631.15,163558,1021.34,3064,
2021-06-02,LODHA,EQ,630.00,637.70,617.00,618.00,626.30,139550,871.71,8283,
2021-06-03,LODHA,EQ,620.55,635.95,619.30,622.70,618.00,290436,1819.92,5280,
2021-06-04,LODHA,EQ,628.00,634.00,621.00,627.70,622.70,190382,1197.28,4701,
2021-06-07,LODHA,EQ,633.70,689.00,631.55,670.05,627.70,1147825,7692.59,27196,
2021-06-08,LODHA,EQ,663.00,710.00,663.00,690.75,670.05,1231336,8550.01,29724,
2021-06-09,LODHA,EQ,696.00,702.65,651.55,666.20,690.75,824051,5618.42,24471,
2021-06-10,LODHA,EQ,669.75,700.40,666.30,694.25,666.20,562599,3860.63,16300,
2021-06-11,LODHA,EQ,694.00,699.15,661.45,672.90,694.25,499393,3388.44,13177,
2021-06-14,LODHA,EQ,670.25,705.00,651.80,685.10,672.90,601260,4102.16,15688,
2021-06-15,LODHA,EQ,691.75,715.00,690.00,708.85,685.10,872095,6101.06,15996,
2021-06-16,LODHA,EQ,710.00,718.05,674.00,681.80,708.85,487738,3423.36,20525,
2021-06-17,LODHA,EQ,678.90,693.00,662.00,670.65,681.80,266727,1809.07,18311,
2021-06-18,LODHA,EQ,675.80,686.20,632.10,681.00,670.65,549616,3654.11,21829,
2021-06-21,LODHA,EQ,675.00,708.00,666.80,704.05,681.00,328169,2272.74,9394,
2021-06-22,LODHA,EQ,708.00,713.10,696.00,699.80,704.05,345508,2426.68,7566,
2021-06-23,LODHA,EQ,702.70,704.55,680.00,682.05,699.80,201318,1389.54,6703,
2021-06-24,LODHA,EQ,681.00,697.00,676.10,688.00,682.05,157439,1076.59,6643,
2021-06-25,LODHA,EQ,687.00,687.75,673.05,676.25,688.00,113525,772.90,5647,
2021-06-28,LODHA,EQ,674.00,693.00,672.05,687.25,676.25,377923,2588.58,9602,
2021-06-29,LODHA,EQ,688.00,689.50,673.00,675.65,687.25,144194,981.94,5909,
2021-06-30,LODHA,EQ,692.60,704.40,680.00,683.65,675.65,591373,4096.37,25885,
2021-07-01,LODHA,EQ,689.75,694.85,678.00,681.55,683.65,139912,959.92,6104,
2021-07-02,LODHA,EQ,687.75,687.75,668.50,676.20,681.55,144849,986.75,5187,
2021-07-05,LODHA,EQ,684.90,688.00,665.35,670.95,676.20,350043,2369.03,18045,
2021-07-06,LODHA,EQ,673.00,676.75,645.00,650.85,670.95,491435,3261.48,18806,
2021-07-07,LODHA,EQ,655.00,672.45,655.00,664.25,650.85,406154,2695.43,12493,
2021-07-08,LODHA,EQ,671.90,702.00,668.05,687.85,664.25,479271,3301.27,19081,
2021-07-09,LODHA,EQ,684.25,789.00,677.05,772.65,687.85,2209732,16432.68,67734,
2021-07-12,LODHA,EQ,790.00,815.80,775.65,790.45,772.65,808073,6410.03,31375,
2021-07-13,LODHA,EQ,798.00,798.00,769.65,778.35,790.45,325062,2528.74,17102,
2021-07-14,LODHA,EQ,775.05,826.95,775.05,791.10,778.35,785009,6304.11,22691,
2021-07-15,LODHA,EQ,790.15,839.00,772.00,829.45,791.10,1011074,8161.91,35036,
2021-07-16,LODHA,EQ,837.10,872.50,825.25,852.60,829.45,882067,7491.03,32292,
2021-07-19,LODHA,EQ,824.00,847.70,821.00,831.80,852.60,555326,4633.59,26624,
2021-07-20,LODHA,EQ,831.50,835.55,788.00,793.20,831.80,384553,3095.39,15964,
2021-07-22,LODHA,EQ,805.90,867.00,801.95,856.25,793.20,697773,5835.37,23436,
2021-07-23,LODHA,EQ,849.00,853.95,831.10,844.85,856.25,358198,3015.25,12627,
2021-07-26,LODHA,EQ,841.95,854.80,832.20,843.45,844.85,290239,2449.76,9051,
2021-07-27,LODHA,EQ,847.70,885.00,835.95,877.00,843.45,631535,5431.50,24987,
2021-07-28,LODHA,EQ,879.00,879.00,816.05,853.15,877.00,410118,3463.37,18927,
2021-07-29,LODHA,EQ,860.00,885.35,851.00,855.80,853.15,224725,1945.98,11377,
2021-07-30,LODHA,EQ,856.00,865.00,841.45,853.80,855.80,175177,1499.71,12150,
2021-08-02,LODHA,EQ,860.00,928.10,852.80,918.85,853.80,1701138,15402.89,55540,
2021-08-03,LODHA,EQ,925.00,944.90,913.60,921.45,918.85,420666,3911.71,18734,
2021-08-04,LODHA,EQ,920.90,929.45,876.00,883.00,921.45,201542,1813.99,8078,
2021-08-05,LODHA,EQ,884.70,886.55,835.20,868.00,883.00,231873,2001.95,9001,
2021-08-06,LODHA,EQ,874.00,884.90,862.00,874.10,868.00,257300,2246.12,6795,
2021-08-09,LODHA,EQ,879.15,884.70,850.30,858.45,874.10,263200,2280.83,6518,
2021-08-10,LODHA,EQ,855.40,866.50,787.00,804.55,858.45,329975,2710.09,12825,
2021-08-11,LODHA,EQ,810.30,845.90,761.35,835.70,804.55,558856,4503.39,19932,
2021-08-12,LODHA,EQ,840.00,869.90,825.45,852.15,835.70,394709,3378.80,23811,
2021-08-13,LODHA,EQ,857.50,877.40,839.45,871.60,852.15,260090,2247.75,10426,
2021-08-16,LODHA,EQ,870.00,883.00,855.00,870.05,871.60,121326,1054.85,5564,
2021-08-17,LODHA,EQ,870.05,870.05,842.35,850.85,870.05,69624,594.39,3771,
2021-08-18,LODHA,EQ,849.85,877.00,837.70,861.35,850.85,240208,2061.24,11945,
2021-08-20,LODHA,EQ,846.05,882.25,845.00,852.85,861.35,232913,2005.04,10648,
2021-08-23,LODHA,EQ,853.00,869.70,801.00,809.60,852.85,151624,1257.10,7119,
2021-08-24,LODHA,EQ,807.95,846.10,806.05,839.70,809.60,112794,937.73,5985,
2021-08-25,LODHA,EQ,848.95,859.00,844.15,851.35,839.70,212206,1808.79,7418,
2021-08-26,LODHA,EQ,853.80,880.00,847.85,866.65,851.35,184376,1600.92,7793,
2021-08-27,LODHA,EQ,871.95,906.95,871.95,891.30,866.65,310379,2775.78,13768,
2021-08-30,LODHA,EQ,890.00,947.30,890.00,933.80,891.30,353465,3257.09,12416,
2021-08-31,LODHA,EQ,938.80,973.25,922.25,958.50,933.80,400421,3794.94,12289,
2021-09-01,LODHA,EQ,968.90,1025.00,965.00,994.40,958.50,1046975,10374.04,32074,
2021-09-02,LODHA,EQ,989.85,1050.00,986.30,1038.00,994.40,732476,7431.76,25181,
2021-09-03,LODHA,EQ,1049.00,1100.00,1042.00,1088.55,1038.00,1266193,13640.11,39523,
2021-09-06,LODHA,EQ,1089.50,1102.00,1046.40,1089.15,1088.55,646446,6944.11,29570,
2021-09-07,LODHA,EQ,1084.00,1085.00,1016.00,1028.10,1089.15,351624,3695.50,20276,
2021-09-08,LODHA,EQ,1040.00,1056.00,1025.50,1052.45,1028.10,303203,3154.30,15137,
2021-09-09,LODHA,EQ,1045.00,1060.20,1026.10,1035.85,1052.45,344001,3571.16,20501,
2021-09-13,LODHA,EQ,1043.95,1073.40,1040.40,1062.75,1035.85,171911,1818.12,8839,
2021-09-14,LODHA,EQ,1069.90,1069.90,1045.00,1048.60,1062.75,133163,1399.64,8781,
2021-09-15,LODHA,EQ,1050.00,1058.00,1008.00,1021.65,1048.60,145075,1501.71,11730,
2021-09-16,LODHA,EQ,1031.90,1039.90,999.00,1014.90,1021.65,207414,2101.48,8175,
2021-09-17,LODHA,EQ,1005.00,1042.70,990.00,1005.30,1014.90,468413,4726.29,14518,
2021-09-20,LODHA,EQ,996.05,1024.00,971.05,982.75,1005.30,215478,2163.71,12655,
2021-09-21,LODHA,EQ,973.10,1025.00,936.15,1018.15,982.75,338546,3329.22,14748,
2021-09-22,LODHA,EQ,1028.70,1074.50,1016.25,1054.80,1018.15,524776,5532.62,22777,
2021-09-23,LODHA,EQ,1074.00,1152.00,1056.55,1106.45,1054.80,1729882,19030.47,59938,
2021-09-24,LODHA,EQ,1115.70,1122.00,1033.00,1062.00,1106.45,625154,6720.69,27294,
2021-09-27,LODHA,EQ,1071.00,1107.00,1058.00,1101.90,1062.00,376813,4099.77,14861,
2021-09-28,LODHA,EQ,1103.95,1103.95,1043.00,1053.15,1101.90,213515,2272.41,12198,
2021-09-29,LODHA,EQ,1048.00,1084.00,1040.00,1069.60,1053.15,228205,2437.71,23303,
2021-09-30,LODHA,EQ,1074.90,1079.00,1052.55,1057.50,1069.60,140474,1498.27,8310,
2021-10-01,LODHA,EQ,1061.00,1074.00,1050.55,1055.15,1057.50,151710,1612.99,10637,
2021-10-04,LODHA,EQ,1087.80,1099.80,1050.55,1059.10,1055.15,353263,3806.75,24386,
2021-10-05,LODHA,EQ,1060.00,1099.70,1038.00,1082.35,1059.10,1143084,12186.29,13071,
2021-10-06,LODHA,EQ,1095.15,1100.00,1050.00,1052.70,1082.35,323147,3498.59,11821,
2021-10-07,LODHA,EQ,1095.00,1145.00,1072.65,1123.05,1052.70,1456651,16295.19,49456,
2021-10-08,LODHA,EQ,1144.00,1182.15,1115.60,1163.70,1123.05,936090,10899.12,27304,
2021-10-11,LODHA,EQ,1180.00,1210.00,1170.00,1189.75,1163.70,407532,4861.88,25392,
2021-10-12,LODHA,EQ,1194.20,1202.00,1162.80,1193.60,1189.75,546571,6461.35,17040,
2021-10-13,LODHA,EQ,1187.00,1195.00,1167.20,1180.60,1193.60,232171,2730.21,11499,
2021-10-14,LODHA,EQ,1189.80,1225.00,1178.60,1197.10,1180.60,300960,3639.87,17676,
2021-10-18,LODHA,EQ,1204.80,1217.30,1176.05,1184.10,1197.10,147637,1760.93,7270,
2021-10-19,LODHA,EQ,1195.00,1203.00,1091.20,1106.05,1184.10,309593,3492.01,28574,
2021-10-20,LODHA,EQ,1113.10,1133.00,1031.05,1051.80,1106.05,342585,3693.80,36687,
2021-10-21,LODHA,EQ,1059.00,1089.95,1001.00,1027.15,1051.80,409177,4301.80,35187,
2021-10-22,LODHA,EQ,1059.00,1083.00,1030.25,1052.25,1027.15,591885,6255.97,53185,
2021-10-25,LODHA,EQ,1056.90,1060.00,950.00,967.05,1052.25,464644,4609.52,35295,
2021-10-26,LODHA,EQ,960.00,1070.00,955.05,1058.65,967.05,607096,6326.71,25446,
2021-10-27,LODHA,EQ,1063.00,1107.55,1048.85,1070.95,1058.65,368703,3991.49,17536,
2021-10-28,LODHA,EQ,1077.50,1081.20,1035.00,1046.65,1070.95,141120,1493.39,12783,
2021-10-29,LODHA,EQ,1045.00,1097.55,1010.20,1064.20,1046.65,420958,4507.92,31878,
2021-11-01,LODHA,EQ,1049.80,1159.80,1046.50,1150.05,1064.20,599983,6779.01,25962,
2021-11-02,LODHA,EQ,1148.00,1190.00,1123.00,1178.10,1150.05,323724,3751.27,19292,
2021-11-03,LODHA,EQ,1181.75,1198.60,1100.35,1181.90,1178.10,273218,3206.25,17310,
2021-11-08,LODHA,EQ,1170.00,1176.95,1143.00,1153.25,1169.95,107147,1240.89,9021,
2021-11-09,LODHA,EQ,1165.80,1220.00,1160.65,1183.70,1153.25,461226,5532.33,24850,
2021-11-10,LODHA,EQ,1178.00,1240.00,1165.85,1233.60,1183.70,423555,5160.55,22109,
2021-11-11,LODHA,EQ,1253.00,1266.00,1215.00,1236.35,1233.60,645101,7999.15,17934,
2021-11-12,LODHA,EQ,1235.00,1275.00,1218.15,1253.60,1236.35,413054,5153.20,11678,
2021-11-15,LODHA,EQ,1274.00,1306.70,1257.85,1284.60,1253.60,485813,6249.95,21520,
2021-11-16,LODHA,EQ,1290.00,1458.65,1285.00,1416.45,1284.60,2419227,33812.52,99255,
2021-11-17,LODHA,EQ,1409.90,1462.00,1392.60,1428.80,1416.45,578479,8259.30,29784,
2021-11-18,LODHA,EQ,1398.00,1400.00,1349.00,1376.65,1428.80,574023,7842.12,24169,
2021-11-22,LODHA,EQ,1393.90,1481.80,1360.00,1375.05,1376.65,531504,7331.63,31626,
