date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,LT,EQ,1308.40,1318.90,1303.00,1309.95,1298.20,3123998,40952.86,73190,
2020-01-02,LT,EQ,1312.00,1348.00,1311.00,1345.30,1309.95,4335359,57846.06,135378,
2020-01-03,LT,EQ,1344.95,1344.95,1330.15,1335.05,1345.30,2059871,27517.28,77644,
2020-01-06,LT,EQ,1331.00,1332.00,1314.10,1316.75,1335.05,2646905,34958.35,118803,
2020-01-07,LT,EQ,1328.00,1339.50,1313.75,1320.50,1316.75,2077893,27546.27,70374,
2020-01-08,LT,EQ,1302.00,1308.70,1283.35,1291.55,1320.50,4147568,53671.15,145613,
2020-01-09,LT,EQ,1311.00,1319.90,1305.10,1316.15,1291.55,2067779,27176.34,98843,
2020-01-10,LT,EQ,1319.00,1335.95,1319.00,1324.60,1316.15,2360798,31331.16,93096,
2020-01-13,LT,EQ,1329.00,1339.40,1328.70,1334.70,1324.60,1825244,24367.05,62542,
2020-01-14,LT,EQ,1329.80,1331.00,1315.10,1326.10,1334.70,2046500,27079.13,103923,
2020-01-15,LT,EQ,1325.60,1336.15,1320.00,1323.60,1326.10,2127677,28229.96,67695,
2020-01-16,LT,EQ,1327.70,1332.90,1317.40,1319.30,1323.60,1773135,23482.50,76644,
2020-01-17,LT,EQ,1320.60,1325.95,1302.00,1304.20,1319.30,2941837,38585.23,158742,
2020-01-20,LT,EQ,1313.95,1319.90,1306.50,1309.60,1304.20,2542477,33381.94,112596,
2020-01-21,LT,EQ,1304.75,1313.90,1300.45,1302.35,1309.60,1361576,17786.66,74036,
2020-01-22,LT,EQ,1311.00,1312.00,1292.00,1294.20,1302.35,2449753,31850.17,95993,
2020-01-23,LT,EQ,1307.00,1339.85,1306.00,1332.30,1294.20,10056067,133666.14,219420,
2020-01-24,LT,EQ,1332.00,1367.85,1332.00,1359.20,1332.30,5837319,78991.35,146118,
2020-01-27,LT,EQ,1340.00,1364.90,1340.00,1348.60,1359.20,2510013,33997.35,71639,
2020-01-28,LT,EQ,1350.90,1355.00,1338.00,1346.65,1348.60,2352852,31643.67,118120,
2020-01-29,LT,EQ,1353.10,1374.95,1352.10,1365.70,1346.65,3678474,50261.43,108090,
