date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2026-02-27,LTM,EQ,4590.00,4649.00,4435.00,4462.00,4504.00,464787,20904.26,32752,
2026-03-02,LTM,EQ,4393.90,4477.00,4356.50,4404.40,4462.00,171388,7557.91,23580,
2026-03-04,LTM,EQ,4330.10,4434.00,4325.30,4349.30,4404.40,193103,8445.84,21331,
2026-03-05,LTM,EQ,4385.00,4412.00,4260.00,4306.40,4349.30,193854,8336.57,25530,
2026-03-06,LTM,EQ,4270.00,4388.30,4262.00,4292.00,4306.40,228424,9862.75,26914,
2026-03-09,LTM,EQ,4250.00,4356.00,4195.50,4317.20,4292.00,253802,10901.58,27885,
2026-03-10,LTM,EQ,4355.00,4369.00,4275.50,4323.10,4317.20,98559,4247.68,17592,
2026-03-11,LTM,EQ,4330.00,4373.40,4253.10,4262.70,4323.10,186094,7996.60,25180,
2026-03-12,LTM,EQ,4262.70,4372.90,4220.00,4323.60,4262.70,229386,9900.23,26119,
2026-03-13,LTM,EQ,4299.00,4299.00,4197.00,4206.50,4323.60,160275,6786.68,25596,
2026-03-16,LTM,EQ,4214.90,4274.00,4160.10,4207.10,4206.50,220848,9270.53,28626,
2026-03-17,LTM,EQ,4229.00,4229.00,4108.10,4189.20,4207.10,203282,8496.08,19164,
2026-03-18,LTM,EQ,4221.50,4372.90,4214.70,4298.80,4189.20,243300,10516.39,27062,
2026-03-19,LTM,EQ,4279.90,4279.90,4181.00,4198.50,4298.80,107184,4533.90,16192,
2026-03-20,LTM,EQ,4140.00,4389.40,4048.00,4298.80,4198.50,1110895,46634.20,61547,
2026-03-23,LTM,EQ,4236.00,4236.00,4071.00,4105.60,4298.80,569410,23450.86,52147,
2026-03-24,LTM,EQ,4210.00,4240.00,4105.70,4211.50,4105.60,317949,13299.93,41645,
2026-03-25,LTM,EQ,4220.00,4323.60,4170.00,4292.90,4211.50,537105,22954.15,46363,
2026-03-27,LTM,EQ,4272.00,4310.30,4182.10,4200.70,4292.90,432608,18317.39,47557,
2026-03-30,LTM,EQ,4178.90,4178.90,4000.00,4013.80,4200.70,532474,21604.38,39074,
2026-04-01,LTM,EQ,4149.70,4247.60,4078.60,4107.00,4013.80,258855,10755.79,39192,
2026-04-02,LTM,EQ,4080.00,4318.90,4016.60,4303.90,4107.00,696404,29483.69,50151,
2026-04-06,LTM,EQ,4279.80,4337.80,4260.50,4307.40,4303.90,296412,12732.56,26038,
2026-04-07,LTM,EQ,4300.00,4455.00,4264.50,4442.50,4307.40,566309,24859.67,45654,
2026-04-08,LTM,EQ,4584.40,4584.40,4459.30,4523.00,4442.50,424664,19126.50,35314,
2026-04-09,LTM,EQ,4523.00,4583.10,4425.50,4572.00,4523.00,371733,16805.62,35537,
2026-04-10,LTM,EQ,4567.20,4567.20,4415.00,4503.70,4572.00,420616,18788.29,37588,
2026-04-13,LTM,EQ,4410.00,4496.50,4400.00,4466.60,4503.70,167374,7455.67,19111,
2026-04-15,LTM,EQ,4516.90,4674.40,4501.00,4628.70,4466.60,573454,26405.58,53008,
2026-04-16,LTM,EQ,4674.00,4771.90,4651.70,4730.00,4628.70,510162,24077.11,42071,
2026-04-17,LTM,EQ,4724.90,4778.90,4644.20,4753.60,4730.00,339240,16079.66,26587,
2026-04-20,LTM,EQ,4753.60,4757.90,4680.70,4715.80,4753.60,185410,8741.47,21639,
2026-04-21,LTM,EQ,4714.00,4784.00,4671.10,4757.90,4715.80,177126,8398.80,19659,
2026-04-22,LTM,EQ,4687.90,4703.80,4551.30,4604.30,4757.90,509542,23522.50,57504,
2026-04-23,LTM,EQ,4604.30,4632.40,4500.00,4531.50,4604.30,277104,12642.41,33315,
2026-04-24,LTM,EQ,4440.00,4480.50,4240.00,4282.30,4531.50,951597,41106.48,84458,
2026-04-27,LTM,EQ,4282.40,4405.40,4282.40,4346.00,4282.30,264949,11521.35,24165,
2026-04-28,LTM,EQ,4346.30,4435.00,4336.70,4380.60,4346.00,260663,11442.37,31252,
2026-04-29,LTM,EQ,4399.00,4407.40,4313.00,4323.10,4380.60,203452,8864.19,23154,
2026-04-30,LTM,EQ,4323.10,4348.10,4248.00,4269.60,4323.10,427566,18276.15,38193,
2026-05-04,LTM,EQ,4290.10,4295.70,4182.00,4202.70,4269.60,224489,9487.27,27739,
2026-05-05,LTM,EQ,4202.70,4315.00,4192.00,4298.80,4202.70,284654,12146.06,28100,
2026-05-06,LTM,EQ,4328.00,4397.20,4264.60,4316.00,4298.80,238322,10311.19,20256,
2026-05-07,LTM,EQ,4350.00,4356.20,4235.00,4250.00,4316.00,324600,13816.82,23374,
2026-05-08,LTM,EQ,4254.50,4374.40,4239.20,4349.80,4250.00,287392,12438.72,27409,
2026-05-11,LTM,EQ,4361.20,4404.00,4320.00,4352.20,4349.80,204369,8923.67,20917,
2026-05-12,LTM,EQ,4341.10,4341.10,4131.80,4143.80,4352.20,582726,24372.45,46917,
2026-05-13,LTM,EQ,4145.10,4171.00,4071.60,4086.40,4143.80,325724,13362.60,35025,
2026-05-14,LTM,EQ,4100.00,4100.00,3907.30,3920.20,4086.40,760707,30097.02,73597,
2026-05-15,LTM,EQ,3925.00,4038.90,3925.00,3968.40,3920.20,609107,24250.42,50107,
2026-05-18,LTM,EQ,3968.40,4094.50,3947.40,4074.60,3968.40,446765,18074.32,39806,
2026-05-19,LTM,EQ,4107.00,4284.00,4107.00,4254.80,4074.60,471956,20047.75,46864,
2026-05-20,LTM,EQ,4254.80,4259.40,4122.20,4143.00,4254.80,628120,26160.87,38763,
2026-05-21,LTM,EQ,4177.90,4177.90,4100.20,4129.70,4143.00,193777,7997.46,19457,
2026-05-22,LTM,EQ,4135.00,4139.20,4000.00,4007.80,4129.70,499528,20254.58,46982,
2026-05-25,LTM,EQ,4000.00,4008.90,3901.00,3991.60,4007.80,541005,21418.49,38992,
2026-05-26,LTM,EQ,4003.00,4050.00,3946.20,3970.40,3991.60,333239,13324.20,27068,
2026-05-27,LTM,EQ,3979.90,4023.00,3961.50,3988.60,3970.40,193654,7725.29,17331,
2026-05-29,LTM,EQ,4019.90,4149.40,4011.60,4061.60,3988.60,1338486,54622.18,59294,
2026-06-01,LTM,EQ,4081.80,4273.40,4081.80,4196.10,4061.60,642808,27116.10,56811,
2026-06-02,LTM,EQ,4222.60,4360.00,4183.10,4341.70,4196.10,747291,32261.40,64566,
2026-06-03,LTM,EQ,4292.70,4293.10,3993.00,4052.70,4341.70,1066491,43283.64,82209,
2026-06-04,LTM,EQ,4025.10,4087.50,4000.00,4067.70,4052.70,353463,14327.63,31299,
2026-06-05,LTM,EQ,4119.00,4127.80,4007.50,4027.20,4067.70,247813,10023.18,27589,
2026-06-08,LTM,EQ,3987.00,4040.00,3946.90,3977.70,4027.20,260765,10410.37,39817,
2026-06-09,LTM,EQ,3995.90,4012.00,3961.10,3999.90,3977.70,213453,8508.76,21045,
2026-06-10,LTM,EQ,4000.00,4023.20,3938.00,3944.10,3999.90,190198,7555.97,20988,
2026-06-11,LTM,EQ,3899.80,3920.00,3806.20,3824.90,3944.10,735144,28201.36,68626,
2026-06-12,LTM,EQ,3855.00,3888.00,3803.70,3844.70,3824.90,361579,13870.05,35688,
2026-06-15,LTM,EQ,3920.00,3959.90,3880.00,3897.90,3844.70,246499,9645.34,22178,
2026-06-16,LTM,EQ,3920.00,4014.00,3918.10,4006.70,3897.90,513655,20333.15,42359,
2026-06-17,LTM,EQ,4045.00,4089.60,3985.10,3995.80,4006.70,500130,20078.49,52665,
2026-06-18,LTM,EQ,3982.00,4019.70,3918.00,3998.00,3995.80,392436,15638.37,29139,
2026-06-19,LTM,EQ,3829.90,3842.00,3756.00,3832.50,3998.00,940238,35741.56,70201,
2026-06-22,LTM,EQ,3850.00,3888.30,3809.00,3830.20,3832.50,422586,16221.16,36844,
2026-06-23,LTM,EQ,3829.00,3829.00,3737.30,3768.40,3830.20,960866,36121.97,66515,
2026-06-24,LTM,EQ,3771.00,3870.00,3770.00,3803.70,3768.40,429761,16363.15,52786,
2026-06-25,LTM,EQ,3824.00,3837.50,3750.00,3762.60,3803.70,241517,9147.84,28544,
2026-06-29,LTM,EQ,3775.50,3790.30,3675.60,3686.10,3762.60,623555,23118.68,75648,
2026-06-30,LTM,EQ,3702.90,3702.90,3528.00,3538.00,3686.10,850247,30427.68,71125,
2026-07-01,LTM,EQ,3554.60,3608.70,3535.20,3546.70,3538.00,336732,12002.70,34332,
2026-07-02,LTM,EQ,3570.10,3694.00,3570.10,3680.70,3546.70,448482,16463.16,41343,
2026-07-03,LTM,EQ,3720.00,3788.00,3705.20,3757.80,3680.70,285467,10721.30,27208,
2026-07-06,LTM,EQ,3757.80,3769.90,3716.00,3727.50,3757.80,117681,4396.10,14748,
2026-07-07,LTM,EQ,3735.00,3884.60,3735.00,3858.50,3727.50,662446,25485.73,52150,
2026-07-08,LTM,EQ,3850.00,3874.60,3772.60,3794.00,3858.50,293113,11201.87,31210,
2026-07-09,LTM,EQ,3790.00,3879.00,3715.40,3854.40,3794.00,473976,18203.96,39658,
2026-07-10,LTM,EQ,3903.10,4083.20,3900.00,4037.20,3854.40,1024019,40792.20,62661,
2026-07-13,LTM,EQ,4057.50,4239.80,3971.20,4124.30,4037.20,1835497,75437.19,116436,
2026-07-14,LTM,EQ,4128.40,4213.50,4050.10,4062.80,4124.30,653945,26979.20,55247,
2026-07-15,LTM,EQ,4040.00,4098.80,4006.20,4050.60,4062.80,458200,18600.73,45305,
2026-07-16,LTM,EQ,4065.00,4157.00,4053.00,4060.30,4050.60,444090,18238.94,35869,
2026-07-17,LTM,EQ,4094.00,4170.40,4035.60,4075.60,4060.30,373867,15299.50,35345,
2026-07-20,LTM,EQ,4075.60,4148.00,4066.00,4083.90,4075.60,141054,5771.89,15279,
2026-07-21,LTM,EQ,4090.10,4114.90,4023.10,4047.10,4083.90,226184,9178.78,20112,
2026-07-22,LTM,EQ,4050.00,4062.00,3972.20,3982.40,4047.10,130372,5218.65,15230,
2026-07-23,LTM,EQ,3982.00,3991.60,3913.80,3965.30,3982.40,238585,9444.66,21290,
2026-07-24,LTM,EQ,3945.50,4102.40,3937.00,4091.80,3965.30,367416,14859.91,29480,
2026-07-27,LTM,EQ,4119.50,4215.00,4115.00,4190.80,4091.80,468632,19597.18,39314,
2026-07-28,LTM,EQ,4239.20,4386.60,4234.90,4309.20,4190.80,879513,38091.85,66465,
2026-07-29,LTM,EQ,4391.00,4488.00,4362.80,4422.70,4309.20,579805,25653.73,51001,
2026-07-30,LTM,EQ,4422.80,4518.70,4422.80,4441.40,4422.70,479778,21463.90,48922,
2026-07-31,LTM,EQ,4385.10,4385.10,4284.00,4362.10,4441.40,253082,11020.54,31284,
2026-08-03,LTM,EQ,4399.00,4720.40,4386.10,4690.00,4362.10,1900137,87864.62,104072,
2026-08-04,LTM,EQ,4690.00,4694.80,4550.60,4559.00,4690.00,316156,14533.89,31720,
2026-08-05,LTM,EQ,4589.00,4602.20,4503.50,4506.00,4559.00,156961,7131.35,19513,
2026-08-06,LTM,EQ,4535.50,4591.10,4462.90,4528.00,4506.00,320411,14473.55,41553,
2026-08-07,LTM,EQ,4542.00,4688.00,4542.00,4658.10,4528.00,643855,29873.77,55509,
2026-08-10,LTM,EQ,4688.00,4799.70,4682.50,4795.00,4658.10,565664,26975.14,61194,
2026-08-11,LTM,EQ,4800.00,4850.00,4751.00,4850.00,4795.00,407494,19621.38,40485,
2026-08-12,LTM,EQ,4850.00,4850.00,4691.00,4762.10,4850.00,318929,15125.09,34353,
2026-08-13,LTM,EQ,4739.50,4789.30,4707.50,4765.00,4762.10,253279,12039.30,19272,
2026-08-14,LTM,EQ,4725.00,4801.20,4686.10,4715.00,4765.00,189073,8939.63,19718,
2026-08-17,LTM,EQ,4715.00,4715.00,4602.00,4700.00,4715.00,291825,13632.18,27197,
2026-08-18,LTM,EQ,4630.00,4684.00,4562.20,4562.20,4700.00,258689,11965.38,17511,
2026-08-19,LTM,EQ,4599.60,4657.40,4525.40,4564.40,4562.20,457017,20958.40,38168,
2026-08-20,LTM,EQ,4600.00,4657.00,4517.00,4553.00,4564.40,767531,35192.48,49186,
2026-08-21,LTM,EQ,4500.00,4500.00,4414.80,4487.80,4553.00,620293,27690.50,43060,
2026-08-24,LTM,EQ,4487.80,4552.00,4467.90,4525.70,4487.80,296431,13384.95,34173,
2026-08-25,LTM,EQ,4529.70,4550.00,4469.10,4528.00,4525.70,204574,9230.78,19267,
2026-08-26,LTM,EQ,4520.80,4572.50,4460.00,4460.00,4528.00,190869,8621.85,22762,
2026-08-27,LTM,EQ,4494.60,4530.30,4464.00,4464.00,4460.00,106428,4785.22,14060,
2026-08-28,LTM,EQ,4500.90,4700.00,4500.90,4675.00,4464.00,1148000,53416.58,90379,
2026-08-31,LTM,EQ,4690.00,4690.00,4512.90,4540.00,4675.00,344374,15675.16,32919,
2026-09-01,LTM,EQ,4540.00,4648.40,4514.90,4625.00,4540.00,265080,12192.67,28188,
2026-09-02,LTM,EQ,4587.20,4611.00,4489.00,4588.00,4625.00,218038,9969.83,26275,
2026-09-03,LTM,EQ,4581.00,4581.00,4506.00,4560.00,4588.00,206556,9367.30,18519,
