date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,M&M,EQ,532.90,538.00,529.55,536.60,531.55,2611808,13945.82,27497,
2020-01-02,M&M,EQ,537.00,541.00,533.50,539.85,536.60,2776519,14957.30,43016,
2020-01-03,M&M,EQ,538.95,539.00,530.40,532.75,539.85,1930883,10307.41,30030,
2020-01-06,M&M,EQ,529.90,530.00,520.50,524.50,532.75,2059404,10776.75,34854,
2020-01-07,M&M,EQ,528.90,532.00,523.05,526.65,524.50,2111349,11138.51,34387,
2020-01-08,M&M,EQ,520.90,526.45,519.00,524.65,526.65,1612378,8428.37,33088,
2020-01-09,M&M,EQ,529.85,542.45,525.70,541.25,524.65,2897598,15569.68,45977,
2020-01-10,M&M,EQ,544.10,547.60,539.25,546.60,541.25,2355888,12825.87,35902,
2020-01-13,M&M,EQ,548.90,557.00,546.60,554.95,546.60,3442869,19035.32,51510,
2020-01-14,M&M,EQ,554.95,563.75,554.95,562.50,554.95,2793249,15637.60,50589,
2020-01-15,M&M,EQ,562.00,571.00,556.70,569.75,562.50,2564513,14495.62,42204,
2020-01-16,M&M,EQ,569.25,569.80,564.05,567.45,569.75,2243200,12721.46,29664,
2020-01-17,M&M,EQ,566.80,574.00,565.15,569.30,567.45,2646260,15087.98,42403,
2020-01-20,M&M,EQ,569.00,574.00,564.35,567.20,569.30,1847978,10523.09,25034,
2020-01-21,M&M,EQ,564.00,564.90,550.10,552.80,567.20,3101684,17225.53,46464,
2020-01-22,M&M,EQ,553.50,556.50,549.00,553.60,552.80,1862669,10310.06,29578,
2020-01-23,M&M,EQ,553.50,567.40,549.55,566.50,553.60,2113303,11869.88,29380,
2020-01-24,M&M,EQ,566.10,572.00,564.10,567.75,566.50,2284717,13003.02,40082,
2020-01-27,M&M,EQ,565.00,582.50,563.00,578.30,567.75,3654906,21106.93,50823,
2020-01-28,M&M,EQ,581.25,589.75,568.50,572.50,578.30,3689004,21434.39,66297,
2020-01-29,M&M,EQ,577.50,580.70,572.15,577.75,572.50,1934080,11149.97,44201,
2020-01-30,M&M,EQ,578.00,587.55,563.85,567.85,577.75,2901951,16652.42,50548,
2020-01-31,M&M,EQ,570.80,577.00,565.30,567.15,567.85,2352196,13423.23,48884,
2020-02-03,M&M,EQ,545.00,565.75,535.20,558.70,545.20,3818209,21104.35,61630,
2020-02-04,M&M,EQ,562.00,578.80,558.80,576.90,558.70,2793702,15969.06,49302,
2020-02-05,M&M,EQ,580.25,589.85,577.40,584.35,576.90,3320830,19416.64,54572,
2020-02-06,M&M,EQ,585.00,589.15,576.05,580.15,584.35,2207104,12845.90,41416,
2020-02-07,M&M,EQ,579.00,581.50,561.30,569.10,580.15,4083215,23289.97,52666,
2020-02-10,M&M,EQ,566.80,567.00,526.05,528.40,569.10,9648880,52008.98,149883,
2020-02-11,M&M,EQ,533.20,537.70,522.70,524.05,528.40,5404802,28622.35,96880,
2020-02-12,M&M,EQ,526.65,534.30,523.90,531.00,524.05,3426829,18136.36,69539,
2020-02-13,M&M,EQ,530.45,538.00,528.30,533.60,531.00,3392352,18106.14,43781,
2020-02-14,M&M,EQ,535.25,536.95,520.65,523.00,533.60,3507540,18523.43,65333,
2020-02-17,M&M,EQ,524.10,525.40,516.00,522.75,523.00,2652464,13818.65,61444,
2020-02-18,M&M,EQ,520.50,524.90,514.10,523.20,522.75,2868873,14914.77,54410,
2020-02-19,M&M,EQ,528.15,529.65,521.80,526.40,523.20,1952880,10253.15,36230,
2020-02-20,M&M,EQ,525.90,533.00,523.00,524.85,526.40,2077458,10978.40,37210,
2020-02-24,M&M,EQ,522.00,522.00,511.10,513.20,524.85,1911411,9857.26,44611,
2020-02-25,M&M,EQ,515.55,519.50,506.10,508.95,513.20,2105613,10799.72,35509,
2020-02-26,M&M,EQ,507.70,512.45,500.00,503.00,508.95,3058370,15471.84,47336,
2020-02-27,M&M,EQ,504.00,504.00,487.55,493.50,503.00,6039260,29768.49,142978,
2020-02-28,M&M,EQ,485.00,485.00,453.60,457.05,493.50,8613275,40517.83,153523,
2020-03-02,M&M,EQ,453.55,472.45,444.35,458.30,457.05,9225488,42437.93,119400,
2020-03-03,M&M,EQ,462.00,471.00,455.25,466.25,458.30,4582866,21237.65,60825,
2020-03-04,M&M,EQ,466.05,477.00,457.50,474.65,466.25,5912943,27606.95,92674,
2020-03-05,M&M,EQ,472.70,482.50,469.00,479.30,474.65,4081050,19478.66,44892,
2020-03-06,M&M,EQ,458.85,473.75,456.50,471.00,479.30,4502562,21006.53,59236,
2020-03-09,M&M,EQ,453.55,465.70,441.00,463.20,471.00,4540695,20758.51,94537,
2020-03-11,M&M,EQ,462.85,469.65,449.70,451.60,463.20,5104926,23481.58,97943,
2020-03-12,M&M,EQ,427.90,435.95,399.65,423.35,451.60,9408371,39542.69,127409,
2020-03-13,M&M,EQ,400.50,449.75,345.65,428.85,423.35,6230433,25996.20,123154,
2020-03-16,M&M,EQ,421.00,428.60,388.80,391.80,428.85,3156668,12689.51,61242,
2020-03-17,M&M,EQ,392.00,408.00,369.95,373.40,391.80,4526918,17725.62,84025,
2020-03-18,M&M,EQ,379.00,383.70,339.10,346.40,373.40,6596185,23597.11,148085,
2020-03-19,M&M,EQ,331.75,331.80,302.00,314.20,346.40,10486203,33123.01,144878,
2020-03-20,M&M,EQ,316.00,328.20,308.25,322.60,314.20,8819560,28136.69,117438,
2020-03-23,M&M,EQ,299.00,303.90,280.60,293.40,322.60,6001458,17451.96,98906,
2020-03-24,M&M,EQ,300.00,309.90,264.40,269.00,293.40,6695822,19029.66,94116,
2020-03-25,M&M,EQ,263.40,288.35,245.40,277.85,269.00,9393738,25391.91,139052,
2020-03-26,M&M,EQ,277.85,294.00,273.10,285.50,277.85,7557611,21439.02,100986,
2020-03-27,M&M,EQ,297.00,305.00,280.80,294.50,285.50,9505256,27591.26,124475,
2020-03-30,M&M,EQ,281.70,284.85,270.00,274.40,294.50,8942943,24695.40,129852,
2020-03-31,M&M,EQ,283.85,287.20,277.80,284.95,274.40,6236769,17705.58,85138,
