date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,MARUTI,EQ,7377.00,7409.95,7282.05,7311.70,7368.60,634725,46583.07,42182,
2020-01-02,MARUTI,EQ,7327.60,7368.00,7312.00,7329.85,7311.70,616838,45271.74,51801,
2020-01-03,MARUTI,EQ,7328.95,7332.00,7226.00,7254.25,7329.85,571967,41614.07,42037,
2020-01-06,MARUTI,EQ,7200.00,7210.00,7026.50,7042.40,7254.25,748516,52950.28,64186,
2020-01-07,MARUTI,EQ,7100.00,7165.60,7026.40,7073.60,7042.40,590500,41864.15,50872,
2020-01-08,MARUTI,EQ,7060.00,7116.65,6980.45,7035.20,7073.60,793313,55802.33,54674,
2020-01-09,MARUTI,EQ,7140.00,7240.00,7102.00,7227.90,7035.20,798184,57315.37,60422,
2020-01-10,MARUTI,EQ,7261.40,7349.90,7234.40,7330.50,7227.90,747847,54588.58,59339,
2020-01-13,MARUTI,EQ,7332.00,7370.00,7279.80,7352.70,7330.50,537399,39367.03,45690,
2020-01-14,MARUTI,EQ,7355.00,7412.40,7325.60,7386.80,7352.70,548522,40464.95,46069,
2020-01-15,MARUTI,EQ,7388.95,7505.00,7353.00,7482.95,7386.80,692726,51400.15,46714,
2020-01-16,MARUTI,EQ,7456.50,7521.00,7421.20,7462.65,7482.95,640207,47799.33,45686,
2020-01-17,MARUTI,EQ,7469.00,7569.90,7432.55,7520.15,7462.65,750738,56299.78,49650,
2020-01-20,MARUTI,EQ,7521.25,7529.50,7421.05,7449.60,7520.15,407828,30457.38,37148,
2020-01-21,MARUTI,EQ,7411.50,7434.65,7287.80,7302.65,7449.60,442561,32531.96,36589,
2020-01-22,MARUTI,EQ,7340.00,7374.95,7107.95,7135.60,7302.65,1048435,75126.36,88307,
2020-01-23,MARUTI,EQ,7145.40,7220.00,7123.15,7147.10,7135.60,589326,42215.23,43298,
2020-01-24,MARUTI,EQ,7148.80,7210.00,7111.25,7128.45,7147.10,645723,46198.31,50530,
2020-01-27,MARUTI,EQ,7101.50,7225.00,7061.00,7148.80,7128.45,573149,41056.11,47664,
2020-01-28,MARUTI,EQ,7179.95,7219.95,6963.00,6997.05,7148.80,1614448,114245.31,151546,
2020-01-29,MARUTI,EQ,7010.00,7116.25,6975.00,7010.30,6997.05,1001252,70522.01,116694,
2020-01-30,MARUTI,EQ,7020.00,7049.00,6981.00,7020.45,7010.30,579174,40624.97,48242,
2020-01-31,MARUTI,EQ,7035.00,7064.00,6895.55,6913.50,7020.45,868935,60536.51,87940,
2020-02-03,MARUTI,EQ,6780.00,7044.85,6780.00,7011.30,6812.65,1010531,70192.76,115802,
2020-02-04,MARUTI,EQ,7020.00,7215.00,7001.00,7199.60,7011.30,973311,69433.62,77101,
2020-02-05,MARUTI,EQ,7215.00,7231.60,7025.60,7040.90,7199.60,718489,51019.03,67964,
2020-02-06,MARUTI,EQ,7075.00,7120.35,6976.80,7021.60,7040.90,875714,61658.91,66469,
2020-02-07,MARUTI,EQ,7039.00,7050.00,6935.00,6971.75,7021.60,645814,45052.15,55241,
2020-02-10,MARUTI,EQ,6975.00,6989.10,6851.10,6892.90,6971.75,593773,40966.75,53020,
2020-02-11,MARUTI,EQ,6950.00,7089.00,6912.30,7033.75,6892.90,743160,52286.27,62908,
2020-02-12,MARUTI,EQ,7056.10,7110.00,7007.95,7043.30,7033.75,599364,42322.22,42309,
2020-02-13,MARUTI,EQ,7050.00,7056.00,6925.00,7005.05,7043.30,723169,50418.44,49754,
2020-02-14,MARUTI,EQ,7000.05,7088.95,6901.00,6913.80,7005.05,614859,42968.19,57126,
2020-02-17,MARUTI,EQ,6920.00,6980.00,6880.00,6906.75,6913.80,463548,32110.43,33826,
2020-02-18,MARUTI,EQ,6925.00,6930.00,6735.80,6781.10,6906.75,830678,56375.21,72639,
2020-02-19,MARUTI,EQ,6850.00,6854.95,6624.60,6756.60,6781.10,1033939,69632.94,98165,
2020-02-20,MARUTI,EQ,6761.00,6807.55,6720.00,6757.60,6756.60,682513,46223.18,57024,
2020-02-24,MARUTI,EQ,6710.00,6710.00,6439.80,6470.40,6757.60,1091346,71511.00,116104,
2020-02-25,MARUTI,EQ,6505.40,6510.00,6376.55,6414.55,6470.40,964897,62209.56,120005,
2020-02-26,MARUTI,EQ,6350.00,6368.85,6186.05,6234.85,6414.55,1580738,99349.32,116894,
2020-02-27,MARUTI,EQ,6230.00,6338.05,6166.80,6289.80,6234.85,1492657,93435.94,143056,
2020-02-28,MARUTI,EQ,6163.05,6367.35,6103.20,6283.10,6289.80,1468843,91591.34,117164,
2020-03-02,MARUTI,EQ,6400.95,6439.55,6250.00,6285.15,6283.10,1219764,77236.95,96971,
2020-03-03,MARUTI,EQ,6318.00,6422.15,6280.50,6386.05,6285.15,849199,53880.01,90279,
2020-03-04,MARUTI,EQ,6390.00,6424.00,6209.00,6384.35,6386.05,904360,57286.34,82506,
2020-03-05,MARUTI,EQ,6411.90,6464.00,6330.20,6365.95,6384.35,645853,41275.68,65335,
2020-03-06,MARUTI,EQ,6196.40,6480.00,6100.15,6445.95,6365.95,1140899,72232.92,98103,
2020-03-09,MARUTI,EQ,6301.00,6374.00,6079.40,6201.10,6445.95,1082031,67526.12,113127,
2020-03-11,MARUTI,EQ,6160.00,6310.95,6105.00,6146.30,6201.10,937029,57885.18,100403,
2020-03-12,MARUTI,EQ,5939.30,5939.30,5555.55,5643.15,6146.30,1345986,77289.17,139523,
2020-03-13,MARUTI,EQ,5325.20,6063.50,4803.05,5838.60,5643.15,1480275,83016.16,151656,
2020-03-16,MARUTI,EQ,5638.60,5688.00,5400.00,5480.25,5838.60,933424,51919.96,112598,
2020-03-17,MARUTI,EQ,5502.00,5746.95,5502.00,5603.95,5480.25,1238640,69933.71,127952,
2020-03-18,MARUTI,EQ,5671.00,5688.80,5312.55,5352.65,5603.95,973406,52758.14,113820,
2020-03-19,MARUTI,EQ,4870.00,5096.60,4652.55,4819.55,5352.65,2554586,124516.21,250425,
2020-03-20,MARUTI,EQ,4869.00,5225.00,4812.60,5079.20,4819.55,1614608,81384.43,166562,
2020-03-23,MARUTI,EQ,4575.00,4790.00,4141.00,4220.35,5079.20,1531989,66973.83,234867,
2020-03-24,MARUTI,EQ,4341.00,4570.00,4030.00,4486.45,4220.35,1746713,76178.60,186957,
2020-03-25,MARUTI,EQ,4439.00,5159.40,4310.10,5005.95,4486.45,1728820,82737.87,172520,
2020-03-26,MARUTI,EQ,5024.45,5120.00,4750.00,4878.00,5005.95,1338798,65952.07,162802,
2020-03-27,MARUTI,EQ,5100.00,5136.50,4555.00,4646.10,4878.00,1339446,63672.69,173761,
2020-03-30,MARUTI,EQ,4587.45,4639.95,4270.00,4328.45,4646.10,1528083,67589.83,157181,
2020-03-31,MARUTI,EQ,4450.00,4468.05,4210.00,4288.30,4328.45,2140288,91791.36,200296,
2020-04-01,MARUTI,EQ,4290.00,4424.85,4190.10,4246.35,4288.30,1323857,56578.90,147374,
2020-04-03,MARUTI,EQ,4250.00,4267.00,4001.10,4011.50,4246.35,1724863,70715.62,174626,
2020-04-07,MARUTI,EQ,4150.00,4612.90,4120.00,4553.65,4011.50,2688425,116300.36,257463,
2020-04-08,MARUTI,EQ,4406.50,4925.00,4406.50,4698.10,4553.65,2798838,131620.33,252470,
2020-04-09,MARUTI,EQ,4794.45,5399.00,4736.20,5326.65,4698.10,3786661,193762.16,310721,
2020-04-13,MARUTI,EQ,5285.00,5343.40,5001.00,5283.15,5326.65,2192269,113258.59,221195,
2020-04-15,MARUTI,EQ,5307.50,5350.00,5041.00,5094.30,5283.15,2094529,109148.73,195907,
2020-04-16,MARUTI,EQ,5017.00,5228.00,4970.00,5130.80,5094.30,1752170,89586.15,161573,
2020-04-17,MARUTI,EQ,5325.00,5602.95,5211.70,5505.00,5130.80,2192907,117493.10,188848,
2020-04-20,MARUTI,EQ,5512.00,5573.95,5280.00,5331.35,5505.00,1555313,83835.80,133978,
2020-04-21,MARUTI,EQ,5131.30,5131.30,4884.50,5001.10,5331.35,1843174,92181.05,174888,
2020-04-22,MARUTI,EQ,5009.00,5248.25,4991.00,5180.85,5001.10,1991789,102270.15,161876,
2020-04-23,MARUTI,EQ,5169.00,5244.60,5045.00,5156.35,5180.85,1454065,75204.81,105193,
2020-04-24,MARUTI,EQ,5100.00,5140.00,5030.00,5045.65,5156.35,1070905,54429.09,79318,
2020-04-27,MARUTI,EQ,5150.10,5225.00,4991.55,5056.35,5045.65,1432342,73435.31,114838,
2020-04-28,MARUTI,EQ,5090.00,5120.00,4990.25,5052.70,5056.35,1172062,59060.43,104156,
2020-04-29,MARUTI,EQ,5100.00,5100.00,5011.05,5068.45,5052.70,1038100,52523.41,85789,
2020-04-30,MARUTI,EQ,5122.00,5425.00,5122.00,5358.80,5068.45,2341400,124822.15,239910,
2020-05-04,MARUTI,EQ,5096.00,5130.25,4840.00,4886.30,5358.80,1742871,86225.61,176618,
2020-05-05,MARUTI,EQ,4995.00,5029.55,4800.00,4829.85,4886.30,1570620,76636.02,122623,
2020-05-06,MARUTI,EQ,4841.20,5000.00,4710.00,4843.25,4829.85,2214534,107513.29,144640,
2020-05-07,MARUTI,EQ,4899.50,4935.35,4735.00,4749.30,4843.25,1530824,73913.55,120915,
2020-05-08,MARUTI,EQ,4874.00,4879.00,4637.50,4654.15,4749.30,1828146,86105.63,138370,
2020-05-11,MARUTI,EQ,4750.00,5014.60,4730.15,4937.80,4654.15,3176498,156154.44,290010,
2020-05-12,MARUTI,EQ,4914.00,4985.00,4690.05,4951.30,4937.80,3124772,151493.27,229570,
2020-05-13,MARUTI,EQ,5250.00,5317.45,4986.25,5036.10,4951.30,3304851,169876.35,262911,
2020-05-14,MARUTI,EQ,4905.00,5145.00,4852.15,5114.05,5036.10,2590715,130687.27,197759,
2020-05-15,MARUTI,EQ,5110.00,5123.20,4961.15,5100.40,5114.05,2182575,110147.32,155847,
2020-05-18,MARUTI,EQ,5080.40,5095.00,4680.55,4720.95,5100.40,3164147,152408.60,251987,
2020-05-19,MARUTI,EQ,4842.00,4900.00,4755.75,4805.30,4720.95,2108189,101870.39,167596,
2020-05-20,MARUTI,EQ,4754.00,4920.00,4745.50,4891.95,4805.30,1518297,73362.95,129952,
2020-05-21,MARUTI,EQ,4890.00,5073.80,4851.05,5050.10,4891.95,1868172,93556.60,139637,
2020-05-22,MARUTI,EQ,5010.00,5150.00,4930.75,5134.30,5050.10,1935877,97435.64,147394,
2020-05-26,MARUTI,EQ,5200.00,5285.80,5160.65,5246.15,5134.30,1508804,78655.60,143430,
2020-05-27,MARUTI,EQ,5270.00,5291.00,5135.40,5244.40,5246.15,1534657,80041.60,122984,
2020-05-28,MARUTI,EQ,5267.00,5495.00,5220.00,5468.35,5244.40,2325387,125624.47,178909,
2020-05-29,MARUTI,EQ,5375.00,5666.75,5375.00,5610.80,5468.35,3386741,187367.18,199610,
2020-06-01,MARUTI,EQ,5690.00,5864.65,5666.90,5793.60,5610.80,2341043,135549.41,155689,
2020-06-02,MARUTI,EQ,5797.75,5849.00,5625.10,5690.10,5793.60,2110720,120775.24,158952,
2020-06-03,MARUTI,EQ,5730.00,5832.00,5606.00,5624.00,5690.10,1652859,94227.32,132971,
2020-06-04,MARUTI,EQ,5658.00,5719.95,5572.00,5690.20,5624.00,1642052,92768.07,140640,
2020-06-05,MARUTI,EQ,5728.30,5785.00,5671.10,5746.20,5690.20,1236660,71003.38,113824,
2020-06-08,MARUTI,EQ,5850.00,5850.00,5701.50,5734.80,5746.20,1176769,67815.55,127415,
2020-06-09,MARUTI,EQ,5754.00,5787.00,5620.00,5662.30,5734.80,1336815,76135.93,120413,
2020-06-10,MARUTI,EQ,5655.00,5740.00,5615.00,5675.60,5662.30,1432292,81428.52,148469,
