date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-09-04,MAXHEALTH,EQ,107.00,120.90,105.30,115.25,111.75,1514512,1749.03,13767,
2020-09-07,MAXHEALTH,EQ,115.65,118.70,112.65,113.35,115.25,740174,846.66,8400,
2020-09-08,MAXHEALTH,EQ,114.60,116.25,107.45,110.00,113.35,845613,940.50,4059,
2020-09-09,MAXHEALTH,EQ,106.00,114.95,105.60,111.45,110.00,798343,883.11,5473,
2020-09-10,MAXHEALTH,EQ,113.25,115.95,111.00,111.70,111.45,731283,824.73,8381,
2020-09-11,MAXHEALTH,EQ,120.45,133.95,120.30,131.55,111.70,11028197,14205.16,68438,
2020-09-14,MAXHEALTH,EQ,127.00,129.35,120.15,120.90,131.55,3503925,4340.80,42126,
2020-09-15,MAXHEALTH,EQ,122.00,125.40,117.30,118.75,120.90,1262738,1527.60,15161,
2020-09-16,MAXHEALTH,EQ,119.90,122.00,116.90,120.70,118.75,749709,895.12,7298,
2020-09-17,MAXHEALTH,EQ,120.00,121.35,116.10,117.70,120.70,617657,731.28,5998,
2020-09-18,MAXHEALTH,EQ,118.60,120.90,115.25,116.85,117.70,1106408,1309.13,7270,
2020-09-21,MAXHEALTH,EQ,117.95,119.30,107.85,110.90,116.85,1758972,1986.73,9755,
2020-09-22,MAXHEALTH,EQ,110.95,112.40,107.00,109.05,110.90,574754,626.80,6234,
2020-09-23,MAXHEALTH,EQ,110.90,115.90,108.55,110.95,109.05,1230945,1373.46,9856,
2020-09-24,MAXHEALTH,EQ,110.00,112.95,108.00,108.75,110.95,389947,428.30,4242,
2020-09-25,MAXHEALTH,EQ,110.10,112.00,109.25,109.90,108.75,473902,523.40,3769,
2020-09-28,MAXHEALTH,EQ,111.55,119.50,111.35,116.55,109.90,5292435,6105.17,21823,
2020-09-29,MAXHEALTH,EQ,117.00,117.50,111.75,113.45,116.55,1304996,1490.22,7918,
2020-09-30,MAXHEALTH,EQ,113.00,117.90,112.75,115.35,113.45,1287726,1488.09,8898,
2020-10-01,MAXHEALTH,EQ,116.70,119.10,114.35,115.90,115.35,1656938,1939.93,6673,
2020-10-05,MAXHEALTH,EQ,116.05,117.65,113.60,114.00,115.90,319243,368.20,2824,
2020-10-06,MAXHEALTH,EQ,114.15,117.30,114.10,115.55,114.00,440116,508.59,4023,
2020-10-07,MAXHEALTH,EQ,115.75,115.75,111.95,114.30,115.55,407970,464.10,3703,
2020-10-08,MAXHEALTH,EQ,115.45,115.90,112.10,112.65,114.30,550754,628.01,2843,
2020-10-09,MAXHEALTH,EQ,113.15,113.60,109.55,110.70,112.65,545288,606.99,5818,
2020-10-12,MAXHEALTH,EQ,111.25,112.80,107.60,108.55,110.70,415407,456.14,3748,
2020-10-13,MAXHEALTH,EQ,109.60,113.40,108.80,112.65,108.55,547097,609.42,3186,
2020-10-14,MAXHEALTH,EQ,113.60,113.60,109.50,109.95,112.65,305686,339.30,1882,
2020-10-15,MAXHEALTH,EQ,110.00,114.50,106.30,107.15,109.95,479087,525.09,3566,
2020-10-16,MAXHEALTH,EQ,107.50,109.15,106.60,108.10,107.15,170235,184.21,1753,
2020-10-19,MAXHEALTH,EQ,108.70,109.80,107.00,108.60,108.10,216811,235.25,1801,
2020-10-20,MAXHEALTH,EQ,108.80,108.90,106.55,106.95,108.60,156582,168.18,1913,
2020-10-21,MAXHEALTH,EQ,106.75,108.10,105.80,106.20,106.95,157747,168.63,1673,
2020-10-22,MAXHEALTH,EQ,106.55,107.00,104.40,105.65,106.20,265310,280.17,2621,
2020-10-23,MAXHEALTH,EQ,106.45,106.50,104.80,105.30,105.65,244630,257.56,3105,
2020-10-26,MAXHEALTH,EQ,105.05,106.60,104.00,105.20,105.30,240894,254.37,2161,
2020-10-27,MAXHEALTH,EQ,106.40,107.40,104.65,106.05,105.20,294750,312.97,3415,
2020-10-28,MAXHEALTH,EQ,106.25,106.65,104.00,104.55,106.05,152273,159.38,2177,
2020-10-29,MAXHEALTH,EQ,104.10,105.10,102.35,103.65,104.55,173698,179.75,2296,
2020-10-30,MAXHEALTH,EQ,105.00,110.90,104.10,106.55,103.65,383823,413.76,3993,
2020-11-02,MAXHEALTH,EQ,106.50,110.00,106.25,107.15,106.55,171594,184.36,1880,
2020-11-03,MAXHEALTH,EQ,108.05,108.05,107.15,107.80,107.15,123402,132.91,1643,
2020-11-04,MAXHEALTH,EQ,107.80,114.25,107.50,113.20,107.80,755686,841.40,5718,
2020-11-05,MAXHEALTH,EQ,115.05,116.80,113.00,114.55,113.20,1087721,1250.91,6992,
2020-11-06,MAXHEALTH,EQ,114.20,115.55,112.40,114.50,114.55,239902,274.12,3056,
2020-11-09,MAXHEALTH,EQ,115.70,122.70,115.55,120.00,114.50,1570566,1875.84,8968,
2020-11-10,MAXHEALTH,EQ,119.25,121.00,114.50,115.25,120.00,442920,519.52,7072,
2020-11-11,MAXHEALTH,EQ,115.35,123.00,115.10,121.20,115.25,1567207,1886.21,15245,
2020-11-12,MAXHEALTH,EQ,120.00,120.00,97.15,118.15,121.20,568369,672.00,4909,
2020-11-13,MAXHEALTH,EQ,117.90,124.80,116.90,122.20,118.15,987877,1209.03,12126,
2020-11-17,MAXHEALTH,EQ,122.25,124.60,120.80,121.70,122.25,650720,795.10,5217,
2020-11-18,MAXHEALTH,EQ,121.50,122.40,119.55,119.95,121.70,272337,328.13,2783,
2020-11-19,MAXHEALTH,EQ,118.10,125.00,118.10,121.05,119.95,828513,1015.53,7119,
2020-11-20,MAXHEALTH,EQ,121.55,124.95,120.60,123.90,121.05,526946,649.38,4410,
2020-11-23,MAXHEALTH,EQ,124.40,129.20,122.10,126.30,123.90,740615,939.78,6320,
2020-11-24,MAXHEALTH,EQ,127.70,129.00,125.00,125.65,126.30,464979,589.24,7476,
2020-11-25,MAXHEALTH,EQ,127.70,127.70,123.00,124.35,125.65,341364,429.39,15379,
2020-11-26,MAXHEALTH,EQ,124.55,126.20,123.75,124.10,124.35,183023,228.37,1748,
2020-11-27,MAXHEALTH,EQ,125.00,127.90,124.25,127.05,124.10,292046,368.86,2384,
2020-12-01,MAXHEALTH,EQ,128.00,130.60,126.50,127.40,127.05,467660,601.39,5013,
2020-12-02,MAXHEALTH,EQ,128.90,130.90,126.00,127.95,127.40,564404,727.28,7295,
2020-12-03,MAXHEALTH,EQ,129.35,130.25,127.60,128.15,127.95,311163,401.31,3870,
2020-12-04,MAXHEALTH,EQ,128.50,141.00,128.50,139.40,128.15,1592136,2156.96,14207,
2020-12-07,MAXHEALTH,EQ,142.90,151.90,142.00,148.70,139.40,2286735,3385.79,30390,
2020-12-08,MAXHEALTH,EQ,150.05,150.70,138.50,142.15,148.70,958726,1375.63,14234,
2020-12-09,MAXHEALTH,EQ,143.00,146.25,138.00,139.30,142.15,505517,718.64,8707,
2020-12-10,MAXHEALTH,EQ,139.80,143.65,138.85,140.95,139.30,458168,646.29,13404,
2020-12-11,MAXHEALTH,EQ,142.00,149.00,140.00,140.75,140.95,337233,478.96,5940,
2020-12-14,MAXHEALTH,EQ,141.95,142.25,137.20,138.90,140.75,338606,470.19,9204,
2020-12-15,MAXHEALTH,EQ,139.65,139.65,135.00,137.40,138.90,359971,492.53,9464,
2020-12-16,MAXHEALTH,EQ,138.40,140.60,138.00,138.85,137.40,422878,590.33,6626,
2020-12-17,MAXHEALTH,EQ,139.90,142.60,138.55,139.20,138.85,293567,413.33,4901,
2020-12-18,MAXHEALTH,EQ,139.80,142.00,135.55,140.25,139.20,312311,433.81,6084,
2020-12-21,MAXHEALTH,EQ,140.00,140.95,128.50,130.30,140.25,459685,617.74,6506,
2020-12-22,MAXHEALTH,EQ,135.00,138.40,131.10,136.20,130.30,843512,1137.94,9397,
2020-12-23,MAXHEALTH,EQ,138.00,147.30,136.95,141.55,136.20,1123338,1608.64,14040,
2020-12-24,MAXHEALTH,EQ,142.80,144.40,141.00,141.40,141.55,246100,350.68,4155,
2020-12-28,MAXHEALTH,EQ,142.85,146.00,142.10,143.70,141.40,394530,570.52,6274,
2020-12-29,MAXHEALTH,EQ,144.80,144.85,140.10,140.95,143.70,221824,314.89,8925,
2020-12-30,MAXHEALTH,EQ,141.60,142.40,140.05,140.50,140.95,152396,214.64,2627,
2020-12-31,MAXHEALTH,EQ,140.50,143.90,139.65,140.15,140.50,589483,831.50,9602,
2021-01-01,MAXHEALTH,EQ,140.25,144.50,140.25,142.50,140.15,281970,402.84,6283,
2021-01-04,MAXHEALTH,EQ,145.80,145.80,141.10,141.75,142.50,224090,319.35,3620,
2021-01-05,MAXHEALTH,EQ,140.25,143.90,140.00,141.75,141.75,180430,256.79,2455,
2021-01-06,MAXHEALTH,EQ,142.00,144.90,141.20,143.65,141.75,331190,474.20,4564,
2021-01-07,MAXHEALTH,EQ,144.50,158.10,143.50,156.20,143.65,2035880,3118.25,18932,
2021-01-08,MAXHEALTH,EQ,157.80,158.45,153.05,154.30,156.20,841611,1314.64,24405,
2021-01-11,MAXHEALTH,EQ,155.05,161.90,155.05,159.85,154.30,808883,1291.44,12315,
2021-01-12,MAXHEALTH,EQ,159.85,164.95,158.50,163.50,159.85,714561,1165.30,18973,
2021-01-13,MAXHEALTH,EQ,164.55,167.45,155.00,159.65,163.50,613687,987.20,17534,
2021-01-14,MAXHEALTH,EQ,159.65,163.90,159.65,161.25,159.65,335533,544.20,9517,
2021-01-15,MAXHEALTH,EQ,162.25,165.55,157.95,159.95,161.25,903412,1466.30,24309,
2021-01-18,MAXHEALTH,EQ,160.00,167.80,158.50,164.35,159.95,657057,1076.93,12977,
2021-01-19,MAXHEALTH,EQ,166.35,170.00,164.80,165.70,164.35,547763,918.86,9101,
2021-01-20,MAXHEALTH,EQ,166.15,167.50,161.90,162.50,165.70,292987,479.25,8700,
2021-01-21,MAXHEALTH,EQ,163.95,165.25,162.50,163.55,162.50,473530,776.45,16492,
2021-01-22,MAXHEALTH,EQ,163.40,165.00,160.00,162.65,163.55,666830,1086.07,7165,
2021-01-25,MAXHEALTH,EQ,163.10,165.00,158.70,162.25,162.65,494923,802.13,5949,
2021-01-27,MAXHEALTH,EQ,161.55,165.00,160.15,164.65,162.25,261770,428.86,3988,
2021-01-28,MAXHEALTH,EQ,163.65,164.90,161.30,162.20,164.65,263150,428.62,5825,
2021-01-29,MAXHEALTH,EQ,163.50,164.15,161.50,162.20,162.20,164567,267.54,2260,
2021-02-01,MAXHEALTH,EQ,163.45,171.70,163.00,167.25,162.20,798453,1345.24,9731,
2021-02-02,MAXHEALTH,EQ,169.90,179.10,168.60,169.60,167.25,820560,1423.20,15401,
