date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-10-12,MAZDOCK,EQ,214.90,216.95,171.95,171.95,145.00,39929204,74524.75,569001,
2020-10-13,MAZDOCK,EQ,172.00,184.70,164.00,181.45,171.95,18862563,33181.58,221335,
2020-10-14,MAZDOCK,EQ,180.45,187.40,178.10,182.25,181.45,6178509,11314.77,71868,
2020-10-15,MAZDOCK,EQ,181.95,182.75,171.00,171.85,182.25,3193483,5638.03,43870,
2020-10-16,MAZDOCK,EQ,173.75,175.45,165.00,168.05,171.85,3072942,5210.71,58615,
2020-10-19,MAZDOCK,EQ,170.75,172.85,167.50,168.30,168.05,1922584,3263.51,23663,
2020-10-20,MAZDOCK,EQ,167.70,169.80,165.40,166.05,168.30,1262381,2109.21,17825,
2020-10-21,MAZDOCK,EQ,166.90,177.70,166.45,171.65,166.05,4477916,7718.78,47898,
2020-10-22,MAZDOCK,EQ,172.30,174.90,167.70,170.65,171.65,2003364,3427.64,20782,
2020-10-23,MAZDOCK,EQ,174.15,179.00,172.40,175.40,170.65,3573971,6303.58,35261,
2020-10-26,MAZDOCK,EQ,175.95,175.95,170.00,170.80,175.40,927445,1595.69,11585,
2020-10-27,MAZDOCK,EQ,170.90,171.55,167.45,168.85,170.80,774974,1311.21,11082,
2020-10-28,MAZDOCK,EQ,169.95,171.20,167.00,167.25,168.85,931754,1571.34,13312,
2020-10-29,MAZDOCK,EQ,167.15,169.00,166.20,167.00,167.25,905814,1516.69,11411,
2020-10-30,MAZDOCK,EQ,167.50,169.70,165.00,166.75,167.00,953836,1597.19,11484,
2020-11-02,MAZDOCK,EQ,166.75,172.50,165.30,168.35,166.75,1208681,2034.41,14566,
2020-11-03,MAZDOCK,EQ,169.20,169.95,166.05,166.60,168.35,610024,1024.59,8464,
2020-11-04,MAZDOCK,EQ,166.50,167.90,165.10,165.80,166.60,719104,1196.40,8287,
2020-11-05,MAZDOCK,EQ,166.75,172.20,166.45,169.25,165.80,1502066,2548.02,12923,
