date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2022-06-09,MOTHERSON,EQ,123.00,124.70,122.50,124.40,124.00,2901819,3601.75,23652,
2022-06-10,MOTHERSON,EQ,123.00,124.60,122.10,122.70,124.40,1972170,2435.69,16864,
2022-06-13,MOTHERSON,EQ,121.40,122.75,119.00,120.65,122.70,5133159,6206.83,27650,
2022-06-14,MOTHERSON,EQ,119.50,122.20,119.05,120.20,120.65,3381203,4083.18,27792,
2022-06-15,MOTHERSON,EQ,121.00,122.40,120.20,120.85,120.20,1891106,2297.27,12439,
2022-06-16,MOTHERSON,EQ,122.70,123.30,117.00,117.35,120.85,3778592,4529.99,37075,
2022-06-17,MOTHERSON,EQ,117.30,118.15,114.80,116.20,117.35,4295883,5011.13,27586,
2022-06-20,MOTHERSON,EQ,116.20,117.80,112.00,112.95,116.20,5149447,5938.22,30484,
2022-06-21,MOTHERSON,EQ,114.00,120.20,113.80,118.75,112.95,4924946,5815.99,27449,
2022-06-22,MOTHERSON,EQ,118.00,118.50,114.30,115.60,118.75,4529210,5245.36,26574,
2022-06-23,MOTHERSON,EQ,115.90,119.80,115.90,119.45,115.60,4892190,5790.95,35723,
2022-06-24,MOTHERSON,EQ,120.90,123.00,119.15,122.30,119.45,5379023,6542.33,32238,
2022-06-27,MOTHERSON,EQ,124.00,125.30,122.95,123.85,122.30,4438175,5521.11,28413,
2022-06-28,MOTHERSON,EQ,123.20,124.95,121.55,124.45,123.85,5646742,6967.48,29359,
2022-06-29,MOTHERSON,EQ,122.05,123.85,120.05,122.10,124.45,5274214,6407.68,27511,
2022-06-30,MOTHERSON,EQ,122.05,123.35,117.25,118.15,122.10,8091221,9682.12,41154,
2022-07-01,MOTHERSON,EQ,117.10,118.00,115.65,117.70,118.15,5660944,6604.78,25707,
2022-07-04,MOTHERSON,EQ,117.80,118.90,116.05,117.35,117.70,2941213,3445.45,29416,
2022-07-05,MOTHERSON,EQ,117.60,118.45,114.10,115.05,117.35,5598805,6517.42,53328,
2022-07-06,MOTHERSON,EQ,114.90,117.00,113.65,116.70,115.05,5658188,6560.89,39713,
2022-07-07,MOTHERSON,EQ,117.25,120.75,116.15,119.75,116.70,7350261,8666.71,48088,
2022-07-08,MOTHERSON,EQ,120.50,121.00,117.60,119.00,119.75,4194233,4983.22,48428,
2022-07-11,MOTHERSON,EQ,118.20,122.10,117.65,121.65,119.00,3601148,4336.11,31456,
2022-07-12,MOTHERSON,EQ,121.00,121.00,118.10,118.50,121.65,3229822,3846.71,41542,
2022-07-13,MOTHERSON,EQ,119.25,119.75,117.65,118.10,118.50,3441470,4075.37,32620,
2022-07-14,MOTHERSON,EQ,118.40,119.70,117.50,119.25,118.10,3678633,4361.29,31990,
2022-07-15,MOTHERSON,EQ,119.40,119.95,118.50,119.60,119.25,2125968,2535.80,18853,
2022-07-18,MOTHERSON,EQ,120.50,127.00,120.15,126.10,119.60,5137274,6367.69,39159,
2022-07-19,MOTHERSON,EQ,126.50,127.30,125.00,125.30,126.10,3710885,4671.46,37538,
2022-07-20,MOTHERSON,EQ,126.30,128.90,125.95,126.55,125.30,4826786,6157.87,44960,
2022-07-21,MOTHERSON,EQ,127.15,137.50,127.15,134.45,126.55,22885200,30517.67,163852,
2022-07-22,MOTHERSON,EQ,135.20,136.20,131.35,132.20,134.45,8120804,10894.45,47728,
2022-07-25,MOTHERSON,EQ,132.00,135.05,129.00,130.60,132.20,5691942,7465.51,41461,
2022-07-26,MOTHERSON,EQ,130.50,131.60,129.00,129.95,130.60,3430822,4458.33,24633,
2022-07-27,MOTHERSON,EQ,129.95,130.60,128.15,129.35,129.95,2943731,3810.22,27991,
2022-07-28,MOTHERSON,EQ,130.60,130.85,127.80,128.40,129.35,2981676,3848.45,25239,
2022-07-29,MOTHERSON,EQ,129.40,130.00,126.85,127.30,128.40,5059600,6483.24,29315,
2022-08-01,MOTHERSON,EQ,128.00,133.00,127.50,130.75,127.30,8502617,11083.24,61248,
2022-08-02,MOTHERSON,EQ,130.95,135.10,128.15,133.30,130.75,8487459,11301.24,54104,
2022-08-03,MOTHERSON,EQ,133.45,134.00,128.25,130.55,133.30,7598280,9906.41,52965,
2022-08-04,MOTHERSON,EQ,130.95,134.05,127.45,130.05,130.55,8715134,11338.58,43114,
2022-08-05,MOTHERSON,EQ,130.75,132.45,128.85,130.45,130.05,6621388,8673.76,46643,
2022-08-10,MOTHERSON,EQ,130.00,130.00,121.15,121.80,128.55,18853781,23160.49,131729,
2022-08-11,MOTHERSON,EQ,122.95,124.20,121.50,123.90,121.80,15793359,19352.71,59584,
2022-08-12,MOTHERSON,EQ,123.80,124.10,122.40,122.75,123.90,4985286,6136.65,40996,
2022-08-16,MOTHERSON,EQ,124.00,129.10,123.15,128.55,122.75,14915989,18883.79,79312,
2022-08-17,MOTHERSON,EQ,129.25,132.75,127.65,132.20,128.55,12890994,16841.61,78431,
2022-08-18,MOTHERSON,EQ,131.90,133.00,130.35,131.45,132.20,6135006,8067.47,49491,
2022-08-19,MOTHERSON,EQ,132.10,132.10,127.50,128.15,131.45,5402251,6988.73,41220,
2022-08-22,MOTHERSON,EQ,128.00,128.25,125.25,125.60,128.15,5767734,7325.20,28194,
2022-08-23,MOTHERSON,EQ,124.50,127.15,122.35,124.10,125.60,6512261,8089.90,45422,
2022-08-24,MOTHERSON,EQ,124.40,126.40,124.20,124.95,124.10,4412071,5525.66,24093,
2022-08-25,MOTHERSON,EQ,125.70,128.15,124.50,124.90,124.95,9265019,11667.75,44730,
2022-08-26,MOTHERSON,EQ,126.20,126.95,124.50,124.85,124.90,4668679,5867.34,23118,
2022-08-29,MOTHERSON,EQ,122.00,122.50,120.30,121.10,124.85,8475509,10301.24,54920,
2022-08-30,MOTHERSON,EQ,122.00,124.80,121.80,122.90,121.10,31501188,38785.72,73804,
2022-09-01,MOTHERSON,EQ,122.60,126.10,122.05,125.65,122.90,10873242,13537.15,35285,
2022-09-02,MOTHERSON,EQ,126.35,127.10,125.40,125.70,125.65,4784164,6038.90,32382,
2022-09-05,MOTHERSON,EQ,126.55,126.75,125.20,125.35,125.70,3432975,4318.96,19408,
2022-09-06,MOTHERSON,EQ,125.55,126.00,122.50,123.15,125.35,5964936,7362.24,34100,
2022-09-07,MOTHERSON,EQ,123.15,123.30,121.80,122.95,123.15,5593195,6862.67,36106,
2022-09-08,MOTHERSON,EQ,124.40,124.45,122.75,123.15,122.95,4106385,5070.98,27923,
2022-09-09,MOTHERSON,EQ,124.50,125.90,123.30,123.70,123.15,6206848,7709.56,31180,
2022-09-12,MOTHERSON,EQ,124.25,125.60,124.05,125.25,123.70,5869151,7336.63,41076,
2022-09-13,MOTHERSON,EQ,125.85,129.70,125.20,128.40,125.25,8593098,10972.19,59183,
2022-09-14,MOTHERSON,EQ,126.35,129.00,125.00,128.20,128.40,7140653,9117.16,48571,
2022-09-15,MOTHERSON,EQ,128.95,129.80,127.25,128.95,128.20,9103913,11723.68,80554,
2022-09-16,MOTHERSON,EQ,129.65,129.65,123.35,124.20,128.95,8341813,10496.56,76179,
2022-09-19,MOTHERSON,EQ,125.00,125.00,122.35,122.80,124.20,4118420,5085.34,27216,
