date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,MUTHOOTFIN,EQ,761.00,765.60,758.00,760.60,761.45,248641,1892.61,5414,
2020-01-02,MUTHOOTFIN,EQ,764.40,772.30,762.30,768.55,760.60,459220,3523.51,12352,
2020-01-03,MUTHOOTFIN,EQ,763.10,772.85,763.10,770.80,768.55,414687,3183.66,7197,
2020-01-06,MUTHOOTFIN,EQ,772.50,778.95,754.40,756.10,770.80,1814426,13938.31,23203,
2020-01-07,MUTHOOTFIN,EQ,764.00,766.00,745.00,750.00,756.10,1005706,7559.58,18923,
2020-01-08,MUTHOOTFIN,EQ,742.00,753.60,740.50,746.30,750.00,710695,5293.84,17952,
2020-01-09,MUTHOOTFIN,EQ,753.00,754.90,740.00,742.00,746.30,694565,5173.80,18002,
2020-01-10,MUTHOOTFIN,EQ,743.00,752.70,740.20,747.85,742.00,612619,4575.24,16936,
2020-01-13,MUTHOOTFIN,EQ,749.00,761.35,747.60,750.15,747.85,902246,6787.32,15362,
2020-01-14,MUTHOOTFIN,EQ,750.20,767.55,750.20,764.35,750.15,672650,5121.35,19142,
2020-01-15,MUTHOOTFIN,EQ,766.00,772.00,758.30,760.15,764.35,991772,7565.59,24554,
2020-01-16,MUTHOOTFIN,EQ,760.20,796.40,760.20,789.05,760.15,1862469,14567.66,31493,
2020-01-17,MUTHOOTFIN,EQ,789.05,792.20,775.50,779.80,789.05,487514,3822.37,15380,
2020-01-20,MUTHOOTFIN,EQ,781.00,786.50,769.75,774.20,779.80,309286,2404.03,18585,
2020-01-21,MUTHOOTFIN,EQ,774.05,775.80,761.65,769.00,774.20,574086,4413.11,38574,
2020-01-22,MUTHOOTFIN,EQ,773.00,774.85,755.50,758.00,769.00,720758,5484.83,56675,
2020-01-23,MUTHOOTFIN,EQ,755.00,763.85,753.75,760.30,758.00,857187,6508.10,49632,
2020-01-24,MUTHOOTFIN,EQ,761.90,766.00,750.25,751.95,760.30,1028438,7776.45,42160,
2020-01-27,MUTHOOTFIN,EQ,747.10,765.00,747.00,751.15,751.95,810056,6125.47,36249,
2020-01-28,MUTHOOTFIN,EQ,750.00,760.75,746.40,757.45,751.15,760266,5730.04,18649,
2020-01-29,MUTHOOTFIN,EQ,762.00,769.45,757.70,761.30,757.45,510568,3895.93,18024,
2020-01-30,MUTHOOTFIN,EQ,759.00,782.15,756.05,773.30,761.30,1130273,8729.74,20129,
2020-01-31,MUTHOOTFIN,EQ,782.45,782.45,758.85,762.65,773.30,534770,4108.93,20261,
2020-02-03,MUTHOOTFIN,EQ,750.00,754.15,732.75,748.35,745.40,570401,4257.29,28407,
2020-02-04,MUTHOOTFIN,EQ,753.00,776.30,751.70,770.40,748.35,979958,7525.08,23760,
2020-02-05,MUTHOOTFIN,EQ,771.00,781.25,756.10,759.65,770.40,800891,6148.56,25472,
2020-02-06,MUTHOOTFIN,EQ,757.00,772.30,749.00,763.50,759.65,883115,6724.49,17802,
2020-02-07,MUTHOOTFIN,EQ,764.00,766.80,755.25,760.95,763.50,406092,3088.32,14097,
2020-02-10,MUTHOOTFIN,EQ,762.00,764.70,752.90,760.30,760.95,315966,2394.83,8154,
2020-02-11,MUTHOOTFIN,EQ,760.05,765.45,744.15,747.40,760.30,713531,5368.05,16161,
2020-02-12,MUTHOOTFIN,EQ,746.95,754.65,739.00,741.65,747.40,534464,3987.08,12446,
2020-02-13,MUTHOOTFIN,EQ,742.90,747.95,737.00,740.40,741.65,405771,3008.81,15472,
2020-02-14,MUTHOOTFIN,EQ,744.85,750.00,740.10,746.90,740.40,665969,4964.55,19803,
2020-02-17,MUTHOOTFIN,EQ,782.00,882.00,769.00,873.90,746.90,19143503,160358.75,315965,
2020-02-18,MUTHOOTFIN,EQ,870.00,898.85,846.00,869.30,873.90,19323677,169048.44,317924,
2020-02-19,MUTHOOTFIN,EQ,870.00,889.00,857.80,875.10,869.30,3876635,33847.55,97243,
2020-02-20,MUTHOOTFIN,EQ,873.00,935.45,866.45,912.70,875.10,9227400,84369.53,153235,
2020-02-24,MUTHOOTFIN,EQ,901.90,945.00,893.40,933.45,912.70,6900742,64406.26,134548,
2020-02-25,MUTHOOTFIN,EQ,933.00,954.50,926.75,944.40,933.45,4338699,40772.48,85411,
2020-02-26,MUTHOOTFIN,EQ,940.00,954.05,935.00,939.95,944.40,2961194,27980.04,56027,
2020-02-27,MUTHOOTFIN,EQ,945.00,947.70,906.20,930.75,939.95,3546208,32763.75,60190,
2020-02-28,MUTHOOTFIN,EQ,905.00,915.95,871.40,880.25,930.75,2605536,23282.38,50586,
2020-03-02,MUTHOOTFIN,EQ,882.10,901.80,850.40,860.10,880.25,2891530,25205.29,54679,
2020-03-03,MUTHOOTFIN,EQ,859.00,876.90,846.20,866.00,860.10,2390316,20553.13,54808,
2020-03-04,MUTHOOTFIN,EQ,870.00,879.00,851.00,873.30,866.00,2480690,21511.05,62688,
2020-03-05,MUTHOOTFIN,EQ,879.80,891.25,869.10,877.95,873.30,1338135,11758.57,25695,
2020-03-06,MUTHOOTFIN,EQ,850.00,874.80,840.55,869.65,877.95,1002524,8625.73,25692,
2020-03-09,MUTHOOTFIN,EQ,862.00,863.75,818.30,830.30,869.65,2006855,16697.81,63368,
2020-03-11,MUTHOOTFIN,EQ,828.80,856.95,825.00,833.75,830.30,2067363,17363.36,69526,
2020-03-12,MUTHOOTFIN,EQ,802.25,812.60,750.00,756.60,833.75,2809512,22013.18,76131,
