date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,NESTLEIND,EQ,14819.00,14849.35,14712.25,14779.05,14785.35,23859,3525.05,5858,
2020-01-02,NESTLEIND,EQ,14848.90,14852.95,14687.15,14729.35,14779.05,46116,6798.66,12734,
2020-01-03,NESTLEIND,EQ,14750.00,14795.00,14556.10,14593.60,14729.35,40000,5849.64,12777,
2020-01-06,NESTLEIND,EQ,14542.00,14542.00,14275.00,14416.65,14593.60,65136,9362.88,22616,
2020-01-07,NESTLEIND,EQ,14423.55,14546.75,14260.85,14290.75,14416.65,72237,10375.78,17322,
2020-01-08,NESTLEIND,EQ,14191.60,14450.00,14120.35,14391.25,14290.75,39488,5647.04,12492,
2020-01-09,NESTLEIND,EQ,14495.00,14675.00,14450.00,14643.45,14391.25,55708,8137.66,18285,
2020-01-10,NESTLEIND,EQ,14643.45,14718.90,14570.25,14685.85,14643.45,39274,5747.76,11367,
2020-01-13,NESTLEIND,EQ,14747.90,14747.90,14601.00,14658.25,14685.85,26990,3958.38,9595,
2020-01-14,NESTLEIND,EQ,14657.90,14895.00,14607.00,14868.60,14658.25,50378,7454.86,15477,
2020-01-15,NESTLEIND,EQ,14828.00,14950.00,14718.85,14860.20,14868.60,41468,6152.83,12078,
2020-01-16,NESTLEIND,EQ,14851.00,15398.00,14848.10,15354.90,14860.20,203208,30871.38,43878,
2020-01-17,NESTLEIND,EQ,15399.00,15600.00,15358.65,15439.45,15354.90,96399,14908.44,25802,
2020-01-20,NESTLEIND,EQ,15230.15,15479.40,15230.15,15417.25,15439.45,68770,10587.79,20790,
2020-01-21,NESTLEIND,EQ,15361.05,15501.60,15200.00,15280.75,15417.25,63258,9702.42,18689,
2020-01-22,NESTLEIND,EQ,15369.00,15585.00,15301.00,15548.70,15280.75,55627,8613.75,14173,
2020-01-23,NESTLEIND,EQ,15500.00,15625.00,15455.00,15548.85,15548.70,42861,6663.17,12672,
2020-01-24,NESTLEIND,EQ,15600.00,15850.00,15500.15,15755.50,15548.85,50632,7957.36,12966,
2020-01-27,NESTLEIND,EQ,15700.00,15845.00,15559.95,15666.05,15755.50,31362,4939.99,10128,
2020-01-28,NESTLEIND,EQ,15664.00,15710.00,15366.80,15416.65,15666.05,53107,8220.35,20635,
2020-01-29,NESTLEIND,EQ,15585.00,15899.95,15440.00,15866.75,15416.65,64251,10117.38,19226,
2020-01-30,NESTLEIND,EQ,15802.00,15810.85,15471.25,15520.80,15866.75,47252,7384.27,14481,
2020-01-31,NESTLEIND,EQ,15560.00,15637.25,15310.30,15359.45,15520.80,59649,9207.53,18075,
2020-02-03,NESTLEIND,EQ,15589.00,16500.00,15530.00,16301.00,15524.75,203752,33082.32,49666,
2020-02-04,NESTLEIND,EQ,16400.00,16507.90,16127.05,16455.60,16301.00,116416,19054.40,29932,
2020-02-05,NESTLEIND,EQ,16476.00,16481.90,16256.05,16384.85,16455.60,57511,9394.86,15347,
2020-02-06,NESTLEIND,EQ,16399.00,16549.45,16157.80,16284.95,16384.85,74084,12101.53,16534,
2020-02-07,NESTLEIND,EQ,16340.00,16385.00,16194.60,16327.80,16284.95,41407,6756.11,12298,
2020-02-10,NESTLEIND,EQ,16300.00,16373.10,16112.00,16172.20,16327.80,61270,9926.73,18559,
2020-02-11,NESTLEIND,EQ,16240.00,16300.05,15950.00,15997.15,16172.20,73350,11786.23,24427,
2020-02-12,NESTLEIND,EQ,16026.00,16472.60,15968.45,16297.70,15997.15,129011,21045.28,32158,
2020-02-13,NESTLEIND,EQ,16328.00,16461.50,16277.35,16412.20,16297.70,151228,24783.62,30772,
2020-02-14,NESTLEIND,EQ,16500.00,16782.40,16250.00,16356.45,16412.20,165708,27282.55,36304,
2020-02-17,NESTLEIND,EQ,16413.00,16615.00,16373.00,16588.45,16356.45,139788,23106.79,24770,
2020-02-18,NESTLEIND,EQ,16569.90,16569.90,16385.05,16403.85,16588.45,90013,14798.88,18931,
2020-02-19,NESTLEIND,EQ,16538.60,16831.50,16475.80,16785.05,16403.85,95000,15891.83,25199,
2020-02-20,NESTLEIND,EQ,16740.00,16740.00,16525.40,16539.50,16785.05,65732,10914.70,17812,
2020-02-24,NESTLEIND,EQ,16499.00,16576.75,16317.00,16337.25,16539.50,66516,10923.65,17251,
2020-02-25,NESTLEIND,EQ,16373.00,16540.85,16309.35,16380.50,16337.25,90916,14922.01,15326,
2020-02-26,NESTLEIND,EQ,16545.00,16545.00,16150.05,16240.15,16380.50,116839,19071.20,26504,
2020-02-27,NESTLEIND,EQ,16300.00,16340.85,16057.50,16263.75,16240.15,90199,14599.57,22672,
2020-02-28,NESTLEIND,EQ,16042.00,16129.05,15680.00,15778.85,16263.75,140673,22251.86,34457,
2020-03-02,NESTLEIND,EQ,15950.00,16315.00,15901.00,16109.95,15778.85,117232,18951.32,30135,
2020-03-03,NESTLEIND,EQ,16130.25,16499.00,16130.25,16359.40,16109.95,93372,15266.75,25348,
2020-03-04,NESTLEIND,EQ,16397.00,16632.50,16020.00,16541.50,16359.40,111711,18248.63,24525,
