date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,NTPC,EQ,119.05,122.00,118.25,121.55,119.05,9953746,12011.43,45323,
2020-01-02,NTPC,EQ,121.50,122.15,120.60,121.40,121.55,8731299,10611.95,46881,
2020-01-03,NTPC,EQ,121.00,121.35,119.10,119.35,121.40,7392962,8881.59,41213,
2020-01-06,NTPC,EQ,119.00,119.15,116.50,118.90,119.35,6596841,7794.95,70828,
2020-01-07,NTPC,EQ,119.25,121.55,119.25,120.55,118.90,8959942,10790.10,42114,
2020-01-08,NTPC,EQ,119.70,120.75,117.55,119.95,120.55,6372683,7617.63,40756,
2020-01-09,NTPC,EQ,120.50,121.20,118.90,119.35,119.95,8309627,9938.80,49139,
2020-01-10,NTPC,EQ,119.95,121.80,119.05,120.30,119.35,5588344,6755.77,42061,
2020-01-13,NTPC,EQ,120.40,122.00,120.10,121.75,120.30,3534313,4283.54,27480,
2020-01-14,NTPC,EQ,121.75,124.00,121.35,123.50,121.75,8631692,10587.74,54988,
2020-01-15,NTPC,EQ,123.00,125.00,122.35,123.85,123.50,6537916,8082.55,51381,
2020-01-16,NTPC,EQ,123.40,123.40,120.95,121.45,123.85,8806007,10720.14,67006,
2020-01-17,NTPC,EQ,121.45,121.70,120.60,121.20,121.45,6811534,8249.58,44643,
2020-01-20,NTPC,EQ,121.00,121.75,117.80,118.25,121.20,10655638,12757.88,55433,
2020-01-21,NTPC,EQ,118.40,119.55,116.95,117.15,118.25,5150830,6095.41,30246,
2020-01-22,NTPC,EQ,114.95,115.75,111.50,112.15,117.15,19388739,21919.50,101026,
2020-01-23,NTPC,EQ,112.60,114.45,112.30,113.50,112.15,22793170,25863.49,76112,
2020-01-24,NTPC,EQ,114.00,116.30,113.55,114.75,113.50,9898052,11417.21,70087,
2020-01-27,NTPC,EQ,115.00,115.30,112.60,113.15,114.75,5597365,6374.72,35352,
2020-01-28,NTPC,EQ,113.75,113.75,110.90,112.05,113.15,12128081,13569.68,61178,
2020-01-29,NTPC,EQ,112.10,114.90,111.75,113.20,112.05,18501507,20930.36,60935,
2020-01-30,NTPC,EQ,113.45,114.80,112.05,113.65,113.20,18545239,21088.43,59895,
2020-01-31,NTPC,EQ,113.75,115.25,111.50,112.85,113.65,64518347,73140.53,150514,
2020-02-03,NTPC,EQ,109.45,111.65,107.20,110.25,109.30,14889516,16410.19,99083,
2020-02-04,NTPC,EQ,110.35,112.30,110.25,112.00,110.25,9743806,10855.70,54271,
2020-02-05,NTPC,EQ,111.30,112.60,110.50,111.20,112.00,10671590,11929.33,56195,
2020-02-06,NTPC,EQ,110.50,112.50,110.50,112.00,111.20,11852617,13211.14,84060,
2020-02-07,NTPC,EQ,112.40,116.25,112.30,115.60,112.00,18446803,21199.03,74772,
2020-02-10,NTPC,EQ,115.80,115.90,112.05,113.50,115.60,31637511,35942.85,101379,
2020-02-11,NTPC,EQ,114.50,117.55,114.10,116.85,113.50,20937033,24311.84,61763,
2020-02-12,NTPC,EQ,117.00,118.90,116.40,116.80,116.85,13679292,16094.40,63218,
2020-02-13,NTPC,EQ,116.80,117.10,114.70,115.15,116.80,20903696,24136.66,82142,
2020-02-14,NTPC,EQ,114.80,115.50,111.90,112.70,115.15,23827224,26992.04,73287,
2020-02-17,NTPC,EQ,113.10,113.75,109.20,110.30,112.70,22137354,24524.19,112421,
2020-02-18,NTPC,EQ,109.60,110.90,103.80,109.60,110.30,34458578,37217.18,93216,
2020-02-19,NTPC,EQ,112.30,113.75,110.40,112.05,109.60,17935374,20066.48,68809,
2020-02-20,NTPC,EQ,111.70,112.40,110.95,111.35,112.05,19663654,21940.24,56206,
2020-02-24,NTPC,EQ,110.75,110.75,108.85,109.70,111.35,11370193,12460.11,68352,
2020-02-25,NTPC,EQ,110.90,112.45,109.65,110.10,109.70,10775289,11943.22,38175,
2020-02-26,NTPC,EQ,110.00,111.55,108.25,109.10,110.10,14998071,16471.62,60231,
2020-02-27,NTPC,EQ,109.20,110.30,106.65,109.05,109.10,22610691,24438.02,91836,
2020-02-28,NTPC,EQ,106.65,110.20,105.35,106.55,109.05,25696761,27570.71,91934,
2020-03-02,NTPC,EQ,109.35,110.00,102.70,103.90,106.55,15614944,16805.19,80012,
2020-03-03,NTPC,EQ,104.65,109.95,104.30,108.90,103.90,17194661,18400.00,70184,
2020-03-04,NTPC,EQ,108.65,111.00,107.50,107.95,108.90,17095867,18582.79,77430,
2020-03-05,NTPC,EQ,108.10,109.65,107.05,107.85,107.95,11579256,12510.12,88673,
2020-03-06,NTPC,EQ,104.75,107.20,102.90,105.15,107.85,13533444,14329.52,81720,
