date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ONGC,EQ,128.75,128.90,126.85,127.45,128.80,2574894,3290.88,18298,
2020-01-02,ONGC,EQ,127.65,128.65,127.10,128.05,127.45,4759843,6085.51,29181,
2020-01-03,ONGC,EQ,131.00,133.40,128.05,128.45,128.05,31381588,40924.72,135658,
2020-01-06,ONGC,EQ,129.70,129.80,125.10,126.25,128.45,14611204,18584.92,82139,
2020-01-07,ONGC,EQ,125.60,127.70,125.40,125.75,126.25,7193304,9086.00,46745,
2020-01-08,ONGC,EQ,125.00,125.45,123.20,123.45,125.75,6236192,7740.07,38206,
2020-01-09,ONGC,EQ,124.95,125.10,122.80,123.70,123.45,10135017,12541.83,76527,
2020-01-10,ONGC,EQ,124.45,125.20,123.70,124.15,123.70,6550218,8151.42,39961,
2020-01-13,ONGC,EQ,124.25,125.70,124.25,125.45,124.15,5737187,7176.56,30159,
2020-01-14,ONGC,EQ,125.45,125.65,123.80,125.05,125.45,12432511,15494.60,63351,
2020-01-15,ONGC,EQ,125.05,125.50,124.25,124.65,125.05,5714614,7127.05,33047,
2020-01-16,ONGC,EQ,125.00,125.20,124.05,124.50,124.65,7322878,9115.81,40534,
2020-01-17,ONGC,EQ,124.55,125.55,124.00,125.40,124.50,8561603,10683.82,30925,
2020-01-20,ONGC,EQ,126.00,126.75,120.00,122.90,125.40,16106541,20137.08,57991,
2020-01-21,ONGC,EQ,123.05,124.50,122.40,122.75,122.90,6497799,8013.79,38709,
2020-01-22,ONGC,EQ,122.00,122.00,116.00,116.40,122.75,23639592,27881.82,124991,
2020-01-23,ONGC,EQ,117.25,118.95,116.40,117.80,116.40,21105999,24858.37,83127,
2020-01-24,ONGC,EQ,118.00,119.80,117.30,118.35,117.80,11172364,13276.01,53595,
2020-01-27,ONGC,EQ,118.35,118.50,116.80,117.25,118.35,12078165,14205.91,37752,
2020-01-28,ONGC,EQ,117.55,117.70,115.60,116.60,117.25,11611352,13543.68,47189,
2020-01-29,ONGC,EQ,117.35,118.15,116.45,117.65,116.60,15562740,18292.33,50710,
2020-01-30,ONGC,EQ,117.55,117.55,115.00,115.60,117.65,21142714,24585.17,59600,
2020-01-31,ONGC,EQ,115.80,116.00,106.75,108.95,115.60,83360147,91732.67,225052,
2020-02-03,ONGC,EQ,104.35,104.95,101.55,103.45,104.35,18445537,19123.90,100644,
2020-02-04,ONGC,EQ,104.10,106.90,103.80,106.15,103.45,16896688,17827.66,66962,
2020-02-05,ONGC,EQ,106.40,107.40,105.10,106.80,106.15,11348275,12070.43,48077,
2020-02-06,ONGC,EQ,106.80,107.80,106.30,107.25,106.80,10750236,11516.69,38166,
2020-02-07,ONGC,EQ,107.30,109.75,106.55,109.25,107.25,21415595,23122.52,71637,
2020-02-10,ONGC,EQ,109.15,109.15,105.75,106.20,109.25,32081049,34261.89,87662,
2020-02-11,ONGC,EQ,107.15,107.65,106.30,106.80,106.20,20946852,22414.33,66472,
2020-02-12,ONGC,EQ,107.00,107.80,106.50,106.70,106.80,13053367,13963.04,44032,
2020-02-13,ONGC,EQ,107.00,108.20,104.25,105.35,106.70,17702073,18702.45,68906,
2020-02-14,ONGC,EQ,105.55,106.30,103.00,103.30,105.35,26644685,27669.25,129740,
2020-02-17,ONGC,EQ,101.50,102.90,98.80,99.95,103.30,36666416,36730.59,123429,
2020-02-18,ONGC,EQ,99.95,100.25,96.55,99.30,99.95,35575369,34912.72,103748,
2020-02-19,ONGC,EQ,100.30,102.20,98.80,101.70,99.30,21806183,21936.83,80492,
2020-02-20,ONGC,EQ,102.00,104.10,101.70,102.80,101.70,28378025,29277.38,101448,
2020-02-24,ONGC,EQ,102.50,102.50,97.20,98.05,102.80,20167769,20023.33,81050,
2020-02-25,ONGC,EQ,98.70,100.25,97.25,97.55,98.05,18255196,18045.20,66318,
2020-02-26,ONGC,EQ,97.40,98.50,95.50,95.80,97.55,16192058,15717.40,64927,
2020-02-27,ONGC,EQ,95.70,96.20,92.05,93.35,95.80,29616674,27881.15,104546,
2020-02-28,ONGC,EQ,90.30,92.70,89.50,91.95,93.35,30416954,27646.57,103250,
2020-03-02,ONGC,EQ,94.00,95.00,88.25,89.10,91.95,24442896,22484.80,91359,
2020-03-03,ONGC,EQ,90.90,94.00,89.65,93.35,89.10,24098468,22083.54,87245,
2020-03-04,ONGC,EQ,94.20,94.90,90.70,92.80,93.35,22998427,21418.26,91185,
2020-03-05,ONGC,EQ,93.35,94.40,92.00,92.60,92.80,16357817,15232.24,82087,
2020-03-06,ONGC,EQ,89.50,91.50,87.65,88.50,92.60,17823038,15989.70,79068,
2020-03-09,ONGC,EQ,82.15,82.50,74.00,74.55,88.50,86674325,66943.37,258060,
2020-03-11,ONGC,EQ,76.75,77.40,71.05,71.70,74.55,63570122,46876.70,219028,
2020-03-12,ONGC,EQ,66.60,68.40,62.00,62.50,71.70,76138489,49649.08,240190,
2020-03-13,ONGC,EQ,59.40,67.00,50.00,65.90,62.50,73052306,44562.92,253152,
2020-03-16,ONGC,EQ,63.50,65.20,60.00,60.15,65.90,49834392,31038.28,156443,
2020-03-17,ONGC,EQ,61.10,63.00,59.65,60.00,60.15,46722526,28618.21,172593,
2020-03-18,ONGC,EQ,61.60,86.80,57.50,68.15,60.00,178593486,119248.72,257249,
2020-03-19,ONGC,EQ,62.15,64.00,58.10,61.05,68.15,61261160,37799.60,220723,
2020-03-20,ONGC,EQ,63.05,74.40,62.75,72.35,61.05,128784781,89006.11,357927,
2020-03-23,ONGC,EQ,60.65,65.50,60.00,60.40,72.35,36059063,22455.96,167935,
2020-03-24,ONGC,EQ,63.50,64.70,60.10,62.50,60.40,38810910,24146.35,132598,
2020-03-25,ONGC,EQ,61.20,63.00,60.00,61.55,62.50,28639667,17536.44,122614,
