date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,PFC,EQ,117.65,118.85,117.25,118.40,117.90,4243195,5013.84,16263,
2020-01-02,PFC,EQ,118.70,120.30,118.10,119.85,118.40,2825976,3369.72,17065,
2020-01-03,PFC,EQ,119.55,121.25,118.10,118.75,119.85,3218434,3854.15,12766,
2020-01-06,PFC,EQ,117.30,118.10,111.80,112.90,118.75,4876125,5545.60,21727,
2020-01-07,PFC,EQ,114.00,118.80,114.00,116.95,112.90,5495135,6391.22,28598,
2020-01-08,PFC,EQ,114.10,116.60,113.60,116.05,116.95,3736437,4297.44,15124,
2020-01-09,PFC,EQ,117.20,119.90,116.65,119.50,116.05,3356743,3979.58,20929,
2020-01-10,PFC,EQ,120.00,122.80,119.60,121.65,119.50,4727024,5747.35,23597,
2020-01-13,PFC,EQ,122.35,125.40,121.85,125.00,121.65,5983829,7431.61,36799,
2020-01-14,PFC,EQ,124.95,124.95,122.25,122.75,125.00,3338713,4111.87,23063,
2020-01-15,PFC,EQ,122.90,125.50,121.20,124.65,122.75,4457519,5502.73,19732,
2020-01-16,PFC,EQ,124.65,125.05,122.20,123.35,124.65,2021597,2493.17,10788,
2020-01-17,PFC,EQ,123.00,123.40,121.60,121.95,123.35,1900992,2325.20,9141,
2020-01-20,PFC,EQ,116.95,117.30,111.70,112.35,121.95,16284063,18643.59,53495,
2020-01-21,PFC,EQ,112.10,112.65,106.20,106.65,112.35,13825454,15106.89,49064,
2020-01-22,PFC,EQ,106.85,111.90,103.85,108.85,106.65,44317545,48058.37,99332,
2020-01-23,PFC,EQ,109.00,116.15,108.10,113.10,108.85,93638290,105855.50,147743,
2020-01-24,PFC,EQ,115.55,118.35,114.20,116.35,113.10,13764798,16081.18,40431,
2020-01-27,PFC,EQ,115.45,118.70,115.00,115.85,116.35,6742629,7903.96,30985,
2020-01-28,PFC,EQ,116.30,117.40,111.90,116.00,115.85,11549591,13325.92,28930,
2020-01-29,PFC,EQ,116.70,119.50,116.60,118.10,116.00,11566055,13689.66,33690,
2020-01-30,PFC,EQ,118.50,120.30,116.55,119.50,118.10,10608180,12602.05,41018,
2020-01-31,PFC,EQ,120.00,120.20,114.75,116.65,119.50,9455973,11036.44,37776,
2020-02-03,PFC,EQ,110.45,114.60,108.35,113.95,110.20,6376289,7156.27,41527,
2020-02-04,PFC,EQ,115.00,117.00,114.60,116.05,113.95,4706293,5459.10,26419,
2020-02-05,PFC,EQ,117.30,124.55,117.30,122.90,116.05,14069624,17130.66,54354,
2020-02-06,PFC,EQ,123.65,124.50,121.70,123.70,122.90,7232172,8917.38,27431,
2020-02-07,PFC,EQ,122.95,126.00,122.60,125.35,123.70,6417744,8012.73,21216,
2020-02-10,PFC,EQ,125.65,127.50,124.85,125.75,125.35,6107164,7702.10,39363,
2020-02-11,PFC,EQ,126.65,128.00,124.25,125.35,125.75,4617984,5834.78,17691,
2020-02-12,PFC,EQ,124.50,127.35,121.65,126.65,125.35,16717668,20899.61,45398,
2020-02-13,PFC,EQ,126.50,127.20,122.10,126.05,126.65,14373889,17955.48,56040,
2020-02-14,PFC,EQ,126.40,130.70,126.00,126.65,126.05,13977719,17949.54,53746,
2020-02-17,PFC,EQ,127.40,130.15,125.65,126.45,126.65,7987532,10180.43,31999,
2020-02-18,PFC,EQ,126.05,128.25,123.15,127.65,126.45,7190254,9029.73,45066,
2020-02-19,PFC,EQ,128.50,130.60,127.25,129.60,127.65,5611653,7245.27,26682,
2020-02-20,PFC,EQ,129.25,133.40,128.35,132.25,129.60,8741766,11509.39,35236,
2020-02-24,PFC,EQ,131.65,133.15,129.00,129.40,132.25,6075291,7988.51,18970,
2020-02-25,PFC,EQ,130.00,130.95,127.45,128.85,129.40,4289748,5542.08,14851,
2020-02-26,PFC,EQ,127.90,130.25,126.75,127.20,128.85,7187251,9239.73,20494,
2020-02-27,PFC,EQ,127.45,127.85,122.20,125.10,127.20,12270327,15295.90,33288,
2020-02-28,PFC,EQ,112.00,112.00,108.65,109.45,125.10,18767230,20696.87,44849,
2020-03-02,PFC,EQ,110.20,114.30,110.10,111.60,109.45,11356547,12771.31,37195,
2020-03-03,PFC,EQ,112.20,114.85,110.35,113.25,111.60,16973247,19219.30,34286,
2020-03-04,PFC,EQ,113.25,114.60,111.05,113.55,113.25,9045800,10212.84,36379,
2020-03-05,PFC,EQ,114.00,115.50,112.70,113.05,113.55,4899636,5591.38,17202,
2020-03-06,PFC,EQ,109.00,112.10,108.00,110.50,113.05,7606458,8415.48,36005,
2020-03-09,PFC,EQ,107.00,108.35,102.70,104.30,110.50,5930234,6221.56,29962,
2020-03-11,PFC,EQ,103.00,106.25,102.00,102.80,104.30,7329599,7635.26,38146,
2020-03-12,PFC,EQ,98.00,98.85,86.50,90.40,102.80,7613471,6938.29,37730,
2020-03-13,PFC,EQ,84.50,103.95,82.80,102.45,90.40,12877904,12319.89,48324,
2020-03-16,PFC,EQ,96.45,97.50,91.45,92.30,102.45,4392558,4155.16,33471,
2020-03-17,PFC,EQ,92.60,99.20,89.30,90.25,92.30,8893656,8490.21,47788,
2020-03-18,PFC,EQ,92.40,95.30,88.10,93.60,90.25,8947375,8250.72,65463,
