date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,PIDILITIND,EQ,1388.05,1412.00,1387.00,1405.35,1386.90,252523,3542.67,8995,
2020-01-02,PIDILITIND,EQ,1405.00,1411.00,1395.50,1399.05,1405.35,206412,2894.20,13354,
2020-01-03,PIDILITIND,EQ,1395.50,1402.90,1391.55,1397.65,1399.05,243932,3405.12,12089,
2020-01-06,PIDILITIND,EQ,1387.35,1394.90,1381.95,1387.70,1397.65,789499,10956.04,23554,
2020-01-07,PIDILITIND,EQ,1390.10,1431.85,1390.00,1399.70,1387.70,863685,12188.66,26743,
2020-01-08,PIDILITIND,EQ,1392.10,1407.30,1389.00,1403.55,1399.70,259791,3633.90,17112,
2020-01-09,PIDILITIND,EQ,1410.55,1425.45,1407.10,1414.40,1403.55,510894,7231.15,16693,
2020-01-10,PIDILITIND,EQ,1420.00,1432.85,1409.15,1415.15,1414.40,2584478,36728.19,23210,
2020-01-13,PIDILITIND,EQ,1419.90,1434.40,1415.10,1425.50,1415.15,297267,4233.10,14440,
2020-01-14,PIDILITIND,EQ,1425.50,1431.70,1417.00,1427.20,1425.50,285820,4070.93,16790,
2020-01-15,PIDILITIND,EQ,1426.80,1438.70,1415.10,1432.05,1427.20,392459,5589.48,15599,
2020-01-16,PIDILITIND,EQ,1431.25,1456.00,1430.05,1452.65,1432.05,569179,8242.34,24724,
2020-01-17,PIDILITIND,EQ,1453.50,1455.20,1434.20,1447.85,1452.65,489591,7063.59,32716,
2020-01-20,PIDILITIND,EQ,1450.00,1465.00,1438.20,1440.40,1447.85,326309,4736.41,14837,
2020-01-21,PIDILITIND,EQ,1439.25,1440.00,1412.50,1414.75,1440.40,235201,3342.89,17207,
2020-01-22,PIDILITIND,EQ,1423.65,1444.95,1418.80,1428.55,1414.75,348810,4995.98,19706,
2020-01-23,PIDILITIND,EQ,1429.05,1447.00,1420.00,1444.40,1428.55,208565,2987.96,12531,
2020-01-24,PIDILITIND,EQ,1440.00,1461.50,1436.10,1457.60,1444.40,501998,7273.28,19480,
2020-01-27,PIDILITIND,EQ,1458.20,1481.70,1451.00,1476.70,1457.60,767088,11295.32,21636,
2020-01-28,PIDILITIND,EQ,1474.00,1479.10,1452.10,1461.60,1476.70,306007,4492.97,24350,
