date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,PNB,EQ,64.50,65.05,63.95,64.70,64.35,8568946,5524.66,21453,
2020-01-02,PNB,EQ,65.00,67.00,64.55,66.70,64.70,26059066,17239.48,51834,
2020-01-03,PNB,EQ,66.55,66.55,64.60,65.05,66.70,14906983,9758.59,31813,
2020-01-06,PNB,EQ,64.90,64.90,61.00,61.40,65.05,24078755,14918.27,52853,
2020-01-07,PNB,EQ,62.10,63.10,61.00,61.85,61.40,20436567,12669.15,40468,
2020-01-08,PNB,EQ,61.00,61.60,60.15,60.85,61.85,22182671,13489.75,40889,
2020-01-09,PNB,EQ,62.30,63.00,61.80,62.60,60.85,18885640,11787.63,40649,
2020-01-10,PNB,EQ,62.95,63.85,62.05,62.45,62.60,17939103,11286.41,42075,
2020-01-13,PNB,EQ,62.75,63.35,62.60,63.20,62.45,13131132,8275.67,25960,
2020-01-14,PNB,EQ,63.20,64.10,62.40,62.80,63.20,13837799,8743.61,31878,
2020-01-15,PNB,EQ,62.85,63.70,61.90,63.40,62.80,13919689,8754.55,27662,
2020-01-16,PNB,EQ,63.40,63.95,62.75,63.35,63.40,12146474,7698.79,23445,
2020-01-17,PNB,EQ,62.90,63.90,61.30,63.25,63.35,18351080,11550.15,30827,
2020-01-20,PNB,EQ,64.10,64.10,61.35,61.60,63.25,16226531,10085.57,34538,
2020-01-21,PNB,EQ,61.55,62.30,61.25,61.45,61.60,13678963,8444.48,26169,
2020-01-22,PNB,EQ,62.10,62.20,60.65,61.00,61.45,15241802,9325.85,28743,
2020-01-23,PNB,EQ,61.05,62.35,61.00,61.80,61.00,14136138,8725.66,25034,
2020-01-24,PNB,EQ,61.75,62.80,61.65,62.35,61.80,10845058,6758.12,20725,
2020-01-27,PNB,EQ,61.95,62.25,61.10,61.35,62.35,11436816,7060.53,20346,
2020-01-28,PNB,EQ,61.50,61.80,60.25,60.50,61.35,12294470,7519.17,25800,
2020-01-29,PNB,EQ,61.10,61.50,60.80,60.95,60.50,11064733,6764.97,19326,
2020-01-30,PNB,EQ,61.10,61.25,59.65,59.95,60.95,13591961,8187.54,29591,
2020-01-31,PNB,EQ,60.35,61.20,59.80,60.45,59.95,15449355,9344.79,26621,
2020-02-03,PNB,EQ,58.80,59.15,57.10,57.35,59.00,18930405,10954.99,40897,
2020-02-04,PNB,EQ,57.90,58.95,56.30,56.80,57.35,48174279,27814.87,84745,
2020-02-05,PNB,EQ,56.25,57.30,56.10,56.90,56.80,23905101,13555.40,39439,
2020-02-06,PNB,EQ,57.35,59.30,56.90,58.65,56.90,26534154,15431.21,44369,
2020-02-07,PNB,EQ,58.80,59.40,58.15,58.80,58.65,14094876,8300.80,26479,
2020-02-10,PNB,EQ,58.75,58.90,56.95,57.25,58.80,12866342,7418.39,26197,
2020-02-11,PNB,EQ,57.75,58.00,56.75,56.95,57.25,10942526,6273.08,23311,
2020-02-12,PNB,EQ,57.45,57.45,55.15,55.50,56.95,16371273,9153.83,41796,
2020-02-13,PNB,EQ,55.90,56.20,55.00,55.40,55.50,12379436,6875.35,24110,
2020-02-14,PNB,EQ,55.70,56.05,54.00,54.20,55.40,15654307,8587.71,30913,
2020-02-17,PNB,EQ,54.10,54.35,51.65,51.95,54.20,18893364,9930.31,35266,
2020-02-18,PNB,EQ,51.90,52.50,49.90,52.00,51.95,22621843,11554.10,42912,
2020-02-19,PNB,EQ,52.50,53.10,51.70,52.70,52.00,13554123,7107.20,25154,
2020-02-20,PNB,EQ,52.50,53.70,52.05,52.85,52.70,14961174,7925.75,27584,
2020-02-24,PNB,EQ,51.85,51.85,50.10,50.35,52.85,20135592,10266.87,37219,
2020-02-25,PNB,EQ,50.40,50.70,49.75,49.90,50.35,15899668,7982.09,32202,
2020-02-26,PNB,EQ,49.45,50.10,49.00,49.15,49.90,18056503,8939.99,29745,
2020-02-27,PNB,EQ,49.10,49.30,46.80,46.95,49.15,26564325,12637.44,50089,
2020-02-28,PNB,EQ,45.25,46.35,44.30,45.05,46.95,28222955,12798.08,50197,
2020-03-02,PNB,EQ,46.30,46.60,42.10,42.75,45.05,24375256,10889.11,45856,
2020-03-03,PNB,EQ,42.75,45.00,42.75,44.50,42.75,30389904,13286.79,43302,
2020-03-04,PNB,EQ,44.75,44.95,43.05,44.45,44.50,24911682,10961.96,38934,
2020-03-05,PNB,EQ,44.50,45.95,42.70,45.00,44.45,29076191,12989.40,49993,
2020-03-06,PNB,EQ,41.65,43.20,40.95,42.35,45.00,23178204,9842.16,41977,
2020-03-09,PNB,EQ,41.15,41.50,39.35,39.75,42.35,23193524,9398.92,45038,
2020-03-11,PNB,EQ,39.75,40.65,37.90,38.45,39.75,29800139,11763.44,55177,
2020-03-12,PNB,EQ,35.35,36.30,33.10,33.75,38.45,45672411,15876.82,76464,
2020-03-13,PNB,EQ,31.20,38.15,28.05,37.40,33.75,46283334,15964.79,92823,
2020-03-16,PNB,EQ,36.00,36.40,34.55,35.80,37.40,26751298,9543.39,49150,
2020-03-17,PNB,EQ,36.50,37.20,34.95,35.30,35.80,28305769,10228.76,51097,
2020-03-18,PNB,EQ,36.00,39.25,33.90,36.75,35.30,41813232,14816.98,58655,
2020-03-19,PNB,EQ,35.00,39.40,34.30,37.20,36.75,38506335,14332.11,75460,
2020-03-20,PNB,EQ,37.50,39.00,36.70,38.05,37.20,34439688,13041.95,62555,
2020-03-23,PNB,EQ,35.95,37.50,34.70,35.40,38.05,18562614,6694.68,43794,
2020-03-24,PNB,EQ,37.00,37.50,35.40,36.30,35.40,26937850,9825.62,45547,
2020-03-25,PNB,EQ,36.00,36.35,33.15,34.30,36.30,24608412,8429.20,52032,
2020-03-26,PNB,EQ,34.55,35.80,33.20,33.40,34.30,29588273,10129.24,74241,
2020-03-27,PNB,EQ,34.50,35.95,33.25,33.45,33.40,30682531,10559.80,61785,
2020-03-30,PNB,EQ,33.40,33.90,32.35,32.90,33.45,16723656,5541.49,38635,
2020-03-31,PNB,EQ,33.70,33.70,32.20,32.35,32.90,18298389,5978.06,43264,
2020-04-01,PNB,EQ,32.50,32.50,30.25,30.45,32.35,26646151,8219.54,72350,
2020-04-03,PNB,EQ,30.50,30.70,29.25,29.65,30.45,20697301,6124.83,52977,
2020-04-07,PNB,EQ,30.50,30.50,29.65,30.05,29.65,21962474,6582.19,41628,
2020-04-08,PNB,EQ,29.90,31.60,29.40,30.50,30.05,29666254,9104.04,48745,
2020-04-09,PNB,EQ,30.70,31.90,30.60,31.40,30.50,23014346,7175.23,43925,
2020-04-13,PNB,EQ,31.75,31.75,30.30,31.35,31.40,16584316,5136.00,30506,
2020-04-15,PNB,EQ,31.55,32.60,30.60,31.10,31.35,22095563,7014.47,44456,
2020-04-16,PNB,EQ,31.10,31.50,30.55,31.05,31.10,19994398,6213.45,40554,
2020-04-17,PNB,EQ,32.25,32.75,31.00,31.80,31.05,28208948,8934.27,45690,
2020-04-20,PNB,EQ,32.10,33.90,31.40,32.85,31.80,41211953,13544.31,68001,
2020-04-21,PNB,EQ,32.30,32.35,30.95,31.10,32.85,21858220,6877.16,40092,
2020-04-22,PNB,EQ,31.00,31.25,30.20,31.10,31.10,18793922,5791.18,30838,
2020-04-23,PNB,EQ,31.50,31.75,31.00,31.20,31.10,19393369,6083.69,30595,
2020-04-24,PNB,EQ,30.70,31.10,30.15,30.20,31.20,14351047,4392.01,27294,
2020-04-27,PNB,EQ,30.40,30.90,30.30,30.75,30.20,11950763,3655.59,21737,
2020-04-28,PNB,EQ,30.80,31.35,30.70,31.25,30.75,11780170,3665.30,20413,
2020-04-29,PNB,EQ,31.30,32.50,31.10,32.30,31.25,18719199,5983.97,33890,
2020-04-30,PNB,EQ,32.70,33.70,32.10,32.30,32.30,31467001,10347.17,57094,
2020-05-04,PNB,EQ,30.90,31.10,29.90,30.15,32.30,21841848,6641.04,40010,
2020-05-05,PNB,EQ,30.50,30.75,29.05,29.20,30.15,19121806,5721.53,37420,
2020-05-06,PNB,EQ,29.20,29.60,28.50,29.35,29.20,18005225,5238.45,33415,
2020-05-07,PNB,EQ,29.15,30.25,28.90,29.70,29.35,14841128,4417.27,28936,
2020-05-08,PNB,EQ,29.85,30.20,29.05,29.20,29.70,14358405,4252.11,25415,
2020-05-11,PNB,EQ,29.40,29.50,28.70,28.80,29.20,16325208,4737.49,26633,
2020-05-12,PNB,EQ,28.50,29.20,27.90,28.70,28.80,21778060,6184.06,37967,
2020-05-13,PNB,EQ,30.30,31.00,29.45,30.60,28.70,38941649,11806.20,52744,
2020-05-14,PNB,EQ,30.15,30.55,29.10,29.30,30.60,22669990,6767.20,36716,
2020-05-15,PNB,EQ,29.30,29.60,28.60,28.80,29.30,18837162,5468.37,31092,
2020-05-18,PNB,EQ,28.90,28.95,26.75,27.35,28.80,28520480,7839.19,56142,
2020-05-19,PNB,EQ,27.60,27.75,26.50,26.60,27.35,25290958,6846.43,47970,
2020-05-20,PNB,EQ,26.60,26.90,26.30,26.60,26.60,17212634,4587.36,29716,
2020-05-21,PNB,EQ,26.60,27.65,26.30,27.00,26.60,26590285,7231.99,46001,
2020-05-22,PNB,EQ,26.70,27.65,26.40,26.65,27.00,27657300,7451.00,45017,
