date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,POWERGRID,EQ,190.55,195.90,190.25,195.50,190.25,7661462,14846.13,27168,
2020-01-02,POWERGRID,EQ,195.55,196.70,194.35,195.10,195.50,3191453,6227.97,26046,
2020-01-03,POWERGRID,EQ,194.25,194.80,191.25,193.00,195.10,4139027,7989.38,38139,
2020-01-06,POWERGRID,EQ,192.00,193.95,188.00,193.10,193.00,4137352,7911.03,59715,
2020-01-07,POWERGRID,EQ,193.15,194.50,191.15,191.70,193.10,7888340,15216.03,36312,
2020-01-08,POWERGRID,EQ,190.30,190.95,188.85,190.55,191.70,5316615,10100.57,29676,
2020-01-09,POWERGRID,EQ,191.95,193.40,191.15,192.95,190.55,4339607,8355.04,43492,
2020-01-10,POWERGRID,EQ,193.70,193.70,191.00,192.15,192.95,2316735,4456.03,22092,
2020-01-13,POWERGRID,EQ,192.40,195.00,191.80,194.80,192.15,15571488,30157.06,31280,
2020-01-14,POWERGRID,EQ,194.80,196.35,194.25,195.25,194.80,3371803,6580.91,35338,
2020-01-15,POWERGRID,EQ,195.40,195.80,192.90,194.25,195.25,4001958,7767.02,28478,
2020-01-16,POWERGRID,EQ,194.10,197.70,194.10,196.45,194.25,4810695,9457.11,31171,
2020-01-17,POWERGRID,EQ,195.95,197.85,193.65,197.40,196.45,2642843,5189.93,29672,
2020-01-20,POWERGRID,EQ,204.40,211.00,203.25,204.65,197.40,27752535,57033.80,162397,
2020-01-21,POWERGRID,EQ,203.65,204.30,199.00,200.60,204.65,9722202,19590.73,96666,
2020-01-22,POWERGRID,EQ,200.50,202.35,193.05,200.05,200.60,31942726,63585.10,125793,
2020-01-23,POWERGRID,EQ,196.75,207.40,193.90,201.95,200.05,127158366,256388.71,166985,
2020-01-24,POWERGRID,EQ,196.45,198.15,194.25,196.95,201.95,9085322,17859.89,72650,
2020-01-27,POWERGRID,EQ,196.40,196.45,192.30,193.00,196.95,4620331,8974.47,76355,
2020-01-28,POWERGRID,EQ,193.00,193.00,189.10,190.45,193.00,5160700,9836.42,65371,
2020-01-29,POWERGRID,EQ,190.45,193.80,189.25,192.40,190.45,9900054,18995.86,71608,
2020-01-30,POWERGRID,EQ,192.40,195.25,191.40,194.40,192.40,14842148,28794.83,69866,
2020-01-31,POWERGRID,EQ,195.30,195.50,185.10,186.85,194.40,35992338,67476.00,161904,
2020-02-03,POWERGRID,EQ,180.90,189.00,177.45,187.35,182.40,9185232,16931.96,62147,
2020-02-04,POWERGRID,EQ,188.35,195.30,188.00,194.35,187.35,7991654,15311.60,47585,
2020-02-05,POWERGRID,EQ,194.10,195.70,188.00,189.35,194.35,8184571,15760.37,77848,
2020-02-06,POWERGRID,EQ,189.95,193.75,188.65,192.90,189.35,5161300,9911.36,58008,
2020-02-07,POWERGRID,EQ,192.80,192.80,188.55,190.40,192.90,10157885,19301.28,78987,
2020-02-10,POWERGRID,EQ,190.70,191.10,184.75,186.60,190.40,17140398,32199.30,82901,
2020-02-11,POWERGRID,EQ,188.50,191.20,188.10,189.50,186.60,18256826,34639.81,139891,
2020-02-12,POWERGRID,EQ,190.05,191.90,188.55,189.35,189.50,9217663,17504.16,42903,
2020-02-13,POWERGRID,EQ,188.80,191.15,187.70,190.55,189.35,10451879,19849.12,50545,
2020-02-14,POWERGRID,EQ,190.50,191.40,183.40,184.10,190.55,13404733,25071.35,93433,
2020-02-17,POWERGRID,EQ,185.00,185.80,180.55,183.60,184.10,9939542,18209.66,91130,
2020-02-18,POWERGRID,EQ,182.60,186.35,180.85,185.00,183.60,17369937,31799.83,79557,
2020-02-19,POWERGRID,EQ,186.00,187.95,183.00,187.50,185.00,12551481,23278.00,61429,
2020-02-20,POWERGRID,EQ,187.50,190.70,185.90,189.25,187.50,14573061,27354.32,77993,
2020-02-24,POWERGRID,EQ,189.00,189.20,185.05,186.10,189.25,8393319,15627.24,57387,
2020-02-25,POWERGRID,EQ,186.10,187.70,185.35,186.15,186.10,10016681,18655.59,61854,
2020-02-26,POWERGRID,EQ,185.00,188.40,183.95,185.85,186.15,9626434,17938.34,48232,
2020-02-27,POWERGRID,EQ,185.10,187.70,181.30,186.45,185.85,16015530,29519.74,53137,
2020-02-28,POWERGRID,EQ,183.45,185.30,179.15,181.50,186.45,15756175,28692.15,68419,
2020-03-02,POWERGRID,EQ,183.75,187.20,181.75,183.50,181.50,10991263,20321.53,51460,
2020-03-03,POWERGRID,EQ,183.80,194.70,182.05,191.70,183.50,9022112,16970.51,36781,
2020-03-04,POWERGRID,EQ,190.70,198.00,188.55,197.05,191.70,9528328,18534.44,77004,
2020-03-05,POWERGRID,EQ,196.05,199.55,194.55,195.95,197.05,5464838,10776.59,44139,
2020-03-06,POWERGRID,EQ,190.50,192.60,188.15,190.60,195.95,8084242,15444.59,58682,
2020-03-09,POWERGRID,EQ,184.90,188.60,177.95,180.95,190.60,39155287,71122.64,168813,
2020-03-11,POWERGRID,EQ,179.50,183.90,177.25,181.40,180.95,23965094,43369.25,106763,
2020-03-12,POWERGRID,EQ,176.20,177.90,164.75,166.10,181.40,32861488,56117.50,141595,
2020-03-13,POWERGRID,EQ,162.80,172.60,149.50,167.90,166.10,25097373,41798.03,178521,
2020-03-16,POWERGRID,EQ,162.40,162.90,155.00,157.95,167.90,22313960,35099.71,80171,
2020-03-17,POWERGRID,EQ,156.55,170.35,155.75,162.00,157.95,19946876,32892.28,98486,
2020-03-18,POWERGRID,EQ,164.00,164.90,122.15,144.15,162.00,67448864,98724.84,125525,
2020-03-19,POWERGRID,EQ,145.40,151.90,140.10,147.15,144.15,24772387,36650.86,181433,
