date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,RECLTD,EQ,143.30,144.30,141.55,143.95,143.10,2167762,3107.01,8670,
2020-01-02,RECLTD,EQ,143.95,145.90,143.50,145.45,143.95,2583542,3742.51,11728,
2020-01-03,RECLTD,EQ,145.00,145.95,142.30,143.00,145.45,2935857,4234.50,15960,
2020-01-06,RECLTD,EQ,142.00,143.45,137.85,138.90,143.00,2792187,3904.95,12937,
2020-01-07,RECLTD,EQ,140.10,143.90,138.70,140.75,138.90,4001830,5649.07,17097,
2020-01-08,RECLTD,EQ,139.10,140.50,136.70,138.60,140.75,2563520,3546.87,14637,
2020-01-09,RECLTD,EQ,139.85,143.05,139.85,142.45,138.60,2482089,3523.23,18648,
2020-01-10,RECLTD,EQ,143.00,144.65,141.45,142.25,142.45,3576906,5127.67,23095,
2020-01-13,RECLTD,EQ,143.05,144.40,141.60,143.40,142.25,4004187,5742.97,26692,
2020-01-14,RECLTD,EQ,144.00,144.35,141.65,142.25,143.40,3155584,4497.87,25306,
2020-01-15,RECLTD,EQ,142.00,143.00,138.95,142.40,142.25,4511802,6363.12,35684,
2020-01-16,RECLTD,EQ,142.45,143.50,139.35,141.05,142.40,3325574,4687.55,26063,
2020-01-17,RECLTD,EQ,140.85,142.00,139.35,141.00,141.05,2451173,3448.85,10455,
2020-01-20,RECLTD,EQ,140.80,140.80,136.70,137.20,141.00,3292453,4556.42,18670,
2020-01-21,RECLTD,EQ,136.00,138.00,134.05,134.40,137.20,3093908,4194.55,24692,
2020-01-22,RECLTD,EQ,135.40,136.20,129.70,135.60,134.40,7072357,9458.06,34523,
2020-01-23,RECLTD,EQ,135.80,139.80,135.00,138.90,135.60,4489040,6214.05,38984,
2020-01-24,RECLTD,EQ,139.00,142.50,138.10,141.45,138.90,4240695,5967.45,27888,
2020-01-27,RECLTD,EQ,140.85,146.20,140.60,144.10,141.45,5315986,7674.91,35730,
2020-01-28,RECLTD,EQ,144.20,146.20,141.40,144.95,144.10,5133891,7419.47,35077,
2020-01-29,RECLTD,EQ,145.20,147.90,144.95,147.05,144.95,5045914,7408.95,34480,
2020-01-30,RECLTD,EQ,147.60,148.80,145.65,148.00,147.05,5141952,7584.11,31201,
2020-01-31,RECLTD,EQ,149.00,149.30,142.35,143.70,148.00,7038131,10167.70,38528,
2020-02-03,RECLTD,EQ,139.15,140.90,136.10,137.80,139.45,4675718,6447.11,41920,
2020-02-04,RECLTD,EQ,138.30,142.80,138.30,142.25,137.80,4438540,6235.51,32813,
2020-02-05,RECLTD,EQ,147.40,153.50,143.20,150.95,142.25,21946001,32614.10,100219,
2020-02-06,RECLTD,EQ,152.45,153.45,150.10,152.70,150.95,10317632,15676.96,68703,
2020-02-07,RECLTD,EQ,153.50,155.50,151.30,155.05,152.70,6383289,9839.84,30612,
2020-02-10,RECLTD,EQ,156.00,156.50,151.60,153.85,155.05,11649905,17963.04,47763,
2020-02-11,RECLTD,EQ,143.35,145.50,141.25,141.90,153.85,10446716,14922.37,38386,
2020-02-12,RECLTD,EQ,141.45,142.75,138.55,141.90,141.90,8401358,11820.35,42750,
2020-02-13,RECLTD,EQ,141.55,142.30,139.90,140.70,141.90,2981828,4201.53,16740,
2020-02-14,RECLTD,EQ,141.00,143.85,139.00,139.65,140.70,4201941,5954.27,26078,
2020-02-17,RECLTD,EQ,139.85,141.30,137.70,138.10,139.65,2521778,3515.08,13123,
2020-02-18,RECLTD,EQ,137.70,137.70,134.10,136.95,138.10,3213852,4369.70,17436,
2020-02-19,RECLTD,EQ,137.35,138.75,136.30,137.20,136.95,2009183,2762.65,11020,
2020-02-20,RECLTD,EQ,136.90,141.40,136.25,139.95,137.20,3709506,5180.38,23226,
2020-02-24,RECLTD,EQ,138.35,141.05,135.90,136.20,139.95,3343427,4635.28,17037,
2020-02-25,RECLTD,EQ,136.50,137.00,133.30,133.85,136.20,2649744,3566.70,14068,
2020-02-26,RECLTD,EQ,132.50,133.75,129.30,129.75,133.85,3882682,5106.07,18776,
2020-02-27,RECLTD,EQ,129.75,130.35,125.45,126.30,129.75,4367685,5574.85,19396,
2020-02-28,RECLTD,EQ,123.50,123.60,116.70,117.80,126.30,9759707,11629.33,35935,
2020-03-02,RECLTD,EQ,120.95,124.60,116.10,117.75,117.80,7721326,9384.07,27938,
2020-03-03,RECLTD,EQ,119.70,121.40,116.45,119.75,117.75,7462420,8898.54,22007,
2020-03-04,RECLTD,EQ,120.65,120.65,115.10,117.35,119.75,6385935,7493.65,20571,
2020-03-05,RECLTD,EQ,118.00,121.20,117.35,118.35,117.35,7267568,8650.50,26193,
2020-03-06,RECLTD,EQ,115.50,117.30,113.00,115.30,118.35,6172027,7121.14,24146,
2020-03-09,RECLTD,EQ,113.20,113.50,106.10,107.60,115.30,4759561,5199.13,36568,
2020-03-11,RECLTD,EQ,107.60,109.30,104.30,104.85,107.60,5174471,5520.70,39384,
2020-03-12,RECLTD,EQ,100.00,100.00,91.25,93.10,104.85,14909257,13969.19,54272,
2020-03-13,RECLTD,EQ,85.60,101.60,84.00,100.85,93.10,11772993,11216.10,69716,
2020-03-16,RECLTD,EQ,96.00,98.85,93.85,94.65,100.85,5774507,5542.34,35356,
2020-03-17,RECLTD,EQ,94.85,99.75,92.15,93.00,94.65,6008597,5760.64,37306,
2020-03-18,RECLTD,EQ,93.75,97.80,91.75,95.90,93.00,9063674,8609.42,49378,
2020-03-19,RECLTD,EQ,91.90,93.25,83.40,89.20,95.90,12167458,10852.49,81941,
2020-03-20,RECLTD,EQ,89.75,95.20,88.90,91.65,89.20,12660932,11660.63,77987,
2020-03-23,RECLTD,EQ,86.00,100.65,80.45,81.15,91.65,5674403,4719.95,44223,
2020-03-24,RECLTD,EQ,82.05,84.90,79.00,81.45,81.15,7461068,6084.78,52689,
2020-03-25,RECLTD,EQ,81.50,85.75,79.65,83.90,81.45,6726192,5584.77,38419,
2020-03-26,RECLTD,EQ,84.50,90.30,78.75,87.75,83.90,12980491,10986.45,67157,
2020-03-27,RECLTD,EQ,89.60,92.60,84.00,85.00,87.75,7318439,6387.45,75460,
2020-03-30,RECLTD,EQ,83.00,87.65,80.65,85.05,85.00,5519052,4692.62,28701,
2020-03-31,RECLTD,EQ,87.00,90.05,85.35,88.75,85.05,7419218,6556.57,40422,
2020-04-01,RECLTD,EQ,88.50,91.20,86.10,86.95,88.75,4181588,3692.27,24179,
2020-04-03,RECLTD,EQ,88.20,88.20,84.65,85.05,86.95,3514917,3021.12,27682,
2020-04-07,RECLTD,EQ,88.00,88.40,84.50,87.00,85.05,6607394,5709.13,38178,
2020-04-08,RECLTD,EQ,87.00,91.65,86.05,87.60,87.00,8505137,7521.24,37589,
2020-04-09,RECLTD,EQ,88.80,90.20,87.05,89.00,87.60,6519764,5765.25,33446,
2020-04-13,RECLTD,EQ,89.00,90.20,85.60,87.90,89.00,5007470,4379.91,17442,
2020-04-15,RECLTD,EQ,89.20,93.45,87.70,90.35,87.90,7956615,7240.18,46010,
2020-04-16,RECLTD,EQ,89.25,92.10,88.15,91.00,90.35,4769706,4327.09,25066,
2020-04-17,RECLTD,EQ,93.50,99.00,92.50,95.50,91.00,9916819,9490.79,45710,
2020-04-20,RECLTD,EQ,96.90,98.15,93.60,94.50,95.50,6325077,6064.77,35465,
2020-04-21,RECLTD,EQ,92.50,92.85,89.55,91.45,94.50,4756372,4326.94,19790,
2020-04-22,RECLTD,EQ,91.00,91.15,89.00,90.35,91.45,5305129,4771.30,21336,
2020-04-23,RECLTD,EQ,91.00,93.65,90.50,91.85,90.35,4163394,3845.68,20206,
2020-04-24,RECLTD,EQ,90.65,93.40,89.10,89.35,91.85,6035521,5464.98,27387,
2020-04-27,RECLTD,EQ,90.35,91.05,88.35,88.80,89.35,5469961,4882.06,23117,
2020-04-28,RECLTD,EQ,89.90,90.30,88.80,89.10,88.80,4255540,3806.66,21971,
2020-04-29,RECLTD,EQ,91.00,94.30,90.25,93.25,89.10,9965088,9273.40,43622,
2020-04-30,RECLTD,EQ,94.65,96.25,93.25,95.55,93.25,8638236,8227.97,52964,
2020-05-04,RECLTD,EQ,92.95,92.95,89.00,90.05,95.55,12501967,11290.86,46884,
2020-05-05,RECLTD,EQ,90.95,92.35,89.75,90.15,90.05,4627874,4199.79,19247,
2020-05-06,RECLTD,EQ,90.30,91.75,88.50,91.50,90.15,7115819,6439.41,31335,
2020-05-07,RECLTD,EQ,90.60,92.85,90.15,91.60,91.50,5730943,5260.97,25905,
2020-05-08,RECLTD,EQ,92.80,92.80,86.90,87.55,91.60,5690612,5069.25,31143,
2020-05-11,RECLTD,EQ,88.90,91.60,88.05,89.15,87.55,6265514,5633.92,26842,
2020-05-12,RECLTD,EQ,88.50,90.55,87.25,89.45,89.15,7238441,6430.80,42996,
2020-05-13,RECLTD,EQ,93.50,102.50,91.90,100.60,89.45,27687572,27346.76,104359,
2020-05-14,RECLTD,EQ,101.00,104.80,98.05,99.85,100.60,28165688,28241.78,114106,
2020-05-15,RECLTD,EQ,99.65,102.35,97.30,97.90,99.85,10401039,10352.67,44779,
2020-05-18,RECLTD,EQ,98.00,98.55,90.00,90.55,97.90,10856572,10045.46,64998,
2020-05-19,RECLTD,EQ,92.35,92.95,86.90,87.35,90.55,9640895,8573.56,40521,
2020-05-20,RECLTD,EQ,87.75,88.80,86.70,87.60,87.35,4667708,4102.64,24913,
2020-05-21,RECLTD,EQ,88.00,89.15,87.40,88.75,87.60,5156147,4561.05,23668,
2020-05-22,RECLTD,EQ,88.70,89.30,85.50,85.90,88.75,7375680,6415.00,31288,
2020-05-26,RECLTD,EQ,85.05,86.35,83.65,84.20,85.90,6193573,5234.29,30684,
2020-05-27,RECLTD,EQ,85.00,86.60,84.15,86.25,84.20,6261881,5356.40,29391,
2020-05-28,RECLTD,EQ,86.85,88.95,85.50,87.90,86.25,6795100,5974.83,26544,
2020-05-29,RECLTD,EQ,87.00,91.60,86.35,88.55,87.90,15130918,13473.29,41274,
2020-06-01,RECLTD,EQ,90.50,95.15,89.80,93.85,88.55,8554668,7988.05,40632,
2020-06-02,RECLTD,EQ,93.80,96.15,93.10,94.30,93.85,4887903,4622.22,26453,
2020-06-03,RECLTD,EQ,95.40,97.50,93.00,93.40,94.30,7486166,7139.16,50297,
2020-06-04,RECLTD,EQ,94.00,95.75,92.45,93.50,93.40,5281419,4973.84,31488,
2020-06-05,RECLTD,EQ,94.05,102.00,94.05,99.80,93.50,16205495,16098.69,79974,
2020-06-08,RECLTD,EQ,101.45,104.40,99.40,101.35,99.80,11178605,11370.82,47199,
2020-06-09,RECLTD,EQ,101.95,102.65,96.10,96.80,101.35,26992337,27249.49,43314,
2020-06-10,RECLTD,EQ,98.80,101.50,97.60,100.90,96.80,15089058,15016.37,64337,
2020-06-11,RECLTD,EQ,101.00,106.20,99.70,101.80,100.90,15414298,15895.69,74390,
2020-06-12,RECLTD,EQ,96.15,107.00,96.00,106.05,101.80,17032691,17557.95,62537,
2020-06-15,RECLTD,EQ,105.90,107.60,103.70,104.70,106.05,9470133,9953.53,41076,
2020-06-16,RECLTD,EQ,106.40,110.45,105.80,107.45,104.70,19734264,21327.87,82274,
2020-06-17,RECLTD,EQ,107.40,109.75,105.50,106.05,107.45,15811054,17017.24,75963,
2020-06-18,RECLTD,EQ,104.00,107.90,102.15,107.20,106.05,15667389,16404.63,66311,
