date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,SBILIFE,EQ,965.00,980.00,961.60,976.40,961.60,349251,3391.83,12529,
2020-01-02,SBILIFE,EQ,975.70,975.70,966.00,969.35,976.40,335765,3254.27,19727,
2020-01-03,SBILIFE,EQ,970.00,982.80,969.00,975.10,969.35,451217,4399.49,30280,
2020-01-06,SBILIFE,EQ,966.10,1003.10,958.00,983.10,975.10,895840,8804.90,47128,
2020-01-07,SBILIFE,EQ,990.00,1003.00,980.00,984.90,983.10,570304,5646.14,41261,
2020-01-08,SBILIFE,EQ,978.00,992.30,975.20,987.75,984.90,368547,3626.55,30370,
2020-01-09,SBILIFE,EQ,996.80,998.00,979.75,988.50,987.75,614382,6075.79,38413,
2020-01-10,SBILIFE,EQ,989.00,997.00,983.30,989.00,988.50,351231,3476.44,21548,
2020-01-13,SBILIFE,EQ,993.00,997.95,980.00,989.85,989.00,332236,3282.74,22764,
2020-01-14,SBILIFE,EQ,993.00,994.00,984.00,987.80,989.85,369532,3653.83,34353,
2020-01-15,SBILIFE,EQ,988.00,1002.00,981.00,998.15,987.80,533340,5296.31,26025,
2020-01-16,SBILIFE,EQ,1000.00,1003.00,992.00,999.90,998.15,465355,4648.29,34429,
2020-01-17,SBILIFE,EQ,999.80,1009.80,985.25,996.35,999.90,372188,3706.08,25450,
2020-01-20,SBILIFE,EQ,1000.00,1001.00,975.50,981.50,996.35,341082,3365.50,27166,
2020-01-21,SBILIFE,EQ,980.00,987.00,970.20,972.75,981.50,355550,3464.02,35107,
2020-01-22,SBILIFE,EQ,980.00,992.60,972.00,981.70,972.75,1299987,12776.59,51797,
2020-01-23,SBILIFE,EQ,985.40,1004.00,980.20,985.95,981.70,1151390,11408.09,36265,
2020-01-24,SBILIFE,EQ,986.00,1020.00,977.00,999.80,985.95,1388247,13887.42,55074,
2020-01-27,SBILIFE,EQ,999.80,1014.70,987.35,992.15,999.80,740311,7424.42,25400,
2020-01-28,SBILIFE,EQ,993.00,1007.00,975.75,987.85,992.15,578382,5761.51,36769,
