date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,SBIN,EQ,334.70,335.95,332.15,334.45,333.75,17379320,58051.30,99108,
2020-01-02,SBIN,EQ,334.50,339.85,333.35,339.30,334.45,20324236,68453.41,123189,
2020-01-03,SBIN,EQ,337.95,337.95,332.00,333.70,339.30,21853208,73226.00,139793,
2020-01-06,SBIN,EQ,331.70,331.70,317.70,319.00,333.70,35645325,114788.24,280646,
2020-01-07,SBIN,EQ,324.45,327.00,315.40,318.40,319.00,50966826,163286.77,310782,
2020-01-08,SBIN,EQ,312.10,321.50,311.00,319.80,318.40,44527485,140652.53,259968,
2020-01-09,SBIN,EQ,326.90,331.40,325.00,330.20,319.80,40348407,132576.20,255624,
2020-01-10,SBIN,EQ,331.00,337.95,328.10,332.25,330.20,42377838,141386.20,247022,
2020-01-13,SBIN,EQ,334.00,335.45,329.05,330.75,332.25,23615129,78338.51,156310,
2020-01-14,SBIN,EQ,329.80,331.70,326.50,328.00,330.75,26296117,86390.35,170473,
2020-01-15,SBIN,EQ,329.00,329.20,322.35,324.25,328.00,32625740,105805.38,243663,
2020-01-16,SBIN,EQ,324.00,326.90,322.35,323.30,324.25,26653623,86486.58,182806,
2020-01-17,SBIN,EQ,313.00,323.50,310.10,318.00,323.30,58396326,185639.73,290272,
2020-01-20,SBIN,EQ,321.00,321.45,313.40,314.00,318.00,30682902,96932.33,194552,
2020-01-21,SBIN,EQ,313.80,316.95,312.00,313.70,314.00,30591772,96158.57,195704,
2020-01-22,SBIN,EQ,317.00,317.00,313.70,316.15,313.70,24994911,78809.72,154068,
2020-01-23,SBIN,EQ,316.00,324.80,314.15,323.20,316.15,33293610,106621.80,227748,
2020-01-24,SBIN,EQ,323.50,327.30,321.15,324.05,323.20,22706879,73832.47,146667,
2020-01-27,SBIN,EQ,320.90,322.00,315.80,316.20,324.05,23309355,74315.58,148768,
2020-01-28,SBIN,EQ,317.95,320.00,311.05,315.10,316.20,26488426,83880.15,173879,
2020-01-29,SBIN,EQ,317.85,319.70,315.55,316.45,315.10,23914114,75987.04,143297,
2020-01-30,SBIN,EQ,316.75,316.75,305.65,310.70,316.45,35802330,111410.18,227687,
2020-01-31,SBIN,EQ,313.70,321.70,308.60,318.45,310.70,92656638,293026.66,457787,
2020-02-03,SBIN,EQ,303.00,306.85,295.35,298.10,302.60,56060158,168529.47,340547,
2020-02-04,SBIN,EQ,302.90,307.55,297.10,306.25,298.10,51141567,155146.79,275826,
2020-02-05,SBIN,EQ,306.90,313.65,304.60,311.00,306.25,35014841,108227.83,193574,
2020-02-06,SBIN,EQ,311.20,323.50,310.10,321.95,311.00,57757656,183729.62,307485,
2020-02-07,SBIN,EQ,321.50,325.00,318.40,320.55,321.95,37126803,119548.81,206969,
2020-02-10,SBIN,EQ,319.80,322.80,316.50,318.50,320.55,24816396,79114.07,152107,
2020-02-11,SBIN,EQ,321.05,325.80,321.05,324.35,318.50,30188757,97643.53,203738,
2020-02-12,SBIN,EQ,329.90,329.90,319.25,320.20,324.35,38930849,126060.03,212834,
2020-02-13,SBIN,EQ,322.00,330.95,322.00,327.45,320.20,62516057,204912.04,345413,
2020-02-14,SBIN,EQ,328.10,331.90,318.55,319.40,327.45,48205947,156482.52,260920,
2020-02-17,SBIN,EQ,320.95,321.15,311.65,314.20,319.40,36950692,116349.19,244850,
2020-02-18,SBIN,EQ,315.40,319.20,309.40,317.55,314.20,38588583,120960.37,226792,
2020-02-19,SBIN,EQ,322.30,324.00,317.25,320.35,317.55,39846727,127589.63,229162,
2020-02-20,SBIN,EQ,319.35,329.20,318.75,327.65,320.35,40150409,130570.91,261607,
2020-02-24,SBIN,EQ,325.75,331.30,321.85,322.95,327.65,45273936,147925.61,268314,
2020-02-25,SBIN,EQ,325.90,328.15,322.20,326.80,322.95,39050709,127169.59,236225,
2020-02-26,SBIN,EQ,324.85,330.80,324.20,328.20,326.80,43915281,143859.43,237750,
2020-02-27,SBIN,EQ,328.00,330.00,318.00,321.95,328.20,47010040,151792.92,254847,
2020-02-28,SBIN,EQ,312.00,314.65,301.10,303.00,321.95,59705346,183944.85,332224,
2020-03-02,SBIN,EQ,311.00,312.00,284.05,287.40,303.00,66711413,200211.34,374435,
2020-03-03,SBIN,EQ,293.00,294.40,285.30,289.85,287.40,61949382,179320.87,351083,
2020-03-04,SBIN,EQ,291.80,293.00,275.10,285.30,289.85,73675736,208601.46,369109,
2020-03-05,SBIN,EQ,290.90,298.40,270.00,288.50,285.30,149245973,427099.61,705570,
2020-03-06,SBIN,EQ,268.00,274.40,253.95,270.50,288.50,106043172,285143.41,538814,
2020-03-09,SBIN,EQ,260.05,262.75,251.15,253.45,270.50,101294751,259866.12,539589,
2020-03-11,SBIN,EQ,253.00,258.50,243.10,245.10,253.45,90847179,227745.83,473850,
2020-03-12,SBIN,EQ,231.90,231.90,208.60,212.60,245.10,99770256,220145.50,582694,
2020-03-13,SBIN,EQ,200.00,248.80,184.65,242.00,212.60,155703140,353240.93,908228,
2020-03-16,SBIN,EQ,227.90,231.40,220.60,223.35,242.00,75584607,170706.06,520840,
2020-03-17,SBIN,EQ,227.20,229.90,212.05,215.15,223.35,65414721,146022.56,437283,
2020-03-18,SBIN,EQ,221.00,223.15,200.10,215.20,215.15,101405421,212360.30,627917,
2020-03-19,SBIN,EQ,202.95,219.75,198.15,203.65,215.20,93535977,194026.63,617960,
2020-03-20,SBIN,EQ,205.55,215.70,200.00,209.85,203.65,77393021,161683.44,470053,
2020-03-23,SBIN,EQ,190.00,199.50,180.25,181.60,209.85,61751758,115264.65,613264,
2020-03-24,SBIN,EQ,190.95,191.95,173.55,183.20,181.60,67492010,124137.85,512638,
2020-03-25,SBIN,EQ,178.00,195.25,176.45,189.90,183.20,71568237,132758.65,512710,
2020-03-26,SBIN,EQ,191.55,201.00,185.10,192.75,189.90,107260674,207764.14,622633,
2020-03-27,SBIN,EQ,202.00,211.90,195.00,195.95,192.75,114746995,231874.41,777296,
2020-03-30,SBIN,EQ,190.00,195.00,186.25,186.90,195.95,60083237,114614.23,438701,
2020-03-31,SBIN,EQ,192.00,198.50,188.05,196.85,186.90,59543906,115023.75,402063,
2020-04-01,SBIN,EQ,194.00,194.50,185.25,186.55,196.85,52954482,99671.50,400004,
2020-04-03,SBIN,EQ,187.55,188.20,175.00,175.50,186.55,64455937,115091.45,589657,
2020-04-07,SBIN,EQ,184.40,187.30,177.60,186.40,175.50,72133717,131466.82,486914,
2020-04-08,SBIN,EQ,182.90,194.40,180.45,183.00,186.40,80436673,150098.75,501541,
2020-04-09,SBIN,EQ,188.00,190.00,183.60,187.75,183.00,62417301,116845.32,366071,
2020-04-13,SBIN,EQ,186.80,188.70,183.10,183.50,187.75,51847574,95871.04,290728,
2020-04-15,SBIN,EQ,187.00,191.95,180.15,182.35,183.50,72190294,134845.96,434961,
2020-04-16,SBIN,EQ,182.00,189.90,180.25,188.50,182.35,61165997,113394.05,355374,
2020-04-17,SBIN,EQ,196.00,198.00,186.30,193.25,188.50,89858053,171805.20,490326,
2020-04-20,SBIN,EQ,194.00,197.35,190.05,192.50,193.25,81961666,158833.74,443580,
2020-04-21,SBIN,EQ,188.00,188.20,183.00,184.75,192.50,53043573,98368.78,312425,
2020-04-22,SBIN,EQ,185.50,189.50,181.35,188.70,184.75,61503792,114206.08,330480,
2020-04-23,SBIN,EQ,187.75,189.90,185.15,186.70,188.70,50957437,95590.73,293810,
2020-04-24,SBIN,EQ,184.00,184.00,179.00,179.75,186.70,65146846,118078.42,416448,
2020-04-27,SBIN,EQ,183.50,183.50,180.50,180.90,179.75,43003001,78216.22,228810,
2020-04-28,SBIN,EQ,182.00,185.35,181.20,184.30,180.90,49590249,90938.10,224161,
2020-04-29,SBIN,EQ,185.00,191.80,183.50,190.10,184.30,57470639,107821.98,310886,
2020-04-30,SBIN,EQ,193.50,195.90,189.70,190.50,190.10,63069460,121826.54,366664,
2020-05-04,SBIN,EQ,182.45,183.50,178.00,178.85,190.50,58122608,104589.92,488730,
2020-05-05,SBIN,EQ,181.00,181.25,168.80,170.40,178.85,91050629,158941.65,637656,
2020-05-06,SBIN,EQ,171.15,173.30,166.55,171.10,170.40,73156881,124545.44,446943,
2020-05-07,SBIN,EQ,170.85,172.55,168.80,170.75,171.10,42944139,73254.56,270188,
2020-05-08,SBIN,EQ,172.45,173.80,166.10,166.65,170.75,55935527,94622.20,387275,
2020-05-11,SBIN,EQ,167.95,168.90,165.00,165.45,166.65,54594499,90922.63,358472,
2020-05-12,SBIN,EQ,164.20,168.50,160.85,166.90,165.45,70752913,115824.74,412383,
2020-05-13,SBIN,EQ,178.55,178.55,170.50,174.10,166.90,81721884,142272.44,409330,
2020-05-14,SBIN,EQ,170.95,171.75,167.50,167.95,174.10,48137099,81523.18,277659,
2020-05-15,SBIN,EQ,167.95,168.25,164.70,166.40,167.95,35498484,58987.69,225551,
2020-05-18,SBIN,EQ,166.40,166.40,155.00,155.30,166.40,77350889,122011.69,585750,
2020-05-19,SBIN,EQ,157.50,157.85,152.40,152.80,155.30,71522983,110791.36,402913,
