date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,SHREECEM,EQ,20375.00,20489.00,20287.05,20319.90,20363.95,4879,994.28,1595,
2020-01-02,SHREECEM,EQ,20320.00,21279.90,20320.00,21232.15,20319.90,31788,6677.65,9022,
2020-01-03,SHREECEM,EQ,21200.00,21398.95,20950.00,21122.25,21232.15,19053,4029.92,5781,
2020-01-06,SHREECEM,EQ,21124.80,21219.95,20591.40,21064.40,21122.25,25717,5367.87,7823,
2020-01-07,SHREECEM,EQ,21097.15,22050.00,20951.00,21963.15,21064.40,83884,18202.25,18173,
2020-01-08,SHREECEM,EQ,21849.00,22691.65,21710.30,22441.30,21963.15,68506,15373.30,21132,
2020-01-09,SHREECEM,EQ,22521.80,22959.85,22327.25,22814.55,22441.30,40252,9108.52,14362,
2020-01-10,SHREECEM,EQ,22866.50,23409.50,22723.65,23345.40,22814.55,41458,9621.35,14521,
2020-01-13,SHREECEM,EQ,23270.00,24263.05,23227.05,23829.20,23345.40,55253,13074.63,12886,
2020-01-14,SHREECEM,EQ,23670.00,23820.20,23424.75,23560.00,23829.20,22816,5377.77,9281,
2020-01-15,SHREECEM,EQ,23670.00,23800.00,23351.50,23728.55,23560.00,24055,5673.80,10222,
2020-01-16,SHREECEM,EQ,23750.00,24100.00,23065.65,23290.85,23728.55,59132,13795.58,16656,
2020-01-17,SHREECEM,EQ,23335.00,23646.40,23205.00,23325.90,23290.85,32537,7617.89,7016,
2020-01-20,SHREECEM,EQ,23333.20,23508.80,23039.95,23133.10,23325.90,26423,6130.47,6483,
2020-01-21,SHREECEM,EQ,23160.10,23398.70,22831.55,22953.50,23133.10,29652,6831.96,6831,
2020-01-22,SHREECEM,EQ,22960.00,23299.95,22887.00,23016.70,22953.50,28102,6493.20,4761,
2020-01-23,SHREECEM,EQ,23016.70,23200.00,22911.10,23079.05,23016.70,15181,3505.53,3303,
2020-01-24,SHREECEM,EQ,23011.10,23302.00,22870.00,23134.65,23079.05,31218,7204.35,6313,
2020-01-27,SHREECEM,EQ,23099.90,23766.00,22960.15,23598.45,23134.65,35307,8310.81,8596,
2020-01-28,SHREECEM,EQ,23560.00,23990.00,23363.05,23442.00,23598.45,13422,3155.42,4608,
2020-01-29,SHREECEM,EQ,23539.10,23780.00,23206.10,23506.20,23442.00,13788,3246.40,6430,
2020-01-30,SHREECEM,EQ,23427.30,23649.00,23279.20,23485.30,23506.20,18380,4321.85,7298,
2020-01-31,SHREECEM,EQ,23627.30,23683.00,22827.65,23006.90,23485.30,26041,6039.56,9348,
2020-02-03,SHREECEM,EQ,22416.10,23354.00,22410.05,23267.50,22416.10,19173,4410.66,9124,
2020-02-04,SHREECEM,EQ,23400.00,24659.30,23303.20,24485.40,23267.50,46295,11261.10,18149,
2020-02-05,SHREECEM,EQ,24412.05,25290.00,24412.05,24893.45,24485.40,65213,16320.13,17589,
2020-02-06,SHREECEM,EQ,25048.00,25274.95,24750.25,25012.70,24893.45,35930,8991.63,7915,
2020-02-07,SHREECEM,EQ,25020.05,25355.00,24700.00,24918.15,25012.70,15201,3809.95,5195,
2020-02-10,SHREECEM,EQ,25000.00,25149.25,24820.50,24961.65,24918.15,33336,8327.90,7541,
2020-02-11,SHREECEM,EQ,25050.00,25240.45,24694.30,24813.45,24961.65,9352,2341.10,2487,
2020-02-12,SHREECEM,EQ,24981.00,25146.00,24441.00,24689.95,24813.45,15946,3940.74,4545,
2020-02-13,SHREECEM,EQ,24700.00,24893.20,24456.30,24616.10,24689.95,15155,3737.18,4921,
2020-02-14,SHREECEM,EQ,24750.00,24913.05,24178.65,24433.60,24616.10,44419,10904.01,13681,
2020-02-17,SHREECEM,EQ,24320.00,24445.50,23955.00,24028.05,24433.60,14630,3532.73,5728,
2020-02-18,SHREECEM,EQ,24000.00,24000.00,23300.75,23777.25,24028.05,39818,9404.00,16015,
2020-02-19,SHREECEM,EQ,24850.00,25199.90,24316.80,24533.25,23777.25,156489,38532.44,49054,
2020-02-20,SHREECEM,EQ,24400.00,24791.65,24270.65,24407.40,24533.25,32057,7854.68,13172,
2020-02-24,SHREECEM,EQ,24100.00,24576.10,23684.05,23831.60,24407.40,29338,7079.95,11231,
2020-02-25,SHREECEM,EQ,23831.60,23999.00,23478.05,23572.05,23831.60,38362,9063.62,15085,
2020-02-26,SHREECEM,EQ,23488.85,23597.30,23153.10,23465.15,23572.05,34970,8193.18,14500,
2020-02-27,SHREECEM,EQ,23549.00,23927.30,23136.80,23812.55,23465.15,80008,18752.30,9764,
2020-02-28,SHREECEM,EQ,23400.00,23729.00,22463.95,22670.95,23812.55,91009,20829.42,23685,
2020-03-02,SHREECEM,EQ,22810.00,23427.95,22800.35,23042.00,22670.95,58063,13433.05,17447,
2020-03-03,SHREECEM,EQ,23299.95,23844.95,23050.00,23593.15,23042.00,28737,6750.46,8348,
2020-03-04,SHREECEM,EQ,23799.00,23896.50,22801.00,23256.00,23593.15,44423,10343.40,13826,
2020-03-05,SHREECEM,EQ,23283.00,23581.30,23001.00,23066.20,23256.00,43550,10142.60,12933,
2020-03-06,SHREECEM,EQ,22799.90,23300.00,22502.00,23110.45,23066.20,34236,7841.91,14659,
2020-03-09,SHREECEM,EQ,23000.50,23000.95,21712.00,21860.15,23110.45,62959,13949.90,28657,
2020-03-11,SHREECEM,EQ,21780.00,22303.95,21578.20,21894.90,21860.15,50666,11124.17,21044,
2020-03-12,SHREECEM,EQ,21006.15,21540.00,20128.15,20273.50,21894.90,81474,16751.31,29160,
2020-03-13,SHREECEM,EQ,19100.50,21613.00,18250.50,21308.20,20273.50,65294,13479.68,23804,
2020-03-16,SHREECEM,EQ,20405.00,21388.00,18550.00,20158.05,21308.20,124718,25339.45,32239,
2020-03-17,SHREECEM,EQ,19905.05,20796.00,19350.00,20005.50,20158.05,61210,12383.07,25179,
2020-03-18,SHREECEM,EQ,20299.00,20600.00,18100.00,19293.95,20005.50,447921,86494.29,44818,
2020-03-19,SHREECEM,EQ,17990.00,19458.00,16399.90,17731.45,19293.95,130151,23729.97,44439,
2020-03-20,SHREECEM,EQ,17385.00,19186.30,17026.75,18903.65,17731.45,109691,20453.07,24894,
2020-03-23,SHREECEM,EQ,17113.00,17579.95,16068.15,16959.40,18903.65,64085,10740.57,25585,
2020-03-24,SHREECEM,EQ,17400.00,18180.05,16380.45,16980.00,16959.40,73476,12550.36,26844,
2020-03-25,SHREECEM,EQ,16800.00,17947.35,16551.45,17438.25,16980.00,43063,7388.21,19882,
2020-03-26,SHREECEM,EQ,17450.00,18050.00,17107.60,17554.05,17438.25,68024,11943.61,27006,
2020-03-27,SHREECEM,EQ,17800.00,18569.60,16836.05,17666.25,17554.05,56733,10038.96,25590,
2020-03-30,SHREECEM,EQ,17000.00,17600.00,16100.65,16935.45,17666.25,61908,10447.14,28451,
2020-03-31,SHREECEM,EQ,17274.15,17716.90,16917.00,17546.35,16935.45,51027,8888.14,21142,
2020-04-01,SHREECEM,EQ,17500.00,17546.30,16500.00,16549.65,17546.35,48939,8183.95,20274,
2020-04-03,SHREECEM,EQ,16661.20,16698.45,15410.00,15783.80,16549.65,77720,12410.99,31757,
2020-04-07,SHREECEM,EQ,16090.00,16850.00,15882.15,16634.55,15783.80,92287,15050.89,33715,
2020-04-08,SHREECEM,EQ,16351.15,17031.00,15918.80,16063.95,16634.55,122755,20080.77,48672,
2020-04-09,SHREECEM,EQ,16208.00,17010.00,16135.00,16935.30,16063.95,92986,15386.98,28940,
2020-04-13,SHREECEM,EQ,16900.00,17801.30,16222.30,17301.10,16935.30,86675,14943.94,27168,
2020-04-15,SHREECEM,EQ,17389.05,18547.20,17368.00,18138.55,17301.10,125808,22821.57,37949,
2020-04-16,SHREECEM,EQ,18050.20,19348.95,17551.25,18928.90,18138.55,112627,21055.16,30314,
2020-04-17,SHREECEM,EQ,19400.00,19731.70,18785.40,18946.75,18928.90,74780,14322.19,21802,
2020-04-20,SHREECEM,EQ,19025.00,19338.95,18931.35,18996.90,18946.75,48069,9161.88,13812,
2020-04-21,SHREECEM,EQ,18900.00,19000.00,18237.20,18828.45,18996.90,43173,8082.99,11113,
2020-04-22,SHREECEM,EQ,18838.45,19620.00,18611.95,19217.15,18828.45,70880,13472.79,18657,
2020-04-23,SHREECEM,EQ,19050.00,19175.00,18601.05,18707.75,19217.15,41913,7915.49,13355,
2020-04-24,SHREECEM,EQ,18739.00,18927.30,18382.55,18587.45,18707.75,34410,6406.33,10648,
2020-04-27,SHREECEM,EQ,18655.00,19200.00,18655.00,19021.85,18587.45,37872,7204.08,11992,
2020-04-28,SHREECEM,EQ,19080.00,19394.95,18800.05,18865.90,19021.85,29420,5626.02,8415,
2020-04-29,SHREECEM,EQ,18999.00,19250.00,18950.35,19171.45,18865.90,25467,4860.15,9257,
2020-04-30,SHREECEM,EQ,19300.00,19890.00,19118.45,19767.90,19171.45,53649,10517.13,13061,
2020-05-04,SHREECEM,EQ,19174.00,19304.65,18540.00,18625.00,19767.90,35572,6697.27,13289,
2020-05-05,SHREECEM,EQ,18675.50,18899.85,18250.00,18512.00,18625.00,43081,8004.91,13375,
2020-05-06,SHREECEM,EQ,18624.95,18930.00,18523.55,18741.90,18512.00,31793,5965.31,9242,
2020-05-07,SHREECEM,EQ,18741.90,18884.20,18041.95,18432.40,18741.90,44718,8251.58,12679,
2020-05-08,SHREECEM,EQ,18680.00,18879.45,18450.10,18732.75,18432.40,37689,7041.92,10850,
2020-05-11,SHREECEM,EQ,19099.00,19299.00,18812.75,18914.90,18732.75,86212,16425.19,21412,
2020-05-12,SHREECEM,EQ,18845.25,19232.00,18416.50,19127.20,18914.90,45808,8623.02,12101,
2020-05-13,SHREECEM,EQ,19534.95,20309.95,19442.45,19763.25,19127.20,97463,19429.40,26315,
2020-05-14,SHREECEM,EQ,19700.00,19928.85,19165.10,19310.80,19763.25,76779,14901.57,16153,
2020-05-15,SHREECEM,EQ,19509.90,19563.55,18811.50,19180.50,19310.80,52718,10055.04,16395,
2020-05-18,SHREECEM,EQ,19200.00,19239.45,18000.00,18152.70,19180.50,66740,12450.81,20829,
2020-05-19,SHREECEM,EQ,18300.00,18820.00,18075.00,18340.75,18152.70,68436,12636.98,21340,
2020-05-20,SHREECEM,EQ,18351.05,20150.45,18351.05,19411.65,18340.75,95883,18191.21,25748,
2020-05-21,SHREECEM,EQ,19156.00,19349.60,18750.00,19251.15,19411.65,83404,15910.98,24447,
2020-05-22,SHREECEM,EQ,19019.00,20079.95,18803.20,19910.25,19251.15,97537,19020.30,25921,
2020-05-26,SHREECEM,EQ,19810.10,20759.95,19700.00,20667.30,19910.25,115383,23505.30,29084,
2020-05-27,SHREECEM,EQ,20702.75,20900.00,20300.00,20477.55,20667.30,81015,16617.38,23165,
2020-05-28,SHREECEM,EQ,20649.00,21163.35,20260.80,20808.90,20477.55,77640,16015.51,21963,
2020-05-29,SHREECEM,EQ,20850.00,21049.00,20608.90,20857.30,20808.90,76672,16004.40,22038,
