date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2022-12-20,SHRIRAMFIN,EQ,1369.90,1399.00,1352.40,1389.25,1372.25,570309,7816.96,27503,
2022-12-21,SHRIRAMFIN,EQ,1386.80,1419.50,1360.25,1369.40,1389.25,857326,11918.79,38689,
2022-12-22,SHRIRAMFIN,EQ,1375.00,1387.00,1328.35,1339.40,1369.40,309992,4184.43,14511,
2022-12-23,SHRIRAMFIN,EQ,1326.95,1326.95,1290.60,1301.50,1339.40,312995,4085.82,14998,
2022-12-26,SHRIRAMFIN,EQ,1301.55,1367.00,1295.05,1351.15,1301.50,321370,4314.97,14892,
2022-12-27,SHRIRAMFIN,EQ,1362.00,1390.00,1329.55,1378.90,1351.15,484073,6603.31,26536,
2022-12-28,SHRIRAMFIN,EQ,1363.55,1397.00,1352.50,1388.60,1378.90,440215,6031.66,18170,
2022-12-29,SHRIRAMFIN,EQ,1349.00,1349.00,1251.35,1312.25,1388.60,3989146,51527.90,87415,
2022-12-30,SHRIRAMFIN,EQ,1330.00,1384.80,1325.15,1376.90,1312.25,1465870,19998.21,38247,
2023-01-02,SHRIRAMFIN,EQ,1381.00,1390.00,1362.00,1385.80,1376.90,436989,6026.80,18891,
2023-01-03,SHRIRAMFIN,EQ,1368.80,1376.95,1335.60,1349.65,1385.80,535645,7276.65,26822,
2023-01-04,SHRIRAMFIN,EQ,1348.00,1352.90,1317.85,1328.35,1349.65,541935,7234.33,24534,
2023-01-05,SHRIRAMFIN,EQ,1335.95,1340.00,1311.25,1319.90,1328.35,461987,6117.02,20972,
2023-01-06,SHRIRAMFIN,EQ,1324.90,1325.75,1287.00,1294.65,1319.90,319983,4172.81,18463,
2023-01-09,SHRIRAMFIN,EQ,1300.00,1324.70,1299.50,1318.60,1294.65,469651,6180.22,41318,
2023-01-10,SHRIRAMFIN,EQ,1322.65,1337.60,1318.60,1333.90,1318.60,569860,7569.67,34667,
2023-01-11,SHRIRAMFIN,EQ,1334.00,1343.85,1319.10,1334.50,1333.90,289049,3856.98,17242,
2023-01-12,SHRIRAMFIN,EQ,1341.50,1342.25,1305.20,1312.65,1334.50,451870,5973.09,19840,
2023-01-13,SHRIRAMFIN,EQ,1310.00,1313.00,1267.60,1283.20,1312.65,919496,11834.91,37236,
2023-01-16,SHRIRAMFIN,EQ,1289.00,1301.55,1269.00,1272.70,1283.20,509856,6543.25,22729,
2023-01-17,SHRIRAMFIN,EQ,1277.75,1280.65,1262.90,1271.65,1272.70,633527,8055.48,45297,
2023-01-18,SHRIRAMFIN,EQ,1278.00,1291.75,1256.15,1284.00,1271.65,475166,6052.08,22463,
2023-01-19,SHRIRAMFIN,EQ,1284.00,1297.35,1272.30,1294.80,1284.00,497959,6433.95,35934,
2023-01-20,SHRIRAMFIN,EQ,1294.00,1294.00,1266.40,1277.30,1294.80,396914,5071.63,39011,
