date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,SIEMENS,EQ,1496.70,1507.90,1487.10,1491.25,1496.70,158161,2364.67,9173,
2020-01-02,SIEMENS,EQ,1499.00,1518.90,1485.60,1513.70,1491.25,338340,5078.90,13781,
2020-01-03,SIEMENS,EQ,1516.00,1517.50,1492.65,1511.15,1513.70,318700,4800.23,22062,
2020-01-06,SIEMENS,EQ,1490.10,1504.65,1459.55,1474.50,1511.15,251738,3720.20,17382,
2020-01-07,SIEMENS,EQ,1479.95,1497.35,1475.00,1485.15,1474.50,187292,2780.26,13984,
2020-01-08,SIEMENS,EQ,1470.55,1483.00,1463.10,1473.10,1485.15,215038,3163.28,10448,
2020-01-09,SIEMENS,EQ,1509.40,1511.85,1486.05,1509.40,1473.10,208851,3132.43,11702,
2020-01-10,SIEMENS,EQ,1512.00,1532.00,1502.85,1510.25,1509.40,718067,10905.37,25680,
2020-01-13,SIEMENS,EQ,1512.00,1518.20,1489.55,1501.80,1510.25,336600,5051.00,15065,
2020-01-14,SIEMENS,EQ,1503.00,1517.00,1500.55,1511.00,1501.80,301320,4553.46,15170,
2020-01-15,SIEMENS,EQ,1507.80,1522.00,1500.05,1508.25,1511.00,464602,7020.45,16931,
2020-01-16,SIEMENS,EQ,1510.00,1546.80,1510.00,1535.45,1508.25,703432,10800.18,27816,
2020-01-17,SIEMENS,EQ,1537.00,1597.70,1537.00,1588.00,1535.45,1040955,16356.22,33930,
2020-01-20,SIEMENS,EQ,1594.90,1609.00,1580.55,1591.75,1588.00,456685,7274.22,22446,
2020-01-21,SIEMENS,EQ,1591.70,1611.00,1575.10,1583.10,1591.75,581928,9284.53,25907,
2020-01-22,SIEMENS,EQ,1588.00,1595.00,1565.50,1577.65,1583.10,234346,3708.61,14467,
2020-01-23,SIEMENS,EQ,1578.35,1594.80,1569.15,1582.70,1577.65,352940,5596.74,16187,
2020-01-24,SIEMENS,EQ,1583.00,1627.90,1583.00,1624.95,1582.70,675803,10892.11,26125,
2020-01-27,SIEMENS,EQ,1629.00,1639.00,1550.55,1557.10,1624.95,981767,15662.03,42091,
2020-01-28,SIEMENS,EQ,1558.60,1575.45,1501.05,1506.80,1557.10,683385,10418.62,30120,
2020-01-29,SIEMENS,EQ,1513.00,1539.40,1490.30,1528.20,1506.80,627013,9519.10,38394,
2020-01-30,SIEMENS,EQ,1530.00,1534.40,1503.50,1509.80,1528.20,355752,5394.42,19322,
2020-01-31,SIEMENS,EQ,1515.00,1524.30,1482.30,1500.25,1509.80,334263,5018.78,25083,
2020-02-03,SIEMENS,EQ,1419.65,1459.60,1415.50,1437.25,1416.30,440274,6333.37,31248,
2020-02-04,SIEMENS,EQ,1446.60,1489.80,1446.45,1477.40,1437.25,292288,4299.93,20571,
2020-02-05,SIEMENS,EQ,1487.00,1508.65,1480.00,1497.65,1477.40,273458,4087.62,19511,
2020-02-06,SIEMENS,EQ,1502.00,1521.00,1493.75,1511.15,1497.65,269039,4062.82,18222,
2020-02-07,SIEMENS,EQ,1510.00,1515.00,1485.55,1507.10,1511.15,206234,3095.45,13130,
2020-02-10,SIEMENS,EQ,1506.00,1506.00,1470.55,1475.95,1507.10,233901,3470.88,14178,
2020-02-11,SIEMENS,EQ,1482.50,1522.00,1460.10,1494.75,1475.95,1401399,20967.74,79951,
2020-02-12,SIEMENS,EQ,1490.00,1490.00,1409.25,1423.70,1494.75,1666879,23903.70,90435,
2020-02-13,SIEMENS,EQ,1430.00,1450.00,1411.85,1420.30,1423.70,720405,10285.35,28322,
2020-02-14,SIEMENS,EQ,1427.40,1436.95,1393.00,1397.90,1420.30,521198,7333.29,27071,
2020-02-17,SIEMENS,EQ,1406.55,1406.55,1374.30,1382.75,1397.90,542961,7516.52,31421,
2020-02-18,SIEMENS,EQ,1379.65,1398.90,1362.10,1394.10,1382.75,280577,3873.29,19049,
2020-02-19,SIEMENS,EQ,1402.50,1425.00,1399.90,1421.90,1394.10,301671,4267.61,18203,
2020-02-20,SIEMENS,EQ,1415.45,1430.25,1408.75,1412.70,1421.90,269766,3829.50,20216,
2020-02-24,SIEMENS,EQ,1405.00,1419.25,1368.15,1373.80,1412.70,288865,4037.70,17726,
2020-02-25,SIEMENS,EQ,1382.00,1404.95,1365.00,1382.75,1373.80,492866,6858.42,28380,
2020-02-26,SIEMENS,EQ,1376.15,1397.65,1340.00,1346.40,1382.75,554695,7608.18,30583,
2020-02-27,SIEMENS,EQ,1348.00,1363.00,1318.70,1352.40,1346.40,680060,9093.70,32331,
2020-02-28,SIEMENS,EQ,1334.90,1344.95,1286.45,1303.75,1352.40,815803,10729.74,30282,
2020-03-02,SIEMENS,EQ,1320.00,1355.70,1297.00,1310.65,1303.75,417758,5565.79,30333,
2020-03-03,SIEMENS,EQ,1319.15,1362.75,1301.15,1356.45,1310.65,556071,7406.40,37818,
2020-03-04,SIEMENS,EQ,1369.00,1369.00,1310.65,1333.85,1356.45,486589,6483.10,26331,
2020-03-05,SIEMENS,EQ,1336.10,1353.00,1320.00,1335.40,1333.85,461450,6162.82,23140,
2020-03-06,SIEMENS,EQ,1301.00,1342.75,1290.55,1339.00,1335.40,381404,5058.74,25390,
2020-03-09,SIEMENS,EQ,1314.80,1319.95,1268.20,1286.60,1339.00,576565,7439.49,21713,
2020-03-11,SIEMENS,EQ,1275.00,1295.05,1260.50,1285.60,1286.60,800870,10248.59,32126,
2020-03-12,SIEMENS,EQ,1255.00,1258.00,1150.05,1180.25,1285.60,782047,9323.23,31584,
2020-03-13,SIEMENS,EQ,1082.20,1290.00,1003.25,1213.65,1180.25,578139,6758.28,29126,
2020-03-16,SIEMENS,EQ,1165.00,1184.05,1139.45,1148.25,1213.65,677424,7894.12,35670,
2020-03-17,SIEMENS,EQ,1153.00,1207.80,1125.05,1135.95,1148.25,466454,5456.72,45971,
2020-03-18,SIEMENS,EQ,1144.00,1168.40,1084.35,1117.95,1135.95,596371,6672.72,49818,
2020-03-19,SIEMENS,EQ,1086.00,1156.80,1041.40,1113.20,1117.95,379853,4190.37,37375,
2020-03-20,SIEMENS,EQ,1120.55,1178.80,1085.00,1169.55,1113.20,468536,5340.75,65362,
2020-03-23,SIEMENS,EQ,1085.00,1157.45,947.90,996.05,1169.55,313855,3219.43,15117,
2020-03-24,SIEMENS,EQ,991.00,1069.90,991.00,1018.80,996.05,320208,3312.57,50165,
2020-03-25,SIEMENS,EQ,1018.80,1066.65,1010.15,1049.25,1018.80,376688,3920.36,52931,
2020-03-26,SIEMENS,EQ,1070.00,1139.00,1069.90,1090.60,1049.25,330508,3653.60,53290,
2020-03-27,SIEMENS,EQ,1148.00,1166.80,1031.35,1044.15,1090.60,334071,3638.56,52806,
2020-03-30,SIEMENS,EQ,1038.45,1093.55,1020.65,1080.95,1044.15,357389,3822.65,35495,
2020-03-31,SIEMENS,EQ,1095.00,1143.00,1088.90,1113.40,1080.95,855428,9605.76,44537,
2020-04-01,SIEMENS,EQ,1115.00,1124.80,1065.10,1085.20,1113.40,283429,3085.36,29901,
2020-04-03,SIEMENS,EQ,1096.30,1096.30,1044.00,1051.25,1085.20,280441,2993.60,34365,
2020-04-07,SIEMENS,EQ,1092.00,1121.70,1070.60,1113.30,1051.25,236238,2601.57,26260,
2020-04-08,SIEMENS,EQ,1110.95,1175.00,1093.00,1105.75,1113.30,364654,4101.08,46241,
2020-04-09,SIEMENS,EQ,1116.00,1180.00,1115.00,1154.50,1105.75,494729,5699.34,36848,
2020-04-13,SIEMENS,EQ,1170.00,1205.00,1125.00,1183.25,1154.50,664626,7800.44,46762,
2020-04-15,SIEMENS,EQ,1185.00,1253.45,1185.00,1193.25,1183.25,756827,9299.73,51945,
