date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,SOLARINDS,EQ,1060.00,1076.00,1060.00,1070.70,1060.35,2091,22.40,251,
2020-01-02,SOLARINDS,EQ,1079.00,1125.05,1066.60,1097.15,1070.70,14707,160.83,1240,
2020-01-03,SOLARINDS,EQ,1119.00,1120.10,1100.20,1118.35,1097.15,19915,221.82,907,
2020-01-06,SOLARINDS,EQ,1120.00,1129.95,1094.00,1113.70,1118.35,20215,224.73,1510,
2020-01-07,SOLARINDS,EQ,1114.00,1123.00,1095.10,1106.70,1113.70,4594,51.15,442,
2020-01-08,SOLARINDS,EQ,1095.05,1134.95,1095.05,1104.00,1106.70,9474,105.73,1028,
2020-01-09,SOLARINDS,EQ,1119.60,1128.35,1105.00,1111.55,1104.00,5331,59.45,639,
2020-01-10,SOLARINDS,EQ,1113.80,1126.30,1095.00,1102.10,1111.55,23743,261.51,458,
2020-01-13,SOLARINDS,EQ,1102.00,1111.40,1090.00,1096.90,1102.10,12201,134.26,684,
2020-01-14,SOLARINDS,EQ,1096.00,1101.10,1082.95,1096.50,1096.90,50716,555.25,1665,
2020-01-15,SOLARINDS,EQ,1100.60,1123.95,1097.00,1119.75,1096.50,5563,61.90,544,
2020-01-16,SOLARINDS,EQ,1111.60,1125.00,1093.50,1120.50,1119.75,5685,63.23,941,
2020-01-17,SOLARINDS,EQ,1125.00,1140.00,1110.55,1134.90,1120.50,5865,66.09,540,
2020-01-20,SOLARINDS,EQ,1134.90,1159.75,1118.05,1145.20,1134.90,10531,119.53,722,
2020-01-21,SOLARINDS,EQ,1127.20,1165.00,1125.00,1160.85,1145.20,6681,77.15,602,
2020-01-22,SOLARINDS,EQ,1173.00,1179.95,1155.00,1161.65,1160.85,4375,51.17,544,
2020-01-23,SOLARINDS,EQ,1184.00,1184.00,1148.30,1151.00,1161.65,2620,30.45,309,
2020-01-24,SOLARINDS,EQ,1151.35,1190.65,1151.35,1179.95,1151.00,67932,799.21,1615,
2020-01-27,SOLARINDS,EQ,1183.50,1206.75,1180.00,1197.80,1179.95,16601,198.18,1795,
2020-01-28,SOLARINDS,EQ,1202.50,1238.20,1190.70,1223.40,1197.80,21091,257.81,1069,
