date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,SUNPHARMA,EQ,432.95,436.45,431.25,434.30,432.55,2321850,10081.34,26860,
2020-01-02,SUNPHARMA,EQ,434.00,442.60,432.00,434.95,434.30,4555670,19893.31,55381,
2020-01-03,SUNPHARMA,EQ,434.65,450.40,433.05,444.60,434.95,9457180,42014.74,140147,
2020-01-06,SUNPHARMA,EQ,440.90,444.70,435.10,439.95,444.60,4794923,21092.77,54273,
2020-01-07,SUNPHARMA,EQ,441.40,448.00,437.55,446.40,439.95,4504083,19975.00,63835,
2020-01-08,SUNPHARMA,EQ,442.95,446.50,439.00,440.10,446.40,3881918,17149.47,61787,
2020-01-09,SUNPHARMA,EQ,442.70,444.85,439.00,439.85,440.10,3934566,17375.06,52598,
2020-01-10,SUNPHARMA,EQ,440.10,449.00,440.00,443.60,439.85,4334013,19309.32,50131,
2020-01-13,SUNPHARMA,EQ,447.00,453.65,442.55,444.60,443.60,4823348,21579.44,105783,
2020-01-14,SUNPHARMA,EQ,447.00,449.50,444.40,446.00,444.60,2708589,12107.09,38098,
2020-01-15,SUNPHARMA,EQ,447.60,450.70,443.65,449.05,446.00,3054107,13660.77,47457,
2020-01-16,SUNPHARMA,EQ,452.25,456.35,447.40,449.05,449.05,4416809,19934.70,62319,
2020-01-17,SUNPHARMA,EQ,448.20,456.25,446.00,454.60,449.05,3216737,14524.67,49212,
2020-01-20,SUNPHARMA,EQ,454.20,456.20,446.15,449.45,454.60,2824739,12715.34,37371,
2020-01-21,SUNPHARMA,EQ,448.00,451.75,446.00,447.40,449.45,2573651,11551.68,64119,
2020-01-22,SUNPHARMA,EQ,448.40,453.85,445.35,446.30,447.40,3412716,15330.74,52067,
2020-01-23,SUNPHARMA,EQ,447.20,452.20,445.00,449.85,446.30,1875787,8434.52,33288,
2020-01-24,SUNPHARMA,EQ,450.00,452.85,446.80,447.80,449.85,2153164,9697.54,51893,
2020-01-27,SUNPHARMA,EQ,447.00,451.75,442.20,448.40,447.80,3530914,15802.92,68219,
2020-01-28,SUNPHARMA,EQ,448.25,462.50,448.05,452.90,448.40,9487290,43357.77,123740,
2020-01-29,SUNPHARMA,EQ,454.85,456.75,449.45,450.10,452.90,3103817,14055.26,52139,
2020-01-30,SUNPHARMA,EQ,451.50,453.75,440.30,442.10,450.10,3486193,15449.20,53746,
2020-01-31,SUNPHARMA,EQ,442.60,445.40,432.65,434.30,442.10,3757229,16442.09,61041,
2020-02-03,SUNPHARMA,EQ,423.80,428.90,414.00,417.55,422.80,4032780,16924.04,59911,
2020-02-04,SUNPHARMA,EQ,416.95,426.90,412.85,425.65,417.55,4848610,20425.90,73352,
2020-02-05,SUNPHARMA,EQ,429.50,431.40,421.90,426.25,425.65,3826307,16315.06,46001,
2020-02-06,SUNPHARMA,EQ,428.20,438.00,424.00,430.65,426.25,7745520,33288.85,90969,
2020-02-07,SUNPHARMA,EQ,432.00,441.75,423.20,430.80,430.65,7402556,32149.34,82235,
2020-02-10,SUNPHARMA,EQ,428.55,432.75,418.30,420.30,430.80,3638523,15381.13,47171,
2020-02-11,SUNPHARMA,EQ,422.00,424.70,416.80,418.55,420.30,4683072,19682.31,52542,
2020-02-12,SUNPHARMA,EQ,418.80,421.30,414.00,414.60,418.55,4439987,18499.16,47834,
2020-02-13,SUNPHARMA,EQ,414.60,420.10,412.00,418.95,414.60,3924569,16372.70,62025,
2020-02-14,SUNPHARMA,EQ,420.00,424.75,416.50,418.55,418.95,2862205,12047.08,41695,
2020-02-17,SUNPHARMA,EQ,416.20,418.50,407.30,408.40,418.55,2625157,10827.71,41610,
2020-02-18,SUNPHARMA,EQ,407.00,410.85,399.05,408.65,408.40,4187206,16949.04,58541,
2020-02-19,SUNPHARMA,EQ,410.40,414.20,400.60,403.55,408.65,5910512,23963.36,65492,
2020-02-20,SUNPHARMA,EQ,403.85,411.50,403.55,404.95,403.55,4000525,16292.80,64180,
2020-02-24,SUNPHARMA,EQ,406.50,414.65,395.80,397.85,404.95,12668574,51303.90,129845,
2020-02-25,SUNPHARMA,EQ,402.40,402.40,385.30,388.90,397.85,10050971,39287.00,120820,
2020-02-26,SUNPHARMA,EQ,385.10,386.95,372.50,374.70,388.90,12146582,45932.69,120753,
2020-02-27,SUNPHARMA,EQ,375.00,390.70,369.45,388.50,374.70,15164166,57749.39,164638,
