date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2025-10-13,TATACAP,EQ,330.00,333.00,326.25,330.50,326.00,117611923,387795.28,894793,
2025-10-14,TATACAP,EQ,330.50,331.90,319.05,319.80,330.50,28551748,92811.62,324012,
2025-10-15,TATACAP,EQ,320.00,330.80,320.00,329.70,319.80,15881677,51778.59,179156,
2025-10-16,TATACAP,EQ,330.00,336.00,329.70,335.10,329.70,19938421,66535.56,195127,
2025-10-17,TATACAP,EQ,335.10,336.65,329.40,330.70,335.10,7576158,25137.59,94525,
2025-10-20,TATACAP,EQ,330.75,331.65,323.95,325.35,330.70,5691141,18558.41,73289,
2025-10-21,TATACAP,EQ,326.00,331.35,326.00,329.95,325.35,3052727,10064.33,37782,
2025-10-23,TATACAP,EQ,329.55,330.00,324.45,325.05,329.95,9542377,31188.02,64534,
2025-10-24,TATACAP,EQ,324.50,327.70,323.40,324.15,325.05,4136601,13441.15,38215,
2025-10-27,TATACAP,EQ,325.00,330.45,324.90,328.90,324.15,5948900,19555.11,108940,
2025-10-28,TATACAP,EQ,328.90,333.70,327.60,331.10,328.90,6925054,22917.17,61767,
2025-10-29,TATACAP,EQ,331.90,331.90,325.80,326.40,331.10,6776721,22156.26,59477,
2025-10-30,TATACAP,EQ,325.40,327.80,324.85,326.95,326.40,2482953,8103.71,56934,
2025-10-31,TATACAP,EQ,330.00,330.00,325.30,327.30,326.95,3745921,12256.87,54538,
2025-11-03,TATACAP,EQ,325.60,331.50,325.25,328.80,327.30,4791323,15757.90,66945,
2025-11-04,TATACAP,EQ,326.40,330.70,326.40,329.30,328.80,6353144,20911.25,84836,
2025-11-06,TATACAP,EQ,327.65,328.15,325.00,326.45,329.30,3528292,11512.06,72399,
2025-11-07,TATACAP,EQ,325.10,326.00,320.30,322.85,326.45,5369467,17319.15,96830,
2025-11-10,TATACAP,EQ,322.00,325.95,318.35,324.75,322.85,3851564,12456.46,74213,
2025-11-11,TATACAP,EQ,324.00,326.25,321.20,325.65,324.75,3341820,10865.43,118550,
2025-11-12,TATACAP,EQ,325.75,326.25,323.60,325.20,325.65,2278725,7408.20,34940,
