date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-02-27,TATACONSUM,EQ,364.10,365.65,360.25,363.30,365.65,1827751,6631.72,25087,
2020-02-28,TATACONSUM,EQ,357.95,357.95,341.55,346.15,363.30,4494646,15574.23,36885,
2020-03-02,TATACONSUM,EQ,351.05,355.25,333.60,338.80,346.15,3837169,13353.81,48165,
2020-03-03,TATACONSUM,EQ,340.60,357.70,340.60,355.30,338.80,4204156,14762.70,76287,
2020-03-04,TATACONSUM,EQ,356.20,357.60,339.00,349.20,355.30,2331888,8091.52,49946,
2020-03-05,TATACONSUM,EQ,353.75,357.10,347.00,348.50,349.20,1890082,6652.53,52394,
2020-03-06,TATACONSUM,EQ,340.00,346.90,334.15,344.50,348.50,4469801,15331.55,63442,
2020-03-09,TATACONSUM,EQ,338.00,340.85,319.15,330.10,344.50,5653412,18749.85,47319,
2020-03-11,TATACONSUM,EQ,326.85,337.75,325.00,327.85,330.10,3475868,11508.13,28129,
2020-03-12,TATACONSUM,EQ,320.00,320.00,297.20,303.45,327.85,5405030,16492.20,76325,
2020-03-13,TATACONSUM,EQ,273.55,327.80,258.00,324.25,303.45,7428604,22871.97,67999,
2020-03-16,TATACONSUM,EQ,305.30,314.30,296.60,300.30,324.25,3695163,11262.65,98388,
2020-03-17,TATACONSUM,EQ,305.00,308.70,282.00,283.85,300.30,3307865,9657.04,86334,
2020-03-18,TATACONSUM,EQ,285.00,288.60,262.00,267.45,283.85,4038726,10914.22,80378,
2020-03-19,TATACONSUM,EQ,258.00,265.50,232.25,250.75,267.45,6319923,15743.22,115205,
2020-03-20,TATACONSUM,EQ,247.00,273.40,244.50,264.20,250.75,3907691,10161.71,52348,
2020-03-23,TATACONSUM,EQ,240.00,247.90,225.00,226.50,264.20,2922955,6912.08,55578,
2020-03-24,TATACONSUM,EQ,249.15,256.10,213.70,249.05,226.50,6054692,14508.90,73889,
2020-03-25,TATACONSUM,EQ,248.10,282.45,246.90,277.15,249.05,3964419,10691.33,84168,
2020-03-26,TATACONSUM,EQ,279.50,293.55,263.45,279.05,277.15,3335026,9404.72,55305,
2020-03-27,TATACONSUM,EQ,290.00,294.95,279.25,284.75,279.05,2980927,8569.34,67462,
2020-03-30,TATACONSUM,EQ,282.50,284.00,272.65,281.40,284.75,2901726,8092.26,85070,
2020-03-31,TATACONSUM,EQ,291.50,297.00,284.85,294.85,281.40,3270034,9546.19,87485,
2020-04-01,TATACONSUM,EQ,292.85,304.00,277.35,280.00,294.85,5532600,15713.39,105227,
2020-04-03,TATACONSUM,EQ,286.00,286.00,264.00,267.15,280.00,5990376,16117.28,118890,
2020-04-07,TATACONSUM,EQ,280.00,286.75,271.00,284.55,267.15,6492026,18148.60,114263,
2020-04-08,TATACONSUM,EQ,282.70,296.00,276.70,294.40,284.55,5331494,15537.41,78114,
2020-04-09,TATACONSUM,EQ,301.40,319.00,300.20,309.05,294.40,7699408,23741.34,151296,
2020-04-13,TATACONSUM,EQ,315.00,315.00,301.10,305.05,309.05,3699875,11382.33,127468,
2020-04-15,TATACONSUM,EQ,311.10,322.75,305.00,315.65,305.05,5721837,17990.36,181704,
2020-04-16,TATACONSUM,EQ,317.85,333.70,315.65,324.05,315.65,8211111,26549.81,212380,
2020-04-17,TATACONSUM,EQ,334.95,336.40,316.85,324.50,324.05,4845929,15797.60,154935,
2020-04-20,TATACONSUM,EQ,324.60,332.85,321.15,324.70,324.50,3621444,11815.03,126402,
2020-04-21,TATACONSUM,EQ,318.00,320.00,311.00,312.40,324.70,3462477,10910.05,104334,
2020-04-22,TATACONSUM,EQ,314.65,335.45,310.00,330.15,312.40,4645157,14924.31,112395,
2020-04-23,TATACONSUM,EQ,338.00,339.80,325.30,329.95,330.15,3747888,12497.74,65023,
2020-04-24,TATACONSUM,EQ,323.00,336.85,323.00,326.10,329.95,5438859,17930.90,145139,
2020-04-27,TATACONSUM,EQ,331.95,351.35,331.25,349.35,326.10,7426428,25498.10,139971,
2020-04-28,TATACONSUM,EQ,352.85,355.60,340.45,342.90,349.35,3767231,13007.04,96506,
2020-04-29,TATACONSUM,EQ,343.00,356.00,343.00,354.00,342.90,3653520,12871.00,85376,
2020-04-30,TATACONSUM,EQ,359.95,361.40,349.85,351.60,354.00,4760235,16905.11,63824,
2020-05-04,TATACONSUM,EQ,340.00,347.20,333.00,334.95,351.60,3385502,11473.26,117378,
2020-05-05,TATACONSUM,EQ,339.00,342.90,327.85,329.50,334.95,2833278,9417.23,61029,
2020-05-06,TATACONSUM,EQ,331.45,341.20,325.65,335.55,329.50,3642689,12182.76,36958,
2020-05-07,TATACONSUM,EQ,335.95,344.60,328.80,341.30,335.55,3605559,12226.38,73442,
2020-05-08,TATACONSUM,EQ,347.00,355.50,344.10,348.75,341.30,3247803,11361.17,63670,
2020-05-11,TATACONSUM,EQ,353.85,365.00,349.05,355.00,348.75,4792046,17241.58,104386,
2020-05-12,TATACONSUM,EQ,354.45,363.30,346.65,358.70,355.00,3258000,11590.21,92237,
2020-05-13,TATACONSUM,EQ,375.00,375.00,348.50,356.35,358.70,8536960,30461.23,231357,
2020-05-14,TATACONSUM,EQ,350.00,364.50,350.00,362.80,356.35,5120949,18450.22,166438,
2020-05-15,TATACONSUM,EQ,353.10,367.75,349.10,352.20,362.80,9452903,33731.54,170087,
2020-05-18,TATACONSUM,EQ,351.20,355.80,343.40,347.10,352.20,4181455,14609.68,84886,
2020-05-19,TATACONSUM,EQ,350.90,363.00,349.25,358.05,347.10,5696557,20379.85,132251,
2020-05-20,TATACONSUM,EQ,359.60,363.80,356.55,360.75,358.05,3489683,12559.76,86913,
2020-05-21,TATACONSUM,EQ,363.90,366.40,355.30,360.30,360.75,3883273,14011.68,90164,
2020-05-22,TATACONSUM,EQ,361.55,366.95,356.20,362.45,360.30,3958853,14385.38,87379,
2020-05-26,TATACONSUM,EQ,366.80,376.45,360.00,371.95,362.45,7728762,28674.35,222372,
2020-05-27,TATACONSUM,EQ,374.60,375.70,362.20,368.55,371.95,3384200,12442.07,92233,
2020-05-28,TATACONSUM,EQ,367.95,373.40,366.00,371.15,368.55,3390919,12575.27,157993,
2020-05-29,TATACONSUM,EQ,370.55,382.80,357.35,366.90,371.15,63552596,234317.69,415763,
2020-06-01,TATACONSUM,EQ,368.50,369.40,359.50,362.85,366.90,9637219,35004.96,157699,
