date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TATAPOWER,EQ,56.80,57.85,56.65,57.60,56.50,3878107,2221.39,10437,
2020-01-02,TATAPOWER,EQ,57.90,58.15,56.80,58.00,57.60,12142359,6978.76,43097,
2020-01-03,TATAPOWER,EQ,58.00,58.55,57.30,57.75,58.00,9746134,5638.95,23266,
2020-01-06,TATAPOWER,EQ,57.05,57.50,55.95,56.75,57.75,3833784,2174.38,9317,
2020-01-07,TATAPOWER,EQ,57.10,57.55,56.05,56.60,56.75,3974582,2257.97,10388,
2020-01-08,TATAPOWER,EQ,56.00,56.75,55.70,56.25,56.60,3078686,1730.25,8892,
2020-01-09,TATAPOWER,EQ,56.55,58.20,56.55,57.80,56.25,6282472,3627.22,15350,
2020-01-10,TATAPOWER,EQ,57.75,59.50,57.35,58.95,57.80,10571670,6206.97,29046,
2020-01-13,TATAPOWER,EQ,59.20,59.85,58.85,59.40,58.95,5570014,3302.51,24512,
2020-01-14,TATAPOWER,EQ,59.50,60.35,59.20,60.20,59.40,5841008,3499.71,19301,
2020-01-15,TATAPOWER,EQ,60.30,61.10,59.90,60.90,60.20,5808570,3518.39,22324,
2020-01-16,TATAPOWER,EQ,61.10,61.35,60.35,61.00,60.90,14551255,8839.95,16425,
2020-01-17,TATAPOWER,EQ,61.10,62.10,60.80,61.55,61.00,6414265,3949.60,17951,
2020-01-20,TATAPOWER,EQ,61.55,61.70,59.90,60.25,61.55,8384043,5085.41,18164,
2020-01-21,TATAPOWER,EQ,59.60,60.30,59.35,59.55,60.25,6250007,3733.70,20400,
2020-01-22,TATAPOWER,EQ,59.90,60.00,58.90,59.15,59.55,8871316,5256.19,29180,
2020-01-23,TATAPOWER,EQ,59.00,60.25,58.90,60.15,59.15,8476777,5066.41,18359,
2020-01-24,TATAPOWER,EQ,60.00,61.95,59.75,61.20,60.15,6085340,3730.20,16447,
2020-01-27,TATAPOWER,EQ,60.80,62.00,60.35,60.70,61.20,7343803,4494.64,19063,
2020-01-28,TATAPOWER,EQ,60.70,61.80,60.25,60.75,60.70,7799785,4766.07,21399,
2020-01-29,TATAPOWER,EQ,61.35,62.00,60.40,60.90,60.75,5292349,3246.21,17908,
2020-01-30,TATAPOWER,EQ,60.65,61.55,59.00,60.30,60.90,15197956,9169.48,29810,
2020-01-31,TATAPOWER,EQ,60.50,60.60,57.60,58.10,60.30,7977888,4694.08,17929,
2020-02-03,TATAPOWER,EQ,55.10,56.40,54.65,54.90,55.25,5011428,2773.41,13258,
2020-02-04,TATAPOWER,EQ,55.30,56.80,54.60,56.40,54.90,8418747,4703.21,17963,
2020-02-05,TATAPOWER,EQ,56.90,57.35,56.15,57.20,56.40,4115182,2341.41,11443,
2020-02-06,TATAPOWER,EQ,57.05,58.20,56.85,57.70,57.20,3658979,2104.22,10430,
2020-02-07,TATAPOWER,EQ,57.40,58.20,57.35,58.00,57.70,3340932,1934.13,6301,
2020-02-10,TATAPOWER,EQ,57.70,58.15,55.95,56.95,58.00,3640927,2067.99,16600,
2020-02-11,TATAPOWER,EQ,57.00,57.85,56.85,57.65,56.95,3188511,1830.57,9179,
2020-02-12,TATAPOWER,EQ,57.80,58.25,55.75,56.00,57.65,4132841,2338.22,11965,
2020-02-13,TATAPOWER,EQ,55.85,55.95,54.75,55.30,56.00,6687073,3693.82,12904,
2020-02-14,TATAPOWER,EQ,55.30,55.60,53.55,53.80,55.30,7158438,3885.36,24472,
2020-02-17,TATAPOWER,EQ,53.90,53.95,51.50,51.75,53.80,5167878,2705.76,13777,
2020-02-18,TATAPOWER,EQ,51.75,51.95,50.60,51.55,51.75,5096324,2607.46,24647,
2020-02-19,TATAPOWER,EQ,52.00,52.35,50.80,51.35,51.55,7216081,3708.91,16946,
2020-02-20,TATAPOWER,EQ,51.85,52.65,50.90,51.60,51.35,22312622,11489.98,32814,
2020-02-24,TATAPOWER,EQ,51.50,52.65,50.85,51.85,51.60,8835835,4583.50,20276,
2020-02-25,TATAPOWER,EQ,52.15,52.95,51.55,51.70,51.85,7099808,3716.68,20480,
2020-02-26,TATAPOWER,EQ,51.10,51.15,48.80,49.35,51.70,22209900,10982.56,41812,
2020-02-27,TATAPOWER,EQ,49.45,49.65,47.50,49.30,49.35,18385687,8919.18,28552,
2020-02-28,TATAPOWER,EQ,47.70,48.55,46.05,46.70,49.30,24044762,11345.54,40687,
2020-03-02,TATAPOWER,EQ,47.10,47.80,43.25,43.80,46.70,17866454,8171.52,36783,
2020-03-03,TATAPOWER,EQ,44.35,45.05,43.40,44.40,43.80,11775256,5216.44,22662,
2020-03-04,TATAPOWER,EQ,44.05,45.25,43.35,44.75,44.40,8268039,3677.51,33955,
2020-03-05,TATAPOWER,EQ,44.45,45.80,43.90,44.25,44.75,11568670,5179.79,26955,
2020-03-06,TATAPOWER,EQ,43.30,44.15,41.45,43.05,44.25,8034080,3468.92,25171,
2020-03-09,TATAPOWER,EQ,42.05,42.25,38.40,39.75,43.05,12060078,4871.29,34441,
2020-03-11,TATAPOWER,EQ,39.40,40.05,37.80,37.90,39.75,13031474,5033.31,33061,
2020-03-12,TATAPOWER,EQ,36.00,41.35,33.85,40.35,37.90,41975166,16125.75,58721,
2020-03-13,TATAPOWER,EQ,37.90,42.80,34.60,42.15,40.35,36149619,14943.90,85980,
2020-03-16,TATAPOWER,EQ,40.80,41.45,39.65,40.45,42.15,11112173,4535.90,36364,
2020-03-17,TATAPOWER,EQ,40.45,42.55,38.50,38.95,40.45,9356850,3819.03,24244,
2020-03-18,TATAPOWER,EQ,39.55,39.95,34.70,35.10,38.95,12715433,4736.87,35922,
2020-03-19,TATAPOWER,EQ,33.20,36.70,32.75,34.20,35.10,11398319,3918.19,31629,
2020-03-20,TATAPOWER,EQ,34.35,37.50,34.00,36.70,34.20,12777728,4577.88,34749,
2020-03-23,TATAPOWER,EQ,34.35,35.00,31.20,32.90,36.70,7632572,2521.61,23883,
2020-03-24,TATAPOWER,EQ,33.15,34.95,31.20,34.40,32.90,11652363,3890.88,32540,
2020-03-25,TATAPOWER,EQ,34.30,35.65,34.00,35.00,34.40,5874352,2052.04,27688,
2020-03-26,TATAPOWER,EQ,35.35,35.75,33.45,35.20,35.00,11152318,3910.39,35683,
2020-03-27,TATAPOWER,EQ,35.85,36.85,33.25,33.95,35.20,9984777,3457.06,64192,
2020-03-30,TATAPOWER,EQ,33.95,33.95,32.05,32.30,33.95,9090303,2996.04,22249,
2020-03-31,TATAPOWER,EQ,32.80,33.60,32.45,32.85,32.30,7034291,2324.39,15960,
2020-04-01,TATAPOWER,EQ,32.30,32.80,31.35,31.55,32.85,5645202,1803.37,26533,
2020-04-03,TATAPOWER,EQ,31.75,31.90,29.95,30.15,31.55,10639666,3267.25,28132,
2020-04-07,TATAPOWER,EQ,31.80,34.30,30.80,33.65,30.15,12216411,3985.90,29010,
2020-04-08,TATAPOWER,EQ,33.65,36.45,32.95,35.65,33.65,13337228,4694.94,28878,
2020-04-09,TATAPOWER,EQ,36.30,37.00,35.60,36.50,35.65,6744006,2444.69,20845,
2020-04-13,TATAPOWER,EQ,36.65,36.90,35.00,35.90,36.50,4971865,1779.15,13889,
2020-04-15,TATAPOWER,EQ,36.60,37.50,34.55,35.05,35.90,8243453,2975.99,21597,
2020-04-16,TATAPOWER,EQ,35.05,35.50,34.50,34.70,35.05,9452841,3306.06,17814,
2020-04-17,TATAPOWER,EQ,35.60,36.30,34.05,34.40,34.70,11838672,4155.66,23396,
2020-04-20,TATAPOWER,EQ,34.65,34.65,33.20,33.55,34.40,24635627,8290.99,56603,
2020-04-21,TATAPOWER,EQ,32.90,33.15,32.15,32.45,33.55,11655142,3811.66,22511,
2020-04-22,TATAPOWER,EQ,32.40,33.30,31.70,32.40,32.45,11600504,3776.12,23484,
2020-04-23,TATAPOWER,EQ,32.60,33.40,32.40,32.70,32.40,8034445,2651.81,20556,
2020-04-24,TATAPOWER,EQ,32.60,32.60,30.80,31.05,32.70,13996811,4447.22,36360,
2020-04-27,TATAPOWER,EQ,31.50,32.00,30.75,31.05,31.05,10333718,3215.50,25073,
2020-04-28,TATAPOWER,EQ,31.40,31.45,30.50,30.70,31.05,10619659,3276.35,21662,
2020-04-29,TATAPOWER,EQ,31.10,31.50,31.00,31.10,30.70,14336257,4481.06,29318,
2020-04-30,TATAPOWER,EQ,31.40,32.15,31.05,31.70,31.10,32596006,10248.84,46265,
2020-05-04,TATAPOWER,EQ,31.50,31.50,30.00,30.10,31.70,15845975,4806.76,49440,
2020-05-05,TATAPOWER,EQ,30.85,31.50,30.35,30.50,30.10,11704376,3611.47,21914,
2020-05-06,TATAPOWER,EQ,30.75,30.75,28.85,29.00,30.50,31848714,9331.90,66412,
2020-05-07,TATAPOWER,EQ,29.10,29.45,28.80,29.00,29.00,13470623,3922.76,29551,
2020-05-08,TATAPOWER,EQ,29.80,29.80,27.65,28.50,29.00,20381903,5808.66,42740,
2020-05-11,TATAPOWER,EQ,29.00,29.00,27.15,27.30,28.50,36503825,10207.39,64397,
2020-05-12,TATAPOWER,EQ,27.25,28.60,27.00,28.40,27.30,27227530,7637.13,56555,
2020-05-13,TATAPOWER,EQ,30.00,31.00,28.85,30.30,28.40,53614387,16194.22,87536,
2020-05-14,TATAPOWER,EQ,31.00,33.20,30.50,30.90,30.30,69089728,22064.68,114634,
2020-05-15,TATAPOWER,EQ,31.00,31.80,29.75,31.40,30.90,36970466,11396.22,61703,
2020-05-18,TATAPOWER,EQ,31.95,32.10,30.25,31.30,31.40,33654822,10482.83,42430,
2020-05-19,TATAPOWER,EQ,31.50,32.85,30.60,32.45,31.30,37941203,12030.07,54165,
2020-05-20,TATAPOWER,EQ,34.15,34.60,32.80,33.25,32.45,91642346,30910.58,135838,
2020-05-21,TATAPOWER,EQ,33.65,33.90,32.55,32.85,33.25,35029406,11693.28,52847,
2020-05-22,TATAPOWER,EQ,32.50,34.10,31.90,33.75,32.85,40499126,13366.64,49454,
2020-05-26,TATAPOWER,EQ,33.75,36.00,33.60,35.75,33.75,51053714,17956.41,84872,
2020-05-27,TATAPOWER,EQ,36.00,36.45,35.35,35.75,35.75,41541631,14932.90,55229,
2020-05-28,TATAPOWER,EQ,35.95,37.50,35.90,36.90,35.75,45715750,16913.27,68451,
2020-05-29,TATAPOWER,EQ,36.20,37.15,35.60,36.55,36.90,149707993,54606.82,75318,
2020-06-01,TATAPOWER,EQ,37.60,40.05,37.20,39.45,36.55,64630599,24937.54,79774,
2020-06-02,TATAPOWER,EQ,41.45,42.95,40.60,42.55,39.45,75509875,31373.45,101219,
2020-06-03,TATAPOWER,EQ,43.35,43.75,41.10,41.70,42.55,70318245,30124.37,95603,
2020-06-04,TATAPOWER,EQ,41.10,43.20,40.30,42.50,41.70,81868961,34120.23,97521,
2020-06-05,TATAPOWER,EQ,43.95,44.35,42.80,43.90,42.50,55225627,24098.85,95751,
2020-06-08,TATAPOWER,EQ,44.90,44.90,42.30,42.65,43.90,42629869,18562.36,80424,
2020-06-09,TATAPOWER,EQ,43.00,43.70,42.20,42.75,42.65,34471526,14842.99,49954,
2020-06-10,TATAPOWER,EQ,42.75,43.55,42.50,42.80,42.75,19799689,8501.24,31113,
2020-06-11,TATAPOWER,EQ,42.80,42.80,41.00,41.20,42.80,23571592,9888.35,39721,
2020-06-12,TATAPOWER,EQ,38.00,42.15,37.80,41.70,41.20,43585696,17838.18,53864,
2020-06-15,TATAPOWER,EQ,41.70,43.00,41.55,42.40,41.70,32174680,13651.49,54447,
2020-06-16,TATAPOWER,EQ,43.45,43.45,40.20,41.05,42.40,33915142,14166.09,47753,
2020-06-17,TATAPOWER,EQ,40.90,42.20,40.15,41.25,41.05,30297033,12492.74,42094,
2020-06-18,TATAPOWER,EQ,41.10,43.35,41.10,42.95,41.25,29310786,12463.85,46660,
2020-06-19,TATAPOWER,EQ,43.45,43.95,42.80,43.20,42.95,28219725,12265.81,48374,
2020-06-22,TATAPOWER,EQ,43.70,43.90,43.00,43.65,43.20,21166732,9219.44,26429,
