date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TATASTEEL,EQ,473.00,476.50,464.80,467.75,472.05,12100530,56847.09,80242,
2020-01-02,TATASTEEL,EQ,472.00,487.80,472.00,484.85,467.75,21674961,104230.60,188842,
2020-01-03,TATASTEEL,EQ,483.00,486.20,479.45,483.70,484.85,12956863,62530.74,124603,
2020-01-06,TATASTEEL,EQ,480.00,480.00,470.55,473.25,483.70,9601608,45602.45,93838,
2020-01-07,TATASTEEL,EQ,475.50,484.60,473.55,476.10,473.25,13195788,63258.95,116893,
2020-01-08,TATASTEEL,EQ,471.65,478.15,467.00,475.25,476.10,13304841,62825.34,122527,
2020-01-09,TATASTEEL,EQ,485.00,486.00,479.10,483.15,475.25,10131152,48917.67,104492,
2020-01-10,TATASTEEL,EQ,485.50,493.85,480.00,486.20,483.15,15927634,77676.27,171547,
2020-01-13,TATASTEEL,EQ,491.10,497.00,487.75,495.75,486.20,10942750,53909.19,98957,
2020-01-14,TATASTEEL,EQ,496.45,506.00,495.75,498.60,495.75,15660822,78415.41,139782,
2020-01-15,TATASTEEL,EQ,491.90,503.55,489.15,502.10,498.60,12117948,60308.00,99986,
2020-01-16,TATASTEEL,EQ,502.00,504.05,492.10,494.40,502.10,10438369,51666.07,92004,
2020-01-17,TATASTEEL,EQ,493.30,498.90,491.90,495.25,494.40,5682460,28171.22,57841,
2020-01-20,TATASTEEL,EQ,497.00,499.80,489.15,490.65,495.25,7291878,35942.31,83357,
2020-01-21,TATASTEEL,EQ,487.80,487.80,473.50,476.15,490.65,11315803,54431.60,123037,
2020-01-22,TATASTEEL,EQ,478.65,479.85,473.20,475.05,476.15,7662171,36515.20,87905,
2020-01-23,TATASTEEL,EQ,475.90,481.85,473.15,480.25,475.05,7200020,34487.60,90210,
2020-01-24,TATASTEEL,EQ,480.30,485.10,476.45,483.40,480.25,7481130,36090.61,98666,
2020-01-27,TATASTEEL,EQ,477.75,477.75,460.10,462.45,483.40,12963119,60500.40,135612,
2020-01-28,TATASTEEL,EQ,460.00,462.00,442.00,446.25,462.45,18015283,81348.40,174202,
2020-01-29,TATASTEEL,EQ,452.80,459.70,449.60,452.20,446.25,11081834,50388.52,107296,
2020-01-30,TATASTEEL,EQ,451.90,454.45,441.40,448.55,452.20,14652016,65548.33,131714,
2020-01-31,TATASTEEL,EQ,453.00,454.25,436.45,438.70,448.55,10738727,47735.21,105534,
2020-02-03,TATASTEEL,EQ,418.00,439.00,416.60,436.05,423.80,16237126,69388.96,158028,
2020-02-04,TATASTEEL,EQ,442.00,453.40,433.45,451.90,436.05,13336263,59521.88,126255,
2020-02-05,TATASTEEL,EQ,452.25,479.70,448.00,475.05,451.90,16056765,74280.94,167240,
2020-02-06,TATASTEEL,EQ,478.00,487.25,471.60,477.60,475.05,16666074,80175.50,170741,
2020-02-07,TATASTEEL,EQ,475.70,479.70,468.85,471.00,477.60,11649909,55121.86,146151,
2020-02-10,TATASTEEL,EQ,460.25,463.25,440.00,443.80,471.00,26796048,119968.14,249715,
2020-02-11,TATASTEEL,EQ,448.35,457.70,442.70,444.10,443.80,16824371,75886.14,150061,
2020-02-12,TATASTEEL,EQ,450.00,454.50,442.55,447.95,444.10,11785858,52807.97,120023,
2020-02-13,TATASTEEL,EQ,448.75,451.70,439.35,441.25,447.95,9965221,44188.99,92151,
2020-02-14,TATASTEEL,EQ,441.00,445.55,433.35,434.55,441.25,9484817,41761.86,91279,
2020-02-17,TATASTEEL,EQ,435.50,440.90,433.00,436.85,434.55,9724765,42524.83,90008,
2020-02-18,TATASTEEL,EQ,434.00,435.15,421.30,431.40,436.85,11502423,49089.56,120480,
2020-02-19,TATASTEEL,EQ,436.45,438.50,428.15,433.20,431.40,8465109,36670.58,83669,
2020-02-20,TATASTEEL,EQ,429.00,447.70,428.00,443.55,433.20,12980237,57239.70,110855,
2020-02-24,TATASTEEL,EQ,434.85,434.85,413.35,415.45,443.55,17523142,74293.34,154878,
2020-02-25,TATASTEEL,EQ,419.00,425.55,414.40,421.30,415.45,14558176,61200.92,148263,
2020-02-26,TATASTEEL,EQ,411.30,419.40,411.30,416.30,421.30,14270706,59342.50,146854,
2020-02-27,TATASTEEL,EQ,414.90,415.90,407.05,412.80,416.30,10226379,42043.95,123126,
2020-02-28,TATASTEEL,EQ,398.70,398.95,375.00,381.75,412.80,24532833,94104.52,209662,
2020-03-02,TATASTEEL,EQ,393.70,394.00,358.00,364.05,381.75,20220772,76805.64,149142,
2020-03-03,TATASTEEL,EQ,373.50,391.00,370.10,387.55,364.05,18648933,70560.30,170252,
2020-03-04,TATASTEEL,EQ,388.05,389.90,365.10,377.15,387.55,22937148,85727.06,191616,
2020-03-05,TATASTEEL,EQ,383.95,387.80,374.30,375.75,377.15,14628468,55644.89,121582,
2020-03-06,TATASTEEL,EQ,356.95,358.30,346.65,351.50,375.75,14848188,52359.97,131450,
2020-03-09,TATASTEEL,EQ,337.50,337.70,319.75,322.30,351.50,20423826,66858.69,205411,
2020-03-11,TATASTEEL,EQ,324.00,326.05,296.10,299.75,322.30,28693709,88403.29,251678,
2020-03-12,TATASTEEL,EQ,275.00,291.80,267.20,287.45,299.75,43767763,123172.69,314421,
2020-03-13,TATASTEEL,EQ,270.00,332.10,255.35,326.70,287.45,33842310,102114.21,270225,
2020-03-16,TATASTEEL,EQ,304.00,317.65,287.10,289.60,326.70,23606452,71314.88,291120,
2020-03-17,TATASTEEL,EQ,300.00,307.65,280.50,282.75,289.60,20654603,60822.03,241973,
2020-03-18,TATASTEEL,EQ,290.00,293.15,275.70,280.85,282.75,18772675,52874.35,193555,
2020-03-19,TATASTEEL,EQ,268.95,284.50,260.50,271.85,280.85,18723257,51380.58,198240,
2020-03-20,TATASTEEL,EQ,279.70,305.00,274.15,297.75,271.85,17307882,49718.27,176547,
2020-03-23,TATASTEEL,EQ,268.00,278.00,253.55,271.15,297.75,12100684,32021.97,149907,
2020-03-24,TATASTEEL,EQ,277.05,285.65,258.60,271.90,271.15,12928877,34925.19,160998,
2020-03-25,TATASTEEL,EQ,267.05,295.00,267.05,286.80,271.90,9442834,26447.76,140205,
2020-03-26,TATASTEEL,EQ,290.00,295.50,280.10,284.45,286.80,11493837,33163.57,139566,
2020-03-27,TATASTEEL,EQ,291.00,295.25,274.20,277.25,284.45,11184139,31591.62,123864,
2020-03-30,TATASTEEL,EQ,267.00,270.75,250.85,254.05,277.25,15853761,41220.28,218642,
2020-03-31,TATASTEEL,EQ,262.25,272.45,259.70,269.60,254.05,15787411,42070.57,185680,
2020-04-01,TATASTEEL,EQ,266.00,267.95,258.10,266.35,269.60,11965031,31421.50,142931,
2020-04-03,TATASTEEL,EQ,267.70,268.90,251.00,253.75,266.35,12528030,32031.61,174595,
2020-04-07,TATASTEEL,EQ,266.05,277.70,261.20,276.20,253.75,15956873,43104.67,166420,
2020-04-08,TATASTEEL,EQ,271.00,292.90,266.65,274.75,276.20,20435156,57602.22,215435,
2020-04-09,TATASTEEL,EQ,280.50,289.60,277.65,284.85,274.75,13855788,39299.56,150361,
2020-04-13,TATASTEEL,EQ,285.00,292.00,273.85,282.55,284.85,15510598,43597.67,169856,
2020-04-15,TATASTEEL,EQ,287.40,295.65,281.90,285.15,282.55,20991943,60725.28,216185,
2020-04-16,TATASTEEL,EQ,276.00,291.90,276.00,288.90,285.15,17248806,49287.20,159950,
2020-04-17,TATASTEEL,EQ,297.50,299.70,285.50,293.35,288.90,17492884,50967.70,156395,
2020-04-20,TATASTEEL,EQ,294.80,295.00,285.10,286.40,293.35,11961355,34601.43,129180,
2020-04-21,TATASTEEL,EQ,280.05,281.00,263.25,265.95,286.40,16925417,45123.18,286180,
2020-04-22,TATASTEEL,EQ,266.10,269.90,259.20,268.35,265.95,14789857,39260.76,158776,
2020-04-23,TATASTEEL,EQ,270.00,279.00,269.00,270.30,268.35,15468122,42431.26,182297,
2020-04-24,TATASTEEL,EQ,266.30,273.85,264.45,267.55,270.30,12383846,33405.57,120833,
2020-04-27,TATASTEEL,EQ,274.00,276.90,270.50,271.65,267.55,12410812,33931.63,154370,
2020-04-28,TATASTEEL,EQ,273.90,275.40,269.55,273.55,271.65,8548134,23293.81,77655,
2020-04-29,TATASTEEL,EQ,273.00,286.15,271.25,282.65,273.55,19876696,56006.80,215401,
2020-04-30,TATASTEEL,EQ,289.95,304.50,288.70,298.30,282.65,23636082,70265.87,239510,
2020-05-04,TATASTEEL,EQ,285.00,286.15,270.10,273.60,298.30,12892158,35287.26,167867,
2020-05-05,TATASTEEL,EQ,279.00,282.40,271.00,272.65,273.60,12182355,33727.23,120197,
2020-05-06,TATASTEEL,EQ,274.10,280.45,272.05,277.75,272.65,9507731,26331.68,95963,
2020-05-07,TATASTEEL,EQ,275.45,282.85,274.65,275.85,277.75,8958411,24943.64,103931,
2020-05-08,TATASTEEL,EQ,282.80,284.00,272.00,272.90,275.85,9878213,27368.16,108729,
2020-05-11,TATASTEEL,EQ,275.55,283.00,275.00,276.20,272.90,10907408,30439.83,129049,
2020-05-12,TATASTEEL,EQ,273.30,276.80,264.50,273.95,276.20,15040334,40510.62,154012,
2020-05-13,TATASTEEL,EQ,287.50,288.00,273.50,276.55,273.95,14723748,41362.88,144455,
2020-05-14,TATASTEEL,EQ,272.00,275.20,267.30,268.55,276.55,10796959,29195.11,125086,
2020-05-15,TATASTEEL,EQ,270.00,276.80,268.80,273.45,268.55,14991458,41029.96,140643,
2020-05-18,TATASTEEL,EQ,274.10,276.20,262.45,266.60,273.45,11616080,31026.09,126742,
2020-05-19,TATASTEEL,EQ,271.95,280.40,267.50,272.00,266.60,16897173,46484.59,160617,
2020-05-20,TATASTEEL,EQ,272.00,284.00,270.10,283.20,272.00,14423657,40379.17,135400,
2020-05-21,TATASTEEL,EQ,283.90,286.25,278.50,283.70,283.20,13035881,36862.50,119568,
2020-05-22,TATASTEEL,EQ,279.00,280.25,273.30,274.45,283.70,10656911,29435.99,104788,
2020-05-26,TATASTEEL,EQ,277.50,284.40,277.00,280.45,274.45,12108740,34112.79,119897,
2020-05-27,TATASTEEL,EQ,282.20,290.40,279.05,287.95,280.45,14007562,39669.58,133263,
2020-05-28,TATASTEEL,EQ,291.90,298.60,289.40,295.50,287.95,16602462,48795.14,153571,
2020-05-29,TATASTEEL,EQ,292.10,296.90,287.85,295.20,295.50,13128027,38345.29,117534,
2020-06-01,TATASTEEL,EQ,302.00,317.80,302.00,315.20,295.20,24384633,76562.44,222950,
2020-06-02,TATASTEEL,EQ,318.00,323.45,314.55,319.40,315.20,16563267,52849.47,147289,
2020-06-03,TATASTEEL,EQ,325.45,326.30,315.05,317.40,319.40,10387136,33411.10,107042,
2020-06-04,TATASTEEL,EQ,316.90,322.60,314.60,319.95,317.40,11251331,35912.22,106014,
2020-06-05,TATASTEEL,EQ,325.80,343.65,325.05,338.95,319.95,30918495,104239.83,262033,
2020-06-08,TATASTEEL,EQ,347.70,350.80,327.35,333.60,338.95,16481809,55848.40,156820,
2020-06-09,TATASTEEL,EQ,336.00,344.00,328.85,332.20,333.60,14926862,50336.88,172156,
2020-06-10,TATASTEEL,EQ,331.10,331.50,322.00,324.00,332.20,17218893,56015.93,175572,
2020-06-11,TATASTEEL,EQ,322.00,323.50,311.00,313.15,324.00,13906985,44251.84,176936,
