date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TCS,EQ,2168.00,2183.90,2154.00,2167.60,2161.70,1354908,29408.82,44438,
2020-01-02,TCS,EQ,2179.95,2179.95,2149.20,2157.65,2167.60,2380752,51391.56,99242,
2020-01-03,TCS,EQ,2164.00,2223.00,2164.00,2200.65,2157.65,4655761,102392.06,123516,
2020-01-06,TCS,EQ,2205.00,2225.95,2187.90,2200.45,2200.65,3023209,66658.55,135360,
2020-01-07,TCS,EQ,2200.50,2214.65,2183.80,2205.85,2200.45,2429317,53530.64,95018,
2020-01-08,TCS,EQ,2205.00,2260.00,2202.05,2255.25,2205.85,5197454,116434.24,172815,
2020-01-09,TCS,EQ,2248.75,2251.95,2210.00,2214.35,2255.25,3734173,83039.24,134309,
2020-01-10,TCS,EQ,2228.00,2234.00,2208.00,2213.55,2214.35,1915807,42521.50,102938,
2020-01-13,TCS,EQ,2217.85,2218.95,2184.70,2190.35,2213.55,2843893,62498.73,113645,
2020-01-14,TCS,EQ,2195.00,2229.80,2195.00,2206.90,2190.35,2948452,65236.22,132106,
2020-01-15,TCS,EQ,2213.00,2231.00,2194.20,2226.90,2206.90,2620681,57986.45,114594,
2020-01-16,TCS,EQ,2226.95,2249.00,2215.00,2238.80,2226.90,3117214,69694.83,113056,
2020-01-17,TCS,EQ,2240.75,2253.55,2213.00,2219.10,2238.80,3281059,73245.50,123528,
2020-01-20,TCS,EQ,2194.90,2242.20,2156.20,2170.35,2219.10,5817599,126967.98,216725,
2020-01-21,TCS,EQ,2169.95,2186.55,2158.05,2171.05,2170.35,1902980,41312.69,115866,
2020-01-22,TCS,EQ,2181.00,2210.00,2173.70,2206.90,2171.05,1773686,39001.38,109240,
2020-01-23,TCS,EQ,2209.80,2217.75,2183.70,2190.95,2206.90,2069866,45553.83,110107,
2020-01-24,TCS,EQ,2190.95,2190.95,2170.00,2183.40,2190.95,1319430,28759.88,55949,
2020-01-27,TCS,EQ,2189.70,2193.45,2165.00,2169.25,2183.40,1549101,33661.88,62160,
