date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TECHM,EQ,766.00,766.80,760.35,762.10,762.30,746371,5697.75,17126,
2020-01-02,TECHM,EQ,762.10,769.15,761.00,766.05,762.10,1133488,8686.30,50776,
2020-01-03,TECHM,EQ,766.00,779.90,763.55,775.10,766.05,2121704,16446.08,54537,
2020-01-06,TECHM,EQ,774.85,778.80,768.15,770.40,775.10,1734439,13419.37,52469,
2020-01-07,TECHM,EQ,770.00,778.50,760.60,777.10,770.40,1937143,14933.39,36396,
2020-01-08,TECHM,EQ,770.10,784.90,767.10,769.80,777.10,2596664,20158.74,56014,
2020-01-09,TECHM,EQ,770.50,776.45,762.20,773.65,769.80,1678891,12930.41,49933,
2020-01-10,TECHM,EQ,779.00,781.90,772.45,776.25,773.65,1105725,8588.12,35828,
2020-01-13,TECHM,EQ,779.90,788.70,775.05,785.85,776.25,1393509,10936.15,26980,
2020-01-14,TECHM,EQ,785.85,797.80,783.70,796.25,785.85,1628535,12879.72,53736,
2020-01-15,TECHM,EQ,796.15,803.65,788.50,795.15,796.25,1759644,14007.64,44354,
2020-01-16,TECHM,EQ,793.00,795.70,781.10,782.85,795.15,1110008,8717.17,53657,
2020-01-17,TECHM,EQ,783.50,786.75,775.50,778.45,782.85,989312,7718.05,49622,
2020-01-20,TECHM,EQ,778.50,785.45,774.55,778.20,778.45,1620105,12635.89,52213,
2020-01-21,TECHM,EQ,777.25,783.40,775.00,778.90,778.20,976954,7612.44,54605,
2020-01-22,TECHM,EQ,780.00,790.45,776.20,778.75,778.90,1192201,9320.07,42351,
2020-01-23,TECHM,EQ,777.25,780.45,766.90,768.95,778.75,2018777,15572.61,82067,
2020-01-24,TECHM,EQ,765.10,788.75,763.30,787.30,768.95,2364265,18371.62,76417,
2020-01-27,TECHM,EQ,786.00,796.25,779.65,791.50,787.30,1175606,9292.52,26671,
2020-01-28,TECHM,EQ,792.50,795.75,784.60,794.25,791.50,1506685,11923.32,61577,
2020-01-29,TECHM,EQ,796.90,807.20,793.55,804.15,794.25,2565136,20580.92,122141,
2020-01-30,TECHM,EQ,805.60,807.95,784.00,791.35,804.15,2493688,19770.92,70718,
2020-01-31,TECHM,EQ,796.85,802.50,783.00,796.60,791.35,3081521,24492.07,62114,
2020-02-03,TECHM,EQ,808.00,818.70,790.50,793.15,807.55,3383074,27334.87,87563,
2020-02-04,TECHM,EQ,794.30,813.00,794.30,811.10,793.15,1779834,14371.97,54008,
2020-02-05,TECHM,EQ,810.00,816.00,807.00,814.05,811.10,1613898,13103.86,56554,
2020-02-06,TECHM,EQ,812.70,825.95,810.05,817.70,814.05,1553656,12725.24,50057,
2020-02-07,TECHM,EQ,817.70,825.45,814.25,824.45,817.70,1397438,11469.21,47565,
2020-02-10,TECHM,EQ,827.00,827.10,811.50,813.65,824.45,1098971,8962.98,36704,
2020-02-11,TECHM,EQ,813.00,821.85,811.05,819.95,813.65,1143705,9338.18,39211,
2020-02-12,TECHM,EQ,820.00,826.45,816.80,821.50,819.95,1394424,11467.01,45526,
2020-02-13,TECHM,EQ,822.80,830.00,814.35,828.00,821.50,1737974,14258.08,60849,
2020-02-14,TECHM,EQ,827.00,838.00,825.05,834.15,828.00,2143044,17869.93,61957,
2020-02-17,TECHM,EQ,835.95,837.00,827.45,833.25,834.15,793328,6604.17,23477,
2020-02-18,TECHM,EQ,825.35,840.00,825.35,838.80,833.25,1507814,12603.31,47108,
2020-02-19,TECHM,EQ,839.00,844.85,836.05,840.90,838.80,881874,7411.17,46482,
2020-02-20,TECHM,EQ,840.15,845.90,826.95,829.60,840.90,1066232,8914.14,52260,
2020-02-24,TECHM,EQ,828.95,843.90,815.75,820.10,829.60,2917544,24299.60,70947,
2020-02-25,TECHM,EQ,822.00,826.80,809.05,822.10,820.10,2479975,20264.89,67477,
2020-02-26,TECHM,EQ,820.00,825.50,808.20,811.45,822.10,2212784,18086.87,73034,
2020-02-27,TECHM,EQ,807.00,819.70,800.20,809.15,811.45,1907768,15405.59,68391,
2020-02-28,TECHM,EQ,789.80,808.00,732.05,744.40,809.15,5959364,44938.40,129459,
2020-03-02,TECHM,EQ,742.00,754.45,734.40,744.55,744.40,3784522,28196.53,99512,
