date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TITAN,EQ,1194.45,1199.00,1152.20,1154.75,1187.95,3137636,36666.82,91203,
2020-01-02,TITAN,EQ,1157.00,1159.90,1140.00,1155.60,1154.75,3286436,37818.80,120035,
2020-01-03,TITAN,EQ,1156.00,1156.00,1132.00,1139.70,1155.60,2695237,30790.27,105909,
2020-01-06,TITAN,EQ,1162.00,1171.40,1150.10,1158.60,1139.70,4494752,52132.82,175806,
2020-01-07,TITAN,EQ,1170.95,1173.85,1152.05,1159.95,1158.60,2363578,27408.86,92867,
2020-01-08,TITAN,EQ,1145.00,1156.30,1138.00,1143.30,1159.95,2370166,27112.84,78303,
2020-01-09,TITAN,EQ,1155.00,1168.00,1148.50,1163.45,1143.30,1764131,20446.69,75574,
2020-01-10,TITAN,EQ,1167.00,1170.70,1150.75,1154.05,1163.45,1517311,17579.49,61571,
2020-01-13,TITAN,EQ,1155.00,1162.45,1148.50,1158.95,1154.05,1135936,13136.32,65561,
2020-01-14,TITAN,EQ,1162.00,1168.65,1157.15,1167.10,1158.95,1324743,15413.66,54792,
2020-01-15,TITAN,EQ,1173.50,1191.50,1170.60,1184.85,1167.10,2665214,31508.00,84788,
2020-01-16,TITAN,EQ,1184.85,1195.50,1174.10,1192.90,1184.85,1644541,19483.77,65751,
2020-01-17,TITAN,EQ,1194.80,1196.85,1184.00,1188.75,1192.90,1034774,12313.39,54577,
2020-01-20,TITAN,EQ,1190.00,1195.00,1179.10,1187.85,1188.75,1139858,13549.63,69133,
2020-01-21,TITAN,EQ,1183.45,1183.90,1161.00,1176.20,1187.85,925998,10870.15,54553,
2020-01-22,TITAN,EQ,1181.80,1185.95,1172.00,1177.65,1176.20,902471,10628.98,47890,
2020-01-23,TITAN,EQ,1176.00,1206.65,1175.00,1204.10,1177.65,2101116,25148.10,69730,
2020-01-24,TITAN,EQ,1208.90,1230.00,1206.05,1227.85,1204.10,2841654,34656.29,83003,
2020-01-27,TITAN,EQ,1228.00,1240.35,1208.85,1213.80,1227.85,2332864,28576.10,85733,
2020-01-28,TITAN,EQ,1215.00,1223.50,1188.30,1195.00,1213.80,1703068,20580.86,72839,
2020-01-29,TITAN,EQ,1198.50,1207.90,1181.60,1186.20,1195.00,1380266,16453.89,70904,
2020-01-30,TITAN,EQ,1191.00,1191.50,1176.20,1179.25,1186.20,1859283,21964.84,87927,
2020-01-31,TITAN,EQ,1185.50,1194.80,1180.00,1187.75,1179.25,1809101,21496.03,93386,
2020-02-03,TITAN,EQ,1170.00,1192.30,1162.55,1186.40,1173.25,3595537,42288.07,107255,
2020-02-04,TITAN,EQ,1195.00,1287.80,1185.00,1275.80,1186.40,7875930,98126.10,212243,
2020-02-05,TITAN,EQ,1284.75,1297.70,1255.00,1279.85,1275.80,5459816,69795.74,239396,
2020-02-06,TITAN,EQ,1284.95,1294.20,1252.05,1259.30,1279.85,2463971,31210.03,96125,
2020-02-07,TITAN,EQ,1264.05,1279.50,1258.40,1275.00,1259.30,2277867,28962.87,102527,
2020-02-10,TITAN,EQ,1270.90,1275.00,1253.35,1257.20,1275.00,1021943,12862.36,80696,
2020-02-11,TITAN,EQ,1263.00,1278.90,1258.55,1270.70,1257.20,1351413,17179.18,68623,
2020-02-12,TITAN,EQ,1276.95,1288.95,1265.85,1269.00,1270.70,1195516,15201.88,47039,
2020-02-13,TITAN,EQ,1270.00,1308.00,1270.00,1298.10,1269.00,4458645,57864.81,102681,
2020-02-14,TITAN,EQ,1306.95,1310.70,1290.00,1293.45,1298.10,1416212,18413.91,38783,
2020-02-17,TITAN,EQ,1293.05,1321.60,1288.35,1316.05,1293.45,2347399,30851.43,70254,
