date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2025-11-26,TMCV,EQ,320.00,325.50,317.75,324.05,317.85,9984230,32192.42,115860,
2025-11-27,TMCV,EQ,322.50,347.70,322.00,343.90,324.05,22672738,77203.68,231466,
2025-11-28,TMCV,EQ,340.55,359.90,331.10,352.00,343.90,18549631,65079.39,210931,
2025-12-01,TMCV,EQ,352.45,365.00,351.15,359.05,352.00,12843866,46071.70,290906,
2025-12-02,TMCV,EQ,360.00,368.00,352.15,354.80,359.05,8297661,29688.15,113391,
2025-12-03,TMCV,EQ,354.00,362.25,346.50,360.40,354.80,11412231,40730.28,156299,
2025-12-04,TMCV,EQ,357.75,361.50,354.15,356.45,360.40,7199260,25781.17,124467,
2025-12-05,TMCV,EQ,355.00,361.45,349.35,359.55,356.45,6652749,23726.71,109379,
2025-12-08,TMCV,EQ,358.00,364.20,357.10,360.35,359.55,6936051,24987.38,125763,
2025-12-09,TMCV,EQ,357.10,381.95,353.50,373.10,360.35,16119717,59705.72,273830,
2025-12-10,TMCV,EQ,378.05,382.95,368.35,377.80,373.10,16089720,60435.54,190294,
2025-12-11,TMCV,EQ,378.20,379.90,370.15,372.80,377.80,9667951,36280.14,108283,
2025-12-12,TMCV,EQ,371.50,379.00,366.35,373.45,372.80,12391574,46169.63,144798,
2025-12-15,TMCV,EQ,372.50,379.15,365.20,377.95,373.45,7033258,26274.22,121798,
2025-12-16,TMCV,EQ,377.95,390.00,374.50,387.35,377.95,10329070,39619.46,165544,
2025-12-17,TMCV,EQ,389.00,397.50,383.55,386.90,387.35,10044939,38937.54,114783,
2025-12-18,TMCV,EQ,391.00,406.80,390.20,401.05,386.90,18688147,74787.80,267146,
2025-12-19,TMCV,EQ,402.05,403.30,385.25,394.35,401.05,22075008,87486.27,227745,
2025-12-22,TMCV,EQ,396.35,414.00,394.35,411.70,394.35,12081781,49371.02,139402,
2025-12-23,TMCV,EQ,412.85,428.20,412.50,426.10,411.70,13800012,58292.83,194339,
2025-12-24,TMCV,EQ,427.15,432.30,408.00,408.75,426.10,19626872,81703.21,229029,
2025-12-26,TMCV,EQ,410.00,416.50,403.40,408.65,408.75,9030231,37057.70,114144,
2025-12-29,TMCV,EQ,410.00,418.00,406.55,409.50,408.65,7173718,29417.60,94029,
2025-12-30,TMCV,EQ,409.95,415.50,406.00,409.65,409.50,6416425,26305.99,98166,
2025-12-31,TMCV,EQ,411.85,418.00,409.70,415.50,409.65,6269208,25976.83,81800,
2026-01-01,TMCV,EQ,419.20,430.00,417.55,427.75,415.50,10096081,42972.92,158871,
2026-01-02,TMCV,EQ,433.10,448.00,432.75,442.25,427.75,15267178,67275.82,306582,
2026-01-05,TMCV,EQ,433.85,437.80,422.50,426.45,442.25,15748095,67605.43,213231,
2026-01-06,TMCV,EQ,429.95,437.45,427.20,432.65,426.45,8271070,35689.55,111048,
2026-01-07,TMCV,EQ,435.00,440.65,430.15,435.75,432.65,13125259,57182.78,151853,
2026-01-08,TMCV,EQ,436.85,441.50,430.50,435.20,435.75,11209566,48923.57,196238,
2026-01-09,TMCV,EQ,431.00,446.15,428.20,431.55,435.20,15300641,67041.44,170912,
2026-01-12,TMCV,EQ,430.00,430.05,414.70,424.90,431.55,10323536,43547.88,156724,
2026-01-13,TMCV,EQ,425.30,432.50,422.15,424.15,424.90,7174148,30497.87,89547,
2026-01-14,TMCV,EQ,426.05,436.00,422.65,433.75,424.15,9765782,42219.78,118383,
2026-01-16,TMCV,EQ,431.95,446.65,427.50,438.50,433.75,12641260,55678.11,154945,
2026-01-19,TMCV,EQ,442.00,451.20,434.50,441.40,438.50,11049623,48675.27,137479,
2026-01-20,TMCV,EQ,441.40,446.40,426.55,432.45,441.40,9845662,43337.72,150594,
2026-01-21,TMCV,EQ,431.35,449.55,421.10,434.85,432.45,13056494,56692.25,174799,
2026-01-22,TMCV,EQ,436.10,453.80,435.85,444.90,434.85,13509687,60030.66,159172,
2026-01-23,TMCV,EQ,446.95,456.40,439.35,449.20,444.90,11557765,51905.02,155112,
2026-01-27,TMCV,EQ,450.00,454.75,438.50,443.90,449.20,12074561,53941.96,136543,
2026-01-28,TMCV,EQ,450.00,470.25,448.00,467.95,443.90,12636077,58113.49,240355,
