date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2025-10-24,TMPV,EQ,406.95,408.50,401.00,403.30,405.85,6311744,25528.55,93358,
2025-10-27,TMPV,EQ,404.00,411.40,403.65,410.05,403.30,10699376,43797.64,154558,
2025-10-28,TMPV,EQ,411.30,414.15,408.55,411.50,410.05,10332279,42486.67,161021,
2025-10-29,TMPV,EQ,412.50,415.00,407.05,411.35,411.50,8485023,34978.13,112896,
2025-10-30,TMPV,EQ,412.70,419.00,408.10,412.45,411.35,8783965,36138.83,130267,
2025-10-31,TMPV,EQ,414.05,417.50,409.05,410.00,412.45,8012169,33090.77,110426,
2025-11-03,TMPV,EQ,414.00,417.85,410.10,417.00,410.00,8952229,37054.58,116167,
2025-11-04,TMPV,EQ,417.40,417.50,405.10,406.50,417.00,8889004,36386.12,121609,
2025-11-06,TMPV,EQ,407.15,409.70,405.40,407.85,406.50,6862359,27985.66,112326,
2025-11-07,TMPV,EQ,406.70,407.20,401.45,405.70,407.85,6930046,28050.99,135368,
2025-11-10,TMPV,EQ,406.00,412.95,406.00,410.45,405.70,7913640,32461.71,133206,
2025-11-11,TMPV,EQ,412.55,413.70,402.65,407.60,410.45,8120946,32951.67,125989,
2025-11-12,TMPV,EQ,407.60,411.40,401.90,402.15,407.60,12940220,52330.29,159229,
2025-11-13,TMPV,EQ,404.00,404.00,397.40,397.95,402.15,13165727,52597.74,159478,
2025-11-14,TMPV,EQ,397.95,399.60,387.30,391.20,397.95,21834856,85575.14,191160,
2025-11-17,TMPV,EQ,380.00,380.00,363.00,372.70,391.20,32393346,120778.17,365825,
2025-11-18,TMPV,EQ,373.10,374.00,369.15,371.30,372.70,17484757,64981.13,187800,
2025-11-19,TMPV,EQ,371.20,371.25,360.35,360.85,371.30,17854517,64962.31,254289,
2025-11-20,TMPV,EQ,362.00,364.40,359.25,359.80,360.85,15999034,57801.52,193006,
2025-11-21,TMPV,EQ,359.00,364.25,358.00,362.25,359.80,10829322,39172.06,133734,
2025-11-24,TMPV,EQ,362.50,362.85,356.80,358.30,362.25,12671925,45447.59,159958,
2025-11-25,TMPV,EQ,358.00,358.10,352.00,352.45,358.30,12577566,44632.89,176255,
