date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TORNTPHARM,EQ,1854.90,1860.00,1840.05,1843.70,1849.05,22477,415.64,1775,
2020-01-02,TORNTPHARM,EQ,1844.05,1872.00,1844.05,1865.65,1843.70,86530,1609.73,4092,
2020-01-03,TORNTPHARM,EQ,1870.00,1919.80,1861.05,1900.10,1865.65,504421,9563.06,18306,
2020-01-06,TORNTPHARM,EQ,1905.00,1906.10,1856.95,1886.20,1900.10,165433,3113.04,11054,
2020-01-07,TORNTPHARM,EQ,1885.50,1910.00,1865.90,1872.75,1886.20,133465,2510.10,7002,
2020-01-08,TORNTPHARM,EQ,1865.00,1887.55,1853.60,1866.35,1872.75,112361,2101.42,6713,
2020-01-09,TORNTPHARM,EQ,1872.00,1896.30,1866.10,1878.80,1866.35,98122,1845.72,10975,
2020-01-10,TORNTPHARM,EQ,1901.20,1912.00,1880.00,1899.05,1878.80,188808,3582.62,7405,
2020-01-13,TORNTPHARM,EQ,1907.00,1908.50,1888.00,1899.40,1899.05,129004,2448.10,9569,
2020-01-14,TORNTPHARM,EQ,1900.00,1908.00,1881.30,1885.30,1899.40,49543,937.42,5653,
2020-01-15,TORNTPHARM,EQ,1885.10,1902.30,1870.25,1898.20,1885.30,109225,2064.31,8508,
2020-01-16,TORNTPHARM,EQ,1906.00,1967.95,1903.00,1924.40,1898.20,555491,10733.78,23634,
2020-01-17,TORNTPHARM,EQ,1936.40,2028.00,1928.70,2006.35,1924.40,1119022,22276.31,45879,
2020-01-20,TORNTPHARM,EQ,2006.35,2073.65,1985.55,2027.70,2006.35,889864,18132.22,38450,
2020-01-21,TORNTPHARM,EQ,2025.00,2056.85,1992.00,2020.15,2027.70,520403,10577.25,22271,
2020-01-22,TORNTPHARM,EQ,2030.00,2044.95,1992.10,2000.95,2020.15,416190,8421.83,15111,
2020-01-23,TORNTPHARM,EQ,2003.95,2035.55,2001.00,2020.50,2000.95,176247,3559.93,11103,
2020-01-24,TORNTPHARM,EQ,2029.00,2062.00,2025.00,2036.95,2020.50,269834,5525.22,19193,
2020-01-27,TORNTPHARM,EQ,2036.95,2055.95,2005.50,2027.15,2036.95,243544,4950.43,16719,
2020-01-28,TORNTPHARM,EQ,2000.00,2000.00,1900.60,1916.40,2027.15,1793914,34611.37,63482,
2020-01-29,TORNTPHARM,EQ,1907.00,1956.30,1907.00,1937.50,1916.40,356676,6918.25,22112,
2020-01-30,TORNTPHARM,EQ,1948.00,1955.95,1922.50,1936.30,1937.50,813768,15807.91,9818,
